,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,0.95772,26.36282,0.1339,0.1101,1,2
-4.75,0.95772,31.34342,0.1339,0.08861,1,2
-4.5,0.95772,31.34342,0.1339,0.08861,1,2
-4.25,0.85945,31.34342,0.08769,0.08861,4,2
-4.0,2.3494,31.34342,0.08464,0.08861,6,2
-3.75,1.95711,31.34342,0.08057,0.08145,8,2
-3.5,4.52776,29.7739,0.07442,0.07811,10,3
-3.25,4.13933,22.55247,0.0654,0.07353,16,4
-3.0,4.97756,22.55247,0.06209,0.07353,23,4
-2.75,4.43913,18.27451,0.05754,0.06627,33,5
-2.5,5.49632,16.21954,0.05389,0.05607,55,11
-2.25,5.55684,14.98212,0.05153,0.05183,62,13
-2.0,5.89268,13.59356,0.04785,0.0495,90,15
-1.75,5.17076,13.27462,0.04572,0.04809,129,19
-1.5,4.73694,10.63015,0.04172,0.04493,200,33
-1.25,3.75859,8.45518,0.03939,0.0422,319,47
-1.0,3.31228,6.37076,0.03692,0.03946,442,67
1.0,2.56958,3.6634,0.03801,0.04101,520,96
1.25,2.96849,3.80699,0.04076,0.04375,380,76
1.5,3.34621,3.7698,0.04402,0.04695,281,64
1.75,3.91199,5.27002,0.04796,0.05381,194,34
2.0,4.29993,6.21879,0.0514,0.05856,144,27
2.25,4.72502,5.3908,0.05439,0.06026,108,24
2.5,5.45648,5.22409,0.05742,0.06262,78,23
2.75,5.88757,5.14373,0.06045,0.06793,61,18
3.0,6.25162,5.17441,0.0626,0.07386,50,15
3.25,4.85927,5.44146,0.0654,0.07483,37,14
3.5,5.3506,3.48095,0.0711,0.07927,22,10
3.75,4.09418,3.78304,0.07383,0.08363,16,9
4.0,3.37232,1.60777,0.07625,0.09443,12,6
4.25,3.58631,1.92631,0.08473,0.09678,11,5
4.5,3.704,2.20447,0.09003,0.09799,10,4
4.75,4.00699,2.91715,0.09308,0.10307,9,3
5.0,2.50195,2.91715,0.09508,0.10307,8,3
