,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,74.48284,0.15157,0.15205,0.11181,1,2
-4.75,74.48284,5.38153,0.15205,0.09566,1,3
-4.5,74.48284,4.28039,0.15205,0.08827,1,4
-4.25,74.48284,5.05396,0.15205,0.07769,1,6
-4.0,37.59612,4.77442,0.13696,0.08116,2,7
-3.75,22.86902,4.56378,0.11712,0.07583,6,10
-3.5,17.8568,3.8995,0.10582,0.0733,8,12
-3.25,13.38909,3.922,0.09709,0.06691,13,15
-3.0,12.81006,3.64918,0.09332,0.06423,14,17
-2.75,9.64407,3.49044,0.08069,0.06105,26,21
-2.5,7.38928,3.61485,0.07143,0.05946,45,23
-2.25,6.76461,3.0758,0.06852,0.06028,55,29
-2.0,6.67045,3.38643,0.06406,0.05812,82,36
-1.75,5.50444,3.14278,0.06001,0.05523,131,54
-1.5,5.15042,2.73165,0.059,0.05356,167,72
-1.25,4.18027,2.2037,0.05403,0.05006,278,105
-1.0,3.66514,1.85972,0.05192,0.04648,357,165
1.0,2.61172,1.95196,0.05342,0.04485,531,220
1.25,3.56529,2.20316,0.05852,0.04781,331,160
1.5,4.51237,2.30748,0.06418,0.0517,214,105
1.75,5.27012,2.57223,0.06676,0.05382,162,71
2.0,6.78643,2.60268,0.07415,0.05818,103,49
2.25,7.97598,2.49827,0.07764,0.06326,74,34
2.5,9.49108,2.32053,0.08078,0.07193,52,22
2.75,12.09533,2.19269,0.09036,0.07428,27,18
3.0,14.05859,1.78464,0.09348,0.07779,20,14
3.25,8.08365,2.02049,0.10301,0.0804,13,12
3.5,2.69108,2.45989,0.11456,0.08993,9,8
3.75,2.93721,2.53761,0.11871,0.09333,7,7
4.0,1.15687,1.32374,0.15493,0.09812,3,5
4.25,1.15687,1.41679,0.15493,0.10543,3,4
4.5,1.15687,1.41679,0.15493,0.10612,3,4
4.75,1.84734,2.69269,0.21529,0.11022,1,2
5.0,1.84734,2.66272,0.21529,0.1116,1,2
