,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,0.0,4.98578,0.0,0.1675,0,1
-4.75,0.0,4.98578,0.0,0.1675,0,1
-4.5,101.42996,4.98578,0.09919,0.1675,1,1
-4.25,101.42996,2.50669,0.09919,0.11614,1,2
-4.0,101.42996,2.50669,0.09919,0.11614,1,2
-3.75,101.42996,1.02886,0.09919,0.09868,1,5
-3.5,37.30451,1.02886,0.0895,0.09868,3,5
-3.25,22.69884,0.89119,0.08438,0.09066,7,6
-3.0,22.96099,8.02625,0.08251,0.07835,7,9
-2.75,25.37566,5.69351,0.07484,0.0659,13,14
-2.5,26.84008,5.75335,0.06901,0.06109,18,17
-2.25,24.58719,5.12772,0.06346,0.05358,24,24
-2.0,24.24359,5.03317,0.05798,0.04986,30,35
-1.75,20.96882,5.03107,0.05713,0.04645,40,48
-1.5,16.11768,5.57434,0.056,0.04527,59,52
-1.25,13.70526,4.7092,0.05106,0.04257,82,68
-1.0,11.52333,3.88256,0.04786,0.03998,127,92
1.0,10.9337,2.62717,0.04693,0.04177,159,133
1.25,13.57935,2.87552,0.05146,0.04522,110,103
1.5,16.77084,3.16688,0.05626,0.05086,78,71
1.75,20.80857,3.35562,0.05972,0.05385,53,54
2.0,24.94304,3.15859,0.06378,0.05786,34,44
2.25,26.70103,3.52552,0.07006,0.06253,26,35
2.5,37.24732,2.80581,0.07889,0.06673,16,25
2.75,38.82079,2.68717,0.08149,0.07185,15,20
3.0,20.77968,2.685,0.08828,0.07788,10,15
3.25,25.32289,0.93629,0.09762,0.09047,6,12
3.5,15.1541,0.76386,0.10401,0.09358,4,11
3.75,20.15154,0.856,0.10171,0.09741,3,9
4.0,1.03436,0.94612,0.10493,0.09229,2,8
4.25,0.70568,0.90336,0.12325,0.0967,1,7
4.5,0.70568,1.20412,0.12325,0.09607,1,5
4.75,0.70568,0.34116,0.12325,0.09792,1,3
5.0,0.70568,0.34116,0.12325,0.09792,1,3
