,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,0.96371,1.27781,0.12453,0.1047,4,1
-4.75,0.85797,0.70716,0.10797,0.10746,6,2
-4.5,0.87992,0.70716,0.10286,0.10746,7,2
-4.25,5.8704,0.70716,0.09293,0.10746,9,2
-4.0,5.17778,0.52045,0.08886,0.10101,13,3
-3.75,4.48778,4.373,0.07657,0.09162,22,4
-3.5,4.37227,7.02171,0.07247,0.07953,26,7
-3.25,4.41989,7.13763,0.06927,0.07691,31,10
-3.0,4.23448,6.78931,0.06463,0.07167,50,11
-2.75,4.06401,6.23632,0.06191,0.06446,65,13
-2.5,3.71273,6.77237,0.05874,0.06297,83,13
-2.25,3.59902,6.43124,0.05685,0.06281,101,14
-2.0,4.09974,5.67931,0.05374,0.05881,133,18
-1.75,4.04161,5.91443,0.05237,0.05304,149,29
-1.5,4.08072,5.79619,0.05013,0.05164,175,34
-1.25,3.66198,5.4589,0.04831,0.05068,227,44
-1.0,3.11486,5.14141,0.04506,0.04845,376,57
1.0,2.57216,4.05789,0.04817,0.0459,476,103
1.25,2.95258,4.11172,0.05095,0.04792,354,89
1.5,3.26182,4.58859,0.05366,0.05086,258,67
1.75,3.47856,3.97973,0.05791,0.0527,157,53
2.0,3.92202,3.83551,0.06172,0.06257,101,33
2.25,4.0937,3.79914,0.06615,0.06784,73,23
2.5,4.14546,3.1367,0.0693,0.07261,64,18
2.75,4.1548,2.59597,0.07137,0.08414,38,10
3.0,4.40576,2.45291,0.07236,0.09498,28,7
3.25,4.48973,2.45291,0.07499,0.09576,19,7
3.5,4.46883,1.99032,0.07885,0.10346,18,6
3.75,4.08475,0.73946,0.08577,0.10347,15,4
4.0,4.08337,0.85703,0.08651,0.11499,15,3
4.25,4.5541,0.85703,0.09124,0.11499,12,3
4.5,5.15613,0.85703,0.09339,0.11499,10,3
4.75,6.2152,0.83579,0.10286,0.11591,8,3
5.0,8.43151,0.83576,0.10629,0.1251,5,3
