,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,0.39824,0.91264,0.11326,0.0887,3,2
-4.75,0.39824,0.91264,0.1123,0.0887,3,2
-4.5,0.39824,0.7563,0.11135,0.08016,3,3
-4.25,0.39824,0.82571,0.10945,0.07443,3,4
-4.0,8.47138,0.8569,0.10003,0.073,4,4
-3.75,8.47273,0.84469,0.09861,0.06928,4,5
-3.5,8.50996,0.80203,0.09932,0.06299,4,7
-3.25,6.84449,0.68253,0.09085,0.05918,5,9
-3.0,5.63386,0.69163,0.07931,0.05886,8,9
-2.75,6.07637,0.86877,0.06927,0.05036,13,17
-2.5,5.51532,1.13965,0.06256,0.0472,19,23
-2.25,6.54496,1.49192,0.05186,0.04154,40,34
-2.0,8.10503,1.35294,0.04973,0.0374,57,54
-1.75,7.09998,1.49918,0.04435,0.03433,85,91
-1.5,4.54614,1.54911,0.03801,0.03086,200,131
-1.25,3.95793,1.38181,0.0349,0.02863,276,183
-1.0,3.07903,1.22874,0.03186,0.02656,411,238
1.0,2.60622,1.55677,0.02964,0.02754,513,251
1.25,3.38539,1.78288,0.03247,0.0303,356,187
1.5,4.48416,1.96494,0.03603,0.03327,237,141
1.75,7.10469,2.17737,0.04178,0.03679,121,102
2.0,9.13967,2.25254,0.04486,0.03979,83,75
2.25,11.85049,2.02979,0.04862,0.04359,55,60
2.5,17.14194,1.82055,0.05385,0.04777,30,39
2.75,19.81026,1.69888,0.05671,0.05282,24,27
3.0,24.84606,1.77087,0.0596,0.05744,18,21
3.25,27.39098,1.85946,0.07,0.06042,13,15
3.5,22.30191,1.85946,0.07543,0.06062,9,15
3.75,17.16395,1.92886,0.08112,0.06357,7,13
4.0,13.61912,2.10753,0.10089,0.06812,3,11
4.25,15.07251,1.18178,0.10829,0.07121,2,9
4.5,15.07251,1.014,0.10829,0.08045,2,8
4.75,1.16337,1.22118,0.13673,0.08531,1,6
5.0,1.16337,1.14886,0.13673,0.08769,1,6
