,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,11.18141,1.26759,0.12862,0.07079,1,5
-4.75,12.50071,1.26759,0.12955,0.07079,3,5
-4.5,12.50071,1.18221,0.12955,0.06768,3,6
-4.25,12.50071,1.1884,0.12955,0.0653,3,6
-4.0,12.50422,2.32198,0.12765,0.05904,3,8
-3.75,9.99163,2.08918,0.11852,0.05498,4,11
-3.5,19.20652,1.83253,0.11187,0.05578,5,14
-3.25,19.20652,1.71348,0.11187,0.05748,5,15
-3.0,34.66694,1.68438,0.10236,0.05458,7,17
-2.75,35.70502,1.78886,0.09412,0.05137,9,20
-2.5,40.23835,2.01741,0.08624,0.04558,11,29
-2.25,46.53064,2.7254,0.08081,0.04146,14,36
-2.0,39.93127,2.25242,0.07177,0.03711,19,53
-1.75,38.33131,2.27326,0.059,0.03461,26,61
-1.5,29.55665,2.0227,0.05174,0.02945,43,82
-1.25,23.36277,1.8873,0.04377,0.027,64,112
-1.0,16.9439,1.82524,0.03743,0.02386,101,149
1.0,29.37048,1.90961,0.03832,0.0233,66,209
1.25,35.96941,2.0532,0.04483,0.02529,50,163
1.5,52.42715,2.2116,0.0518,0.02784,30,125
1.75,79.2072,1.92821,0.05831,0.03202,16,84
2.0,86.98127,1.70165,0.06248,0.0351,13,59
2.25,97.25713,1.59182,0.0702,0.03916,9,40
2.5,133.99858,1.37776,0.07845,0.04246,6,26
2.75,189.96382,1.40526,0.08405,0.04558,4,19
3.0,249.38081,1.36743,0.08935,0.04778,3,14
3.25,159.53462,1.77941,0.09445,0.05373,3,9
3.5,233.02652,1.95198,0.10162,0.06082,2,7
3.75,233.02652,2.20137,0.10162,0.06653,2,6
4.0,1.10132,2.59211,0.102,0.06855,1,5
4.25,0.8122,2.59211,0.14479,0.06855,1,5
4.5,0.8122,2.59211,0.14479,0.06855,1,5
4.75,0.8122,2.81459,0.14479,0.07136,1,4
5.0,0.8122,3.29704,0.14479,0.07598,1,3
