,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,0.51168,0.07178,0.23483,0.14057,1,1
-4.75,0.51168,0.07178,0.23483,0.14057,1,1
-4.5,0.51168,0.07178,0.23483,0.14057,1,1
-4.25,2.10724,0.11486,0.16047,0.11573,2,2
-4.0,4.51136,0.11486,0.1069,0.11573,7,2
-3.75,4.22657,0.19925,0.09754,0.09462,11,3
-3.5,5.00016,1.58197,0.09029,0.08614,18,4
-3.25,5.69305,3.18809,0.08935,0.06842,18,11
-3.0,6.31497,2.639,0.08031,0.06438,23,14
-2.75,6.64581,2.58396,0.07453,0.06133,39,16
-2.5,6.50325,2.39563,0.07281,0.05616,51,24
-2.25,5.63524,2.41607,0.06829,0.05341,70,29
-2.0,5.46607,2.45073,0.0628,0.0552,99,35
-1.75,5.24341,2.94009,0.06067,0.0507,116,48
-1.5,5.00638,2.91181,0.05671,0.04879,162,67
-1.25,4.36824,2.36043,0.05407,0.04712,210,104
-1.0,3.47915,2.07129,0.05271,0.04458,342,144
1.0,3.5341,2.28589,0.05312,0.05018,465,203
1.25,5.05231,2.66524,0.05751,0.05259,274,155
1.5,5.73147,2.99329,0.06037,0.05581,219,121
1.75,7.92159,3.29232,0.06655,0.05769,124,100
2.0,9.48068,3.43281,0.07132,0.06006,80,80
2.25,10.43204,4.00719,0.07374,0.06116,65,58
2.5,11.85625,4.3821,0.07843,0.06625,38,31
2.75,12.7394,4.05173,0.08404,0.06796,29,20
3.0,15.73655,4.91789,0.09553,0.07629,12,12
3.25,18.06707,4.11728,0.10934,0.08355,8,10
3.5,20.59907,1.07739,0.10873,0.09744,7,6
3.75,23.16799,1.0683,0.11302,0.09836,6,6
4.0,20.05908,1.08571,0.11679,0.10039,5,5
4.25,24.04526,1.08571,0.12391,0.10039,4,5
4.5,31.63266,1.15793,0.13197,0.10136,3,4
4.75,31.63266,1.15793,0.13197,0.10136,3,4
5.0,31.62728,0.40188,0.14305,0.1039,3,3
