,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,2.65719,0.04463,0.08786,0.10643,3,5
-4.75,6.26708,0.04781,0.08395,0.10064,4,6
-4.5,4.0111,0.05285,0.08572,0.09768,7,7
-4.25,3.65806,0.05285,0.08333,0.09768,8,7
-4.0,3.26609,0.12203,0.08053,0.09443,9,8
-3.75,2.91304,0.11077,0.07035,0.09221,12,9
-3.5,2.53387,0.12943,0.0714,0.09099,14,9
-3.25,5.67084,0.22735,0.06873,0.08602,16,10
-3.0,5.7073,0.98714,0.06665,0.07286,17,14
-2.75,3.90713,1.25827,0.05475,0.06713,42,17
-2.5,3.27274,1.25963,0.05065,0.06027,62,22
-2.25,3.42367,1.66322,0.04847,0.04998,78,37
-2.0,3.07811,1.56552,0.04488,0.04122,124,71
-1.75,2.40248,1.65968,0.03828,0.03505,257,107
-1.5,2.12615,1.65968,0.03531,0.03505,363,107
-1.25,1.84125,1.67226,0.03233,0.03122,512,158
-1.0,1.64196,1.52366,0.02947,0.02783,680,232
1.0,2.45268,1.6914,0.03046,0.02934,684,257
1.25,3.38748,1.6914,0.03672,0.02934,410,257
1.5,4.04352,1.8824,0.0403,0.03251,306,191
1.75,4.7369,2.15876,0.04405,0.03641,240,138
2.0,6.6111,2.31089,0.05207,0.03946,138,104
2.25,7.74662,2.7809,0.05631,0.0421,101,76
2.5,8.37693,3.44129,0.06103,0.04628,78,53
2.75,9.92905,3.71216,0.06486,0.04974,57,43
3.0,13.57462,3.66758,0.07601,0.05202,33,32
3.25,14.55457,3.70831,0.0815,0.05592,27,24
3.5,15.50812,3.24793,0.08754,0.05817,21,19
3.75,18.22235,3.24793,0.09588,0.05817,16,19
4.0,24.05798,3.36001,0.104,0.06359,12,14
4.25,27.87381,3.75335,0.11284,0.06862,9,10
4.5,4.18483,2.59544,0.12652,0.07134,7,9
4.75,4.06453,2.71427,0.13609,0.07677,6,7
5.0,4.86068,3.68937,0.1406,0.07442,5,5
