,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,0.0,1.70821,0.0,0.09242,0,2
-4.75,0.0,1.70821,0.0,0.09242,0,2
-4.5,0.0,1.70821,0.0,0.08967,0,2
-4.25,0.04375,1.70821,0.23735,0.08967,1,2
-4.0,0.04375,1.70821,0.24566,0.08967,1,2
-3.75,0.45717,1.03595,0.15957,0.08049,2,4
-3.5,1.43501,0.77523,0.11796,0.07622,4,6
-3.25,6.79041,1.90047,0.09721,0.07417,8,7
-3.0,10.20877,1.71294,0.07961,0.06964,9,9
-2.75,10.25949,1.61847,0.07526,0.06695,13,10
-2.5,13.61403,1.94539,0.06325,0.0562,22,15
-2.25,13.81928,2.81223,0.05926,0.05357,36,20
-2.0,12.16083,2.57699,0.05323,0.04938,51,31
-1.75,10.0624,2.6217,0.04611,0.04348,82,56
-1.5,7.53593,2.52448,0.04182,0.03808,132,83
-1.25,6.03097,2.10879,0.0394,0.03239,186,137
-1.0,4.43995,1.95128,0.0343,0.0287,281,198
1.0,4.51751,1.99559,0.03384,0.03064,415,222
1.25,6.04206,2.32992,0.03927,0.03366,270,171
1.5,7.0939,2.96416,0.0448,0.03754,199,119
1.75,8.17634,3.3684,0.05003,0.04166,143,82
2.0,9.17809,4.04923,0.05458,0.04773,96,57
2.25,10.94933,4.90608,0.06059,0.0534,63,40
2.5,13.31163,6.65169,0.06718,0.06049,36,26
2.75,17.22257,7.74742,0.07304,0.06392,21,22
3.0,17.74654,9.13412,0.08147,0.07049,13,17
3.25,22.5381,11.06676,0.09497,0.06865,7,14
3.5,23.77796,18.70681,0.11143,0.08399,6,7
3.75,23.76338,15.72502,0.11558,0.09,6,6
4.0,28.51265,5.54494,0.10842,0.10228,5,4
4.25,35.59523,0.13436,0.11281,0.14754,4,2
4.5,47.36405,0.01087,0.11767,0.18539,3,1
4.75,47.36405,0.01087,0.11767,0.18539,3,1
5.0,47.36405,0.01087,0.11767,0.18539,3,1
