,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,0.05156,0.0,0.17615,0.0,1,0
-4.75,0.05156,0.0,0.17615,0.0,1,0
-4.5,0.05156,0.0,0.17615,0.0,1,0
-4.25,0.2395,8.28203,0.12892,0.07635,2,1
-4.0,0.2395,8.28203,0.12892,0.07635,2,1
-3.75,9.57273,8.3917,0.09781,0.0667,6,1
-3.5,16.38902,8.02292,0.08775,0.05787,10,3
-3.25,12.01067,7.83228,0.08259,0.06263,19,5
-3.0,9.15767,6.26172,0.07275,0.05668,32,7
-2.75,8.29113,6.14569,0.06748,0.05444,43,9
-2.5,8.09333,6.15854,0.06495,0.05262,51,11
-2.25,8.17138,8.05577,0.06259,0.0474,62,16
-2.0,7.76349,8.21439,0.0603,0.04741,75,17
-1.75,8.90963,7.68866,0.0584,0.04519,87,24
-1.5,8.10554,6.46295,0.05554,0.04485,111,34
-1.25,6.99097,6.06994,0.0539,0.04406,147,49
-1.0,5.81921,5.77625,0.05089,0.04213,212,60
1.0,4.69343,7.1277,0.05353,0.04648,320,75
1.25,5.5963,8.29313,0.0573,0.04987,227,57
1.5,5.97823,8.8746,0.06084,0.05255,171,47
1.75,6.23671,9.55321,0.06478,0.05793,128,33
2.0,7.8283,10.12256,0.06845,0.0609,83,27
2.25,8.27267,11.08367,0.07332,0.06264,59,20
2.5,9.41877,11.41665,0.07552,0.07065,37,15
2.75,10.639,9.81844,0.08147,0.07267,24,15
3.0,6.95779,8.1349,0.09226,0.07617,13,12
3.25,5.09361,9.00328,0.09535,0.09121,10,9
3.5,2.41828,8.38079,0.0989,0.09656,7,9
3.75,2.41828,9.10546,0.0989,0.09785,7,7
4.0,2.75174,9.20319,0.10523,0.1008,5,6
4.25,2.93873,7.69397,0.11261,0.10552,4,5
4.5,3.57367,9.45677,0.10356,0.10803,3,4
4.75,0.26947,2.02298,0.11842,0.11488,1,3
5.0,0.26947,2.55136,0.11842,0.13014,1,2
