,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,3.02913,0.15777,0.10631,0.1197,2,2
-4.75,9.1916,0.15777,0.08886,0.1197,5,2
-4.5,7.66142,0.16039,0.08508,0.10868,6,2
-4.25,7.66142,0.16039,0.0837,0.10868,6,2
-4.0,7.67842,0.19223,0.08166,0.09627,6,2
-3.75,9.07417,0.14487,0.0737,0.08563,9,4
-3.5,12.10664,21.91357,0.06709,0.08443,13,4
-3.25,11.85619,21.91357,0.06212,0.08443,20,4
-3.0,10.96595,28.5064,0.05966,0.08223,22,4
-2.75,13.45812,28.61566,0.0539,0.08223,33,4
-2.5,12.562,19.16895,0.05157,0.06934,45,6
-2.25,10.9266,12.10335,0.04847,0.05518,57,11
-2.0,9.44376,9.37427,0.04441,0.04775,77,20
-1.75,8.21136,8.16343,0.04114,0.04249,99,28
-1.5,6.604,7.70476,0.03696,0.03844,144,38
-1.25,4.95573,6.64872,0.03121,0.03478,236,55
-1.0,4.07816,5.21825,0.02744,0.03041,335,81
1.0,3.0788,5.13469,0.02931,0.03131,438,80
1.25,3.65794,6.16301,0.03273,0.03807,323,59
1.5,4.53334,7.18442,0.03716,0.04368,221,43
1.75,5.41143,9.87308,0.04034,0.05233,161,27
2.0,5.88831,12.38302,0.04467,0.06159,120,19
2.25,6.77114,11.09737,0.05012,0.06687,81,17
2.5,7.41279,14.28375,0.0547,0.07604,56,12
2.75,7.90177,15.2556,0.06061,0.07197,42,10
3.0,10.09583,9.07554,0.06749,0.07379,29,10
3.25,12.05716,8.96685,0.07348,0.07678,22,9
3.5,11.23256,9.99761,0.07799,0.0812,17,8
3.75,10.63466,10.33049,0.08363,0.08317,13,7
4.0,4.83569,1.10455,0.09174,0.09725,10,5
4.25,3.4719,0.6883,0.09797,0.10703,8,4
4.5,3.24721,0.81372,0.10077,0.11937,7,3
4.75,3.7845,0.81372,0.10428,0.11937,6,3
5.0,3.78271,0.81372,0.10799,0.11937,6,3
