,avg_cv_time (in-sample),avg_cv_time (out-sample),avg_profit (in-sample),avg_porfit (out-sample),deal_cnt (in-sample),deal_cnt (out-sample)
-5.0,85.56835,0.0,0.11619,0.0,2,0
-4.75,85.56835,0.0,0.11619,0.0,2,0
-4.5,85.56835,0.0,0.11619,0.0,2,0
-4.25,85.5789,0.0,0.11619,0.0,2,0
-4.0,85.5789,0.0,0.11619,0.0,2,0
-3.75,85.5789,0.0,0.11757,0.0,2,0
-3.5,85.5789,89.34756,0.11757,0.04903,2,1
-3.25,57.37146,45.49225,0.09957,0.04836,3,2
-3.0,57.39962,23.70433,0.1039,0.04438,3,4
-2.75,42.75413,16.14939,0.07896,0.04809,7,6
-2.5,24.19023,11.18568,0.06739,0.04586,15,10
-2.25,18.6695,8.12679,0.06043,0.05034,22,16
-2.0,11.00132,5.97094,0.05352,0.04377,45,28
-1.75,8.54147,5.26328,0.04738,0.04157,89,35
-1.5,6.18523,3.85198,0.04209,0.03534,165,62
-1.25,5.01974,3.41408,0.03744,0.03196,256,88
-1.0,3.81067,2.96692,0.03226,0.02778,425,124
1.0,4.15437,3.1707,0.03541,0.02772,343,162
1.25,5.49478,3.8157,0.03815,0.03073,241,116
1.5,7.0312,4.36732,0.04369,0.03396,172,88
1.75,9.30964,4.13492,0.04901,0.03813,118,64
2.0,11.41102,4.06984,0.05383,0.04642,85,44
2.25,14.1075,3.60387,0.0583,0.05325,60,34
2.5,14.42543,4.16547,0.06188,0.05901,48,26
2.75,17.0923,4.59852,0.07011,0.0657,32,20
3.0,16.41803,3.03871,0.07525,0.06862,22,18
3.25,11.48825,2.51962,0.08146,0.07352,16,15
3.5,10.08657,1.89696,0.091,0.07115,11,12
3.75,13.46198,1.77353,0.10109,0.06932,7,11
4.0,13.65179,1.76911,0.1058,0.07285,6,9
4.25,17.36789,1.73673,0.1194,0.07496,4,9
4.5,8.25539,2.18726,0.13212,0.07668,3,7
4.75,11.62653,2.64428,0.14211,0.08154,2,5
5.0,0.57717,2.6323,0.18941,0.08209,1,5
