,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,2.45059,9.54621,3.27169,12.27289,6.24829,1.35618,8.22296,9.0722,4.94875,3.62941,0.95772
-4.75,2.47931,10.7343,3.65502,12.46315,6.59001,1.18991,7.32267,8.23781,4.94876,3.62941,0.95772
-4.5,3.28362,9.50139,3.65502,29.43749,6.40951,1.29881,6.83515,7.51919,4.94876,2.94754,0.95772
-4.25,2.59807,9.1182,3.56128,43.2775,5.76046,1.89995,5.64955,6.6961,6.24088,2.94754,0.85945
-4.0,2.60334,9.49383,4.5532,43.27751,5.39978,1.92262,6.41818,5.9914,5.28489,2.49391,2.3494
-3.75,3.22892,9.56803,5.67263,43.27754,4.81381,1.97279,5.62646,7.15147,6.51262,2.49391,1.95711
-3.5,2.6694,10.12772,5.84245,43.27756,4.13115,2.02744,4.70095,7.23468,5.8343,4.47545,4.52776
-3.25,2.52395,10.75954,4.5093,43.27758,3.92866,1.8801,4.45497,6.45204,6.83489,4.52939,4.13933
-3.0,2.58322,9.49211,5.39523,43.32986,3.91393,2.00504,4.55856,8.29612,5.66053,6.20969,4.97756
-2.75,2.98309,14.03216,5.02716,43.32996,3.39374,1.93959,4.38919,7.27209,5.5002,9.09746,4.43913
-2.5,3.40459,11.48065,4.5734,43.32998,3.17621,1.9335,4.92507,5.72021,4.79651,9.92039,5.49632
-2.25,3.35229,10.27689,4.39191,43.52144,2.8564,2.05985,4.87859,5.46498,5.88821,8.63283,5.55684
-2.0,3.25703,8.18383,4.21476,43.52144,2.93949,2.21033,4.13975,5.64425,5.9391,9.31926,5.89268
-1.75,3.12299,13.74349,3.88977,43.79988,2.62823,2.1313,3.62872,5.43687,5.42587,9.61841,5.17076
-1.5,3.16248,11.04114,3.62913,43.86679,2.60796,2.0001,3.23406,4.75224,5.50676,9.27031,4.73694
-1.25,2.9383,8.44596,3.31283,43.8668,2.1564,1.84301,3.09618,3.9987,5.01607,8.27346,3.75859
-1.0,2.64904,6.79956,2.87198,43.93137,2.07303,1.6693,2.48513,3.60857,4.37626,7.39802,3.31228
1.0,3.08878,4.89992,2.85103,14.75296,2.75412,1.99038,3.06269,2.47882,4.17666,9.3374,2.56958
1.25,3.74519,4.67377,3.80728,24.45725,3.35592,2.34293,4.05868,2.80545,4.87118,9.87108,2.96849
1.5,4.43399,4.6863,4.42908,24.31437,3.55283,2.34383,4.63283,2.81995,5.17483,10.40518,3.34621
1.75,5.06183,4.68468,5.08808,23.96145,3.95782,2.78985,4.73573,2.60121,6.07854,13.06647,3.91199
2.0,5.45533,5.05473,6.86401,23.29686,4.1314,2.81171,4.81683,2.48257,6.18834,13.97228,4.29993
2.25,6.43811,4.95512,7.76709,22.89127,3.96762,3.11424,4.91871,2.03578,6.15357,16.6971,4.72502
2.5,5.39344,5.35149,8.85879,22.85928,4.54753,3.24519,4.76267,1.98895,5.66467,14.89687,5.45648
2.75,6.06725,5.39634,10.23489,22.62394,5.00247,3.06808,4.24465,1.82918,6.68663,15.79529,5.88757
3.0,5.8725,5.67122,9.4573,21.81836,5.0354,3.43795,3.79031,2.2542,5.49814,17.46462,6.25162
3.25,5.88733,6.11635,11.26465,21.78464,5.79746,3.92612,3.64926,1.91191,4.96474,17.2749,4.85927
3.5,4.06114,6.53073,11.5453,21.57884,5.70945,4.04726,3.24511,1.80684,6.29913,19.55074,5.3506
3.75,2.48656,9.04925,14.39028,21.40246,5.75474,3.93979,2.3624,1.81749,7.54406,19.8474,4.09418
4.0,3.38619,8.50037,6.43446,21.28645,6.48403,4.59578,2.54447,1.90238,7.54406,20.57949,3.37232
4.25,3.6497,8.35633,1.94386,21.19906,6.33827,4.53229,2.48709,2.15573,2.11728,22.68325,3.58631
4.5,3.6497,8.19532,1.94386,20.96434,6.52362,4.36358,2.79347,2.14414,2.707,22.68325,3.704
4.75,4.31822,9.06509,0.62193,20.5136,5.22896,4.63906,1.9338,2.14414,1.67377,20.62734,4.00699
5.0,1.10669,9.27867,0.62193,20.325,6.86242,5.12741,1.9247,2.37398,1.67377,24.61084,2.50195
