,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.6853,0.02654,1.02684,1.82102,1.62238,0.0,1.63675,0.0,0.0,0.0,26.36282
-4.75,0.6853,0.02654,1.02684,1.39442,1.8524,4.58854,1.63675,0.0,0.0,0.0,31.34342
-4.5,0.54517,2.33022,3.15808,1.39806,1.31205,2.94722,1.63675,0.0,0.0,0.0,31.34342
-4.25,1.65465,2.33022,1.80411,1.47841,1.23552,2.94728,1.63675,0.0,0.0,0.0,31.34342
-4.0,4.38533,2.28605,1.60299,1.32106,1.23552,4.57846,1.75928,5.25904,0.90008,0.0,31.34342
-3.75,4.38533,1.89255,1.68877,1.13214,1.26386,6.2396,1.75928,12.02245,0.91985,1.81828,31.34342
-3.5,4.3712,1.70836,3.28542,1.09202,1.26386,6.27277,1.75928,12.64563,1.37628,4.7887,29.7739
-3.25,4.35127,1.49398,3.69875,1.15059,2.03644,6.4989,2.00633,11.19134,1.43873,4.86582,22.55247
-3.0,4.45711,1.55551,3.54547,1.60324,1.60656,5.04359,1.69777,12.62994,2.58741,5.16335,22.55247
-2.75,4.30711,1.60933,5.19639,1.52348,1.31383,5.14781,1.77384,13.65629,3.08823,4.26201,18.27451
-2.5,4.52446,1.45168,4.75492,1.9756,1.47199,3.95207,1.41231,12.84883,3.23523,4.11452,16.21954
-2.25,4.93086,1.69548,4.30861,1.83169,1.65345,2.79465,1.64261,14.08017,2.94932,4.50917,14.98212
-2.0,5.08183,1.68163,4.23727,1.96099,1.66187,3.01626,2.12583,11.8341,2.45271,5.3853,13.59356
-1.75,4.81584,1.96175,3.97106,2.51318,1.56351,2.64274,2.44507,12.66061,2.2558,5.03027,13.27462
-1.5,4.9449,1.85959,4.11689,2.37663,1.3789,3.55134,2.79073,12.76349,2.47301,5.11525,10.63015
-1.25,4.32287,1.86062,3.25155,1.91373,1.25823,3.83706,2.87662,10.90243,2.20597,4.49031,8.45518
-1.0,3.9583,1.71656,2.83024,1.83762,1.18657,3.49691,2.62233,7.6424,2.10655,3.91303,6.37076
1.0,5.19563,2.21488,2.22747,1.60853,1.71275,2.52017,2.18122,7.03558,2.23,4.81841,3.6634
1.25,6.36556,2.94619,2.61005,1.51398,1.8439,2.51916,2.57517,8.61831,2.54374,5.28076,3.80699
1.5,9.19693,2.8394,2.86345,1.39828,2.14965,2.55839,2.53141,9.17415,2.53646,5.61905,3.7698
1.75,8.72192,2.81236,2.81552,1.48032,2.43858,2.80822,2.44562,9.79259,2.45538,5.84643,5.27002
2.0,9.55886,2.7769,3.33974,1.59535,2.73824,3.70982,2.3443,11.49952,2.8701,6.11514,6.21879
2.25,9.92786,2.65332,3.74545,1.69148,2.55693,4.75471,2.62517,15.05716,2.98301,6.36366,5.3908
2.5,12.77055,3.32142,3.27112,1.52683,2.69122,5.0592,2.08586,25.2423,2.84803,3.7086,5.22409
2.75,11.06578,2.04125,2.4744,1.3406,2.70702,4.78732,1.7314,24.49882,2.55813,3.8977,5.14373
3.0,3.72559,1.78607,2.94851,1.33649,2.85941,5.43444,1.49104,46.66394,2.24672,4.24113,5.17441
3.25,0.27948,2.2249,2.57455,1.1637,2.12649,5.78767,1.49193,46.66394,2.40942,3.11895,5.44146
3.5,0.30529,2.10699,2.53258,1.16853,2.54566,5.76167,1.21135,46.66394,2.80928,3.54372,3.48095
3.75,0.30529,2.09649,3.41356,1.21613,2.72269,5.68041,1.21135,92.90792,3.12559,2.38246,3.78304
4.0,0.30529,1.82328,3.28376,1.23043,2.6987,7.4384,1.02291,92.90792,2.78141,2.11485,1.60777
4.25,0.24962,1.63749,3.28376,1.14977,2.98558,6.45739,1.00973,85.89124,2.80194,2.11485,1.92631
4.5,0.32062,0.73202,3.51905,1.17044,3.11462,6.40259,1.11091,85.89124,2.80194,2.11485,2.20447
4.75,0.32062,0.831,3.51905,1.08955,3.11462,6.22669,0.78159,85.89124,0.49236,2.11485,2.91715
5.0,0.32062,1.66196,0.0,1.17046,4.20756,6.08024,0.67568,85.89124,0.49236,2.46525,2.91715
