,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.11144,0.18804,0.10821,1.11022,0.1807,0.13313,0.09914,0.10609,0.10336,0.0879,0.1339
-4.75,0.10581,0.17543,0.10817,1.09114,0.18139,0.12694,0.0978,0.1032,0.10195,0.0879,0.1339
-4.5,0.10568,0.1656,0.10748,1.04737,0.17229,0.12444,0.0979,0.10061,0.10054,0.08504,0.1339
-4.25,0.09905,0.1553,0.09793,1.02761,0.16802,0.1166,0.09454,0.10031,0.08867,0.08362,0.08769
-4.0,0.09836,0.15343,0.09121,0.96607,0.15533,0.10999,0.09103,0.09607,0.07754,0.07836,0.08464
-3.75,0.08681,0.15156,0.08394,0.90365,0.15011,0.10978,0.08836,0.09078,0.0704,0.07741,0.08057
-3.5,0.0735,0.15156,0.07949,0.86148,0.1413,0.10577,0.08475,0.08337,0.06765,0.07149,0.07442
-3.25,0.07005,0.14433,0.07247,0.74544,0.14058,0.09718,0.07664,0.07785,0.06503,0.06961,0.0654
-3.0,0.06819,0.11527,0.06546,0.71488,0.12259,0.08698,0.07003,0.07493,0.06126,0.06705,0.06209
-2.75,0.0618,0.11365,0.06416,0.70429,0.11685,0.08174,0.06719,0.07063,0.05876,0.0627,0.05754
-2.5,0.05671,0.10266,0.06047,0.66059,0.11054,0.07107,0.0643,0.06472,0.05613,0.05948,0.05389
-2.25,0.05489,0.10213,0.05682,0.55057,0.10234,0.06639,0.06069,0.06149,0.05274,0.05617,0.05153
-2.0,0.05382,0.09229,0.05458,0.55057,0.09349,0.05981,0.0556,0.05415,0.04867,0.05135,0.04785
-1.75,0.05193,0.08806,0.05317,0.43504,0.08201,0.05395,0.05128,0.05234,0.04594,0.04801,0.04572
-1.5,0.04964,0.07482,0.051,0.40035,0.07499,0.05072,0.04762,0.04867,0.04365,0.04605,0.04172
-1.25,0.04753,0.06888,0.04954,0.38837,0.06482,0.04652,0.04483,0.04441,0.04141,0.04093,0.03939
-1.0,0.04616,0.05876,0.04653,0.29409,0.05801,0.04276,0.03876,0.04221,0.03906,0.03855,0.03692
1.0,0.04708,0.06271,0.04729,0.30551,0.06507,0.04375,0.03835,0.04145,0.03836,0.04264,0.03801
1.25,0.05235,0.07106,0.05337,0.41018,0.07546,0.04977,0.04368,0.04856,0.04397,0.04495,0.04076
1.5,0.05469,0.0808,0.0556,0.41974,0.08447,0.05281,0.04674,0.05178,0.04657,0.04781,0.04402
1.75,0.05817,0.09074,0.05766,0.45416,0.0956,0.05837,0.04992,0.05905,0.05049,0.05566,0.04796
2.0,0.06055,0.09496,0.06241,0.57902,0.10475,0.06073,0.05288,0.06261,0.05281,0.05975,0.0514
2.25,0.07166,0.10628,0.06666,0.61306,0.11283,0.069,0.05938,0.06701,0.05528,0.06312,0.05439
2.5,0.07513,0.11169,0.07184,0.6321,0.11919,0.07295,0.06356,0.07447,0.058,0.06674,0.05742
2.75,0.07964,0.11329,0.07394,0.71962,0.12545,0.07989,0.06757,0.07767,0.06397,0.06838,0.06045
3.0,0.08334,0.11854,0.0755,0.76442,0.13574,0.08237,0.07059,0.08547,0.06962,0.07211,0.0626
3.25,0.08692,0.12393,0.08314,0.77256,0.14293,0.08904,0.07626,0.08941,0.07257,0.07879,0.0654
3.5,0.09144,0.13263,0.08386,0.83025,0.15338,0.09361,0.07801,0.09504,0.07919,0.08173,0.0711
3.75,0.09372,0.13939,0.08681,0.88944,0.16043,0.10151,0.07986,0.10055,0.08309,0.08429,0.07383
4.0,0.09866,0.14368,0.09711,0.94287,0.16778,0.10652,0.08373,0.10551,0.08365,0.08931,0.07625
4.25,0.10322,0.15154,0.1082,0.99055,0.17195,0.10896,0.08761,0.11146,0.08613,0.09774,0.08473
4.5,0.10481,0.15939,0.10912,1.07903,0.18,0.11078,0.08964,0.1129,0.08666,0.09896,0.09003
4.75,0.10625,0.16193,0.1247,1.1104,0.18725,0.11586,0.09186,0.1129,0.10899,0.09989,0.09308
5.0,0.11827,0.17096,0.1247,1.17139,0.20347,0.12157,0.09951,0.11845,0.10899,0.10395,0.09508
