,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615
-4.75,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615,0.13615
-4.5,0.12005,0.12005,0.12005,0.12005,0.12005,0.12005,0.12005,0.12005,0.12005,0.12005,0.12005
-4.25,0.10926,0.10926,0.10926,0.10926,0.10926,0.10926,0.10926,0.10926,0.10926,0.10926,0.10926
-4.0,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564
-3.75,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564,0.09564
-3.5,0.08171,0.08171,0.08171,0.08171,0.08171,0.08171,0.08171,0.08171,0.08171,0.08171,0.08171
-3.25,0.07694,0.07694,0.07694,0.07694,0.07694,0.07694,0.07694,0.07694,0.07694,0.07694,0.07694
-3.0,0.07391,0.07391,0.07391,0.07391,0.07391,0.07391,0.07391,0.07391,0.07391,0.07391,0.07391
-2.75,0.06197,0.06197,0.06197,0.06197,0.06197,0.06197,0.06197,0.06197,0.06197,0.06197,0.06197
-2.5,0.05984,0.05984,0.05984,0.05984,0.05984,0.05984,0.05984,0.05984,0.05984,0.05984,0.05984
-2.25,0.05848,0.05848,0.05848,0.05848,0.05848,0.05848,0.05848,0.05848,0.05848,0.05848,0.05848
-2.0,0.06076,0.06076,0.06076,0.06076,0.06076,0.06076,0.06076,0.06076,0.06076,0.06076,0.06076
-1.75,0.05884,0.05884,0.05884,0.05884,0.05884,0.05884,0.05884,0.05884,0.05884,0.05884,0.05884
-1.5,0.05502,0.05502,0.05502,0.05502,0.05502,0.05502,0.05502,0.05502,0.05502,0.05502,0.05502
-1.25,0.05059,0.05059,0.05059,0.05059,0.05059,0.05059,0.05059,0.05059,0.05059,0.05059,0.05059
-1.0,0.04795,0.04795,0.04795,0.04795,0.04795,0.04795,0.04795,0.04795,0.04795,0.04795,0.04795
1.0,0.05067,0.05067,0.05067,0.05067,0.05067,0.05067,0.05067,0.05067,0.05067,0.05067,0.05067
1.25,0.05595,0.05595,0.05595,0.05595,0.05595,0.05595,0.05595,0.05595,0.05595,0.05595,0.05595
1.5,0.06503,0.06503,0.06503,0.06503,0.06503,0.06503,0.06503,0.06503,0.06503,0.06503,0.06503
1.75,0.07272,0.07272,0.07272,0.07272,0.07272,0.07272,0.07272,0.07272,0.07272,0.07272,0.07272
2.0,0.07487,0.07487,0.07487,0.07487,0.07487,0.07487,0.07487,0.07487,0.07487,0.07487,0.07487
2.25,0.07805,0.07805,0.07805,0.07805,0.07805,0.07805,0.07805,0.07805,0.07805,0.07805,0.07805
2.5,0.08683,0.08683,0.08683,0.08683,0.08683,0.08683,0.08683,0.08683,0.08683,0.08683,0.08683
2.75,0.09034,0.09034,0.09034,0.09034,0.09034,0.09034,0.09034,0.09034,0.09034,0.09034,0.09034
3.0,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999,0.09999
3.25,0.10691,0.10691,0.10691,0.10691,0.10691,0.10691,0.10691,0.10691,0.10691,0.10691,0.10691
3.5,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677
3.75,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677
4.0,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677,0.10677
4.25,0.10815,0.10815,0.10815,0.10815,0.10815,0.10815,0.10815,0.10815,0.10815,0.10815,0.10815
4.5,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205
4.75,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205
5.0,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205,0.11205
