,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,4,4,4,4,4,4,4,4,4,4,4
-4.75,5,5,5,5,5,5,5,5,5,5,5
-4.5,6,6,6,6,6,6,6,6,6,6,6
-4.25,8,8,8,8,8,8,8,8,8,8,8
-4.0,8,8,8,8,8,8,8,8,8,8,8
-3.75,12,12,12,12,12,12,12,12,12,12,12
-3.5,21,21,21,21,21,21,21,21,21,21,21
-3.25,29,29,29,29,29,29,29,29,29,29,29
-3.0,33,33,33,33,33,33,33,33,33,33,33
-2.75,43,43,43,43,43,43,43,43,43,43,43
-2.5,77,77,77,77,77,77,77,77,77,77,77
-2.25,95,95,95,95,95,95,95,95,95,95,95
-2.0,123,123,123,123,123,123,123,123,123,123,123
-1.75,157,157,157,157,157,157,157,157,156,156,156
-1.5,208,208,208,208,208,208,208,208,207,207,207
-1.25,277,277,277,277,277,277,277,277,276,276,276
-1.0,356,356,356,356,356,356,356,356,355,355,355
1.0,487,487,487,487,487,487,487,487,487,487,486
1.25,281,281,281,281,281,281,281,281,281,281,281
1.5,206,206,206,206,206,206,206,206,206,206,206
1.75,151,151,151,151,151,151,151,151,151,151,151
2.0,112,112,112,112,112,112,112,112,112,112,112
2.25,61,61,61,61,61,61,61,61,61,61,61
2.5,50,50,50,50,50,50,50,50,50,50,50
2.75,37,37,37,37,37,37,37,37,37,37,37
3.0,31,31,31,31,31,31,31,31,31,31,31
3.25,22,22,22,22,22,22,22,22,22,22,22
3.5,16,16,16,16,16,16,16,16,16,16,16
3.75,12,12,12,12,12,12,12,12,12,12,12
4.0,8,8,8,8,8,8,8,8,8,8,8
4.25,7,7,7,7,7,7,7,7,7,7,7
4.5,7,7,7,7,7,7,7,7,7,7,7
4.75,5,5,5,5,5,5,5,5,5,5,5
5.0,4,4,4,4,4,4,4,4,4,4,4
