,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,3,1,1,2,1,0,2,0,0,0,2
-4.75,3,1,1,3,3,1,2,0,0,0,2
-4.5,4,3,2,3,6,2,2,0,0,0,2
-4.25,5,3,4,3,8,2,2,0,0,0,2
-4.0,6,4,5,4,8,3,3,1,3,0,2
-3.75,6,7,5,5,8,3,3,3,4,1,2
-3.5,8,8,10,8,8,3,3,6,5,4,3
-3.25,10,13,10,8,12,3,3,7,5,4,4
-3.0,10,17,11,11,18,4,4,8,6,6,4
-2.75,15,17,19,12,25,5,4,8,13,12,5
-2.5,20,26,23,17,34,8,8,10,15,17,11
-2.25,24,32,32,24,58,12,14,10,23,22,13
-2.0,28,36,36,35,83,15,23,15,33,24,15
-1.75,35,57,45,45,105,20,38,21,43,39,19
-1.5,46,70,55,64,132,23,53,23,60,51,33
-1.25,74,81,86,93,174,31,69,31,84,70,47
-1.0,97,127,112,109,226,48,91,58,112,95,67
1.0,68,158,156,158,202,48,124,60,113,76,96
1.25,50,92,109,110,159,37,80,41,86,65,76
1.5,27,75,83,96,113,30,67,31,66,48,64
1.75,21,59,67,79,83,21,58,23,48,39,34
2.0,19,30,36,60,56,13,47,15,37,28,27
2.25,16,22,29,49,44,8,38,9,32,23,24
2.5,10,16,27,44,33,7,26,5,23,17,23
2.75,9,11,23,34,26,6,22,4,19,14,18
3.0,7,10,15,25,19,5,20,2,18,11,15
3.25,5,7,11,23,14,4,19,2,12,8,14
3.5,4,6,8,21,11,4,13,2,9,7,10
3.75,4,6,3,20,8,4,13,1,8,4,9
4.0,4,4,2,14,8,2,11,1,5,3,6
4.25,4,4,2,12,7,2,10,1,4,3,5
4.5,3,3,1,10,6,2,9,1,4,3,4
4.75,3,2,1,10,6,2,8,1,3,3,3
5.0,3,1,0,9,4,2,7,1,3,2,3
