,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,74.48284,1.44136,0.26518,6.68155,1.24807,0.23488,0.32428,5.85047,3.85534,0.0,0.00028
-4.75,74.48284,1.74227,0.26518,13.72004,1.20256,2.00599,3.63357,4.47187,3.85534,0.0,0.00028
-4.5,74.48284,23.10721,0.26518,14.46238,1.28611,2.00605,3.64087,4.11683,3.85535,0.0,0.00028
-4.25,74.48284,23.14732,0.47553,15.69165,2.50063,2.00605,4.509,4.13102,3.85535,0.0,0.00028
-4.0,37.59612,66.81698,1.76153,15.75312,2.37419,2.04229,4.39929,3.82232,15.47703,0.0,0.1241
-3.75,22.86902,45.05221,1.55876,15.89924,2.7832,3.58113,4.14715,3.54329,10.31805,0.0,0.09925
-3.5,17.8568,31.06907,2.22774,15.93882,2.75693,3.58113,4.02719,5.24498,8.3313,0.0,0.3621
-3.25,13.38909,34.00946,2.63112,19.80321,2.9568,5.09435,6.1121,4.66404,8.01,1.67598,1.29093
-3.0,12.81006,30.69859,2.62018,24.47468,2.46399,5.09435,5.87263,4.45709,6.60716,16.12073,2.34569
-2.75,9.64407,25.63742,2.85295,29.06911,3.34417,4.46653,6.49876,4.45547,6.53754,31.4403,2.44177
-2.5,7.38928,20.69359,2.78762,29.34459,3.31113,6.62587,5.79056,4.37875,8.15613,33.97988,2.83938
-2.25,6.76461,19.46598,2.68515,29.77928,2.9291,7.94589,5.5231,3.72699,12.52675,20.77783,3.24783
-2.0,6.67045,14.60609,2.61602,31.84982,3.10623,7.45688,4.30237,3.38997,11.57996,22.22686,3.6434
-1.75,5.46496,10.91974,2.37755,35.32048,3.04319,6.41259,3.37404,2.80222,10.24705,17.95868,3.16162
-1.5,5.12278,9.57499,2.26132,35.64653,2.59177,6.76964,2.77899,2.49667,8.76849,14.93455,2.93981
-1.25,4.16753,7.97742,1.88269,35.71495,2.32746,5.49447,2.24936,2.21244,7.5096,13.27547,2.64716
-1.0,3.6567,5.97954,1.68796,35.71495,1.94609,4.39629,1.89296,1.80531,5.40332,9.26825,2.1982
1.0,2.61172,3.61504,1.5052,11.98032,1.55599,2.7286,1.90622,1.54955,8.03066,8.02908,2.70682
1.25,3.56529,4.58317,1.78695,11.91905,1.99886,3.58731,2.19654,1.91426,9.23942,13.57388,3.32122
1.5,4.51237,5.61662,1.99573,11.4663,2.12713,4.57667,2.56071,2.18743,12.01726,18.89003,5.3973
1.75,5.27012,6.42126,2.661,14.68544,2.49628,5.9243,2.81597,2.40906,13.34445,21.22436,6.44245
2.0,6.78643,8.12666,2.83429,14.40176,2.59935,7.97523,2.93631,2.63785,19.51502,23.14698,7.50607
2.25,7.97598,7.8062,2.83731,13.51636,2.64741,9.24265,3.22583,3.05081,21.85219,25.77245,8.58317
2.5,9.49108,8.8443,2.96389,13.10204,2.78539,11.1642,3.42668,3.28118,25.37377,22.4098,9.73341
2.75,12.09533,4.10753,3.63226,15.81033,3.1122,8.92241,2.81617,3.19439,26.77879,23.27837,9.87613
3.0,14.05859,3.9972,2.45541,21.46106,1.96425,8.69163,3.00748,3.11536,25.18426,26.28177,10.10657
3.25,8.08365,4.06438,2.5516,20.86335,1.99341,6.3931,3.08332,2.37802,25.18866,26.74719,12.08738
3.5,2.69108,3.5246,3.32096,20.45777,2.39694,7.97473,2.06708,2.03332,2.60335,13.74334,10.31169
3.75,2.93721,3.66368,1.78039,20.42574,1.76407,8.88319,1.62852,2.06777,2.60335,10.91199,11.06987
4.0,1.15687,3.66894,1.73056,20.36693,1.77246,5.28068,1.96618,2.03835,2.60335,7.29523,12.1564
4.25,1.15687,4.32467,1.73056,20.05171,1.51588,5.80497,2.09192,1.36908,1.91511,0.36612,11.98751
4.5,1.15687,4.31434,1.69103,20.00247,1.67451,4.71402,0.95595,1.44481,1.82633,0.2421,11.97022
4.75,1.84734,4.8791,1.66619,19.91146,0.56654,4.60287,1.15755,0.83357,0.85403,0.2421,0.43741
5.0,1.84734,4.79546,1.59134,19.87827,0.47165,6.22421,1.15755,0.84603,0.0,0.2421,0.53706
