,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.15157,0.15157,0.15157,0.15157,0.15157,0.15157,0.15157,0.15157,0.15157,0.15157,0.15157
-4.75,5.38153,5.38153,5.38153,5.38153,5.38153,5.38153,5.38153,5.38153,5.38153,5.38153,5.38153
-4.5,4.28039,4.28039,4.28039,4.28039,4.28039,4.28039,4.28039,4.28039,4.28039,4.28039,4.28039
-4.25,5.05396,5.05396,5.05396,5.05396,5.05396,5.05396,5.05396,5.05396,5.05396,5.05396,5.05396
-4.0,4.77442,4.77442,4.77442,4.77442,4.77442,4.77442,4.77442,4.77442,4.77442,4.77442,4.77442
-3.75,4.56378,4.56378,4.56378,4.56378,4.56378,4.56378,4.56378,4.56378,4.56378,4.56378,4.56378
-3.5,3.8995,3.8995,3.8995,3.8995,3.8995,3.8995,3.8995,3.8995,3.8995,3.8995,3.8995
-3.25,3.922,3.922,3.922,3.922,3.922,3.922,3.922,3.922,3.922,3.922,3.922
-3.0,3.64918,3.64918,3.64918,3.64918,3.64918,3.64918,3.64918,3.64918,3.64918,3.64918,3.64918
-2.75,3.49044,3.49044,3.49044,3.49044,3.49044,3.49044,3.49044,3.49044,3.49044,3.49044,3.49044
-2.5,3.61485,3.61485,3.61485,3.61485,3.61485,3.61485,3.61485,3.61485,3.61485,3.61485,3.61485
-2.25,3.0758,3.0758,3.0758,3.0758,3.0758,3.0758,3.0758,3.0758,3.0758,3.0758,3.0758
-2.0,3.38643,3.38643,3.38643,3.38643,3.38643,3.38643,3.38643,3.38643,3.38643,3.38643,3.38643
-1.75,3.14278,3.14278,3.14278,3.14278,3.14278,3.14278,3.14278,3.14278,3.14278,3.14278,3.14278
-1.5,2.73165,2.73165,2.73165,2.73165,2.73165,2.73165,2.73165,2.73165,2.73165,2.73165,2.73165
-1.25,2.2037,2.2037,2.2037,2.2037,2.2037,2.2037,2.2037,2.2037,2.2037,2.2037,2.2037
-1.0,1.85972,1.85972,1.85972,1.85972,1.85972,1.85972,1.85972,1.85972,1.85972,1.85972,1.85972
1.0,1.95196,1.95196,1.95196,1.95196,1.95196,1.95196,1.95196,1.95196,1.95196,1.95196,1.95196
1.25,2.20316,2.20316,2.20316,2.20316,2.20316,2.20316,2.20316,2.20316,2.20316,2.20316,2.20316
1.5,2.30748,2.30748,2.30748,2.30748,2.30748,2.30748,2.30748,2.30748,2.30748,2.30748,2.30748
1.75,2.57223,2.57223,2.57223,2.57223,2.57223,2.57223,2.57223,2.57223,2.57223,2.57223,2.57223
2.0,2.60268,2.60268,2.60268,2.60268,2.60268,2.60268,2.60268,2.60268,2.60268,2.60268,2.60268
2.25,2.49827,2.49827,2.49827,2.49827,2.49827,2.49827,2.49827,2.49827,2.49827,2.49827,2.49827
2.5,2.32053,2.32053,2.32053,2.32053,2.32053,2.32053,2.32053,2.32053,2.32053,2.32053,2.32053
2.75,2.19269,2.19269,2.19269,2.19269,2.19269,2.19269,2.19269,2.19269,2.19269,2.19269,2.19269
3.0,1.78464,1.78464,1.78464,1.78464,1.78464,1.78464,1.78464,1.78464,1.78464,1.78464,1.78464
3.25,2.02049,2.02049,2.02049,2.02049,2.02049,2.02049,2.02049,2.02049,2.02049,2.02049,2.02049
3.5,2.45989,2.45989,2.45989,2.45989,2.45989,2.45989,2.45989,2.45989,2.45989,2.45989,2.45989
3.75,2.53761,2.53761,2.53761,2.53761,2.53761,2.53761,2.53761,2.53761,2.53761,2.53761,2.53761
4.0,1.32374,1.32374,1.32374,1.32374,1.32374,1.32374,1.32374,1.32374,1.32374,1.32374,1.32374
4.25,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679
4.5,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679,1.41679
4.75,2.69269,2.69269,2.69269,2.69269,2.69269,2.69269,2.69269,2.69269,2.69269,2.69269,2.69269
5.0,2.66272,2.66272,2.66272,2.66272,2.66272,2.66272,2.66272,2.66272,2.66272,2.66272,2.66272
