,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.15205,0.15447,0.10832,1.0604,0.15143,0.17329,0.10509,0.11923,0.14121,0.0,0.10562
-4.75,0.15205,0.14322,0.10832,0.90612,0.15119,0.16045,0.09535,0.11217,0.13839,0.0,0.10562
-4.5,0.15205,0.13124,0.10832,0.89368,0.13752,0.15976,0.09535,0.10744,0.13839,0.0,0.10562
-4.25,0.15205,0.13124,0.1075,0.79777,0.12723,0.15837,0.08771,0.09532,0.13839,0.0,0.10562
-4.0,0.13696,0.11474,0.08377,0.7727,0.12774,0.15414,0.08595,0.08977,0.11717,0.0,0.09132
-3.75,0.11712,0.12227,0.0766,0.74557,0.11938,0.15206,0.07883,0.08744,0.11788,0.0,0.07848
-3.5,0.10582,0.11729,0.07179,0.67498,0.11253,0.15206,0.0774,0.08271,0.10888,0.0,0.07323
-3.25,0.09709,0.11106,0.06627,0.67544,0.10131,0.13659,0.07572,0.07998,0.09086,0.08382,0.06767
-3.0,0.09332,0.10234,0.06172,0.6418,0.09507,0.13659,0.07345,0.07765,0.08503,0.07594,0.06178
-2.75,0.08069,0.09124,0.0605,0.61718,0.0862,0.10803,0.06679,0.06969,0.07451,0.07329,0.058
-2.5,0.07143,0.08565,0.05868,0.56788,0.08027,0.08943,0.06406,0.06447,0.07266,0.06985,0.05601
-2.25,0.06852,0.08265,0.05609,0.50206,0.07602,0.07475,0.06096,0.05938,0.06506,0.06276,0.05465
-2.0,0.06406,0.07646,0.05497,0.45401,0.06816,0.0685,0.05637,0.05556,0.06047,0.06038,0.05213
-1.75,0.05996,0.06832,0.05387,0.42079,0.06623,0.06375,0.05104,0.05223,0.05627,0.05791,0.04815
-1.5,0.05896,0.06411,0.05288,0.37628,0.06032,0.06166,0.04861,0.05011,0.05213,0.05152,0.04589
-1.25,0.05407,0.05893,0.04909,0.32513,0.05742,0.05603,0.04583,0.04795,0.04992,0.04961,0.04351
-1.0,0.05194,0.05367,0.04737,0.32243,0.05267,0.05065,0.04299,0.04376,0.04511,0.04478,0.04139
1.0,0.05342,0.05553,0.04881,0.26669,0.05518,0.0498,0.04508,0.04513,0.04793,0.04409,0.04291
1.25,0.05852,0.06092,0.05193,0.3014,0.06059,0.05495,0.04903,0.05082,0.05013,0.04997,0.04558
1.5,0.06418,0.06741,0.05491,0.32367,0.06349,0.06092,0.05421,0.05431,0.05582,0.05679,0.05137
1.75,0.06676,0.07417,0.05989,0.36946,0.06939,0.06762,0.05738,0.05738,0.05899,0.05878,0.05399
2.0,0.07415,0.0826,0.06183,0.39196,0.07151,0.07409,0.06041,0.06177,0.06492,0.06393,0.05713
2.25,0.07764,0.09005,0.06467,0.43972,0.0768,0.07795,0.06367,0.06532,0.07039,0.0698,0.06096
2.5,0.08078,0.09948,0.06908,0.46648,0.08139,0.0821,0.06815,0.06876,0.0755,0.0721,0.06274
2.75,0.09036,0.10817,0.073,0.54669,0.08853,0.08913,0.07266,0.07416,0.07656,0.07922,0.06801
3.0,0.09348,0.11395,0.07681,0.57271,0.09208,0.09429,0.07584,0.07949,0.07687,0.09789,0.07184
3.25,0.10301,0.11534,0.07985,0.59451,0.09778,0.10204,0.07981,0.08284,0.07918,0.10448,0.07557
3.5,0.11456,0.12009,0.08483,0.62854,0.10341,0.10903,0.08762,0.08631,0.09593,0.1108,0.07884
3.75,0.11871,0.12525,0.09893,0.72166,0.10757,0.11499,0.09112,0.09507,0.09593,0.12222,0.09453
4.0,0.15493,0.12706,0.11002,0.72981,0.11571,0.11571,0.09542,0.0982,0.09593,0.13217,0.11649
4.25,0.15493,0.14286,0.11002,0.75192,0.1182,0.1177,0.09991,0.10549,0.09877,0.16897,0.11706
4.5,0.15493,0.14398,0.11187,0.77544,0.12449,0.11858,0.11198,0.11221,0.10442,0.22393,0.11763
4.75,0.21529,0.20583,0.1128,0.824,0.12813,0.12183,0.10954,0.11241,0.11007,0.22393,0.12421
5.0,0.21529,0.20723,0.12575,0.8934,0.12437,0.12496,0.10954,0.11624,0.0,0.22393,0.13268
