,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.11181,0.10007,0.09217,0.13732,0.08025,0.13345,0.17057,0.15086,0.0,0.0,0.09702
-4.75,0.09566,0.10007,0.07825,0.13732,0.08296,0.12969,0.17057,0.15086,0.0,0.0,0.08135
-4.5,0.08827,0.09453,0.07412,0.13732,0.08507,0.13091,0.17057,0.15086,0.0,0.0,0.08135
-4.25,0.07769,0.09453,0.07412,0.13416,0.0841,0.11985,0.17057,0.14517,0.0,0.0,0.08135
-4.0,0.08116,0.09453,0.06902,0.12132,0.0733,0.11599,0.15256,0.10097,0.08202,0.06854,0.08135
-3.75,0.07583,0.07343,0.06646,0.1152,0.07068,0.10771,0.13351,0.10239,0.08772,0.06712,0.07141
-3.5,0.0733,0.06998,0.06506,0.1152,0.06754,0.1061,0.11222,0.09671,0.08772,0.06498,0.06927
-3.25,0.06691,0.06918,0.06037,0.11474,0.0627,0.10044,0.10985,0.07276,0.09058,0.0619,0.06628
-3.0,0.06423,0.07066,0.05512,0.10318,0.06135,0.09874,0.09566,0.06765,0.08303,0.06238,0.06332
-2.75,0.06105,0.06722,0.05531,0.09736,0.05789,0.09128,0.08851,0.06879,0.07641,0.06047,0.05743
-2.5,0.05946,0.06608,0.0558,0.09346,0.05456,0.08338,0.07817,0.06822,0.07584,0.05371,0.0506
-2.25,0.06028,0.06026,0.05437,0.08051,0.04922,0.07384,0.07356,0.065,0.06886,0.05019,0.05057
-2.0,0.05812,0.06016,0.05427,0.07962,0.04635,0.06826,0.06441,0.05795,0.05762,0.04894,0.04671
-1.75,0.05523,0.0579,0.05132,0.08016,0.04485,0.06558,0.05905,0.05279,0.05677,0.04594,0.04477
-1.5,0.05356,0.05599,0.04997,0.07245,0.04317,0.05879,0.05425,0.04791,0.05396,0.04361,0.04235
-1.25,0.05006,0.05425,0.04862,0.06933,0.04099,0.05436,0.05108,0.04682,0.05148,0.04103,0.03986
-1.0,0.04648,0.04868,0.04725,0.06235,0.03963,0.04853,0.04551,0.04348,0.04555,0.03949,0.038
1.0,0.04485,0.05172,0.0529,0.0708,0.04429,0.05275,0.04629,0.04729,0.04578,0.03842,0.04125
1.25,0.04781,0.05766,0.05901,0.0754,0.04725,0.05678,0.04844,0.05033,0.0476,0.04176,0.04369
1.5,0.0517,0.06082,0.06186,0.08256,0.05019,0.06202,0.05404,0.0522,0.05385,0.04666,0.04702
1.75,0.05382,0.06542,0.0644,0.08707,0.05304,0.06742,0.05718,0.05723,0.05588,0.04907,0.04964
2.0,0.05818,0.07096,0.06775,0.09029,0.05672,0.07118,0.0626,0.06017,0.06247,0.05186,0.05274
2.25,0.06326,0.0756,0.07837,0.09664,0.06014,0.07808,0.0666,0.06337,0.06445,0.05561,0.05613
2.5,0.07193,0.07947,0.08169,0.10527,0.06187,0.08212,0.07061,0.06394,0.06956,0.05939,0.06005
2.75,0.07428,0.08565,0.09251,0.10917,0.06369,0.08526,0.07709,0.06352,0.08125,0.06213,0.0637
3.0,0.07779,0.09077,0.09704,0.11084,0.06589,0.09356,0.07836,0.0713,0.0858,0.06332,0.06926
3.25,0.0804,0.09603,0.11122,0.12011,0.06873,0.09847,0.08583,0.07244,0.09026,0.06973,0.07097
3.5,0.08993,0.11091,0.11486,0.13228,0.07471,0.1048,0.09075,0.08564,0.09393,0.07511,0.07405
3.75,0.09333,0.11853,0.13643,0.1361,0.08256,0.11005,0.09146,0.08564,0.09393,0.07986,0.07831
4.0,0.09812,0.12562,0.16131,0.13656,0.08501,0.1124,0.09807,0.08861,0.09821,0.08044,0.08473
4.25,0.10543,0.13279,0.23012,0.15305,0.09702,0.11415,0.09984,0.0,0.09821,0.09584,0.08545
4.5,0.10612,0.16489,0.23012,0.15937,0.09702,0.11644,0.1115,0.0,0.10106,0.10641,0.08641
4.75,0.11022,0.16489,0.23012,0.18644,0.0984,0.12069,0.11739,0.0,0.10677,0.10832,0.0926
5.0,0.1116,0.16489,0.23012,0.18644,0.09979,0.12612,0.11739,0.0,0.11246,0.12395,0.09406
