,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,1,2,1,1,8,3,4,5,1,0,1
-4.75,1,2,1,3,9,4,7,7,1,0,1
-4.5,1,3,1,3,13,4,7,8,1,0,1
-4.25,1,3,4,3,17,4,12,8,1,0,1
-4.0,2,4,11,3,18,4,13,11,2,0,2
-3.75,6,6,15,3,21,4,17,14,3,0,6
-3.5,8,9,23,3,22,4,22,20,4,0,9
-3.25,13,10,35,4,30,5,30,24,7,2,14
-3.0,14,13,56,4,40,5,34,27,10,5,22
-2.75,26,20,74,4,51,9,57,47,21,8,31
-2.5,45,26,92,4,79,18,70,58,25,9,43
-2.25,55,30,134,4,97,37,85,77,36,25,56
-2.0,82,42,175,4,160,69,127,138,57,28,84
-1.75,132,61,234,4,201,100,215,208,74,52,185
-1.5,168,86,302,4,317,137,294,287,119,82,281
-1.25,279,131,564,4,419,237,405,383,156,103,392
-1.0,358,202,741,4,681,372,561,701,267,177,585
1.0,531,389,955,6,866,519,915,1041,212,204,540
1.25,331,242,686,6,571,322,666,674,172,106,401
1.5,214,144,497,6,476,202,432,520,104,70,202
1.75,162,90,252,4,311,131,323,406,81,60,154
2.0,103,55,185,4,259,77,253,288,41,47,123
2.25,74,39,119,4,172,57,177,195,29,31,95
2.5,52,28,70,4,135,41,102,142,21,26,77
2.75,27,20,38,3,94,31,69,91,13,16,43
3.0,20,14,22,2,71,26,53,59,9,11,33
3.25,13,13,18,2,42,18,35,50,2,9,24
3.5,9,9,9,2,30,13,26,37,1,8,20
3.75,7,8,3,2,25,9,21,21,1,5,9
4.0,3,7,3,2,17,8,15,18,1,4,5
4.25,3,5,3,2,13,7,11,15,1,2,5
4.5,3,5,3,2,7,6,5,10,1,1,5
4.75,1,4,3,2,6,6,4,8,1,1,4
5.0,1,4,3,2,5,4,4,7,0,1,2
