,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,2,2,2,2,2,2,2,2,2,2,2
-4.75,3,3,3,3,3,3,3,3,3,3,3
-4.5,4,4,4,4,4,4,4,4,4,4,4
-4.25,6,6,6,6,6,6,6,6,6,6,6
-4.0,7,7,7,7,7,7,7,7,7,7,7
-3.75,10,10,10,10,10,10,10,10,10,10,10
-3.5,12,12,12,12,12,12,12,12,12,12,12
-3.25,15,15,15,15,15,15,15,15,15,15,15
-3.0,17,17,17,17,17,17,17,17,17,17,17
-2.75,21,21,21,21,21,21,21,21,21,21,21
-2.5,23,23,23,23,23,23,23,23,23,23,23
-2.25,29,29,29,29,29,29,29,29,29,29,29
-2.0,36,36,36,36,36,36,36,36,36,36,36
-1.75,54,54,54,54,54,54,54,54,54,54,54
-1.5,72,72,72,72,72,72,72,72,72,72,72
-1.25,105,105,105,105,105,105,105,105,105,105,105
-1.0,165,165,165,165,165,165,165,165,165,165,165
1.0,220,220,220,220,220,220,220,220,220,220,220
1.25,160,160,160,160,160,160,160,160,160,160,160
1.5,105,105,105,105,105,105,105,105,105,105,105
1.75,71,71,71,71,71,71,71,71,71,71,71
2.0,49,49,49,49,49,49,49,49,49,49,49
2.25,34,34,34,34,34,34,34,34,34,34,34
2.5,22,22,22,22,22,22,22,22,22,22,22
2.75,18,18,18,18,18,18,18,18,18,18,18
3.0,14,14,14,14,14,14,14,14,14,14,14
3.25,12,12,12,12,12,12,12,12,12,12,12
3.5,8,8,8,8,8,8,8,8,8,8,8
3.75,7,7,7,7,7,7,7,7,7,7,7
4.0,5,5,5,5,5,5,5,5,5,5,5
4.25,4,4,4,4,4,4,4,4,4,4,4
4.5,4,4,4,4,4,4,4,4,4,4,4
4.75,2,2,2,2,2,2,2,2,2,2,2
5.0,2,2,2,2,2,2,2,2,2,2,2
