,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.0,0.0,0.0,0.47832,4.86515,-0.03332,0.0,24.13147,6.50033,0.07994,0.0
-4.75,0.14527,31.32464,0.0,0.43074,4.86515,-0.03332,0.0,24.15597,6.51923,0.07994,0.0
-4.5,2.95683,20.29163,0.0,9.92241,4.86515,-0.03332,23.55019,24.15597,6.29118,0.07994,101.42996
-4.25,2.95683,14.32567,0.0,9.92241,4.08601,10.38438,23.55019,24.15597,6.29118,0.07994,101.42996
-4.0,5.74261,8.61175,3.09636,9.02789,3.07479,9.94586,11.83403,39.99401,5.05667,0.65608,101.42996
-3.75,5.80391,6.97782,5.42357,9.02789,2.89765,7.84543,11.83403,30.16665,5.55172,0.91021,101.42996
-3.5,10.39321,6.87159,4.9418,7.11816,3.65451,7.31751,10.28551,24.22902,5.78539,2.54024,37.30451
-3.25,9.20265,11.59023,6.89131,6.24329,3.64866,9.57335,13.19911,17.86266,7.59907,6.76769,22.69884
-3.0,7.80714,9.40051,6.35378,5.88371,5.94224,7.23251,15.61953,15.21197,7.86543,6.29087,22.96099
-2.75,9.73344,9.95256,4.74733,5.01306,6.2255,5.57144,19.83676,19.60157,8.77879,9.09883,25.37566
-2.5,6.65027,8.42548,4.38731,3.87702,4.36208,5.68488,17.04145,17.75741,8.43156,9.86503,26.84008
-2.25,6.62472,8.0471,4.26975,3.61043,4.10064,5.84027,17.05381,19.88126,7.49979,9.72651,24.58719
-2.0,7.02678,6.959,4.87173,13.47902,3.98978,5.46449,12.58676,13.72091,7.98042,8.54559,24.24359
-1.75,6.23386,6.67744,4.86861,16.07335,4.06773,4.71214,9.943,11.41093,7.46835,7.7149,20.96882
-1.5,5.72856,6.00214,4.52355,15.25217,3.87505,4.08793,8.8433,9.37668,7.16826,7.90158,16.11768
-1.25,4.95882,5.21784,4.27184,12.71976,3.70392,3.49938,6.73492,7.55269,6.15088,7.16086,13.70526
-1.0,4.44713,4.72064,3.65535,13.07784,3.41479,2.93127,5.92477,6.3323,5.55466,6.24146,11.52333
1.0,5.66075,4.15697,4.15164,5.10043,2.91268,2.74451,4.4198,4.15087,4.99064,7.37738,10.9337
1.25,7.0257,4.96988,5.48813,5.2878,3.73096,2.99472,5.60247,4.4836,5.9453,9.17502,13.57935
1.5,8.57111,5.26756,6.681,5.47333,4.26427,3.2958,6.80457,4.86488,6.63931,10.68978,16.77084
1.75,10.15609,5.45788,8.83314,5.50643,5.11875,3.30375,8.69323,5.27193,7.6904,11.74709,20.80857
2.0,12.0429,5.20142,11.08197,5.77898,6.16698,3.48096,10.05504,5.68299,8.7476,13.0029,24.94304
2.25,14.25648,5.55345,12.88191,6.33959,7.29447,3.73467,12.35768,6.1659,9.19619,12.11912,26.70103
2.5,19.8399,5.41551,13.40656,6.35568,7.72925,3.88356,13.64632,6.99905,9.54058,11.19341,37.24732
2.75,23.30937,5.47677,13.37911,6.16759,9.14163,4.18637,13.81779,7.49545,8.92453,12.65191,38.82079
3.0,26.63943,4.25153,14.16422,6.16013,9.45479,4.55554,10.88916,7.35775,5.13958,14.63012,20.77968
3.25,36.11514,3.75836,14.35262,5.14987,10.71259,3.66765,10.53805,7.8302,4.96818,15.44081,25.32289
3.5,38.58451,2.62383,13.37126,5.20157,10.75215,3.63259,11.44938,7.05476,5.38363,16.47886,15.1541
3.75,33.68556,2.87805,13.21286,5.31542,11.25618,4.34308,13.90724,6.8993,5.38792,17.05441,20.15154
4.0,2.45196,4.15619,13.21286,4.80917,12.28268,4.91901,13.89431,7.37436,5.09947,17.16551,1.03436
4.25,2.45196,5.5609,1.72501,3.58375,13.96723,3.09528,15.79273,3.83416,2.50636,17.16551,0.70568
4.5,1.1257,6.87034,0.12391,3.6916,11.62124,3.12858,19.50195,4.79037,2.50636,17.0039,0.70568
4.75,1.97095,6.87034,0.12391,4.01021,10.1415,3.76417,19.85843,6.39689,2.50636,13.76355,0.70568
5.0,1.97095,6.70203,0.0,2.33376,7.79212,4.60631,12.22096,0.45609,1.45208,13.76355,0.70568
