,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.26405,1.08781,2.13094,0.0164,0.0,0.0,0.0,8.22269,0.09377,0.0,4.98578
-4.75,0.21536,2.89314,1.45562,0.0164,0.0,0.06245,0.67242,6.17554,0.09377,0.0,4.98578
-4.5,1.0903,2.96618,1.45562,0.36832,0.0,6.77542,0.68833,6.21587,0.09377,0.00799,4.98578
-4.25,1.11902,2.74591,4.54767,0.2415,0.0,8.79752,1.42463,5.44152,0.09377,0.00799,2.50669
-4.0,1.59545,2.22709,4.59274,0.2415,0.0,8.79752,1.43534,5.29673,0.09377,0.02821,2.50669
-3.75,2.26947,2.2171,3.47258,0.23181,2.56308,10.26273,1.43534,4.54084,0.09377,0.88007,1.02886
-3.5,2.26947,2.36508,3.4968,0.17134,1.87326,9.45898,8.51945,4.78189,0.09377,0.88007,1.02886
-3.25,2.06948,2.29552,2.92438,0.41156,1.50776,6.81362,5.48834,4.53747,0.09377,1.51008,0.89119
-3.0,1.9841,2.19419,2.94399,0.99167,1.41566,5.13102,4.90977,4.39043,2.98642,1.84833,8.02625
-2.75,3.0569,2.94283,3.26105,0.84624,1.23347,4.21429,12.72476,4.11929,6.69204,3.48294,5.69351
-2.5,3.00587,2.59371,3.02662,0.75553,2.18517,3.75334,17.16663,4.38268,5.8265,3.53899,5.75335
-2.25,3.5443,2.73743,3.82019,1.07318,2.55861,3.15125,12.0612,4.29917,5.5923,3.90361,5.12772
-2.0,3.66276,2.63674,3.29491,1.28177,2.24401,3.20474,9.64192,3.94884,6.7834,4.70235,5.03317
-1.75,3.87861,2.6363,2.76389,1.28947,2.28848,2.82995,8.04384,3.88763,6.72359,6.42526,5.03107
-1.5,3.75473,2.44837,2.94634,1.24146,2.24782,2.35236,7.97473,3.82711,5.4243,5.38784,5.57434
-1.25,4.15693,2.27463,3.13289,1.24175,1.98842,2.22672,6.69102,3.2482,5.27571,4.21641,4.7092
-1.0,3.68653,1.88042,2.85405,1.22092,1.94161,1.71315,4.91431,3.2268,4.13096,4.05477,3.88256
1.0,4.72559,2.66748,3.88522,1.53599,1.75877,1.06455,3.27896,3.08636,2.95867,3.95716,2.62717
1.25,5.44818,2.90008,6.09007,1.54596,1.95397,1.12922,3.67174,3.57723,3.23114,4.21614,2.87552
1.5,6.36621,3.70604,10.0145,1.64617,2.11398,1.20617,3.76732,3.68929,3.8571,4.985,3.16688
1.75,7.05175,4.35412,15.80478,1.77602,2.37326,1.36955,4.44562,4.3953,4.74029,5.90982,3.35562
2.0,7.07601,5.42721,17.27248,1.79866,2.67328,1.42209,5.06788,5.39302,5.08662,6.44076,3.15859
2.25,7.80336,5.26114,22.27762,1.90732,2.39141,1.50795,4.89267,5.44206,5.3205,7.25937,3.52552
2.5,8.77692,6.51743,22.99503,1.84454,2.35499,1.71626,5.3889,6.63508,5.16298,8.60559,2.80581
2.75,7.58609,6.10144,29.63912,2.01152,2.16077,1.54583,5.98279,7.62124,5.64795,8.57539,2.68717
3.0,9.10427,6.62967,28.89992,2.18127,2.19544,1.7431,5.43049,10.28691,6.61801,9.35071,2.685
3.25,9.05323,6.76141,32.62049,1.6961,2.27167,1.28308,5.21937,12.26584,7.58888,7.13094,0.93629
3.5,11.43385,1.71447,20.73634,1.68018,2.21141,1.33647,5.23791,1.6541,3.13751,5.67072,0.76386
3.75,12.8776,2.14932,24.62405,1.0181,1.94951,0.98749,5.45665,0.89511,3.10597,5.73877,0.856
4.0,16.84681,2.49069,46.58477,1.08864,2.13113,0.83198,5.79534,1.3417,0.43158,5.73877,0.94612
4.25,33.94752,2.49069,46.58477,1.02192,2.34914,0.91405,6.77347,0.0,0.43158,8.52717,0.90336
4.5,0.0,2.30392,36.00909,1.18849,1.77976,0.87716,7.52516,0.0,0.43158,2.31947,1.20412
4.75,0.0,2.30392,0.0,1.18849,1.77976,0.87716,9.93953,0.0,0.33429,2.30054,0.34116
5.0,0.0,2.95312,0.0,1.3841,1.95784,0.65954,0.59705,0.0,0.33429,0.07929,0.34116
