,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.0,0.0,0.0,0.46075,0.12019,0.14709,0.0,0.12402,0.11194,0.09864,0.0
-4.75,0.14908,0.09992,0.0,0.43012,0.12019,0.14709,0.0,0.12564,0.11081,0.09864,0.0
-4.5,0.11769,0.104,0.0,0.35618,0.12019,0.14709,0.09604,0.12564,0.10397,0.09864,0.09919
-4.25,0.11769,0.09714,0.0,0.35618,0.10929,0.12255,0.09604,0.12564,0.10397,0.09864,0.09919
-4.0,0.10892,0.09117,0.07305,0.34003,0.10475,0.11274,0.10533,0.11832,0.09248,0.08104,0.09919
-3.75,0.10459,0.08406,0.0814,0.34003,0.1155,0.092,0.10533,0.10612,0.08272,0.07346,0.09919
-3.5,0.0824,0.08172,0.07454,0.32713,0.10761,0.08452,0.08383,0.09922,0.07544,0.07113,0.0895
-3.25,0.07717,0.07903,0.07096,0.32104,0.10026,0.07998,0.08034,0.08542,0.07116,0.06831,0.08438
-3.0,0.07413,0.07562,0.06735,0.31206,0.09136,0.0781,0.07466,0.07641,0.06652,0.06778,0.08251
-2.75,0.07078,0.07302,0.06591,0.28344,0.08164,0.06946,0.07537,0.07028,0.06241,0.0617,0.07484
-2.5,0.06509,0.06963,0.06282,0.27079,0.07628,0.06608,0.07005,0.06394,0.05867,0.05785,0.06901
-2.25,0.06191,0.06578,0.05899,0.25794,0.0723,0.06148,0.06508,0.0631,0.05407,0.05529,0.06346
-2.0,0.05705,0.06182,0.05579,0.22913,0.06918,0.05636,0.05985,0.05773,0.05147,0.05251,0.05798
-1.75,0.05556,0.05931,0.055,0.19453,0.065,0.05344,0.05526,0.05402,0.04794,0.04921,0.05713
-1.5,0.05319,0.05751,0.05373,0.17459,0.06169,0.0501,0.05144,0.05051,0.04486,0.04561,0.056
-1.25,0.05245,0.0543,0.05115,0.15678,0.05739,0.04688,0.04751,0.04706,0.04183,0.04266,0.05106
-1.0,0.05068,0.05234,0.04765,0.13869,0.05245,0.04376,0.04459,0.0439,0.04012,0.0395,0.04786
1.0,0.05391,0.05288,0.05022,0.14772,0.06025,0.04599,0.04565,0.04605,0.04087,0.03944,0.04693
1.25,0.05837,0.05654,0.05383,0.15745,0.06738,0.04984,0.05036,0.0507,0.04428,0.04368,0.05146
1.5,0.06368,0.06016,0.05808,0.16533,0.07268,0.05343,0.05569,0.05483,0.04735,0.04708,0.05626
1.75,0.06798,0.06667,0.06206,0.175,0.07829,0.0571,0.05926,0.05956,0.05117,0.0505,0.05972
2.0,0.07369,0.07281,0.06575,0.18197,0.08649,0.06127,0.06555,0.06367,0.0541,0.05384,0.06378
2.25,0.08073,0.07575,0.0693,0.18857,0.0932,0.06599,0.07292,0.06929,0.0574,0.05682,0.07006
2.5,0.08783,0.07853,0.07356,0.19812,0.1002,0.07054,0.08149,0.07441,0.06229,0.06113,0.07889
2.75,0.09433,0.08253,0.07584,0.21215,0.10324,0.07501,0.08674,0.0828,0.06571,0.06429,0.08149
3.0,0.09566,0.08658,0.08146,0.218,0.11482,0.08212,0.09022,0.08677,0.07111,0.06823,0.08828
3.25,0.09871,0.08762,0.0852,0.23244,0.12005,0.08561,0.09416,0.09161,0.07561,0.07152,0.09762
3.5,0.11798,0.09372,0.09172,0.24573,0.12912,0.09053,0.09609,0.09736,0.07661,0.07819,0.10401
3.75,0.12679,0.09949,0.10296,0.25442,0.13706,0.1001,0.1038,0.09853,0.07954,0.08558,0.10171
4.0,0.1356,0.10136,0.10296,0.2675,0.13984,0.10405,0.10723,0.10248,0.07838,0.09001,0.10493
4.25,0.1356,0.10782,0.11406,0.28231,0.14308,0.11368,0.11712,0.11694,0.07733,0.09001,0.12325
4.5,0.1493,0.12114,0.1277,0.30009,0.15061,0.12248,0.12584,0.13237,0.07827,0.09011,0.12325
4.75,0.17559,0.12114,0.1277,0.30485,0.15092,0.13096,0.13226,0.14342,0.08203,0.09121,0.12325
5.0,0.17559,0.12253,0.0,0.31729,0.16334,0.14841,0.13339,0.16668,0.08377,0.09121,0.12325
