,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.12828,0.09381,0.08645,0.26769,0.0,0.0,0.0,0.09372,0.1014,0.0,0.1675
-4.75,0.11784,0.09205,0.08306,0.26769,0.0,0.1219,0.07622,0.09167,0.1014,0.0,0.1675
-4.5,0.10833,0.09345,0.08306,0.19679,0.0,0.10865,0.07622,0.0894,0.1014,0.09819,0.1675
-4.25,0.10663,0.0888,0.07768,0.15492,0.0,0.09686,0.10589,0.08385,0.1014,0.09819,0.11614
-4.0,0.09005,0.08619,0.07461,0.15492,0.0,0.09686,0.10448,0.07953,0.1014,0.11571,0.11614
-3.75,0.08347,0.07554,0.07213,0.1452,0.05702,0.08666,0.10448,0.07705,0.1014,0.10106,0.09868
-3.5,0.08347,0.07704,0.07255,0.12639,0.05389,0.08793,0.08369,0.06755,0.1014,0.10106,0.09868
-3.25,0.08396,0.06638,0.06608,0.11817,0.0532,0.08477,0.07722,0.06404,0.1014,0.07745,0.09066
-3.0,0.07305,0.06266,0.06221,0.11066,0.05335,0.08086,0.07554,0.0619,0.06546,0.07519,0.07835
-2.75,0.06759,0.06116,0.05958,0.09535,0.0554,0.0734,0.06976,0.0571,0.05962,0.06794,0.0659
-2.5,0.06239,0.05874,0.05797,0.08581,0.05192,0.07026,0.06651,0.05465,0.0528,0.06524,0.06109
-2.25,0.05871,0.05664,0.05234,0.08209,0.05067,0.06316,0.05953,0.04561,0.05119,0.05962,0.05358
-2.0,0.05684,0.05693,0.05089,0.07889,0.04813,0.06098,0.0565,0.04518,0.05061,0.05317,0.04986
-1.75,0.05367,0.05768,0.05313,0.07841,0.04633,0.06018,0.05999,0.04312,0.04974,0.04969,0.04645
-1.5,0.05127,0.05687,0.05067,0.07408,0.04483,0.05601,0.05604,0.0422,0.04643,0.04517,0.04527
-1.25,0.05043,0.0574,0.0484,0.07076,0.04344,0.05287,0.05142,0.03971,0.04279,0.04118,0.04257
-1.0,0.04695,0.05367,0.04702,0.06698,0.0418,0.04833,0.04662,0.03754,0.04086,0.03924,0.03998
1.0,0.04737,0.05212,0.05128,0.07144,0.04302,0.0512,0.04731,0.04038,0.04031,0.04197,0.04177
1.25,0.0498,0.05481,0.05441,0.07557,0.04505,0.05573,0.05124,0.04399,0.04486,0.04595,0.04522
1.5,0.05266,0.05753,0.05508,0.07733,0.04893,0.0594,0.05579,0.04779,0.04829,0.04843,0.05086
1.75,0.0547,0.06402,0.06006,0.082,0.051,0.06362,0.06075,0.04885,0.05323,0.05317,0.05385
2.0,0.0608,0.06922,0.06232,0.08578,0.05193,0.06753,0.06871,0.05118,0.05699,0.05722,0.05786
2.25,0.06553,0.07333,0.06258,0.08736,0.05464,0.07196,0.07376,0.05315,0.05993,0.06138,0.06253
2.5,0.06892,0.08049,0.06847,0.09501,0.05716,0.07467,0.08114,0.05568,0.06119,0.06719,0.06673
2.75,0.07019,0.09037,0.07301,0.10228,0.05929,0.07893,0.08429,0.05805,0.06183,0.06965,0.07185
3.0,0.071,0.09204,0.07497,0.10672,0.06401,0.08176,0.09194,0.06166,0.06582,0.07119,0.07788
3.25,0.07278,0.09834,0.08024,0.11074,0.06963,0.08888,0.09991,0.06264,0.07001,0.07696,0.09047
3.5,0.0762,0.10368,0.08766,0.11355,0.07114,0.08864,0.10297,0.06342,0.07513,0.08568,0.09358
3.75,0.07539,0.11289,0.0845,0.11509,0.07166,0.08986,0.10676,0.06071,0.07598,0.10302,0.09741
4.0,0.07407,0.11986,0.09189,0.12017,0.07515,0.09314,0.11011,0.05741,0.07485,0.10302,0.09229
4.25,0.0778,0.11986,0.09189,0.12736,0.08635,0.10095,0.11147,0.0,0.07485,0.12343,0.0967
4.5,0.0,0.12696,0.0953,0.1316,0.09061,0.11259,0.11649,0.0,0.07485,0.12459,0.09607
4.75,0.0,0.12696,0.0,0.1316,0.09061,0.11259,0.10723,0.0,0.08855,0.12602,0.09792
5.0,0.0,0.13512,0.0,0.13646,0.09455,0.1225,0.12614,0.0,0.08855,0.16889,0.09792
