,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0,0,0,6,2,2,0,3,3,1,0
-4.75,1,1,0,7,2,2,0,3,3,1,0
-4.5,2,2,0,10,2,2,2,3,4,1,1
-4.25,2,3,0,10,3,3,2,3,4,1,1
-4.0,3,6,4,11,4,4,4,3,5,2,1
-3.75,3,8,8,11,6,8,4,4,7,3,1
-3.5,8,11,15,14,8,12,8,5,12,5,3
-3.25,12,13,21,16,11,17,10,8,17,8,7
-3.0,17,21,28,17,18,26,12,11,23,11,7
-2.75,23,27,48,20,27,41,15,18,33,17,13
-2.5,47,42,67,26,45,52,28,27,43,20,18
-2.25,59,57,82,28,75,74,37,32,59,29,24
-2.0,73,76,103,33,106,105,58,57,75,46,30
-1.75,96,97,135,45,145,152,87,82,102,80,40
-1.5,126,134,179,56,218,216,115,113,131,121,59
-1.25,182,192,240,76,316,316,173,156,180,171,82
-1.0,250,278,353,106,439,449,231,219,239,261,127
1.0,286,366,336,117,387,579,327,335,347,187,159
1.25,195,259,228,99,264,425,215,270,247,138,110
1.5,136,200,159,90,196,312,146,210,178,107,78
1.75,92,139,106,82,141,240,99,162,126,87,53
2.0,63,107,73,75,98,182,68,125,90,68,34
2.25,42,80,53,65,75,135,44,93,61,54,26
2.5,25,56,39,61,59,101,30,67,40,39,16
2.75,20,37,33,54,45,78,25,46,30,28,15
3.0,13,27,25,52,36,57,24,36,18,21,10
3.25,8,20,17,44,29,48,21,27,11,16,6
3.5,5,16,11,39,21,40,19,21,10,11,4
3.75,4,12,8,37,18,27,14,20,9,8,3
4.0,3,7,8,31,16,23,14,16,7,6,2
4.25,3,5,2,27,12,18,9,9,3,6,1
4.5,2,4,1,24,9,13,6,7,3,6,1
4.75,1,4,1,22,9,10,5,5,3,5,1
5.0,1,4,0,20,6,7,5,3,2,5,1
