,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,4,4,4,4,4,4,4,4,4,4,4
-4.75,5,5,5,5,5,5,5,5,5,5,5
-4.5,6,6,6,6,6,6,6,6,6,6,6
-4.25,6,6,6,6,6,6,6,6,6,6,6
-4.0,8,8,8,8,8,8,8,8,8,8,8
-3.75,10,10,10,10,10,10,10,10,10,10,10
-3.5,10,10,10,10,10,10,10,10,10,10,10
-3.25,11,11,11,11,11,11,11,11,11,11,11
-3.0,14,14,14,14,14,14,14,14,14,14,14
-2.75,19,19,19,19,19,19,19,19,19,19,19
-2.5,24,24,24,24,24,24,24,24,24,24,24
-2.25,32,32,32,32,32,32,32,32,32,32,32
-2.0,36,36,36,36,36,36,36,36,36,36,36
-1.75,43,43,43,43,43,43,43,43,43,43,43
-1.5,56,56,56,56,56,56,56,56,56,56,56
-1.25,65,65,65,65,65,65,65,65,65,65,65
-1.0,98,98,98,98,98,98,98,98,98,98,98
1.0,109,109,109,109,109,109,109,109,109,109,109
1.25,83,83,83,83,83,83,83,83,83,83,83
1.5,55,55,55,55,55,55,55,55,55,55,55
1.75,45,45,45,45,45,45,45,45,45,45,45
2.0,34,34,34,34,34,34,34,34,34,34,34
2.25,26,26,26,26,26,26,26,26,26,26,26
2.5,21,21,21,21,21,21,21,21,21,21,21
2.75,17,17,17,17,17,17,17,17,17,17,17
3.0,13,13,13,13,13,13,13,13,13,13,13
3.25,11,11,11,11,11,11,11,11,11,11,11
3.5,8,8,8,8,8,8,8,8,8,8,8
3.75,4,4,4,4,4,4,4,4,4,4,4
4.0,3,3,3,3,3,3,3,3,3,3,3
4.25,1,1,1,1,1,1,1,1,1,1,1
4.5,0,0,0,0,0,0,0,0,0,0,0
4.75,0,0,0,0,0,0,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0,0,0,0
