,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,7.85805,7.85805,7.85805,7.85805,7.85805,7.85805,7.85805,7.85805,7.85805,7.85805,7.85805
-4.75,7.85806,7.85806,7.85806,7.85806,7.85806,7.85806,7.85806,7.85806,7.85806,7.85806,7.85806
-4.5,7.88622,7.88622,7.88622,7.88622,7.88622,7.88622,7.88622,7.88622,7.88622,7.88622,7.88622
-4.25,5.94463,5.94463,5.94463,5.94463,5.94463,5.94463,5.94463,5.94463,5.94463,5.94463,5.94463
-4.0,5.14381,5.14381,5.14381,5.14381,5.14381,5.14381,5.14381,5.14381,5.14381,5.14381,5.14381
-3.75,6.30303,6.30303,6.30303,6.30303,6.30303,6.30303,6.30303,6.30303,6.30303,6.30303,6.30303
-3.5,6.33972,6.33972,6.33972,6.33972,6.33972,6.33972,6.33972,6.33972,6.33972,6.33972,6.33972
-3.25,7.51403,7.51403,7.51403,7.51403,7.51403,7.51403,7.51403,7.51403,7.51403,7.51403,7.51403
-3.0,8.34304,8.34304,8.34304,8.34304,8.34304,8.34304,8.34304,8.34304,8.34304,8.34304,8.34304
-2.75,10.49103,10.49103,10.49103,10.49103,10.49103,10.49103,10.49103,10.49103,10.49103,10.49103,10.49103
-2.5,8.61515,8.61515,8.61515,8.61515,8.61515,8.61515,8.61515,8.61515,8.61515,8.61515,8.61515
-2.25,7.96894,7.96894,7.96894,7.96894,7.96894,7.96894,7.96894,7.96894,7.96894,7.96894,7.96894
-2.0,6.80988,6.80988,6.80988,6.80988,6.80988,6.80988,6.80988,6.80988,6.80988,6.80988,6.80988
-1.75,5.81678,5.81678,5.81678,5.81678,5.81678,5.81678,5.81678,5.81678,5.81678,5.81678,5.81678
-1.5,3.75556,3.75556,3.75556,3.75556,3.75556,3.75556,3.75556,3.75556,3.75556,3.75556,3.75556
-1.25,3.14746,3.14746,3.14746,3.14746,3.15442,3.15442,3.15442,3.15442,3.15442,3.15442,3.15442
-1.0,2.61997,2.61997,2.61997,2.61996,2.61851,2.61851,2.61851,2.61851,2.61851,2.61851,2.62386
1.0,1.6868,1.6868,1.6868,1.6868,1.6868,1.6868,1.6868,1.6868,1.6868,1.6868,1.6868
1.25,2.15456,2.15456,2.15456,2.15456,2.15456,2.15456,2.15456,2.15456,2.15456,2.15456,2.15456
1.5,2.51795,2.51795,2.51795,2.51795,2.51795,2.51795,2.51795,2.51795,2.51795,2.51795,2.51795
1.75,2.74329,2.74329,2.74329,2.74329,2.74329,2.74329,2.74329,2.74329,2.74329,2.74329,2.74329
2.0,3.35848,3.35848,3.35848,3.35848,3.35848,3.35848,3.35848,3.35848,3.35848,3.35848,3.35848
2.25,3.60527,3.60527,3.60527,3.60527,3.60527,3.60527,3.60527,3.60527,3.60527,3.60527,3.60527
2.5,3.63446,3.63446,3.63446,3.63446,3.63446,3.63446,3.63446,3.63446,3.63446,3.63446,3.63446
2.75,4.04828,4.04828,4.04828,4.04828,4.04828,4.04828,4.04828,4.04828,4.04828,4.04828,4.04828
3.0,3.73374,3.73374,3.73374,3.73374,3.73374,3.73374,3.73374,3.73374,3.73374,3.73374,3.73374
3.25,4.62421,4.62421,4.62421,4.62421,4.62421,4.62421,4.62421,4.62421,4.62421,4.62421,4.62421
3.5,3.8738,3.8738,3.8738,3.8738,3.8738,3.8738,3.8738,3.8738,3.8738,3.8738,3.8738
3.75,3.85744,3.85744,3.85744,3.85744,3.85744,3.85744,3.85744,3.85744,3.85744,3.85744,3.85744
4.0,3.02385,3.02385,3.02385,3.02385,3.02385,3.02385,3.02385,3.02385,3.02385,3.02385,3.02385
4.25,3.64878,3.64878,3.64878,3.64878,3.64878,3.64878,3.64878,3.64878,3.64878,3.64878,3.64878
4.5,2.15368,2.15368,2.15368,2.15368,2.15368,2.15368,2.15368,2.15368,2.15368,2.15368,2.15368
4.75,1.98061,1.98061,1.98061,1.98061,1.98061,1.98061,1.98061,1.98061,1.98061,1.98061,1.98061
5.0,1.82711,1.82711,1.82711,1.82711,1.82711,1.82711,1.82711,1.82711,1.82711,1.82711,1.82711
