,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.03512,0.03512,0.03512,0.03512,0.03512,0.03512,0.03512,0.03512,0.03512,0.03512,0.03512
-4.75,0.31808,0.31808,0.31808,0.31808,0.31808,0.31808,0.31808,0.31808,0.31808,0.31808,0.31808
-4.5,0.32583,0.32583,0.32583,0.32583,0.32583,0.32583,0.32583,0.32583,0.32583,0.32583,0.32583
-4.25,0.32584,0.32584,0.32584,0.32584,0.32584,0.32584,0.32584,0.32584,0.32584,0.32584,0.32584
-4.0,3.413,3.413,3.413,3.413,3.413,3.413,3.413,3.413,3.413,3.413,3.413
-3.75,3.413,3.413,3.413,3.413,3.413,3.413,3.413,3.413,3.413,3.413,3.413
-3.5,3.41301,3.41301,3.41301,3.41301,3.41301,3.41301,3.41301,3.41301,3.41301,3.41301,3.41301
-3.25,3.20968,3.20968,3.20968,3.20968,3.20968,3.20968,3.20968,3.20968,3.20968,3.20968,3.20968
-3.0,2.67047,2.67047,2.67047,2.67047,2.67047,2.67047,2.67047,2.67047,2.67047,2.67047,2.67047
-2.75,2.95986,2.95986,2.95986,2.95986,2.95986,2.95986,2.95986,2.95986,2.95986,2.95986,2.95986
-2.5,2.96883,2.96883,2.96883,2.96883,2.96883,2.96883,2.96883,2.96883,2.96883,2.96883,2.96883
-2.25,3.10284,3.10284,3.10284,3.10284,3.10284,3.10284,3.10284,3.10284,3.10284,3.10284,3.10284
-2.0,2.8598,2.8598,2.8598,2.8598,2.8598,2.8598,2.8598,2.8598,2.8598,2.8598,2.8598
-1.75,2.66223,2.66223,2.66223,2.66223,2.66223,2.66223,2.66223,2.66223,2.66223,2.66223,2.66223
-1.5,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274
-1.25,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274,2.38274
-1.0,1.95135,1.95135,1.95135,1.95135,1.95135,1.95135,1.95135,1.95135,1.95135,1.95135,1.95135
1.0,1.97132,1.97132,1.97132,1.97132,1.97132,1.97132,1.97132,1.97132,1.97132,1.97132,1.97132
1.25,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453
1.5,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453,2.18453
1.75,2.44016,2.44016,2.44016,2.44016,2.44016,2.44016,2.44016,2.44016,2.44016,2.44016,2.44016
2.0,2.60313,2.60313,2.60313,2.60313,2.60313,2.60313,2.60313,2.60313,2.60313,2.60313,2.60313
2.25,2.58465,2.58465,2.58465,2.58465,2.58465,2.58465,2.58465,2.58465,2.58465,2.58465,2.58465
2.5,3.17266,3.17266,3.17266,3.17266,3.17266,3.17266,3.17266,3.17266,3.17266,3.17266,3.17266
2.75,3.12887,3.12887,3.12887,3.12887,3.12887,3.12887,3.12887,3.12887,3.12887,3.12887,3.12887
3.0,2.72552,2.72552,2.72552,2.72552,2.72552,2.72552,2.72552,2.72552,2.72552,2.72552,2.72552
3.25,2.36893,2.36893,2.36893,2.36893,2.36893,2.36893,2.36893,2.36893,2.36893,2.36893,2.36893
3.5,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694
3.75,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694,2.07694
4.0,1.25546,1.25546,1.25546,1.25546,1.25546,1.25546,1.25546,1.25546,1.25546,1.25546,1.25546
4.25,1.25028,1.25028,1.25028,1.25028,1.25028,1.25028,1.25028,1.25028,1.25028,1.25028,1.25028
4.5,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411
4.75,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411,1.83411
5.0,0.96633,0.96633,0.96633,0.96633,0.96633,0.96633,0.96633,0.96633,0.96633,0.96633,0.96633
