,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.13018,0.16323,0.09201,0.87473,0.18927,0.1412,0.10649,0.1073,0.10443,0.09267,0.11326
-4.75,0.12555,0.15479,0.08364,0.80472,0.16096,0.13373,0.1072,0.10173,0.10161,0.09267,0.1123
-4.5,0.12739,0.14306,0.08069,0.83126,0.15562,0.12094,0.10148,0.09696,0.10161,0.09079,0.11135
-4.25,0.11212,0.13747,0.07651,0.75044,0.15001,0.11583,0.09374,0.09615,0.09454,0.09079,0.10945
-4.0,0.10408,0.12906,0.07395,0.72356,0.14706,0.10898,0.08704,0.08798,0.08932,0.08796,0.10003
-3.75,0.08822,0.12571,0.07265,0.70051,0.14154,0.10383,0.08259,0.08538,0.11386,0.06965,0.09861
-3.5,0.08614,0.11203,0.06915,0.65553,0.12985,0.10436,0.07986,0.08133,0.10407,0.06766,0.09932
-3.25,0.08194,0.10865,0.06391,0.59228,0.1224,0.09542,0.07272,0.07975,0.09704,0.0626,0.09085
-3.0,0.07569,0.10366,0.06146,0.57383,0.11503,0.08623,0.06972,0.07174,0.09081,0.0583,0.07931
-2.75,0.06864,0.10084,0.05559,0.52904,0.10897,0.0823,0.06632,0.07148,0.07938,0.05145,0.06927
-2.5,0.06146,0.0888,0.05131,0.48447,0.10256,0.07368,0.05647,0.06509,0.07573,0.04621,0.06256
-2.25,0.05228,0.08577,0.04928,0.46034,0.09423,0.06645,0.05109,0.06112,0.05967,0.04292,0.05186
-2.0,0.04919,0.07819,0.04262,0.42408,0.0848,0.06184,0.04842,0.05205,0.05132,0.03913,0.04973
-1.75,0.04546,0.07217,0.04003,0.40333,0.07918,0.05787,0.04474,0.04921,0.04695,0.03552,0.04435
-1.5,0.03863,0.06149,0.03696,0.34147,0.06762,0.05064,0.03704,0.04255,0.04182,0.0323,0.03801
-1.25,0.03624,0.05514,0.0307,0.29708,0.05766,0.04506,0.03347,0.04,0.0391,0.02972,0.0349
-1.0,0.03262,0.04544,0.02791,0.25579,0.04917,0.03956,0.03081,0.0337,0.0327,0.02705,0.03186
1.0,0.03038,0.04684,0.031,0.34918,0.04985,0.0383,0.03176,0.03503,0.03621,0.02846,0.02964
1.25,0.0359,0.0553,0.03418,0.38376,0.05909,0.0447,0.03462,0.03823,0.03922,0.03153,0.03247
1.5,0.03966,0.06869,0.04044,0.40929,0.0696,0.05143,0.03832,0.04469,0.04566,0.03457,0.03603
1.75,0.04281,0.07731,0.0436,0.46278,0.07676,0.05926,0.04379,0.04834,0.04952,0.03756,0.04178
2.0,0.04962,0.08552,0.04711,0.49853,0.08773,0.06453,0.04692,0.0558,0.05566,0.04125,0.04486
2.25,0.05293,0.09593,0.0554,0.52841,0.0964,0.07029,0.05103,0.05859,0.06286,0.04418,0.04862
2.5,0.0563,0.1104,0.05908,0.58648,0.10448,0.07585,0.05438,0.06329,0.06924,0.04766,0.05385
2.75,0.06497,0.11994,0.06516,0.6388,0.11102,0.08094,0.06229,0.06863,0.07518,0.0516,0.05671
3.0,0.06921,0.12896,0.07769,0.67502,0.12147,0.08757,0.06484,0.07385,0.07846,0.05671,0.0596
3.25,0.07565,0.13218,0.08078,0.73782,0.12979,0.09264,0.06878,0.07936,0.08129,0.05908,0.07
3.5,0.08522,0.14038,0.08299,0.76092,0.13423,0.09941,0.074,0.08373,0.08505,0.06212,0.07543
3.75,0.09012,0.14675,0.09402,0.83988,0.15035,0.09972,0.07924,0.09115,0.0944,0.06716,0.08112
4.0,0.09262,0.15608,0.09513,0.86505,0.1534,0.10564,0.08577,0.09504,0.09722,0.06907,0.10089
4.25,0.1043,0.1575,0.10818,0.87373,0.15622,0.11378,0.08885,0.0991,0.10473,0.07616,0.10829
4.5,0.11724,0.16079,0.12037,0.91531,0.1636,0.12613,0.09135,0.10009,0.10896,0.07944,0.10829
4.75,0.11764,0.16422,0.12537,0.92033,0.17635,0.12934,0.1036,0.10318,0.11601,0.10037,0.13673
5.0,0.14338,0.16706,0.13321,0.95745,0.18023,0.13742,0.11197,0.11071,0.11601,0.10037,0.13673
