,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.06477,0.10284,0.0,0.17765,0.09321,0.20814,0.14503,0.19334,0.0,0.0,0.0887
-4.75,0.06201,0.10284,0.0,0.15573,0.09228,0.20108,0.14503,0.19476,0.0,0.0,0.0887
-4.5,0.05995,0.09314,0.0,0.14474,0.08952,0.19826,0.14123,0.19476,0.0,0.07132,0.08016
-4.25,0.05926,0.09175,0.0,0.13731,0.07534,0.1713,0.12359,0.13936,0.0,0.07132,0.07443
-4.0,0.05697,0.07588,0.0,0.13003,0.07423,0.1601,0.12501,0.13865,0.0,0.07132,0.073
-3.75,0.05697,0.07238,0.0,0.12475,0.07534,0.15103,0.1243,0.11045,0.0,0.07132,0.06928
-3.5,0.0533,0.0731,0.05872,0.12272,0.0716,0.14364,0.12359,0.10903,0.0,0.06663,0.06299
-3.25,0.05065,0.06862,0.0615,0.11421,0.0641,0.1364,0.09999,0.09142,0.07075,0.06567,0.05918
-3.0,0.05017,0.06664,0.05645,0.10675,0.06109,0.12566,0.09128,0.08571,0.07075,0.05827,0.05886
-2.75,0.05145,0.06162,0.05488,0.1024,0.05546,0.11715,0.08323,0.07997,0.07156,0.05205,0.05036
-2.5,0.04824,0.05836,0.05397,0.09597,0.0524,0.10833,0.0774,0.06903,0.07088,0.04734,0.0472
-2.25,0.04233,0.0517,0.05098,0.09062,0.04722,0.1047,0.07078,0.05929,0.07658,0.04199,0.04154
-2.0,0.03866,0.04887,0.04453,0.07617,0.04503,0.09534,0.05849,0.05281,0.06076,0.03801,0.0374
-1.75,0.03316,0.04624,0.04201,0.06886,0.04227,0.08808,0.05272,0.0469,0.04801,0.03468,0.03433
-1.5,0.02881,0.03939,0.03695,0.06292,0.03917,0.0757,0.04463,0.0408,0.04627,0.03153,0.03086
-1.25,0.02881,0.03729,0.03622,0.05519,0.03232,0.06645,0.04179,0.03488,0.04002,0.02894,0.02863
-1.0,0.02611,0.03143,0.02942,0.04958,0.02923,0.05816,0.0366,0.02953,0.03235,0.02647,0.02656
1.0,0.02673,0.03282,0.0302,0.05831,0.02715,0.05908,0.04179,0.03012,0.0359,0.02776,0.02754
1.25,0.03016,0.03888,0.03333,0.06422,0.0301,0.07408,0.04587,0.03327,0.04252,0.03147,0.0303
1.5,0.03016,0.0422,0.03663,0.07022,0.03609,0.08556,0.05101,0.03692,0.04638,0.03606,0.03327
1.75,0.03452,0.0492,0.03988,0.07663,0.03945,0.09265,0.05592,0.03957,0.05172,0.04126,0.03679
2.0,0.03835,0.05268,0.04744,0.08355,0.04277,0.10159,0.06045,0.043,0.05942,0.04378,0.03979
2.25,0.04269,0.05842,0.05116,0.09101,0.04663,0.11433,0.06478,0.04667,0.06073,0.04851,0.04359
2.5,0.04947,0.06301,0.05549,0.09543,0.0498,0.11996,0.06817,0.05032,0.06398,0.05421,0.04777
2.75,0.05322,0.07083,0.05804,0.10453,0.05428,0.12826,0.07333,0.05629,0.07301,0.05659,0.05282
3.0,0.05813,0.07905,0.06953,0.11252,0.06085,0.13583,0.07494,0.0615,0.0768,0.06011,0.05744
3.25,0.06872,0.08074,0.07747,0.11491,0.06383,0.16013,0.08171,0.0655,0.08107,0.06301,0.06042
3.5,0.07144,0.09334,0.09305,0.11754,0.07056,0.16353,0.08179,0.08315,0.0882,0.06748,0.06062
3.75,0.07144,0.10807,0.10092,0.12549,0.07312,0.17321,0.08293,0.09588,0.0882,0.0697,0.06357
4.0,0.07599,0.11085,0.21892,0.13807,0.07352,0.18198,0.08997,0.15551,0.0882,0.07982,0.06812
4.25,0.07629,0.1438,0.21892,0.14385,0.08192,0.18947,0.09281,0.15551,0.09959,0.08552,0.07121
4.5,0.08045,0.14519,0.21892,0.14819,0.08111,0.20204,0.09667,0.15551,0.09959,0.09213,0.08045
4.75,0.08091,0.14799,0.21892,0.16386,0.08203,0.20627,0.09952,0.15551,0.09959,0.0855,0.08531
5.0,0.09035,0.19273,0.21892,0.21203,0.08665,0.21722,0.10807,0.15622,0.10529,0.1682,0.08769
