,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,3,3,3,3,3,3,3,3,3,3,3
-4.75,3,3,3,3,3,3,3,3,3,3,3
-4.5,3,3,3,3,3,3,3,3,3,3,3
-4.25,4,4,4,4,4,4,4,4,4,4,4
-4.0,5,5,5,5,5,5,5,5,5,5,5
-3.75,8,8,8,8,8,8,8,8,8,8,8
-3.5,8,8,8,8,8,8,8,8,8,8,8
-3.25,10,10,10,10,10,10,10,10,10,10,10
-3.0,15,15,15,15,15,15,15,15,15,15,15
-2.75,19,19,19,19,19,19,19,19,19,19,19
-2.5,31,31,31,31,31,31,31,31,31,31,31
-2.25,58,58,58,58,58,58,58,58,58,58,58
-2.0,80,80,80,80,80,80,80,80,80,80,80
-1.75,113,113,113,113,113,113,113,113,113,113,113
-1.5,242,242,242,242,242,242,242,242,242,242,242
-1.25,341,341,341,341,340,340,340,340,340,340,340
-1.0,469,469,469,469,469,469,469,469,469,469,468
1.0,855,855,855,855,855,855,855,855,855,855,855
1.25,527,527,527,527,527,527,527,527,527,527,527
1.5,384,384,384,384,384,384,384,384,384,384,384
1.75,297,297,297,297,297,297,297,297,297,297,297
2.0,174,174,174,174,174,174,174,174,174,174,174
2.25,139,139,139,139,139,139,139,139,139,139,139
2.5,109,109,109,109,109,109,109,109,109,109,109
2.75,59,59,59,59,59,59,59,59,59,59,59
3.0,46,46,46,46,46,46,46,46,46,46,46
3.25,32,32,32,32,32,32,32,32,32,32,32
3.5,20,20,20,20,20,20,20,20,20,20,20
3.75,17,17,17,17,17,17,17,17,17,17,17
4.0,16,16,16,16,16,16,16,16,16,16,16
4.25,10,10,10,10,10,10,10,10,10,10,10
4.5,7,7,7,7,7,7,7,7,7,7,7
4.75,7,7,7,7,7,7,7,7,7,7,7
5.0,4,4,4,4,4,4,4,4,4,4,4
