,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,2,1,0,5,3,2,3,2,0,0,2
-4.75,4,1,0,7,3,2,3,2,0,0,2
-4.5,4,2,0,8,3,2,3,2,0,1,3
-4.25,4,2,0,9,5,2,4,4,0,1,4
-4.0,6,4,0,11,5,2,4,4,0,1,4
-3.75,6,5,0,11,5,3,4,6,0,1,5
-3.5,6,8,1,11,7,4,4,6,0,3,7
-3.25,8,11,4,15,13,5,5,8,1,3,9
-3.0,10,13,10,19,15,5,7,9,1,5,9
-2.75,12,17,11,21,26,5,9,11,4,9,17
-2.5,18,20,13,24,32,7,11,16,4,14,23
-2.25,28,30,17,31,45,10,15,23,4,27,34
-2.0,42,38,40,48,65,13,35,29,9,48,54
-1.75,69,49,50,64,82,15,53,42,20,88,91
-1.5,115,82,80,88,105,25,118,60,24,133,131
-1.25,115,99,116,125,182,38,152,95,39,197,183
-1.0,176,174,212,195,260,60,238,163,71,290,238
1.0,217,176,241,182,413,93,159,322,88,244,251
1.25,161,104,179,123,319,43,120,255,49,162,187
1.5,161,93,135,88,168,28,84,180,38,92,141
1.75,116,63,105,53,122,22,61,137,23,55,102
2.0,85,48,57,40,80,18,43,103,13,44,75
2.25,63,34,44,29,54,15,33,80,11,29,60
2.5,39,26,31,26,39,10,28,62,8,23,39
2.75,29,20,24,19,26,9,19,42,3,18,27
3.0,22,13,13,16,18,7,13,32,3,13,21
3.25,14,10,9,15,13,5,9,26,2,11,15
3.5,11,6,5,14,8,5,5,14,1,9,15
3.75,11,4,4,11,7,4,5,10,1,9,13
4.0,9,4,1,11,7,3,3,4,1,5,11
4.25,9,2,1,9,5,3,3,4,1,4,9
4.5,6,2,1,7,3,2,1,4,1,3,8
4.75,6,2,1,5,3,2,1,4,1,2,6
5.0,4,1,1,2,3,1,1,4,1,1,6
