,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722
-4.75,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722,1.14722
-4.5,1.14723,1.14723,1.14723,1.14723,1.14723,1.14723,1.14723,1.14723,1.14723,1.14723,1.14723
-4.25,2.10841,2.10841,2.10841,2.10841,2.10841,2.10841,2.10841,2.10841,2.10841,2.10841,2.10841
-4.0,1.81845,1.81845,1.81845,1.81845,1.81845,1.81845,1.81845,1.81845,1.81845,1.81845,1.81845
-3.75,4.56843,4.56843,4.56843,4.56843,4.56843,4.56843,4.56843,4.56843,4.56843,4.56843,4.56843
-3.5,4.35494,4.35494,4.35494,4.35494,4.35494,4.35494,4.35494,4.35494,4.35494,4.35494,4.35494
-3.25,3.59605,3.59605,3.59605,3.59605,3.59605,3.59605,3.59605,3.59605,3.59605,3.59605,3.59605
-3.0,6.45825,6.45825,6.45825,6.45825,6.45825,6.45825,6.45825,6.45825,6.45825,6.45825,6.45825
-2.75,6.75865,6.75865,6.75865,6.75865,6.75865,6.75865,6.75865,6.75865,6.75865,6.75865,6.75865
-2.5,8.70595,8.70595,8.70595,8.70595,8.70595,8.70595,8.70595,8.70595,8.70595,8.70595,8.70595
-2.25,6.13419,6.13419,6.13419,6.13419,6.13419,6.13419,6.13419,6.13419,6.13419,6.13419,6.13419
-2.0,6.28348,6.28348,6.28348,6.28348,6.28348,6.28348,6.28348,6.28348,6.28348,6.28348,6.28348
-1.75,5.49286,5.49286,5.49286,5.49286,5.49286,5.49286,5.49286,5.49286,5.49286,5.49286,5.49286
-1.5,4.59585,4.59585,4.59585,4.59585,4.59585,4.59585,4.59585,4.59585,4.59585,4.59585,4.59585
-1.25,3.67698,3.67698,3.67698,3.67698,3.67698,3.67698,3.67698,3.67698,3.67698,3.67698,3.67698
-1.0,2.99883,2.99883,2.99883,2.99883,2.99883,2.99883,2.99883,2.99883,2.99883,2.99883,2.99883
1.0,3.61375,3.61344,3.61279,3.61238,3.61218,3.61204,3.61174,3.61052,3.61052,3.61052,3.61031
1.25,4.42666,4.42623,4.42532,4.42474,4.42445,4.42426,4.42384,4.42212,4.42212,4.42212,4.42183
1.5,5.69548,5.69349,5.69349,5.69265,5.69223,5.69151,5.69132,5.70755,5.70755,5.70755,5.70755
1.75,6.5639,6.55951,6.55951,6.55951,6.55951,6.58662,6.58662,6.58662,6.58662,6.58662,6.58662
2.0,7.86123,7.85516,7.85516,7.85516,7.85516,7.906,7.906,7.906,7.906,7.906,7.906
2.25,9.53541,9.52695,9.52695,9.52695,9.52695,9.62201,9.62201,9.62201,9.62201,9.62201,9.62201
2.5,11.20427,11.20427,11.20427,11.20427,11.20427,11.35856,11.35856,11.35856,11.35856,11.35856,11.35856
2.75,12.74848,12.74848,12.74848,12.74848,12.74848,13.02281,13.02281,13.02281,13.02281,13.02281,13.02281
3.0,14.52627,14.52627,14.52627,14.52627,14.52627,14.52627,14.52627,14.52627,14.52627,14.52627,14.52627
3.25,16.74747,16.74747,16.74747,16.74747,16.74747,16.74747,16.74747,16.74747,16.74747,16.74747,16.74747
3.5,20.56179,20.56179,20.56179,20.56179,20.56179,20.56179,20.56179,20.56179,20.56179,20.56179,20.56179
3.75,21.32525,21.32525,21.32525,21.32525,21.32525,21.32525,21.32525,21.32525,21.32525,21.32525,21.32525
4.0,4.78675,4.78675,4.78675,4.78675,4.78675,4.78675,4.78675,4.78675,4.78675,4.78675,4.78675
4.25,5.03907,5.03907,5.03907,5.03907,5.03907,5.03907,5.03907,5.03907,5.03907,5.03907,5.03907
4.5,6.89915,6.89915,6.89915,6.89915,6.89915,6.89915,6.89915,6.89915,6.89915,6.89915,6.89915
4.75,9.43631,9.43631,9.43631,9.43631,9.43631,9.43631,9.43631,9.43631,9.43631,9.43631,9.43631
5.0,2.36339,2.36339,2.36339,2.36339,2.36339,2.36339,2.36339,2.36339,2.36339,2.36339,2.36339
