,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,1.25183,3.25184,0.0,0.75055,1.1235,5.87595,1.51412,0.08395,9.81783,2.46688,1.26759
-4.75,2.26206,3.30747,0.0,0.70405,1.1235,5.95987,1.53312,0.37056,9.81783,2.46688,1.26759
-4.5,2.26206,3.37912,0.0,0.70405,1.1235,6.31541,1.55161,0.37056,9.81783,2.51626,1.18221
-4.25,2.26206,2.23805,1.61013,1.33604,0.58063,6.31541,1.35776,0.19302,5.04073,2.51626,1.1884
-4.0,1.55146,2.41936,1.35267,1.18803,0.33914,6.31543,1.39492,4.08274,3.70549,2.03269,2.32198
-3.75,1.20668,2.44541,2.21296,1.02665,0.33914,5.83099,1.20551,4.58509,3.58597,2.03269,2.08918
-3.5,1.23249,2.25354,2.31638,1.03599,0.74264,4.71776,0.97831,3.68704,3.60589,2.03269,1.83253
-3.25,1.07494,2.63974,2.64342,1.24784,1.0884,4.8286,1.0253,3.68704,2.98415,2.2662,1.71348
-3.0,1.07494,2.62731,2.98585,1.12971,1.3008,5.33093,0.91769,9.6712,2.57754,2.98872,1.68438
-2.75,1.07495,2.25386,2.47299,1.33962,1.59948,5.13885,0.83806,12.36736,2.45789,3.08628,1.78886
-2.5,1.3098,2.67626,3.72115,1.19721,2.31801,5.14017,1.94092,12.31612,2.76007,3.19661,2.01741
-2.25,5.32513,2.11591,3.91072,1.29879,2.99499,4.65059,3.42485,12.76114,2.16138,6.46763,2.7254
-2.0,7.61949,1.9155,3.08998,1.20773,3.07338,3.07038,5.12394,14.10761,2.12811,5.3054,2.25242
-1.75,8.67836,2.00115,3.28954,1.36733,2.85137,2.73805,4.87739,15.81156,2.04607,5.07256,2.27326
-1.5,7.32682,1.86475,3.39597,1.35457,2.54189,2.19999,5.29348,12.75979,1.94356,4.37905,2.0227
-1.25,6.16794,1.85357,2.8995,1.38207,2.20139,2.48605,4.49175,9.75594,2.03538,4.39964,1.8873
-1.0,5.58421,1.68531,2.54862,1.20249,1.94592,1.98154,4.13686,6.81341,1.82176,3.84206,1.82524
1.0,5.67477,2.17105,2.92935,2.21385,1.63402,2.2138,3.97145,4.89764,1.84598,3.04916,1.90961
1.25,7.20296,2.46544,3.39377,2.41499,1.79592,2.72466,4.07453,5.67052,2.06412,3.71524,2.0532
1.5,7.90037,2.71808,3.7918,2.44052,2.07687,3.27925,4.53398,6.58141,2.38434,4.50504,2.2116
1.75,8.89221,3.45691,4.03979,2.25629,1.98169,3.18212,4.58658,6.53756,2.68471,5.23787,1.92821
2.0,11.08425,3.966,4.60709,2.42981,1.91404,3.28093,4.70017,6.96953,3.25477,5.78166,1.70165
2.25,12.59371,4.64295,5.07288,2.45305,2.07759,3.19506,7.12127,6.03281,3.74411,6.72161,1.59182
2.5,14.0005,5.24073,4.66876,2.92166,2.47517,3.40164,9.34574,4.83941,4.31457,6.83153,1.37776
2.75,14.63902,1.65837,5.46118,2.70371,2.64042,2.92626,9.12681,5.58574,5.09451,6.09273,1.40526
3.0,14.76161,1.39341,4.2139,2.11878,2.41417,3.82912,11.32933,3.93702,5.78275,5.76409,1.36743
3.25,16.13151,1.52499,5.01982,2.39661,2.73559,3.96838,11.97528,3.93702,6.2421,5.74312,1.77941
3.5,17.0261,1.71839,8.32997,2.74006,3.11695,4.41386,11.97528,3.75819,6.26127,8.96035,1.95198
3.75,10.62931,1.62932,8.77593,2.74006,2.13448,5.80952,11.93962,0.23633,6.38902,8.96035,2.20137
4.0,10.62931,1.59298,6.08126,3.0082,2.28632,5.69303,11.85162,0.23633,2.53001,8.96035,2.59211
4.25,7.34327,1.59298,6.15348,2.95372,2.42557,2.90291,11.80419,0.23633,0.16003,0.0,2.59211
4.5,8.77795,1.55028,0.0,2.989,2.68319,2.90275,11.80419,0.08411,0.16003,0.0,2.59211
4.75,0.53279,1.42371,0.0,3.52781,3.22995,4.58864,1.67502,0.08411,0.16003,0.0,2.81459
5.0,0.53279,1.54012,0.0,2.78373,1.01304,0.0,1.67502,0.02122,0.16003,0.0,3.29704
