,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.11859,0.15615,0.08754,1.37735,0.19241,0.11806,0.0,0.12718,0.09621,0.13727,0.12862
-4.75,0.11859,0.15624,0.07537,1.29234,0.18695,0.11286,0.0,0.12,0.08521,0.13727,0.12955
-4.5,0.11581,0.14809,0.07093,1.28077,0.17056,0.10546,0.0,0.11088,0.13364,0.12028,0.12955
-4.25,0.10688,0.1346,0.0687,1.03898,0.16616,0.09978,0.0,0.10134,0.11171,0.12028,0.12955
-4.0,0.09978,0.13432,0.0665,1.03898,0.1565,0.09696,0.0,0.09496,0.11171,0.11521,0.12765
-3.75,0.08972,0.12322,0.06441,0.92153,0.15444,0.0899,0.08338,0.09204,0.10113,0.11332,0.11852
-3.5,0.08258,0.11752,0.05901,0.89734,0.14618,0.08418,0.08234,0.08661,0.08981,0.11143,0.11187
-3.25,0.07478,0.10849,0.05371,0.87461,0.13406,0.07842,0.08538,0.07869,0.08155,0.11143,0.11187
-3.0,0.06775,0.10212,0.05121,0.83646,0.12773,0.07533,0.08538,0.07139,0.07114,0.10307,0.10236
-2.75,0.061,0.09669,0.04715,0.82874,0.12418,0.06985,0.07936,0.06942,0.06278,0.08606,0.09412
-2.5,0.05692,0.09489,0.04363,0.65128,0.11162,0.06493,0.07633,0.06281,0.05771,0.07404,0.08624
-2.25,0.04914,0.08751,0.04066,0.64639,0.10315,0.05873,0.07149,0.05667,0.05114,0.06791,0.08081
-2.0,0.04595,0.07927,0.03808,0.60563,0.09556,0.05506,0.06046,0.05282,0.0463,0.06037,0.07177
-1.75,0.04091,0.07099,0.0343,0.48265,0.08665,0.05047,0.05468,0.04858,0.04164,0.05584,0.059
-1.5,0.03692,0.06205,0.03129,0.41142,0.07526,0.04505,0.04744,0.04312,0.03664,0.04794,0.05174
-1.25,0.03286,0.05457,0.02809,0.40839,0.06494,0.03884,0.04293,0.03881,0.03342,0.04081,0.04377
-1.0,0.02861,0.04592,0.02502,0.32658,0.05427,0.03362,0.03665,0.03286,0.02921,0.03505,0.03743
1.0,0.02875,0.04732,0.02568,0.29645,0.05541,0.03653,0.03743,0.03323,0.02864,0.03406,0.03832
1.25,0.03252,0.05433,0.0285,0.34635,0.06451,0.04218,0.04386,0.03835,0.03265,0.03979,0.04483
1.5,0.03638,0.06472,0.03208,0.44213,0.07722,0.0478,0.05155,0.04359,0.03645,0.04723,0.0518
1.75,0.04034,0.0753,0.03615,0.4703,0.08241,0.05255,0.05919,0.0491,0.04132,0.05805,0.05831
2.0,0.0443,0.08192,0.03953,0.53652,0.09187,0.05945,0.06683,0.05502,0.04472,0.06366,0.06248
2.25,0.04919,0.0897,0.04333,0.59493,0.10322,0.06749,0.07792,0.05964,0.04814,0.07266,0.0702
2.5,0.05132,0.09774,0.04786,0.60906,0.11218,0.07466,0.08463,0.066,0.05288,0.08388,0.07845
2.75,0.05652,0.1014,0.05075,0.6649,0.12472,0.08147,0.08887,0.07174,0.06021,0.09153,0.08405
3.0,0.06135,0.10495,0.05585,0.72318,0.1345,0.08735,0.09411,0.07656,0.06556,0.09314,0.08935
3.25,0.06496,0.10728,0.06024,0.75853,0.14258,0.09368,0.10495,0.08016,0.06768,0.09569,0.09445
3.5,0.06668,0.11205,0.0645,0.82775,0.15342,0.09893,0.11984,0.08596,0.07323,0.1122,0.10162
3.75,0.06976,0.12346,0.0722,0.88766,0.15677,0.10407,0.12388,0.09126,0.08734,0.1122,0.10162
4.0,0.07399,0.13092,0.07931,0.9459,0.1617,0.11111,0.13357,0.09674,0.08875,0.12055,0.102
4.25,0.07542,0.13389,0.08382,0.97805,0.17244,0.12124,0.14182,0.10131,0.09993,0.10572,0.14479
4.5,0.07726,0.15028,0.08849,1.0698,0.17327,0.12776,0.14285,0.10652,0.10134,0.10572,0.14479
4.75,0.08487,0.15928,0.09787,1.09133,0.18909,0.13755,0.14149,0.10998,0.10557,0.10572,0.14479
5.0,0.09081,0.16261,0.10888,1.15118,0.18608,0.14059,0.15043,0.11641,0.10557,0.0,0.14479
