,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.08674,0.08833,0.0,0.1304,0.07452,0.23356,0.10619,0.19636,0.0809,0.11643,0.07079
-4.75,0.07861,0.08722,0.0,0.13306,0.07452,0.22071,0.1043,0.18643,0.0809,0.11643,0.07079
-4.5,0.07861,0.08378,0.0,0.1326,0.07452,0.21576,0.10278,0.18643,0.0809,0.11738,0.06768
-4.25,0.07861,0.08524,0.05957,0.13046,0.0732,0.19304,0.09442,0.19276,0.07135,0.11738,0.0653
-4.0,0.07455,0.08198,0.06288,0.12389,0.07363,0.18595,0.09231,0.13872,0.06443,0.1135,0.05904
-3.75,0.08587,0.08031,0.05992,0.11968,0.07363,0.16767,0.08869,0.13641,0.06966,0.1135,0.05498
-3.5,0.08615,0.0753,0.05859,0.12283,0.06681,0.16376,0.08463,0.12435,0.06856,0.1135,0.05578
-3.25,0.06933,0.06879,0.05136,0.11483,0.0665,0.15266,0.08154,0.12435,0.06096,0.09697,0.05748
-3.0,0.065,0.06584,0.04924,0.11099,0.06014,0.13807,0.08113,0.11253,0.05689,0.08119,0.05458
-2.75,0.065,0.06126,0.04678,0.10784,0.05427,0.1252,0.07804,0.08608,0.05346,0.07182,0.05137
-2.5,0.06173,0.05703,0.04405,0.10082,0.04981,0.12293,0.06688,0.07812,0.04681,0.06858,0.04558
-2.25,0.05469,0.05056,0.04,0.09241,0.04779,0.119,0.06418,0.07109,0.0433,0.05495,0.04146
-2.0,0.05021,0.04755,0.03766,0.08253,0.04393,0.09985,0.05801,0.06938,0.03818,0.04682,0.03711
-1.75,0.04628,0.04233,0.0338,0.07586,0.03893,0.09411,0.05175,0.06273,0.03457,0.03986,0.03461
-1.5,0.03954,0.0392,0.03069,0.07141,0.03452,0.08267,0.04676,0.05439,0.03105,0.03306,0.02945
-1.25,0.03379,0.03529,0.02701,0.06683,0.03072,0.07479,0.04075,0.04397,0.02723,0.02942,0.027
-1.0,0.02976,0.03108,0.02373,0.06001,0.02766,0.06356,0.03588,0.03539,0.0245,0.02628,0.02386
1.0,0.02929,0.03262,0.02426,0.05634,0.02885,0.06515,0.03804,0.03051,0.02471,0.02497,0.0233
1.25,0.03396,0.03719,0.02726,0.06136,0.03278,0.07853,0.04291,0.03573,0.02719,0.0276,0.02529
1.5,0.03734,0.04144,0.03027,0.06742,0.03696,0.0867,0.04759,0.04105,0.02949,0.03104,0.02784
1.75,0.04016,0.0456,0.03412,0.0724,0.04067,0.10119,0.05105,0.04696,0.03273,0.03326,0.03202
2.0,0.04733,0.04981,0.03738,0.07859,0.04442,0.11438,0.0551,0.0568,0.03459,0.03567,0.0351
2.25,0.05426,0.05469,0.03942,0.08358,0.04705,0.12019,0.06473,0.07291,0.03672,0.03819,0.03916
2.5,0.06113,0.06022,0.04389,0.09222,0.05084,0.13107,0.07838,0.09011,0.04012,0.04371,0.04246
2.75,0.06308,0.0691,0.04573,0.10121,0.05545,0.1326,0.08392,0.11565,0.04178,0.048,0.04558
3.0,0.06546,0.07726,0.04756,0.11304,0.06019,0.13844,0.09493,0.12615,0.04524,0.05707,0.04778
3.25,0.0662,0.08489,0.05007,0.11235,0.06444,0.14584,0.10196,0.12686,0.0484,0.05921,0.05373
3.5,0.07157,0.09655,0.05296,0.12435,0.06683,0.16082,0.10196,0.13635,0.04939,0.06647,0.06082
3.75,0.07226,0.10512,0.05437,0.12435,0.073,0.16052,0.10469,0.14918,0.0526,0.06647,0.06653
4.0,0.07226,0.10763,0.05738,0.12772,0.07397,0.1689,0.09584,0.14918,0.05476,0.06647,0.06855
4.25,0.08011,0.10818,0.06496,0.12843,0.07703,0.17998,0.11197,0.14918,0.06061,0.0,0.06855
4.5,0.08555,0.11152,0.0,0.12496,0.07791,0.18846,0.11197,0.16395,0.06061,0.0,0.06855
4.75,0.09331,0.11752,0.0,0.13364,0.08158,0.19333,0.12529,0.16395,0.06061,0.0,0.07136
5.0,0.09331,0.12824,0.0,0.14181,0.08641,0.0,0.12529,0.18582,0.06061,0.0,0.07598
