,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,3,3,3,3,3,3,3,3,3,3,3
-4.75,3,3,3,3,3,3,3,3,3,3,3
-4.5,3,3,3,3,3,3,3,3,3,3,3
-4.25,4,4,4,4,4,4,4,4,4,4,4
-4.0,5,5,5,5,5,5,5,5,5,5,5
-3.75,7,7,7,7,7,7,7,7,7,7,7
-3.5,9,9,9,9,9,9,9,9,9,9,9
-3.25,13,13,13,13,13,13,13,13,13,13,13
-3.0,22,22,22,22,22,22,22,22,22,22,22
-2.75,31,31,31,31,31,31,31,31,31,31,31
-2.5,39,39,39,39,39,39,39,39,39,39,39
-2.25,68,68,68,68,68,68,68,68,68,68,68
-2.0,89,89,89,89,89,89,89,89,89,89,89
-1.75,126,126,126,126,126,126,126,126,126,126,126
-1.5,199,199,199,199,199,199,199,199,199,199,199
-1.25,294,294,294,294,294,294,294,294,294,294,294
-1.0,426,426,426,426,426,426,426,426,426,426,426
1.0,382,382,382,382,382,382,382,382,382,382,382
1.25,272,272,272,272,272,272,272,272,272,272,272
1.5,185,185,185,185,185,185,185,184,184,184,184
1.75,137,137,137,137,137,136,136,136,136,136,136
2.0,99,99,99,99,99,98,98,98,98,98,98
2.25,71,71,71,71,71,70,70,70,70,70,70
2.5,55,55,55,55,55,54,54,54,54,54,54
2.75,37,37,37,37,37,36,36,36,36,36,36
3.0,28,28,28,28,28,28,28,28,28,28,28
3.25,23,23,23,23,23,23,23,23,23,23,23
3.5,17,17,17,17,17,17,17,17,17,17,17
3.75,15,15,15,15,15,15,15,15,15,15,15
4.0,11,11,11,11,11,11,11,11,11,11,11
4.25,10,10,10,10,10,10,10,10,10,10,10
4.5,7,7,7,7,7,7,7,7,7,7,7
4.75,5,5,5,5,5,5,5,5,5,5,5
5.0,3,3,3,3,3,3,3,3,3,3,3
