,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,1,3,0,5,1,2,3,1,2,3,5
-4.75,2,3,0,6,1,2,3,1,2,3,5
-4.5,2,3,0,6,1,2,3,1,2,3,6
-4.25,2,5,2,7,2,2,5,2,4,3,6
-4.0,3,5,4,9,4,2,5,4,6,4,8
-3.75,4,5,5,11,4,3,6,4,7,4,11
-3.5,4,6,6,12,6,4,8,5,7,4,14
-3.25,7,9,9,15,7,4,8,5,9,5,15
-3.0,7,11,14,18,10,4,9,6,11,6,17
-2.75,7,14,19,22,17,5,11,10,14,8,20
-2.5,9,18,25,29,28,5,17,12,18,9,29
-2.25,13,30,33,35,37,6,21,15,26,16,36
-2.0,20,43,47,55,49,11,28,15,34,27,53
-1.75,23,55,60,79,68,15,39,17,51,36,61
-1.5,34,78,78,104,100,23,50,22,80,56,82
-1.25,54,107,116,121,140,24,71,33,116,72,112
-1.0,70,143,163,159,186,46,96,51,160,96,149
1.0,87,143,138,132,231,60,96,94,158,114,209
1.25,60,106,105,105,173,34,76,68,124,82,163
1.5,48,83,82,76,125,26,52,42,94,56,125
1.75,38,61,62,59,110,19,36,32,71,42,84
2.0,23,46,47,44,84,16,28,22,53,33,59
2.25,17,30,38,36,66,15,16,21,36,22,40
2.5,13,21,31,29,47,13,11,14,25,16,26
2.75,12,14,23,23,35,11,9,9,20,10,19
3.0,11,11,16,15,26,6,7,8,13,2,14
3.25,9,9,11,13,21,5,5,8,9,2,9
3.5,7,6,6,11,14,4,5,7,8,1,7
3.75,7,5,5,11,12,3,5,6,4,1,6
4.0,7,5,3,10,11,3,3,6,3,1,5
4.25,5,5,1,10,10,2,3,6,1,0,5
4.5,4,5,0,9,9,2,3,5,1,0,5
4.75,3,4,0,7,7,1,2,5,1,0,4
5.0,3,3,0,6,5,0,2,4,1,0,3
