,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619
-4.75,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619
-4.5,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619
-4.25,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619
-4.0,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619,0.11619
-3.75,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757
-3.5,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757,0.11757
-3.25,0.09957,0.09957,0.09957,0.09957,0.09957,0.09957,0.09957,0.09957,0.09957,0.09957,0.09957
-3.0,0.1039,0.1039,0.1039,0.1039,0.1039,0.1039,0.1039,0.1039,0.1039,0.1039,0.1039
-2.75,0.07896,0.07896,0.07896,0.07896,0.07896,0.07896,0.07896,0.07896,0.07896,0.07896,0.07896
-2.5,0.06739,0.06739,0.06739,0.06739,0.06795,0.06782,0.06782,0.06782,0.06782,0.06782,0.06782
-2.25,0.06043,0.06043,0.06043,0.06056,0.06106,0.06065,0.06065,0.06065,0.06065,0.06065,0.06065
-2.0,0.05352,0.05352,0.05352,0.05364,0.05389,0.05353,0.05353,0.05353,0.05353,0.05353,0.05353
-1.75,0.04738,0.04738,0.04738,0.04754,0.04766,0.04741,0.04741,0.04741,0.04741,0.04741,0.04741
-1.5,0.04209,0.04211,0.04213,0.04221,0.04228,0.04216,0.04216,0.04211,0.04211,0.04211,0.04211
-1.25,0.03744,0.03743,0.03746,0.03751,0.03756,0.03745,0.03745,0.03743,0.03743,0.03743,0.03743
-1.0,0.03226,0.03225,0.03227,0.0323,0.03233,0.03226,0.03227,0.03225,0.03225,0.03225,0.03225
1.0,0.03541,0.03541,0.03541,0.03541,0.03541,0.03541,0.03541,0.03541,0.03541,0.03541,0.03541
1.25,0.03815,0.03815,0.03815,0.03815,0.03815,0.03815,0.03815,0.03815,0.03815,0.03815,0.03815
1.5,0.04369,0.04369,0.04369,0.04369,0.04369,0.04369,0.04369,0.04369,0.04369,0.04369,0.04369
1.75,0.04901,0.04901,0.04901,0.04901,0.04901,0.04901,0.04901,0.04901,0.04901,0.04901,0.04901
2.0,0.05383,0.05383,0.05383,0.05383,0.05383,0.05383,0.05383,0.05383,0.05383,0.05383,0.05383
2.25,0.0583,0.0583,0.0583,0.0583,0.0583,0.0583,0.0583,0.0583,0.0583,0.0583,0.0583
2.5,0.06188,0.06188,0.06188,0.06188,0.06188,0.06188,0.06188,0.06188,0.06188,0.06188,0.06188
2.75,0.07011,0.07011,0.07011,0.07011,0.07011,0.07011,0.07011,0.07011,0.07011,0.07011,0.07011
3.0,0.07525,0.07525,0.07525,0.07525,0.07525,0.07525,0.07525,0.07525,0.07525,0.07525,0.07525
3.25,0.08146,0.08146,0.08146,0.08146,0.08146,0.08146,0.08146,0.08146,0.08146,0.08146,0.08146
3.5,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091
3.75,0.10109,0.10109,0.10109,0.10109,0.10109,0.10109,0.10109,0.10109,0.10109,0.10109,0.10109
4.0,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058
4.25,0.1194,0.1194,0.1194,0.1194,0.1194,0.1194,0.1194,0.1194,0.1194,0.1194,0.1194
4.5,0.13212,0.13212,0.13212,0.13212,0.13212,0.13212,0.13212,0.13212,0.13212,0.13212,0.13212
4.75,0.14211,0.14211,0.14211,0.14211,0.14211,0.14211,0.14211,0.14211,0.14211,0.14211,0.14211
5.0,0.18941,0.18941,0.18941,0.18941,0.18941,0.18941,0.18941,0.18941,0.18941,0.18941,0.18941
