,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.5,0.04903,0.04903,0.04903,0.04903,0.04903,0.04903,0.04903,0.04903,0.04903,0.04903,0.04903
-3.25,0.04836,0.04836,0.04836,0.04836,0.04836,0.04836,0.04836,0.04836,0.04836,0.04836,0.04836
-3.0,0.04438,0.04438,0.04438,0.04438,0.04438,0.04438,0.04438,0.04438,0.04438,0.04438,0.04438
-2.75,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809
-2.5,0.04586,0.04586,0.04586,0.04586,0.04586,0.04586,0.04586,0.04586,0.04586,0.04586,0.04586
-2.25,0.05034,0.05034,0.05034,0.05034,0.05034,0.05034,0.05034,0.05034,0.05034,0.05034,0.05034
-2.0,0.04377,0.04377,0.04377,0.04377,0.04377,0.04377,0.04377,0.04377,0.04377,0.04377,0.04377
-1.75,0.04157,0.04157,0.04157,0.04157,0.04157,0.04157,0.04157,0.04157,0.04157,0.04157,0.04157
-1.5,0.03534,0.03534,0.03534,0.03534,0.03534,0.03534,0.03534,0.03534,0.03534,0.03534,0.03534
-1.25,0.03196,0.03196,0.03196,0.03196,0.03196,0.03196,0.03196,0.03196,0.03196,0.03196,0.03196
-1.0,0.02778,0.02778,0.02778,0.02778,0.02778,0.02778,0.02778,0.02778,0.02778,0.02778,0.02778
1.0,0.02772,0.02772,0.02772,0.02772,0.02772,0.02772,0.02772,0.02772,0.02772,0.02772,0.02772
1.25,0.03073,0.03073,0.03073,0.03073,0.03073,0.03073,0.03073,0.03073,0.03073,0.03073,0.03073
1.5,0.03396,0.03396,0.03396,0.03396,0.03396,0.03396,0.03396,0.03396,0.03396,0.03396,0.03396
1.75,0.03813,0.03813,0.03813,0.03813,0.03813,0.03813,0.03813,0.03813,0.03813,0.03813,0.03813
2.0,0.04642,0.04642,0.04642,0.04642,0.04642,0.04642,0.04642,0.04642,0.04642,0.04642,0.04642
2.25,0.05325,0.05325,0.05325,0.05325,0.05325,0.05325,0.05325,0.05325,0.05325,0.05325,0.05325
2.5,0.05901,0.05901,0.05901,0.05901,0.05901,0.05901,0.05901,0.05901,0.05901,0.05901,0.05901
2.75,0.0657,0.0657,0.0657,0.0657,0.0657,0.0657,0.0657,0.0657,0.0657,0.0657,0.0657
3.0,0.06862,0.06862,0.06862,0.06862,0.06862,0.06862,0.06862,0.06862,0.06862,0.06862,0.06862
3.25,0.07352,0.07352,0.07352,0.07352,0.07352,0.07352,0.07352,0.07352,0.07352,0.07352,0.07352
3.5,0.07115,0.07115,0.07115,0.07115,0.07115,0.07115,0.07115,0.07115,0.07115,0.07115,0.07115
3.75,0.06932,0.06932,0.06932,0.06932,0.06932,0.06932,0.06932,0.06932,0.06932,0.06932,0.06932
4.0,0.07285,0.07285,0.07285,0.07285,0.07285,0.07285,0.07285,0.07285,0.07285,0.07285,0.07285
4.25,0.07496,0.07496,0.07496,0.07496,0.07496,0.07496,0.07496,0.07496,0.07496,0.07496,0.07496
4.5,0.07668,0.07668,0.07668,0.07668,0.07668,0.07668,0.07668,0.07668,0.07668,0.07668,0.07668
4.75,0.08154,0.08154,0.08154,0.08154,0.08154,0.08154,0.08154,0.08154,0.08154,0.08154,0.08154
5.0,0.08209,0.08209,0.08209,0.08209,0.08209,0.08209,0.08209,0.08209,0.08209,0.08209,0.08209
