,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,2,2,2,2,2,2,2,2,2,2,2
-4.75,2,2,2,2,2,2,2,2,2,2,2
-4.5,2,2,2,2,2,2,2,2,2,2,2
-4.25,2,2,2,2,2,2,2,2,2,2,2
-4.0,2,2,2,2,2,2,2,2,2,2,2
-3.75,2,2,2,2,2,2,2,2,2,2,2
-3.5,2,2,2,2,2,2,2,2,2,2,2
-3.25,3,3,3,3,3,3,3,3,3,3,3
-3.0,3,3,3,3,3,3,3,3,3,3,3
-2.75,7,7,7,7,7,7,7,7,7,7,7
-2.5,15,15,15,15,15,14,14,14,14,14,14
-2.25,22,22,22,22,22,21,21,21,21,21,21
-2.0,45,45,45,45,45,44,44,44,44,44,44
-1.75,89,89,89,89,89,88,88,88,88,88,88
-1.5,165,165,165,165,165,165,165,164,164,164,164
-1.25,256,256,256,256,256,256,256,256,256,256,256
-1.0,425,425,425,425,425,425,425,425,425,425,425
1.0,343,343,343,343,343,343,343,343,343,343,343
1.25,241,241,241,241,241,241,241,241,241,241,241
1.5,172,172,172,172,172,172,172,172,172,172,172
1.75,118,118,118,118,118,118,118,118,118,118,118
2.0,85,85,85,85,85,85,85,85,85,85,85
2.25,60,60,60,60,60,60,60,60,60,60,60
2.5,48,48,48,48,48,48,48,48,48,48,48
2.75,32,32,32,32,32,32,32,32,32,32,32
3.0,22,22,22,22,22,22,22,22,22,22,22
3.25,16,16,16,16,16,16,16,16,16,16,16
3.5,11,11,11,11,11,11,11,11,11,11,11
3.75,7,7,7,7,7,7,7,7,7,7,7
4.0,6,6,6,6,6,6,6,6,6,6,6
4.25,4,4,4,4,4,4,4,4,4,4,4
4.5,3,3,3,3,3,3,3,3,3,3,3
4.75,2,2,2,2,2,2,2,2,2,2,2
5.0,1,1,1,1,1,1,1,1,1,1,1
