,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835
-4.75,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835
-4.5,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835,85.56835
-4.25,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789
-4.0,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789
-3.75,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789
-3.5,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789,85.5789
-3.25,57.37146,57.37146,57.37146,57.37146,57.37146,57.37146,57.37146,57.37146,57.37146,57.37146,57.37146
-3.0,57.39962,57.39962,57.39962,57.39962,57.39962,57.39962,57.39962,57.39962,57.39962,57.39962,57.39962
-2.75,42.75413,42.75413,42.75413,42.75413,42.75413,42.75413,42.75413,42.75413,42.75413,42.75413,42.75413
-2.5,24.19023,24.19023,24.19023,24.19023,24.18577,25.70816,25.70816,25.70816,25.70816,25.70816,25.70816
-2.25,18.6695,18.6695,18.6695,18.66926,18.66572,19.41778,19.41778,19.41778,19.41778,19.41778,19.41778
-2.0,11.00132,11.00132,11.00132,11.0005,10.99877,11.18346,11.18346,11.18346,11.18346,11.18346,11.18346
-1.75,8.54147,8.54147,8.53886,8.5371,8.53623,8.60059,8.60059,8.60059,8.60059,8.60059,8.60059
-1.5,6.18523,6.18485,6.18344,6.18249,6.18202,6.1804,6.1804,6.2022,6.2022,6.2022,6.2022
-1.25,5.01974,5.01928,5.01831,5.0177,5.01739,5.01718,5.01674,5.01278,5.01278,5.01278,5.01278
-1.0,3.81067,3.81039,3.8098,3.80944,3.80925,3.80913,3.80886,3.80757,3.80757,3.80757,3.80757
1.0,4.15437,4.15437,4.15437,4.15437,4.15437,4.15437,4.15437,4.15437,4.15437,4.15437,4.15437
1.25,5.49478,5.49478,5.49478,5.49478,5.49478,5.49478,5.49478,5.49478,5.49478,5.49478,5.49478
1.5,7.0312,7.0312,7.0312,7.0312,7.0312,7.0312,7.0312,7.0312,7.0312,7.0312,7.0312
1.75,9.30964,9.30964,9.30964,9.30964,9.30964,9.30964,9.30964,9.30964,9.30964,9.30964,9.30964
2.0,11.41102,11.41102,11.41102,11.41102,11.41102,11.41102,11.41102,11.41102,11.41102,11.41102,11.41102
2.25,14.1075,14.1075,14.1075,14.1075,14.1075,14.1075,14.1075,14.1075,14.1075,14.1075,14.1075
2.5,14.42543,14.42543,14.42543,14.42543,14.42543,14.42543,14.42543,14.42543,14.42543,14.42543,14.42543
2.75,17.0923,17.0923,17.0923,17.0923,17.0923,17.0923,17.0923,17.0923,17.0923,17.0923,17.0923
3.0,16.41803,16.41803,16.41803,16.41803,16.41803,16.41803,16.41803,16.41803,16.41803,16.41803,16.41803
3.25,11.48825,11.48825,11.48825,11.48825,11.48825,11.48825,11.48825,11.48825,11.48825,11.48825,11.48825
3.5,10.08657,10.08657,10.08657,10.08657,10.08657,10.08657,10.08657,10.08657,10.08657,10.08657,10.08657
3.75,13.46198,13.46198,13.46198,13.46198,13.46198,13.46198,13.46198,13.46198,13.46198,13.46198,13.46198
4.0,13.65179,13.65179,13.65179,13.65179,13.65179,13.65179,13.65179,13.65179,13.65179,13.65179,13.65179
4.25,17.36789,17.36789,17.36789,17.36789,17.36789,17.36789,17.36789,17.36789,17.36789,17.36789,17.36789
4.5,8.25539,8.25539,8.25539,8.25539,8.25539,8.25539,8.25539,8.25539,8.25539,8.25539,8.25539
4.75,11.62653,11.62653,11.62653,11.62653,11.62653,11.62653,11.62653,11.62653,11.62653,11.62653,11.62653
5.0,0.57717,0.57717,0.57717,0.57717,0.57717,0.57717,0.57717,0.57717,0.57717,0.57717,0.57717
