,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.0,0.0,0.0,0.12453,1.11937,1.16438,0.04631,0.0579,0.0,0.0,1.21351
-4.75,0.0,0.0,0.0,0.18574,1.1709,0.75249,0.05516,0.0579,0.0,0.0,1.21351
-4.5,0.0,0.0,0.0,0.33798,0.72086,0.75363,0.05516,0.0579,0.0,0.0,1.21351
-4.25,0.0,0.60782,0.0,0.28425,0.67216,1.16321,0.13276,0.0579,0.0,0.0,1.21351
-4.0,0.0,0.73959,0.0,0.389,0.61894,0.95112,0.13276,0.04021,0.0,0.0,1.21351
-3.75,0.0,4.23967,21.74987,0.389,1.33369,0.96305,0.23095,0.04021,0.0,2.88586,0.85473
-3.5,89.34756,3.47962,21.74987,1.12656,2.0261,0.88068,0.23095,3.3548,0.0,2.88586,1.67474
-3.25,45.49225,3.26277,21.74987,1.12856,2.3276,0.75279,0.24276,4.93095,0.0,3.0787,2.48756
-3.0,23.70433,3.04402,16.18727,0.84426,1.96404,0.97283,0.37317,3.82662,0.0,2.54404,2.72487
-2.75,16.14939,3.10008,10.95025,0.92701,1.98069,0.9931,0.39458,4.25893,0.0,3.98481,2.4807
-2.5,11.18568,5.62603,14.39421,0.89259,1.77109,0.86427,0.36366,3.68986,0.19927,2.66417,2.28401
-2.25,8.12679,5.09609,11.48162,1.52927,1.79893,1.00313,0.39426,3.86734,2.06969,2.22518,1.79098
-2.0,5.97094,5.07873,10.45471,1.36151,1.52088,1.11375,0.51033,3.56302,17.42655,2.2101,1.70225
-1.75,5.26328,4.56153,8.75418,1.46671,1.43548,1.12004,0.89902,2.91381,14.28403,1.86396,1.66998
-1.5,3.85198,3.61526,6.83426,1.24382,1.22171,1.11149,0.92642,2.10949,10.48648,1.46475,1.54414
-1.25,3.41408,2.99181,5.12839,1.20565,1.14234,0.92841,0.84968,1.98224,9.44487,1.35328,1.42116
-1.0,2.96692,2.72133,3.68241,1.1055,0.98834,0.87767,0.87307,1.7951,7.8883,1.16485,1.25799
1.0,3.1707,1.38344,2.93515,1.25676,0.99097,1.06723,0.74977,2.38749,7.72571,1.66786,1.31241
1.25,3.8157,1.54399,3.54563,1.39582,1.12776,1.26703,0.83835,2.73642,10.67952,2.24738,1.38592
1.5,4.36732,1.70623,3.81671,1.65774,1.25505,1.50811,0.8938,3.3651,14.93729,2.70144,1.49812
1.75,4.13492,1.76303,5.156,1.80557,1.36533,1.75942,0.92789,4.66071,15.82017,2.83081,1.65141
2.0,4.06984,2.17486,5.99104,1.91385,1.54162,1.75495,1.00918,6.53861,18.97614,3.09537,1.80298
2.25,3.60387,2.18895,7.12889,2.14141,1.87566,1.35579,1.15264,7.86534,31.98855,3.44984,1.84009
2.5,4.16547,2.61835,6.21502,2.69669,1.88887,1.06277,1.34009,11.20786,12.37106,3.80984,2.13372
2.75,4.59852,2.64649,6.73912,3.28269,2.11452,0.7958,1.33865,12.73325,10.64333,3.96661,2.26567
3.0,3.03871,2.41231,2.87879,3.51924,1.63767,0.81734,1.51074,16.55801,14.47459,5.1567,2.41454
3.25,2.51962,1.94525,3.85124,3.46788,1.48301,0.79937,1.49516,16.62283,14.47459,6.2364,2.63644
3.5,1.89696,1.48336,1.92128,0.88942,0.64027,0.9236,1.59859,20.60817,9.3751,7.01818,3.51748
3.75,1.77353,0.34676,1.92128,1.0629,0.70147,1.03916,1.95067,9.2782,9.3751,7.01818,2.54933
4.0,1.76911,0.34676,1.92128,0.71141,0.69762,1.02945,2.10594,13.74739,9.3751,5.57963,2.33604
4.25,1.73673,0.25615,1.92128,0.64856,0.68331,1.1006,2.12,13.74738,9.3751,5.57963,2.61899
4.5,2.18726,0.0,1.92128,0.6288,0.68331,1.02388,2.30075,0.0,9.32143,5.57963,2.70695
4.75,2.64428,0.0,1.92128,0.58729,0.68331,1.00219,2.30075,0.0,9.32143,6.24453,2.70024
5.0,2.6323,0.0,1.92128,0.58729,0.68331,0.76439,2.37247,0.0,9.32137,6.24453,2.70024
