,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.11619,0.14219,0.0,0.90627,0.14727,0.19119,0.20739,0.10677,0.10385,0.0,0.0
-4.75,0.11619,0.14034,0.0,0.87859,0.14479,0.17878,0.20739,0.10629,0.09577,0.0,0.0
-4.5,0.11619,0.13915,0.0,0.84193,0.13727,0.15763,0.16489,0.10568,0.09435,0.0,0.0
-4.25,0.11619,0.13258,0.0,0.78774,0.13029,0.14584,0.16489,0.0955,0.09294,0.10273,0.0
-4.0,0.11619,0.12287,0.08336,0.78329,0.12078,0.13308,0.18018,0.09254,0.09294,0.10273,0.0
-3.75,0.11757,0.12187,0.08336,0.72993,0.11044,0.12599,0.16002,0.09241,0.09294,0.10273,0.11618
-3.5,0.11757,0.10977,0.102,0.70989,0.10508,0.12599,0.14498,0.08619,0.08056,0.10057,0.09955
-3.25,0.09957,0.10458,0.09436,0.64329,0.10386,0.12138,0.1323,0.08123,0.072,0.10057,0.09955
-3.0,0.1039,0.10191,0.08055,0.60361,0.09712,0.10802,0.12484,0.07544,0.06491,0.10057,0.08729
-2.75,0.07896,0.09779,0.0793,0.57905,0.09019,0.0992,0.11524,0.07241,0.05999,0.09183,0.08167
-2.5,0.06739,0.09109,0.06534,0.54324,0.08506,0.09227,0.09934,0.06679,0.05411,0.08181,0.07653
-2.25,0.06043,0.07869,0.06207,0.48791,0.07722,0.07317,0.08791,0.0584,0.04925,0.07457,0.06667
-2.0,0.05352,0.06978,0.05704,0.44333,0.06818,0.06261,0.08061,0.05253,0.04548,0.06797,0.05737
-1.75,0.04738,0.06011,0.05002,0.4264,0.06145,0.05727,0.06216,0.04621,0.0397,0.05836,0.05088
-1.5,0.04209,0.0543,0.04312,0.34488,0.05537,0.04872,0.05307,0.04168,0.0353,0.048,0.04562
-1.25,0.03744,0.04646,0.03752,0.3274,0.04917,0.0426,0.04592,0.03755,0.03179,0.04163,0.03916
-1.0,0.03226,0.04093,0.03133,0.3058,0.04352,0.03762,0.03851,0.03328,0.02864,0.0368,0.03398
1.0,0.03541,0.03869,0.03302,0.25,0.04433,0.04007,0.04039,0.03396,0.02966,0.03875,0.03353
1.25,0.03815,0.04498,0.03809,0.30574,0.04878,0.0451,0.04682,0.03791,0.03307,0.0472,0.03845
1.5,0.04369,0.05048,0.04368,0.35484,0.05402,0.05094,0.05314,0.04178,0.03692,0.05595,0.04413
1.75,0.04901,0.05703,0.04813,0.39563,0.05986,0.05641,0.0604,0.04718,0.0404,0.06027,0.0515
2.0,0.05383,0.06277,0.05306,0.4104,0.06457,0.06244,0.0677,0.05077,0.04443,0.07196,0.05986
2.25,0.0583,0.07114,0.0585,0.44272,0.07002,0.06657,0.0742,0.05636,0.04714,0.08391,0.06666
2.5,0.06188,0.08078,0.06442,0.49315,0.07434,0.07005,0.08022,0.06082,0.05065,0.09389,0.07763
2.75,0.07011,0.08961,0.06912,0.55072,0.08275,0.08014,0.08412,0.06655,0.05485,0.10964,0.08896
3.0,0.07525,0.0968,0.07637,0.55072,0.08607,0.08916,0.09191,0.07155,0.0578,0.1423,0.09821
3.25,0.08146,0.10662,0.07926,0.65122,0.09109,0.09779,0.10508,0.07488,0.06148,0.1423,0.11058
3.5,0.091,0.11637,0.08708,0.65122,0.09615,0.10283,0.10961,0.07859,0.06587,0.1423,0.09931
3.75,0.10109,0.12577,0.08985,0.69197,0.10414,0.10269,0.11945,0.08578,0.07185,0.12694,0.10687
4.0,0.1058,0.13144,0.09321,0.81424,0.10894,0.11286,0.12743,0.08941,0.07797,0.14028,0.11217
4.25,0.1194,0.13137,0.09372,0.82947,0.11796,0.1176,0.14206,0.09312,0.08223,0.14028,0.11361
4.5,0.13212,0.1323,0.09021,0.85156,0.12423,0.1232,0.17381,0.09991,0.08519,0.14028,0.12149
4.75,0.14211,0.14856,0.10336,0.88334,0.12386,0.13667,0.17381,0.10381,0.09049,0.14028,0.141
5.0,0.18941,0.15315,0.10336,0.89025,0.14418,0.14694,0.17381,0.11063,0.09147,0.14596,0.141
