,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0.0,0.0,0.0,0.18288,0.08984,0.146,0.14567,0.13108,0.0,0.0,0.08948
-4.75,0.0,0.0,0.0,0.16467,0.08984,0.13334,0.12341,0.13108,0.0,0.0,0.08948
-4.5,0.0,0.0,0.0,0.14312,0.0857,0.13278,0.12341,0.13108,0.0,0.0,0.08948
-4.25,0.0,0.0843,0.0,0.13824,0.08147,0.12042,0.10392,0.13108,0.0,0.0,0.08948
-4.0,0.0,0.07551,0.0,0.12872,0.07817,0.1158,0.10392,0.11167,0.0,0.0,0.08948
-3.75,0.0,0.10115,0.0727,0.12872,0.0722,0.11539,0.09564,0.11167,0.0,0.06257,0.07652
-3.5,0.04903,0.0931,0.0727,0.12397,0.06952,0.11498,0.09516,0.09723,0.0,0.06114,0.07001
-3.25,0.04836,0.08949,0.0727,0.12397,0.06801,0.10356,0.08928,0.09119,0.0,0.05686,0.06297
-3.0,0.04438,0.07794,0.06922,0.11142,0.06074,0.09305,0.08221,0.07545,0.0,0.05134,0.05623
-2.75,0.04809,0.07644,0.06482,0.1053,0.05464,0.08586,0.07017,0.07376,0.0,0.04752,0.05156
-2.5,0.04586,0.07026,0.05479,0.10761,0.05082,0.07998,0.0646,0.06787,0.06694,0.04398,0.0483
-2.25,0.05034,0.06159,0.05144,0.09446,0.04728,0.07219,0.05403,0.06519,0.0628,0.03978,0.04321
-2.0,0.04377,0.05435,0.04608,0.08704,0.0426,0.06411,0.04639,0.05665,0.06003,0.03652,0.04047
-1.75,0.04157,0.0474,0.044,0.08055,0.0378,0.05942,0.04064,0.04524,0.0504,0.03426,0.03608
-1.5,0.03534,0.04184,0.03988,0.06863,0.03525,0.05384,0.03645,0.03738,0.04489,0.03321,0.03177
-1.25,0.03196,0.03616,0.03546,0.06183,0.03229,0.0478,0.03366,0.0349,0.0413,0.02884,0.0286
-1.0,0.02778,0.03171,0.03048,0.05722,0.0289,0.04234,0.03161,0.03035,0.03754,0.02687,0.02536
1.0,0.02772,0.03611,0.03193,0.06239,0.02933,0.04405,0.03174,0.02818,0.03418,0.0266,0.02481
1.25,0.03073,0.03928,0.03595,0.06653,0.03174,0.04894,0.03396,0.03139,0.04123,0.02896,0.02705
1.5,0.03396,0.04433,0.04042,0.07163,0.03481,0.05437,0.03661,0.03451,0.04701,0.03127,0.02991
1.75,0.03813,0.04942,0.04582,0.07587,0.03868,0.05921,0.0395,0.03824,0.05063,0.03469,0.03322
2.0,0.04642,0.05524,0.05232,0.08271,0.04391,0.06593,0.0432,0.041,0.05435,0.03825,0.03603
2.25,0.05325,0.0581,0.05776,0.08807,0.04726,0.06902,0.04673,0.04488,0.05536,0.04183,0.03956
2.5,0.05901,0.06373,0.06496,0.09565,0.05128,0.07433,0.05115,0.0492,0.06331,0.04472,0.04277
2.75,0.0657,0.06602,0.07782,0.10583,0.05298,0.08036,0.05468,0.05259,0.07981,0.05058,0.04724
3.0,0.06862,0.07242,0.10323,0.11266,0.05506,0.08707,0.05947,0.05251,0.08745,0.05464,0.04783
3.25,0.07352,0.07903,0.14738,0.11646,0.05907,0.09288,0.06588,0.05697,0.08745,0.05873,0.05171
3.5,0.07115,0.09401,0.23101,0.12331,0.06488,0.09642,0.06948,0.0604,0.08779,0.06733,0.05487
3.75,0.06932,0.10855,0.23101,0.1314,0.0723,0.10364,0.07427,0.0661,0.09635,0.0679,0.06021
4.0,0.07285,0.10949,0.23101,0.14694,0.07299,0.10465,0.07508,0.0659,0.09635,0.07397,0.0626
4.25,0.07496,0.12541,0.23101,0.14826,0.09459,0.10817,0.07687,0.06733,0.09635,0.07397,0.0653
4.5,0.07668,0.0,0.23101,0.14925,0.09459,0.10961,0.08256,0.0,0.10062,0.07397,0.07888
4.75,0.08154,0.0,0.23101,0.16541,0.09459,0.11492,0.08256,0.0,0.10062,0.07519,0.08174
5.0,0.08209,0.0,0.23101,0.16541,0.09459,0.12019,0.08712,0.0,0.10918,0.11226,0.08174
