,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,2,3,0,1,8,3,1,6,2,0,0
-4.75,2,3,0,3,8,3,1,6,2,0,0
-4.5,2,3,0,3,11,4,2,6,2,0,0
-4.25,2,4,0,3,12,4,2,8,2,1,0
-4.0,2,5,1,3,18,5,3,9,2,1,0
-3.75,2,6,1,3,23,6,4,9,2,1,1
-3.5,2,8,2,3,27,6,5,11,3,2,2
-3.25,3,10,3,4,32,7,7,17,5,2,2
-3.0,3,11,5,4,43,10,9,22,9,2,4
-2.75,7,13,9,4,59,14,11,34,23,3,6
-2.5,15,19,22,4,70,18,14,46,34,5,9
-2.25,22,27,35,4,101,37,17,77,53,8,15
-2.0,45,37,61,4,157,67,23,125,90,13,23
-1.75,89,58,88,4,232,104,40,209,163,22,37
-1.5,165,87,146,4,328,172,74,349,250,50,61
-1.25,256,141,258,4,497,303,130,525,357,97,95
-1.0,425,229,446,5,739,511,258,762,533,159,168
1.0,343,405,398,7,716,490,283,791,407,104,236
1.25,241,261,252,6,524,304,163,550,280,49,150
1.5,172,164,160,4,368,193,99,369,196,28,107
1.75,118,104,112,4,260,123,64,237,140,21,65
2.0,85,73,72,4,200,81,45,168,92,12,44
2.25,60,50,51,3,141,54,33,117,70,10,35
2.5,48,34,34,3,95,35,24,82,49,7,25
2.75,32,26,22,2,67,25,16,61,34,5,17
3.0,22,21,14,2,43,17,11,42,26,3,13
3.25,16,15,9,2,36,13,7,26,20,3,9
3.5,11,12,7,2,26,11,5,18,13,3,8
3.75,7,9,6,2,17,9,4,13,8,2,6
4.0,6,7,5,2,13,8,3,11,5,1,4
4.25,4,6,4,2,10,7,2,9,4,1,4
4.5,3,6,2,2,8,7,1,8,4,1,2
4.75,2,5,2,2,6,4,1,6,2,1,1
5.0,1,4,2,2,4,4,1,4,2,1,1
