,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10
-5.0,0,0,0,3,3,3,2,1,0,0,2
-4.75,0,0,0,3,3,5,3,1,0,0,2
-4.5,0,0,0,5,5,5,3,1,0,0,2
-4.25,0,1,0,6,6,5,5,1,0,0,2
-4.0,0,2,0,7,7,7,5,3,0,0,2
-3.75,0,4,1,7,10,7,6,3,0,2,5
-3.5,1,5,1,8,13,9,6,4,0,2,6
-3.25,2,6,1,8,14,12,7,4,0,2,9
-3.0,4,9,2,11,20,17,8,7,0,3,14
-2.75,6,11,4,15,27,23,8,8,0,5,18
-2.5,10,13,8,21,42,34,10,10,2,12,23
-2.25,16,19,13,29,52,45,17,11,4,23,36
-2.0,28,26,18,38,75,68,35,17,9,35,51
-1.75,35,35,24,54,113,94,58,29,15,55,68
-1.5,62,60,33,88,160,129,119,59,28,86,96
-1.25,88,99,50,134,221,188,189,84,35,128,149
-1.0,124,137,78,199,317,262,273,134,47,196,218
1.0,162,157,175,227,402,276,468,234,57,235,318
1.25,116,127,126,169,303,197,375,179,38,154,263
1.5,88,97,94,118,224,135,298,124,25,109,205
1.75,64,76,57,91,141,97,223,76,20,77,146
2.0,44,52,37,70,95,70,151,47,14,46,114
2.25,34,44,22,54,65,49,111,33,7,33,82
2.5,26,26,14,38,48,35,66,21,6,21,53
2.75,20,25,8,27,33,26,48,17,3,15,32
3.0,18,14,4,23,23,18,35,13,2,10,24
3.25,15,10,2,22,15,15,23,9,2,8,18
3.5,12,5,1,18,8,12,20,7,2,5,12
3.75,11,3,1,14,4,9,15,4,2,5,10
4.0,9,3,1,11,4,9,13,2,2,3,10
4.25,9,2,1,11,3,6,12,2,2,3,8
4.5,7,0,1,11,3,5,9,0,2,3,7
4.75,5,0,1,7,3,5,9,0,2,2,7
5.0,5,0,1,7,3,3,8,0,2,2,7
