,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.60038,0.0,0.0,0.0,0.0,0.84967,0.0,0.0,1.30565,0.39504,0.0,0.0,0.0,15.4755,22.71646,0.0,7.55622,4.29043,0.0,9.06596,0.0,0.0,0.0,25.40278,13.48215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01925,0.92107,0.0,0.0,2.48956,0.55907,0.0,0.0,5.43072,0.0,1.56809,5.52599,0.0,0.0,0.0,4.4067,0.98723,13.27731,0.04275,0.0,6.95449,0.0,25.92037,1.80438,35.47072,1.32762,5.50677,4.23706,0.23447,0.0,0.5504,2.46961,9.12432,0.0,1.8445,1.26011,0.0,2.8812,0.0,0.0,0.0,2.97099,0.0,3.13629,1.9147,0.0,0.0,6.0256,0.31995,2.92105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76017,0.0,1.83287,0.49549,0.0,0.0,0.80806,0.0,0.17669,0.0,1.68247,0.0,0.0,0.0,29.02265,1.28937,0.0,13.31134,0.53086,11.07547,0.0,0.21538,0.0,0.66288,2.73796,2.99301,0.0,0.0,0.17181,0.0,0.0,0.95807,0.22938,0.0,0.0,0.0,0.0,0.0,2.05951,3.49711,0.0,0.0,0.0,0.0,1.56962,0.0,1.42953,0.0,0.0,0.0,1.7678,9.38423,6.28638,0.0,3.37335,0.8242,0.0,0.0,3.47263,4.73273,0.77936,0.24473,1.39269,0.0,8.62509,0.82068,0.0,0.0,0.0,1.94253,0.0,1.1507,2.6887,0.0,0.0,7.85452,0.0,5.24861,0.0,0.1206,0.0,2.31328,0.0,3.13812,0.5843,4.76178,6.08125,0.0,4.71468,0.0,7.98433,0.0,3.33319,10.27733,0.0,0.72353,2.08272,0.0,0.0,0.0,0.85503,0.0,0.0,0.0,32.17884,0.0,25.83858,5.08593,0.0,0.89745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5212,0.0,0.0,0.29806,0.0,0.0,0.0,0.0,0.0,0.23314,0.0,2.14032,0.0,0.50728,0.10479,0.4611,1.47006,0.0,0.0,0.0,10.77621
-4.75,0.0,1.51583,0.0,0.0,0.0,0.0,0.84967,0.0,0.0,1.30565,0.39504,0.0,0.0,38.69146,15.4755,19.7972,0.0,7.55622,4.29043,0.0,9.06596,0.0,0.0,0.0,25.40278,13.48215,0.17733,0.0,0.0,0.0,0.0,0.0,0.0,1.01925,0.92107,0.0,0.0,2.48956,0.52437,0.0,6.80982,10.5916,2.73745,2.4328,5.52599,0.0,0.0,0.0,4.4067,2.43626,13.27731,0.04275,24.79151,10.108,0.0,25.92037,1.83307,26.79208,1.49498,5.50677,3.71836,0.23447,0.0,0.5504,2.71998,9.16089,0.10554,1.8445,1.30971,0.33176,2.8812,0.0,0.0,0.0,2.97099,0.0,3.13629,1.9147,0.0,0.0,6.0256,0.31995,2.92105,4.87488,0.0,0.0,0.0,0.0,0.0,0.0,2.76017,0.0,1.39959,0.49549,0.0,0.0,0.80806,0.0,1.22961,0.0,1.68252,0.0,0.0,0.0,29.02265,1.28937,0.0,13.31134,0.53086,11.8992,0.0,0.26622,0.0,1.00464,2.73796,2.99301,0.0,0.0,0.17183,0.0,0.0,0.61272,0.22938,0.0,0.0,0.0,0.0,0.0,2.09349,3.49711,0.0,0.0,0.0,0.0,1.33668,0.0,1.93717,0.0,0.16067,0.0,1.7678,9.81441,6.28638,0.0,1.89383,0.8242,0.0,0.0,3.53811,4.73273,0.77936,0.28908,1.39269,0.0,8.6662,0.82068,0.0,0.0,0.0,1.94253,0.0,1.1507,2.6887,0.0,0.0,7.85452,0.0,5.24861,1.44547,0.17346,0.0,2.31329,0.0,3.13813,0.5843,4.96139,6.08126,0.0,4.71468,0.0,7.98433,0.0,3.46939,10.27733,2.3534,0.77233,1.615,0.0,0.0,0.0,0.85503,0.0,0.0,0.0,32.36926,0.0,29.16249,5.12826,0.0,0.89745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64641,0.0,0.0,0.0,0.0,0.0,0.0,2.70959,0.5212,0.0,0.0,3.79818,0.0,0.0,0.0,0.0,0.0,0.23314,0.0,2.14032,0.0,2.16584,4.75228,0.4611,1.56256,0.0,0.0,0.0,10.77621
-4.5,18.47974,1.68261,0.0,0.0,0.0,0.0,1.05482,0.0,0.0,1.30565,0.39504,0.0,0.0,38.69146,25.14283,19.85962,0.0,7.55622,4.29043,0.0,9.06596,0.66566,0.0,0.0,25.40278,13.48215,0.17733,0.0,0.0,0.0,0.0,0.0,0.0,1.01925,0.61881,2.16863,0.0,2.48956,0.54227,1.37293,29.2605,10.72074,2.73745,5.10547,5.7251,0.0,0.0,0.0,3.98255,2.8518,13.27731,0.03201,17.88897,10.108,0.0,26.08723,1.83307,26.79208,1.5692,3.71451,3.15244,0.23447,0.0,0.5504,2.71998,9.16089,0.10554,1.89125,1.30971,0.33176,2.8812,0.0,0.0,0.0,2.97099,0.0,3.13629,3.79667,0.0,0.0,6.0256,0.31995,2.92105,6.665,5.49487,0.52638,0.0,0.0,0.0,0.0,2.76017,0.0,1.42303,0.91823,0.0,0.0,0.80806,0.0,1.26642,0.0,2.07039,0.0,0.0,0.0,29.02265,1.28937,0.0,13.31135,0.53086,11.8992,0.0,0.26622,4.85015,1.00464,2.73796,2.99301,0.0,0.0,0.34466,0.0,10.03411,0.61272,0.22938,0.0,0.0,0.0,0.0,0.0,2.30047,3.50013,0.0,0.0,0.0,0.0,1.40891,0.0,2.06347,0.0,0.16067,0.0,1.7678,5.53384,6.45838,0.0,1.89383,0.8242,0.0,0.0,4.31911,4.73273,0.77936,0.28908,1.44183,0.0,8.7863,0.82068,0.0,0.0,0.08021,1.94253,10.52971,1.20048,2.6887,2.1531,0.11424,6.28071,1.12337,5.24861,1.44547,0.17346,0.0,2.31329,0.0,5.38928,4.67876,8.88662,6.08126,0.0,4.71468,0.0,7.98433,0.0,4.01193,10.27733,2.3534,1.19752,1.61502,0.0,0.0,0.0,0.85503,0.0,2.001,0.0,32.53666,0.0,34.57364,5.12826,0.0,0.89745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89168,5.07925,0.0,0.0,0.0,0.0,0.0,6.33725,0.5212,0.0,0.0,3.54724,0.0,0.0,0.19879,0.0,0.0,0.23315,0.0,2.5943,0.0,1.73117,4.75229,1.06673,1.89636,0.0,31.10686,0.0,10.77621
-4.25,11.36487,1.68261,0.0,1.09585,0.0,0.0,1.05482,0.0,0.0,1.30565,0.39504,0.0,0.0,39.18249,17.74234,19.85962,0.56111,7.55622,4.29043,0.0,9.06596,0.37243,0.0,0.0,25.40278,13.48215,0.17733,0.0,0.0,0.0,0.0,0.0,0.0,1.01925,0.63122,2.16863,0.0,2.12668,0.54227,1.5985,29.26056,10.84164,3.62112,4.03756,5.77638,0.0,0.0,0.0,3.98255,2.85182,13.27731,0.03201,17.88897,10.108,0.0,26.08723,1.89664,26.79208,1.67338,3.92452,3.15244,0.25925,29.04162,3.23259,2.71998,9.16089,0.10554,1.89126,1.42947,0.52118,2.8812,0.0,0.0,0.0,2.4623,0.0,3.26249,2.59575,0.0,0.0,6.0256,0.33621,4.65429,6.665,5.49487,0.52638,0.0,0.0,0.0,0.0,2.76017,0.51254,1.42303,0.94726,0.0,0.0,0.93264,0.0,1.27355,6.00855,2.28983,0.0,0.0,0.0,34.43851,1.28937,0.0,13.31135,0.60481,11.8992,0.0,0.26622,6.45079,1.00464,2.73796,2.99301,0.28691,0.0,0.58018,0.0,10.03411,3.98326,0.22939,0.0,0.94012,0.0,2.4639,0.0,3.36964,3.54949,0.0,0.0,0.0,0.0,1.44256,5.41233,2.0987,0.0,0.92144,0.0,1.63979,5.53256,6.45838,0.0,1.4538,0.91356,0.0,0.0,4.31911,3.83055,2.98627,0.28908,1.44183,0.0,8.96926,0.82068,0.0,0.0,0.13829,2.55539,10.52971,1.20048,2.6887,2.1531,0.11424,6.30618,1.12337,5.24861,1.44548,3.13639,3.84636,2.31329,0.0,5.42365,4.67876,5.01375,7.05995,0.0,4.71468,0.98997,7.98433,0.0,3.81627,10.27733,2.3534,1.40905,1.66212,0.0,0.0,0.0,0.85503,0.0,2.001,0.0,33.17322,5.85294,34.81981,5.12826,0.0,2.43204,2.55064,0.0,0.06812,0.0,0.0,0.0,0.0,0.0,0.0,3.89168,5.07925,0.0,0.0,0.0,0.0,0.0,6.33725,0.5212,0.0,0.0,2.49105,0.0,0.0,0.33596,1.74729,0.0,0.23315,6.31055,2.61778,10.17081,2.24184,4.75229,2.43784,1.89636,0.0,31.10686,0.0,10.77621
-4.0,13.9691,1.93724,0.0,1.09585,0.0,60.97752,1.12557,0.0,0.0,1.3736,0.40114,0.0,0.0,39.18249,17.76272,19.85962,3.45324,7.55622,4.29043,0.0,9.06596,0.37243,0.0,0.0,25.40278,13.48215,0.17733,0.0,0.0,0.0,0.0,13.89483,0.0,2.25377,1.45125,2.20497,0.0,2.44818,0.57806,7.20069,29.26083,10.85745,2.61532,3.75772,5.77638,0.0,2.08371,0.0,9.49786,2.90846,8.468,0.08717,17.92292,10.108,0.0,18.92087,1.89664,21.72589,1.28366,3.98569,3.16767,4.8778,29.04162,3.23259,3.77808,10.21662,0.10554,1.89126,1.49834,0.58045,2.8812,0.0,0.0,2.0596,2.4623,0.0,2.41311,2.59575,0.0,0.0,6.0256,0.33621,4.65429,6.66504,2.76838,0.55898,0.0,0.0,0.0,0.0,1.43179,5.49496,1.42303,0.94726,0.0,0.0,0.93264,0.0,1.04775,6.38004,2.77826,0.0,0.0,208.83451,34.43851,1.28937,0.0,13.31135,0.60481,11.8992,0.0,0.26622,5.44263,1.2071,2.81246,2.99301,0.28691,0.0,2.24257,0.0,9.5898,3.98326,0.14082,0.0,1.21408,0.0,2.79372,0.0,3.38586,3.57841,0.0,6.2961,0.0,0.0,1.43542,5.41233,1.70858,0.0,1.34142,0.0,1.63979,3.97543,5.65117,0.0,1.4538,1.39118,0.0,0.0,4.57928,3.83055,1.78139,0.28908,1.84685,0.0,8.96926,2.28174,0.0,0.0,0.13829,2.08716,4.14041,0.82805,1.98932,1.19473,0.18374,6.30618,3.25481,3.08871,2.07735,3.03903,2.15598,2.37209,2.23177,7.61561,4.54941,5.46908,5.81123,1.52372,4.56008,4.63726,8.31304,0.0,2.59559,10.27733,1.92124,1.22678,1.88296,0.0,0.0,0.0,0.79728,0.0,9.35346,0.0,35.18545,6.44769,34.93805,5.12826,0.0,2.4858,1.86514,0.0,0.15105,0.0,10.70213,0.0,0.0,0.0,0.0,3.918,5.07925,0.0,0.0,41.30078,0.0,0.0,6.33725,0.5212,0.0,0.0,2.55749,0.0,0.0,1.1437,1.74729,0.0,0.23315,6.59713,2.61778,10.56369,4.7229,8.33988,2.59385,1.89636,0.0,38.46565,0.0,11.15582
-3.75,13.9691,1.91352,2.32909,0.83932,0.0,33.05951,1.12557,0.0,0.0,1.3736,0.40114,0.0,0.0,39.18249,17.77344,19.85963,2.80293,7.55622,4.29043,0.0,9.06596,0.37243,0.0,0.0,17.18094,13.48215,0.17733,0.0,0.0,0.0,0.0,18.3381,0.0,1.7232,1.24642,2.20497,0.0,2.44885,2.26768,4.50774,29.26083,9.18533,3.40766,3.98082,6.24631,0.0,2.27924,15.6618,9.49786,20.67182,6.30856,0.08717,12.60207,16.7431,0.0,19.54004,2.7399,21.87086,1.29924,3.9983,3.19308,4.8778,29.04162,3.23259,3.77809,12.32471,7.28463,1.89126,1.45919,0.89805,7.61431,0.0,0.0,5.34013,2.4623,0.0,2.53095,6.0818,0.0,0.0,19.35252,0.33621,4.78461,5.33904,2.80023,0.43637,0.0,9.8545,0.0,0.0,1.46147,3.85034,1.42303,0.78026,0.0,0.0,7.27687,0.0,1.34085,7.4986,3.03817,0.0,0.0,208.83451,34.43851,1.28937,0.0,13.31135,0.60481,11.8992,0.0,0.26622,5.57372,1.20713,2.86229,2.99301,0.15083,2.5921,7.81118,0.0,9.5898,3.98326,0.14082,21.16157,1.21408,4.38799,2.8524,0.0,3.38587,3.57841,10.73251,8.86775,0.0,0.0,2.24945,5.76519,2.12487,2.36277,1.01897,0.0,1.14337,4.02137,4.3306,0.0,1.20643,1.23311,0.0,0.0,4.00009,3.24556,3.75544,2.2797,2.0774,30.02946,9.05428,2.28174,10.63917,0.0,2.21539,1.7873,3.9869,0.82805,2.02048,1.2823,1.92149,6.30618,4.41172,3.62099,1.90253,3.03903,3.67784,2.84435,1.20644,6.03402,5.83982,5.46908,5.84451,1.52372,4.07023,2.55051,7.9585,0.0,2.24288,10.40231,2.14827,1.24509,2.18567,3.19683,0.0,3.40393,0.99433,10.92861,9.6159,0.0,35.32996,9.52061,36.43557,4.53388,0.0,2.4858,1.86515,0.0,0.15105,0.0,10.70213,0.0,0.0,0.0,0.49356,3.918,5.07925,2.79915,0.0,41.30078,0.0,0.0,8.30363,0.5212,0.0,0.0,2.7093,0.00574,0.0,0.98503,3.72601,0.0,1.80105,6.6806,2.61778,10.77122,4.7229,8.35738,2.70345,1.89636,2.46513,30.7473,8.00151,6.71232
-3.5,9.46184,1.78246,2.32909,26.26604,0.0,33.11176,1.12557,0.0,0.0,1.3736,0.40114,0.0,0.0,20.62775,17.77344,26.31621,2.80293,7.55622,3.29559,0.0,13.1541,1.25402,0.0,0.18044,18.0625,13.48216,0.17733,0.0,0.0,0.0,0.0,12.76984,0.0,2.0882,2.68257,3.53437,0.0,2.17986,1.78355,7.96805,29.26083,9.30881,3.14776,3.93005,6.37919,0.0,2.27924,15.6618,7.97712,22.5409,6.57762,0.20636,12.60207,16.81669,0.0,19.85452,2.79023,18.4307,1.29924,3.32081,3.8134,4.8778,16.8611,2.55678,3.90829,10.27377,7.67263,1.89126,1.3347,1.43967,6.61491,2.15024,15.99175,13.33893,2.52594,0.0,2.66466,5.11356,2.4758,0.0,19.35252,0.33621,4.78461,6.2728,2.8934,2.01678,1.58742,70.00651,0.0,0.0,1.46147,3.86253,1.27882,1.84482,0.0,34.54561,7.27687,4.80053,1.45762,12.1519,3.90827,0.0,0.0,208.83451,24.05769,1.39151,0.0,13.31135,0.60481,11.8992,0.0,0.26622,6.36013,1.20713,2.86229,2.99301,0.15083,2.5921,7.89669,4.24566,6.43088,4.39062,0.19265,21.43701,1.30812,2.98781,2.87817,21.30193,3.08646,3.57841,11.45588,10.26395,0.0,6.15256,2.24945,3.63549,2.12487,2.36278,1.54717,0.0,0.99936,4.06158,4.56421,0.0,1.43047,1.24354,0.0,0.0,3.87274,3.24556,3.79781,6.16723,3.35599,30.55019,7.08774,2.28174,8.26993,0.0,2.24245,1.7873,5.39799,0.82805,2.02048,1.9465,5.82741,4.77751,4.41172,2.45944,2.66042,3.89408,3.33846,2.84435,0.93468,6.05612,5.99343,4.76423,5.40939,2.03609,4.12461,2.69644,7.98752,29.17267,2.50791,10.40231,2.83293,1.23114,2.18567,2.41924,40.80707,3.40393,1.21991,6.69414,10.31721,0.0,42.49126,10.07067,37.21062,3.79043,0.0,1.73414,4.86602,11.6822,0.25456,1.38565,10.70213,50.37003,0.0,6.33956,3.84672,3.918,3.04886,9.0588,0.02132,41.30078,2.98471,13.48974,8.53428,0.5212,0.0,0.0,2.39635,0.00574,0.0,5.30313,3.72601,0.0,2.07956,6.03856,2.17913,10.00871,4.73085,8.18717,2.15857,2.0922,2.46513,30.7473,5.55599,7.24055
-3.25,9.46184,2.44205,2.32909,28.16314,0.0,33.11176,1.12557,0.0,0.2555,1.3736,0.40114,5.54509,0.0,20.93089,17.77344,22.10033,8.34453,7.55622,3.29559,0.0,13.15411,5.476,0.0,0.18044,18.0625,14.25401,21.81744,0.0,0.0,29.87891,0.0,12.78371,0.0,2.01217,2.72528,2.44814,0.0,2.22155,1.69789,6.06326,29.26083,9.01844,4.87062,3.54219,5.14816,5.12472,2.27924,15.66182,7.99029,68.07534,6.57762,1.70773,11.43623,16.81669,0.0,20.05721,2.57299,18.4307,1.80113,4.07631,3.83586,4.8778,19.14321,2.47044,3.79186,10.53987,7.67263,1.89126,1.21058,1.499,6.95016,8.99617,13.87117,9.40372,2.19703,0.21961,5.78531,4.43281,2.4758,7.37161,14.60678,0.33621,4.78461,6.27281,3.23956,1.72913,1.87517,71.10053,0.0,0.89108,1.46147,3.86253,2.39287,1.84482,0.0,34.54561,7.32451,4.00109,1.46749,12.15191,3.90695,0.0,0.0,208.83451,24.15317,1.39151,0.0,13.31135,1.30177,13.69092,0.0,0.28381,5.43814,1.21503,2.24194,2.99301,0.3806,1.67206,6.46872,3.80876,7.61704,4.29757,0.19265,23.51345,3.45905,2.37377,6.75676,21.30193,2.58385,3.57841,12.64,10.26396,0.0,3.87342,2.17326,4.784,2.0904,6.41065,3.30904,0.0,0.93149,4.24737,4.03287,0.0,1.703,2.48592,0.18495,0.0,3.66929,4.5935,3.08059,6.32586,2.78049,30.55019,7.23943,2.28174,7.94402,0.0,2.00263,1.7873,5.398,1.3058,2.02049,1.98248,4.89742,4.38125,3.6675,3.03912,3.13054,3.44708,3.28392,3.47799,0.80469,4.78374,7.77447,3.73582,5.69799,1.675,7.77826,2.71148,5.93695,25.75386,2.51548,10.40231,3.27378,1.2489,1.82077,1.91342,40.80707,3.40394,1.49721,6.28972,10.31721,5.15579,42.57727,10.29257,37.21062,3.18904,0.0,2.34914,4.86602,10.96494,0.19858,4.07852,10.70213,50.37003,0.0,3.44838,2.8001,3.918,3.04886,9.0588,0.02132,42.15837,2.98471,13.48976,8.79199,0.5212,0.0,0.0,3.4867,2.28485,0.0,5.38813,4.02017,0.0,1.90555,4.92881,2.17913,11.3431,3.97244,7.95227,3.74171,4.73542,3.24984,31.25661,3.40094,7.32989
-3.0,9.47493,2.46225,2.95283,22.57304,1.37822,33.11698,1.12557,1.109,20.90555,1.3736,0.55768,5.54509,1.06375,22.4551,12.22586,22.14596,8.34453,7.55622,2.80052,0.25172,16.52638,6.12007,0.0,0.18045,12.43086,11.18854,21.81744,0.0,0.0,29.87891,6.88464,9.64527,0.0,1.6475,2.6322,2.57305,0.0,2.07287,2.36556,4.93384,32.79139,9.17697,4.73408,3.03779,4.42121,3.91104,3.36185,8.11245,7.04753,68.07534,6.57762,2.21598,17.973,12.6652,0.0,22.57018,2.19891,18.61821,2.28526,3.62149,11.27258,3.95328,19.28303,2.47044,6.12608,7.42328,7.02748,2.83943,1.1933,1.50025,6.95016,9.0323,18.1007,9.5458,2.27428,1.50949,5.56943,3.72818,2.4758,11.60332,14.60678,5.29347,4.78462,6.27286,3.30802,3.33117,1.9369,71.10053,75.202,0.89108,1.98966,12.1993,2.39287,1.84482,0.0,34.8059,7.32451,4.34436,1.51629,16.24681,3.84202,42.36648,0.0,208.83451,24.15317,1.39151,0.0,11.84606,1.30178,9.20136,0.0,23.81403,6.35252,1.21505,2.2177,2.99301,0.94518,1.67206,7.061,6.33087,7.69583,4.29757,0.70441,16.90291,4.45608,2.43306,8.40925,20.31611,2.80893,12.25746,11.01088,10.58887,12.58428,4.82148,2.83749,4.63779,1.80347,6.41065,2.89976,0.0,1.07108,3.78764,3.88086,0.0,1.79867,2.29195,3.05091,36.29773,3.1711,6.55417,3.22182,6.27314,2.58176,15.52583,7.32453,1.67308,9.22258,0.0,2.78926,1.79793,5.31009,2.26452,1.6702,5.44151,5.50013,5.68794,3.3143,3.21267,3.19244,3.50023,3.73577,3.64797,0.88447,4.3345,7.48889,3.98804,6.79889,3.39168,5.77411,4.43982,6.10031,23.1641,5.73675,5.87689,2.59688,1.10401,1.82077,4.2384,20.83566,82.63382,2.33174,6.33137,8.61631,5.64457,42.57727,11.0954,32.43447,2.74487,17.43868,2.04159,6.07853,10.98664,0.65495,4.96192,10.70213,50.37003,0.0,3.44838,2.80897,2.98494,2.52092,6.83707,0.44812,26.44209,3.2515,50.25206,10.09841,0.5212,32.41269,0.55964,3.4867,3.24849,0.0,8.2403,3.38046,3.25645,2.30545,5.31184,2.25607,12.54589,4.21417,7.70521,3.87327,3.75513,5.47073,31.25661,3.09612,6.64314
-2.75,7.75758,2.20587,8.72406,16.19363,3.77452,22.09044,4.48847,1.63971,19.40466,1.37365,0.55768,5.54509,6.82682,22.92801,12.22587,22.14596,8.34453,7.55622,2.80052,1.02253,11.10529,6.12007,152.13501,6.39986,11.44589,11.22933,23.31163,1.72785,0.0,29.87891,59.16829,6.34426,0.0,2.42281,3.28002,2.21055,25.42443,2.28245,2.56662,4.93638,33.01418,9.2471,3.73895,2.79978,3.4206,2.98674,3.97125,8.14054,7.71439,68.07534,9.01775,2.55292,17.22087,9.06745,21.85468,23.04705,2.33295,16.15091,2.6403,3.67469,11.40796,18.40262,16.27882,2.47045,5.30787,6.19958,5.10583,3.51716,1.41708,2.50842,7.70674,6.96238,20.25076,8.22144,2.2922,1.78142,7.44024,3.94756,2.4758,13.93311,14.60678,10.50283,3.9879,6.11142,2.61426,4.35782,1.89861,39.74237,38.2958,0.46662,1.99179,13.3246,5.92454,3.94205,0.0,35.63104,6.23556,4.94342,2.39856,13.33016,3.45715,23.04233,13.62302,208.83451,24.15317,39.16745,0.0,8.61349,1.30178,10.67413,0.0,19.11234,5.10993,1.21505,1.44762,1.4426,11.90996,2.01987,6.31931,6.18472,8.45551,4.36514,0.70441,16.95794,5.36397,2.94885,10.52013,16.2015,2.71165,6.32399,11.76572,11.0103,12.77852,4.91428,2.84553,4.33345,1.52514,4.87102,2.80158,0.0,1.47524,3.69571,3.93934,1.60584,2.46271,4.47774,2.46263,36.29776,2.68334,5.75742,2.98215,5.22517,2.61366,14.26581,6.19715,2.79281,9.99463,7.64788,2.79811,1.30482,4.16751,3.1085,1.6702,4.63482,3.91777,5.82029,2.8642,3.01459,2.64212,3.54879,3.82246,3.0826,0.99471,3.89139,11.3476,4.27797,7.16119,5.74333,5.78574,3.52675,8.66018,25.75641,5.57423,4.87589,2.66214,1.78091,1.62497,4.25332,13.97971,60.04664,4.16121,9.13535,11.51656,7.36096,42.57727,16.18163,24.65941,4.4404,17.46733,1.90843,5.52568,11.25042,0.67179,4.01652,10.70213,32.15613,25.63167,7.93372,2.18572,4.33792,4.70262,8.85512,9.2684,33.09793,2.60247,50.25206,10.09842,0.42597,32.41269,0.55964,2.98091,2.91764,0.00014,7.55072,3.38046,2.8825,2.93236,4.51522,2.29536,14.69445,4.74907,6.68499,3.62501,3.76149,3.89324,32.54921,4.60337,6.6826
