,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,1.44257,12.22976,3.2512,2.21015,2.14654,0.60296,3.15754,0.66753,0.0,22.00831,0.64958,0.0,0.43256,3.45916,3.52823,0.06394,10.37315,0.27222,0.0,10.2014,0.0,0.0,15.18728,6.15916,0.0,140.25508,4.14686,0.0,0.80065,1.28372,0.0,0.71828,3.28118,0.93399,2.83699,8.90084,2.62351,0.86384,1.7411,3.20301,21.71405,5.75948,1.65299,6.69378,18.88196,2.43908,12.53836,3.69391,1.31537,0.0,5.26834,0.62209,0.16591,0.0,13.50995,1.4224,2.00409,0.45066,2.20235,10.96128,0.0,0.4758,0.0,4.8531,0.0,0.0,0.0,0.0,9.0444,0.0,16.67125,23.2855,1.80696,14.92018,0.0,1.25395,8.30472,21.16893,0.29038,0.0,0.0,0.0,12.234,0.0,1.25516,0.27175,10.59566,0.0,4.30653,1.37353,0.0,0.0,0.7718,0.0,7.17311,1.81943,6.45483,0.58312,16.07279,3.65618,0.0,0.0,0.0,0.0,3.36188,7.30728,32.73421,65.97372,0.0,0.0,0.17879,0.0,0.0,1.07637,5.88927,0.0,2.77552,0.9503,3.77381,1.7281,0.0,1.15607,0.0,0.0,0.80472,2.47,7.08165,0.92736,1.48793,17.11738,29.13288,0.0,1.86543,2.77159,4.26861,0.88636,0.67432,5.25438,16.64962,1.74782,3.47382,2.93873,6.88787,10.71451,0.0,0.0,0.45723,4.07701,9.65922,0.34791,1.24446,0.86603,28.94597,5.37867,5.78147,10.69761,5.21373,3.42109,0.93623,3.62524,2.24188,0.49694,0.0,0.51781,10.74589,3.04934,1.32481,9.55648,0.8967,0.80659,3.33945,24.48868,0.38937,1.68626,11.53109,3.06162,5.15303,0.67709,2.88619,0.0,3.02894,7.0744,2.06915,3.50598,7.08635,16.12694,0.0,1.85024,0.8207,0.8848,0.02144,5.06363,52.96789,25.07577,16.7486,6.19328,3.14943,0.0,6.70071,1.05314,0.43744,10.60653,0.0,0.0,4.50884,14.66179,0.0,4.27981,0.0,1.41983,110.7152,1.64184,0.0,0.0,5.99838,8.21654,0.0,29.93347,1.0566,0.0,4.398,0.0,3.10654,22.62227,2.72833,0.0,4.69231,0.71243,0.0,1.44835,28.00839,9.50098,3.12782,0.0,6.33107,0.0,2.17689
-4.75,0.0,2.33494,12.32435,3.2512,2.58846,2.14654,0.60297,3.15754,0.66753,0.0,22.00831,0.75423,0.0,0.43256,3.45916,3.52905,31.80353,7.81,0.27222,0.0,10.2014,0.0,0.0,15.29071,6.4794,1.07817,140.25508,4.14686,0.0,3.13776,5.19755,0.0,0.82521,2.58107,0.85517,2.37634,7.97149,3.24476,0.86385,1.75149,3.74934,21.907,5.28826,1.3966,8.78639,15.32116,2.44163,13.37391,6.29724,1.31537,12.5583,5.97339,0.42536,0.16591,0.0,14.41018,1.23443,2.01001,0.45067,1.89963,10.96128,0.0,0.4758,0.0,4.8531,0.0,0.0,0.0,0.0,8.4582,0.0,16.74369,24.87849,1.91737,14.99792,13.42854,1.41141,8.30472,21.16893,0.29038,0.0,0.0,0.0,12.23401,2.21148,1.25516,0.27175,7.33856,0.0,4.30653,1.37353,3.78723,0.0,0.8214,0.0,3.64415,1.82464,6.45483,0.58312,16.63029,2.99328,0.0,0.0,28.66161,0.0,3.36192,7.33416,32.73421,65.97372,0.0,0.0,0.17879,2.64141,0.0,1.07637,5.88927,0.0,33.80715,0.9503,3.07547,1.7281,0.0,23.58372,0.0,0.0,0.81557,2.20247,7.08165,1.06862,1.75294,17.51135,29.1515,0.0,3.08634,3.02477,4.32373,0.88636,0.67433,3.956,13.85355,1.81458,4.19951,2.89023,6.88787,7.18349,0.84194,0.0,0.45723,3.92624,8.15599,0.34791,1.27073,0.86603,26.46955,5.37867,5.78147,11.83086,3.88074,3.21548,0.98675,3.31857,2.24188,0.49694,0.0,0.51781,10.74589,2.74141,1.64978,6.83274,0.71547,0.63707,2.4004,18.85491,2.20119,0.96399,10.97853,4.76393,5.59764,0.67709,2.88619,0.0,3.43219,7.0744,7.15551,3.15874,7.08636,16.12694,0.0,1.12042,0.8207,0.8848,0.2844,5.06364,52.96789,23.86787,14.27757,6.15172,3.14943,45.03669,6.70071,1.07824,24.36879,13.28055,0.0,0.0,4.50884,14.66179,0.0,4.32909,0.0,1.41983,58.61152,2.14163,29.6902,64.21154,5.99838,8.61069,0.0,26.64676,1.0566,14.62236,4.398,0.0,2.74608,22.64369,2.72833,0.0,3.66755,0.3697,0.0,1.44835,28.30489,12.54224,3.12782,0.0,6.33107,0.0,2.38964
-4.5,0.0,2.66195,12.33679,3.25124,2.58849,2.14654,0.60297,3.15754,0.66754,0.0,22.04227,1.48828,0.0,0.34918,3.45917,3.24225,31.80353,7.71143,0.62546,0.0,23.71174,0.0,0.0,15.29071,6.4849,3.64542,105.26791,4.14686,0.0,3.13776,5.19755,1.27138,0.85619,2.84198,1.28118,2.39995,7.18844,2.84713,1.35891,1.43333,3.73809,19.63769,5.28826,1.80909,8.55338,13.53908,4.15909,11.47949,6.31691,7.34297,12.5583,5.98264,0.47512,0.22802,0.0,14.43609,1.5184,4.92387,0.29488,1.89963,11.08987,100.85534,0.4758,0.0,11.07004,0.0,22.5536,0.0,1.03581,7.76299,0.0,14.01515,38.91306,1.87495,10.23051,16.23788,3.30263,8.30473,21.16893,0.29038,0.0,7.21957,0.0,12.23401,2.21148,0.8549,0.27175,7.38852,0.0,4.30653,1.51476,3.92319,0.0,0.8214,0.0,8.96431,1.82464,7.58428,0.58312,17.70239,2.5018,0.0,0.0,28.72688,0.0,7.75642,7.33417,32.73421,65.97372,0.0,0.0,0.1788,2.64141,0.0,1.07637,5.88928,0.0,33.80715,0.81664,2.7845,32.18322,0.0,15.74349,17.16803,0.0,0.81557,2.34903,7.14507,1.03812,1.81831,25.57112,31.48248,0.0,2.76362,3.02478,4.20706,0.92969,0.89531,3.98485,15.35512,1.95108,4.295,2.88981,6.82432,7.32576,0.84194,0.0,0.22863,4.21447,8.20931,0.38249,1.27073,3.02446,23.44608,2.74841,4.04503,12.74843,3.55566,4.04146,0.92151,3.37592,1.38774,2.06393,56.5325,9.05543,10.7459,3.31662,1.93674,6.86109,0.73675,0.58929,2.41088,15.39813,2.14943,0.96403,9.65772,4.0723,4.23115,24.50291,2.8611,0.0,3.11229,6.85662,6.7254,2.7533,7.13469,12.1454,0.0,1.2249,0.91289,0.8848,0.2844,3.4707,52.96789,23.88365,13.47048,5.56355,2.61159,45.14926,18.25836,2.91989,24.36967,13.28055,115.93667,0.0,4.50884,10.36863,0.0,4.32909,0.0,1.77494,59.93712,2.14163,26.91605,71.04363,18.03979,6.5303,0.0,26.64676,0.91397,14.62236,6.91145,1.18535,2.75364,19.74752,2.72833,0.0,3.14161,1.43912,0.0,2.26003,28.33331,9.78337,2.23016,0.0,13.38379,0.0,2.20293
-4.25,8.89635,2.10058,10.28433,3.25124,2.5885,2.14654,0.60297,2.98571,0.33392,0.0,22.09412,1.17703,0.0,0.35773,4.88942,3.00479,16.51115,7.72474,0.65176,0.0,19.57659,0.0,0.0,15.29071,6.48491,3.66968,105.31515,2.23821,0.0,3.13776,5.19755,29.9934,0.85733,2.59504,1.30893,2.39995,6.64658,2.78543,1.49904,1.39465,4.12611,26.11888,5.38274,2.22483,6.9229,13.67034,4.15909,11.47949,6.69879,7.34297,16.50596,10.20111,0.47512,0.22802,0.52219,21.82073,1.77598,3.95512,1.1019,4.43823,11.08987,100.85534,0.4758,0.0,11.07004,0.0,12.44267,0.0,1.03581,6.83801,1.04978,14.08222,39.3168,2.4234,6.60306,16.9855,9.04136,4.84303,10.77506,0.29038,0.0,7.21958,0.0,11.73441,5.07117,0.8549,0.27175,5.58271,133.17176,4.30653,1.51476,3.96945,1.72259,0.94006,0.0,8.98518,2.4035,4.75771,0.58312,12.1791,2.82282,0.0,0.0,28.72688,0.0,7.75642,7.31788,50.45372,33.45706,0.0,0.0,5.32615,2.64141,0.0,1.07637,5.8893,6.98479,33.80715,0.88991,4.91373,21.46083,0.0,15.74349,17.16803,2.5161,0.58555,2.14847,6.20672,1.27359,1.85732,26.05034,31.86671,0.0,3.01394,3.6373,3.85969,0.75872,0.9421,4.55072,15.98651,1.86141,4.12527,2.67653,5.19011,5.55487,0.99473,0.0,0.27325,3.90298,6.51734,0.41341,2.19009,3.34491,23.53717,2.72354,3.10667,13.47357,3.03029,4.04146,1.0445,4.26605,5.06502,2.07769,56.5325,9.1007,8.36436,3.77749,1.74804,6.86109,1.38999,3.64478,11.6587,15.41885,4.12427,81.02558,10.54644,3.43225,3.21612,24.50291,2.8611,0.0,2.87934,15.65341,6.28026,2.53757,7.11409,13.64785,0.0,1.5298,3.86646,1.0181,0.2844,3.47071,47.64676,19.22804,13.74298,5.40512,2.19199,30.22438,12.98021,2.38708,18.58041,13.29297,130.46159,0.0,2.26205,19.04166,0.0,3.08263,0.0,3.32346,84.01084,2.37294,34.29792,71.04364,18.03979,6.54436,0.0,26.65989,0.91397,14.62236,6.91145,0.6134,2.75364,20.37535,2.72833,0.46185,3.65915,3.38182,0.0,2.26003,19.75656,9.80049,1.98987,1.96343,12.69436,0.0,2.40092
-4.0,10.64339,2.30401,11.3554,4.93175,2.5885,2.14654,0.60297,3.03642,0.33392,0.0,22.10233,0.97916,0.0,0.35773,3.30097,2.74508,18.06559,6.50662,0.65176,0.0,19.76385,0.0,0.0,20.79029,6.59696,4.25112,106.41674,3.19529,0.0,3.13777,5.19755,20.25145,0.78601,2.78097,3.14332,2.40609,5.70528,2.15664,5.26809,1.34614,3.9614,26.24484,4.77033,2.06997,7.73989,11.10206,5.56556,12.47599,6.21777,6.09831,16.51971,9.78964,0.40298,0.23482,0.52219,20.48551,1.74997,5.01628,1.1019,4.46504,11.08987,85.70242,0.35316,5.33112,9.08374,0.0,20.04847,0.0,1.20763,6.95283,5.81022,16.94771,39.92288,2.354,8.09129,9.42249,9.04395,4.84304,10.87184,0.29038,1.76034,9.25497,0.0,8.92471,4.5628,0.76221,1.77469,5.66239,133.17176,62.53283,2.35844,11.51947,4.72978,0.94006,0.0,18.67084,2.49121,5.32338,1.28887,14.64259,3.15502,0.91469,0.0,28.77262,0.00538,7.7258,7.81017,38.39802,30.63742,6.79512,0.0,5.32615,2.64141,0.0,3.15489,3.59307,6.58102,92.43439,2.05877,4.51436,21.31635,0.0,15.74349,17.16803,17.88769,0.48065,2.09709,6.35514,1.76681,1.76755,26.07676,33.15278,0.0,2.66569,3.66553,3.44591,0.63931,5.41533,4.13428,12.66404,2.29205,4.21174,2.44611,3.7861,13.9495,9.33081,32.28892,6.81385,3.64224,6.57451,0.4823,2.54929,1.78752,23.70846,2.45178,4.8981,13.90032,2.99681,9.71946,1.4746,4.01871,13.52562,1.5634,56.5325,11.33606,10.61,3.66038,1.58842,12.62003,1.55912,4.00225,7.56467,12.94482,3.28493,69.3277,9.88474,7.77773,3.26935,28.26262,3.63305,0.0,3.03856,9.51118,5.20355,2.54487,5.93978,11.72849,0.0,1.55487,3.86646,1.45011,0.2844,3.51218,32.86439,19.26951,13.91535,5.46424,2.05243,22.85544,12.98021,4.79397,24.10781,12.76137,130.46159,0.0,1.51689,19.04166,0.0,2.51433,0.0,9.88025,84.01084,2.37294,34.31618,52.6331,9.32749,5.64419,39.42457,26.65989,0.91397,9.91865,6.91145,0.6134,2.78196,20.37535,1.99476,1.47401,4.33806,3.06106,13.32188,1.83876,19.75658,8.86866,1.98987,4.75203,11.38226,0.0,2.83114
-3.75,9.65944,3.05123,11.62184,4.93715,23.76868,2.15178,3.02319,2.45527,0.71564,0.0,14.34162,0.84988,0.0,0.35773,4.24684,2.73052,18.06559,6.44744,2.04866,0.0,19.76386,613.6492,0.0,21.87763,36.76399,4.25112,106.41674,2.45553,9.89856,3.47638,5.19755,15.30173,0.91269,2.58623,2.9582,3.17965,5.59179,4.48408,7.26656,2.25191,3.92096,26.70959,4.13195,3.53102,8.61828,8.53976,5.73707,12.61098,5.71832,8.58322,16.51971,8.85012,0.40298,4.16533,1.04016,20.763,3.3124,6.98947,6.27406,5.71412,11.08987,45.92716,0.46228,3.72617,8.90725,4.46777,22.73154,0.0,1.20763,6.9289,6.55367,18.39197,40.53261,2.23319,8.05078,11.12677,5.523,4.84304,8.39554,0.29038,6.01454,9.25497,0.0,9.50873,4.65615,0.70106,5.17432,5.90835,133.52421,29.93126,15.24565,8.15629,15.65003,18.40609,0.0,18.67084,2.49121,4.54153,1.59517,14.84491,2.96309,4.66515,0.0,19.28055,0.00539,7.7258,7.83878,32.65138,31.18737,6.90398,0.0,86.22854,2.77169,30.56584,2.17095,3.59307,6.72243,92.43439,1.84834,4.37304,25.31225,49.47049,12.00445,17.16803,15.28629,0.50477,2.18026,5.77532,2.31705,2.79325,18.11901,34.79386,23.43016,2.5625,4.93876,3.26556,0.95358,5.43193,3.39541,13.09812,2.51083,4.21783,2.5769,3.59081,12.19144,10.75681,32.28892,15.28742,3.4419,6.70479,0.59479,2.50151,1.55864,20.21587,2.46037,4.8981,13.37553,4.46798,8.9475,1.83074,4.65538,11.17409,1.61823,56.72119,9.53436,9.77797,10.04437,4.11603,14.55816,1.83509,3.78531,6.21868,14.21287,3.79246,55.54668,9.05754,8.23828,9.5818,32.12042,2.74378,0.0,3.13646,9.06699,5.34943,2.51582,6.0279,11.78481,0.0,1.63538,3.90835,1.45011,0.2844,5.41292,25.83402,15.22895,13.05973,5.67905,2.06556,22.87661,9.88888,3.93724,21.83228,12.5432,92.27531,0.0,3.9373,18.02984,0.32559,6.16534,0.0,8.99011,67.43648,11.13705,25.0912,52.6331,9.32749,5.4478,39.42458,26.6599,0.84798,16.88541,6.91145,0.6134,2.85247,15.79066,10.45259,3.74994,3.95685,3.06452,5.86623,1.49813,20.62833,10.88308,3.14631,4.75203,10.03645,51.06709,2.65581
-3.5,7.23677,3.59288,14.01925,11.47618,17.69451,2.15178,2.20293,3.00553,0.75815,0.0,16.46049,3.2393,0.5619,0.35777,3.46006,2.6038,11.70342,8.9201,2.04866,0.0,26.00627,615.95153,0.0,21.87763,31.36436,2.95732,85.18384,2.45553,49.36067,2.89758,5.19755,13.94238,0.90822,2.3593,2.75008,2.74712,6.16615,4.08861,6.38711,2.33654,4.19712,23.91085,3.70856,2.45304,9.66979,8.34483,5.3697,8.42934,6.16438,8.8534,8.63316,6.48016,1.92458,5.28539,1.04016,24.72851,3.40759,7.02068,5.94552,4.86504,5.16879,34.36274,3.34023,3.74743,8.90726,5.37979,24.80314,2.55609,1.21035,6.71626,8.52674,13.54978,36.03935,2.46794,7.76956,9.07831,6.7477,3.27612,8.40498,2.32436,15.476,9.25498,0.0,7.64313,3.75132,0.70106,4.59742,5.91509,155.59717,25.0545,15.24565,7.20471,13.14099,18.44147,28.77818,16.59508,2.49121,4.74081,1.50407,15.20419,2.73108,4.46887,10.17497,16.34411,11.91372,13.76947,10.52063,32.67299,31.18737,8.88202,0.0,65.52985,2.77169,20.35507,28.234,3.59307,7.11778,92.43439,1.9766,7.66853,20.43798,39.26706,12.01471,13.63261,11.5831,1.67886,2.37459,5.43831,2.16839,2.60398,10.68947,20.16861,16.4007,2.46521,8.29838,3.18391,1.21688,5.56625,3.61791,12.38583,2.39085,3.53989,2.18003,3.40139,12.19144,9.35558,32.28892,13.81348,3.43774,4.81563,1.11613,5.33481,4.98033,18.97729,2.47056,5.98127,12.30811,3.7405,10.84747,2.23987,6.99199,10.04049,4.2173,28.13895,9.58509,9.61158,9.60407,4.15786,10.55597,1.73709,4.77826,7.03855,14.21865,3.5653,47.09413,13.45101,8.4442,9.5818,24.24724,12.64977,85.7744,2.84292,8.38845,4.49706,1.99822,5.41695,11.78481,73.02297,1.63818,14.28936,1.45011,0.2844,6.48419,23.80789,14.65176,12.30071,5.59556,5.73759,16.15309,21.63746,3.74817,16.1012,12.54321,82.33282,0.0,2.92804,18.08188,0.351,11.17807,1.44891,8.63808,79.05365,9.37294,21.215,52.65298,7.51662,4.89961,44.06291,30.20613,6.83288,16.9268,9.69631,12.78036,3.83046,12.89307,16.28473,3.76222,4.2884,2.68039,4.56003,7.48371,21.36469,10.91478,2.81387,7.03424,8.70209,35.00586,2.45526
-3.25,8.39066,3.2318,13.38506,20.53799,12.16817,8.83558,4.18683,3.00553,0.59842,0.0,16.46049,18.2254,11.18139,5.62212,3.23716,7.33994,17.58039,8.93187,2.29444,0.62634,26.01489,664.43221,60.85787,21.87763,31.42426,3.53947,85.36321,9.58582,49.42834,3.21525,20.04913,12.96866,0.88558,2.63646,4.94161,3.43575,5.23661,4.29785,6.03772,2.74108,4.13162,18.62933,3.78677,2.68235,9.09423,9.23179,4.55666,7.26249,6.4351,9.38023,8.81893,5.2185,3.54682,6.72849,1.17816,25.48407,4.33886,6.55111,5.54301,4.61253,3.96554,37.16852,3.50203,17.96585,7.60539,5.80076,22.17021,2.55609,2.30045,6.4028,7.31377,10.53522,38.20219,2.14119,8.1701,12.29632,6.20755,19.37791,8.40498,11.88827,15.53484,9.01617,35.65674,6.90401,7.68137,0.82129,10.53239,3.85903,156.02917,25.53979,7.67445,5.77531,13.14358,15.44532,28.27523,14.92759,2.83252,4.74081,3.6769,15.99927,2.35772,11.79427,10.17497,13.82791,11.91372,13.76948,8.21686,33.63989,25.10275,11.04372,20.5746,82.63789,135.47296,20.70595,22.9897,4.61833,5.48353,46.76002,2.79074,6.5757,15.43146,18.72682,11.95035,13.64317,9.7295,9.14241,2.80755,5.68432,2.18803,3.35396,9.26554,20.61543,21.50816,3.67302,7.34214,3.11463,1.78782,4.31742,3.29915,11.93529,3.47951,3.68505,2.31631,3.33793,9.51993,13.27895,22.64657,14.60941,3.23556,4.25535,1.46924,4.85279,4.60525,19.43698,1.98188,5.25839,10.25824,3.35862,9.67908,2.17592,6.51071,9.42272,8.08831,18.50444,11.661,12.73017,8.54076,3.88715,8.75466,4.68809,4.45625,7.64821,11.38631,4.48177,33.76525,11.82532,8.59149,10.60989,22.16848,13.51535,60.93098,2.85345,6.886,4.00916,2.06055,4.00338,8.90048,50.13449,6.3494,7.4671,1.15575,0.2844,7.3693,23.80789,14.74468,12.58021,5.73256,7.3835,13.05036,24.77977,5.48932,13.94566,11.8659,59.28464,0.0,9.05261,17.96034,44.06922,12.2724,0.8358,8.2406,59.30192,8.00584,14.04387,57.32232,9.39523,5.00878,33.89103,39.13292,6.84793,14.70573,9.69631,21.0658,4.84622,14.12439,17.04359,3.99229,3.84779,3.98236,3.2501,5.19384,23.41655,9.55283,3.55313,19.21591,10.00254,35.00586,2.16541
-3.0,10.3463,4.3812,12.55782,21.57383,20.37669,23.22806,6.68102,9.99592,7.15003,0.0,20.76606,16.54189,14.48623,9.15668,7.71184,6.93089,19.91556,8.60117,5.17153,36.68728,28.0696,664.43222,37.60479,18.59768,38.47377,3.99287,85.36321,8.45559,49.76803,4.45495,16.97473,13.93366,0.9742,2.87632,5.69546,3.56903,4.9207,4.41719,6.2592,2.2873,4.91415,19.0989,3.87062,2.60413,9.70812,9.53826,4.20645,22.1547,7.089,7.82997,6.93012,4.80999,6.5401,9.60012,13.13781,23.30573,4.04887,6.13555,5.33304,12.15497,8.37199,38.73179,4.88744,17.56198,6.94278,6.99971,36.78418,1.2544,2.00159,5.55265,5.15037,10.17183,29.5448,2.25075,7.0777,11.19329,8.03361,18.16562,35.20973,35.06435,25.76946,23.00765,25.62853,7.98253,8.66781,5.89016,7.73822,5.34367,156.02917,23.61776,7.03003,4.71635,29.10111,22.62096,22.41766,14.96648,14.56304,4.85653,16.41472,16.15643,2.09681,10.97698,17.87023,9.58785,15.25362,11.30882,14.20362,37.44321,25.99422,10.9994,276.76176,58.96642,103.66862,18.01813,17.18925,3.22804,5.6371,41.05427,2.77357,5.66755,13.75885,16.41175,9.25255,15.45233,8.18986,7.90648,2.56529,5.48637,2.36614,3.19962,9.10084,18.93147,24.51193,4.63129,7.3101,3.06102,2.42091,6.39742,3.21995,13.79759,3.24636,3.57888,2.1479,3.70203,9.73298,15.19129,13.1572,14.18698,3.70331,3.86346,2.23365,5.04429,4.27458,16.43021,1.83704,5.49101,9.93861,2.82507,8.76635,2.77029,6.16993,9.33642,7.0931,15.22422,8.77029,11.61941,8.08708,3.85694,8.24493,4.46922,4.6493,8.05761,8.33771,4.84885,24.21066,10.6,9.58974,10.10401,19.48799,20.25054,46.17494,3.30903,6.93109,3.91772,2.03202,5.78304,8.63793,50.19498,6.3494,7.30954,2.39655,1.90714,8.03097,18.77044,14.01495,12.3732,5.65807,6.7575,9.68169,23.10405,7.41082,12.3047,13.04226,49.58558,20.93202,9.32606,19.50559,109.96002,14.32503,6.61557,9.50681,80.53275,9.24952,13.14342,47.45317,13.1033,5.20472,52.38324,29.36135,8.2815,12.04082,11.60102,17.72863,6.01191,10.33154,19.62844,15.15796,3.96259,4.12935,3.25753,4.51909,16.51887,12.23492,6.38533,21.76199,9.66595,34.47084,2.064
-2.75,10.14679,3.9797,10.88673,18.08376,18.98545,26.85427,20.06763,14.09915,6.47057,0.76182,20.76606,18.02019,20.37172,14.54852,13.05359,11.13392,29.38855,10.37089,7.22988,45.85322,30.51887,684.54332,27.41648,17.72027,27.62614,6.73026,80.68391,9.37685,66.66511,11.41322,20.70713,14.76448,1.74976,3.29056,6.3544,3.66259,4.13753,4.0359,6.70963,2.15957,4.84994,16.97605,3.91264,2.60724,9.10216,8.35973,5.69204,16.72736,6.65639,8.79671,6.73049,4.22213,6.68657,9.28663,8.54697,23.6897,3.92807,6.44754,5.98032,10.64723,10.33114,30.08637,14.08695,16.24868,16.96184,12.32938,26.21801,6.60839,1.47031,5.26629,5.77278,10.37302,28.19951,1.8583,6.53365,14.23089,7.75682,28.76585,26.97581,44.12305,23.27664,31.63265,20.43623,8.01257,6.6599,5.67584,6.87097,5.35802,156.1025,20.9146,8.14954,6.89854,28.0538,22.62547,20.20611,15.00768,10.58029,14.15689,18.69312,15.34713,2.16372,9.70647,19.86004,12.8455,15.16357,27.63511,12.84661,50.67372,21.75659,12.33177,184.57463,54.22578,103.66862,15.80077,13.71668,10.76179,4.41278,36.55205,5.06654,5.89555,15.9832,18.82222,10.40114,20.38909,8.6281,11.75019,2.27517,5.12974,2.36061,3.27907,8.17437,19.27235,22.44099,4.63236,9.47993,2.77545,2.7814,6.48261,3.7004,11.81525,2.90236,3.5443,2.1042,4.19782,12.18531,11.50124,19.13757,15.10818,3.65729,3.424,5.33191,4.77934,4.52798,16.90635,1.7732,6.22194,7.88531,2.96968,7.92805,4.99012,5.76534,8.33142,7.6957,12.28569,8.28315,9.95004,8.34232,3.4013,6.44415,4.61695,4.79598,8.00341,8.33956,6.19301,26.37185,9.74129,11.1483,11.67996,18.65311,20.84597,26.32426,3.47154,6.48731,4.30628,2.22455,7.12959,10.08661,23.28468,6.23845,7.01326,27.5224,20.24653,9.26214,18.80431,15.04702,10.63036,5.83294,7.05155,6.72385,18.11523,6.59698,11.90022,13.67625,48.49898,51.22162,9.45746,21.17357,68.56441,14.94026,11.26999,13.13536,64.16343,12.06493,14.06766,44.65351,15.11896,5.83488,51.36756,29.7828,13.3865,11.60381,13.18112,12.96203,6.57222,10.6843,14.6646,15.17188,3.56586,3.77918,13.22139,4.49269,11.84006,9.65718,5.06554,18.40824,9.10512,29.59767,2.17545
