,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,10.11848,0.0,0.0,0.0,0.0,0.0,1.5598,0.0,0.0,1.41383,0.0,7.38811,0.76337,0.0,2.35963,6.01262,0.0,0.0,4.97357,0.0,6.9684,0.0,0.0,0.0,10.46117,0.0,2.71675,0.0,0.0,0.0,0.0,0.0,0.0,1.56498,1.25382,0.0,0.14685,0.0,2.16137,0.0,1.86072,2.63076,0.98535,2.92868,9.934,0.0,2.06632,0.0,0.0,0.41459,0.02053,0.0,0.0,0.0,0.0,0.0,0.70051,0.0,0.0,7.98372,4.55751,0.0,0.0,2.34239,1.16398,0.0,4.0448,2.54733,1.83631,0.0,0.86576,0.0,0.24117,0.0,0.0,0.0,1.00358,0.0,0.0,0.0,21.95527,0.17278,1.25502,2.17742,4.54654,0.0,2.48639,0.0,0.0,0.0,0.75625,0.0,0.0,2.29463,0.0,0.0,0.0,0.0,0.0,10.52485,1.29352,0.0,0.0,0.0,47.09153,0.0,0.0,0.0,0.0,0.95599,0.0,0.63294,0.0,1.71296,0.0,0.21662,0.0,0.0,0.19647,0.0,0.0,0.0,0.0,0.55336,0.0,0.0,1.59563,0.0,0.50736,0.40296,3.79249,0.0,2.98418,1.21769,2.30592,0.77768,2.46067,0.0,0.0,0.0,7.85578,2.77856,2.20786,4.38822,4.66683,0.20051,0.0,5.42501,0.64363,0.0,0.0,0.71165,0.0,7.91816,2.4145,8.33232,1.57363,0.92943,0.0,0.0,0.0,0.27655,0.0,2.39678,0.0,0.63217,0.89444,1.63462,0.0,0.0,0.0,0.0,2.73997,3.20849,0.0,18.87878,0.0,27.29277,0.13913,0.0,0.0,3.6066,0.32436,0.77423,0.0,1.29034,2.07334,0.0,0.0,0.0,0.0,0.0,7.81775,0.0,0.0,1.37979,2.42152,0.0,0.24773,0.0,33.91867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935,0.0,0.0,0.0,0.0,0.51604,13.43321,0.3454,0.38658,0.0,0.0,1.07948,0.0,0.0,3.05341,0.0,0.0,0.1135,6.9747,0.97488,8.67377,0.0,0.0,0.03194,14.76005,0.0,0.0,0.0,1.25127
-4.75,10.12374,0.0,0.0,0.0,0.0,0.0,1.5598,0.0,0.0,1.41383,0.7994,7.38811,0.76337,0.0,2.35963,6.01262,0.0,0.0,4.9839,0.0,12.36122,0.6551,0.0,0.0,10.46117,13.07896,2.71675,0.0,0.0,0.0,0.0,0.0,1.1328,1.56498,1.28176,0.0,0.14685,0.0,2.17742,0.0,1.86072,2.63076,1.74685,2.92869,9.96596,0.0,4.64523,0.0,0.0,0.41459,0.02053,0.0,0.0,0.0,0.0,0.0,0.73715,0.0,0.0,7.98372,4.56279,0.5234,0.0,2.34239,1.04988,0.0,4.0448,2.58384,1.90519,0.0,0.86576,0.0,0.65096,0.0,1.31224,0.0,1.04007,0.0,0.0,0.0,11.05529,0.17278,1.25502,2.21081,4.557,0.0,2.48639,0.0,0.0,0.0,0.75625,0.0,0.0,1.25454,0.0,0.0,0.0,0.0,0.0,10.52486,1.29352,0.0,0.0,0.0,47.30354,0.0,0.0,0.0,0.0,0.95599,0.0,17.51822,5.63225,1.71296,0.0,0.21662,0.0,0.0,0.33215,0.0,0.0,0.0,0.0,1.87868,0.0,0.0,1.59563,0.9912,1.13802,0.40296,3.60917,26.40488,2.98418,1.21769,2.30592,0.93331,2.46067,0.0,0.0,0.0,7.85863,3.97017,2.78597,4.25097,4.66683,0.20051,0.0,5.46887,0.46912,0.0,0.0,0.71165,0.0,7.91816,2.4145,5.17972,1.36853,1.0099,2.5267,0.0,0.0,0.27655,0.0,2.40198,15.93691,0.69987,0.89444,1.63462,0.0,19.12735,0.0,0.0,2.74262,3.2085,0.0,18.96442,0.0,27.29277,0.13913,0.0,0.0,2.84512,0.30853,0.77423,0.0,0.79315,2.07334,0.0,0.0,0.0,0.0,0.0,7.81775,0.0,9.38262,2.51737,2.63634,0.0,0.24773,0.0,33.91867,1.80311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935,0.0,22.20447,0.0,5.42773,0.51604,13.43321,0.3454,0.47678,0.0,0.0,0.55143,0.0,0.0,1.78731,0.0,0.0,0.94397,6.9747,1.49296,8.87223,0.15111,0.0,4.46253,14.76005,0.0,0.0,0.0,1.25127
-4.5,6.83362,0.0,0.0,0.0,0.0,0.0,1.5598,0.0,0.0,1.41383,0.7994,7.38812,0.76339,0.0,2.35963,6.01262,0.0,0.0,4.98391,0.0,12.36122,0.6976,0.0,0.0,10.46117,13.1544,2.71675,0.0,0.0,0.0,0.0,0.0,1.1971,1.56498,1.52803,0.0,0.14685,0.0,1.82764,0.90199,1.44196,2.73472,1.485,2.92869,9.96596,0.0,4.64523,0.0,0.0,0.4793,0.02053,0.0,0.0,0.0,0.0,7.36365,1.71375,0.0,0.0,8.03763,4.56279,0.5234,0.0,2.34239,1.26148,0.0,4.0448,2.64707,1.90519,1.87976,0.93854,0.0,0.60239,0.0,1.31224,0.0,0.90494,0.0,0.0,0.0,11.05529,0.17278,2.73135,2.22878,4.557,2.40537,2.48639,0.0,0.0,0.0,0.75625,0.77186,0.0,1.25455,0.0,13.92828,0.0,0.0,0.0,10.52487,1.0574,0.0,0.0,0.0,47.30354,0.0,0.0,0.0,0.18683,0.95599,0.0,17.51822,5.63225,1.79223,0.0,0.21662,0.0,0.0,2.0157,0.0,0.0,0.0,0.0,1.3474,0.0,0.0,1.59563,0.99121,1.1714,0.70862,3.60917,26.73189,2.98418,1.21769,1.61369,0.79953,2.46067,0.0,0.0,24.13956,7.85863,4.04127,2.86025,4.25097,4.66683,0.13371,0.0,5.49356,1.61861,0.0,0.63762,1.71106,0.0,7.91816,2.44642,5.17972,1.10257,1.33685,2.52672,0.0,0.0,0.27655,0.0,3.20689,15.93691,0.7771,0.89444,1.63462,0.0,19.12735,0.86885,0.0,1.88896,3.20851,0.0,20.75228,31.92215,27.29277,0.13916,0.0,0.63717,3.04211,0.30853,0.77423,0.0,0.59797,2.07334,0.0,0.0,0.0,0.0,0.0,7.81775,0.0,8.89735,2.2445,2.31111,0.0,0.24773,0.0,33.91874,1.80311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935,0.0,22.20447,0.0,5.42773,0.51605,13.43325,3.14543,0.47937,0.01621,0.0,0.55143,0.0,0.0,2.09046,0.0,0.0,0.94397,6.9747,1.53992,9.02992,0.15111,0.0,3.15705,15.15615,0.0,0.0,0.0,1.25127
-4.25,9.23984,1.23977,0.0,0.0,0.0,0.22463,1.05268,0.0,0.0,1.41384,39.82578,6.1275,0.76339,0.0,3.69913,6.02306,0.0,0.0,4.98391,13.09296,14.85806,0.7343,0.0,0.0,8.29111,13.1544,2.71675,0.0,0.0,0.0,0.0,0.0,1.24159,1.56498,2.12414,0.0,0.37545,0.0,2.33359,0.902,1.459,4.26204,1.34838,2.3649,9.96596,0.0,3.95812,0.0,0.45789,20.22597,0.02053,5.87587,0.0,0.0,0.0,8.8441,2.20261,0.0,0.0,8.07413,4.56282,0.40127,11.38709,2.3424,1.26148,2.85781,4.0448,1.47033,1.96565,1.87978,0.93863,0.0,0.90565,0.0,1.31224,0.0,0.93235,23.61551,0.0,0.0,11.14419,0.24371,2.73135,2.22878,4.557,1.68248,2.48639,0.0,0.0,0.0,0.75625,0.77186,0.16982,1.25455,0.0,13.92828,0.0,0.0,1.96807,10.52487,2.15406,0.0,0.0,0.0,53.07287,0.0,0.0,0.0,0.18683,1.12642,0.0,17.51822,5.63226,1.79223,0.7614,0.21662,0.0,0.0,2.06528,0.0,0.0,0.0,0.0,1.48054,0.0,0.0,1.59563,0.99121,1.1714,0.70862,3.62205,28.45775,2.99045,1.21769,1.66409,0.90197,1.23037,0.0,0.0,26.29141,7.85863,3.46779,2.1478,2.59064,4.66683,0.13371,0.0,5.52715,2.06798,1.96983,0.63762,1.71106,0.0,5.48565,2.44642,5.17972,1.04536,1.90033,2.52672,0.0,18.05572,0.27655,0.0,2.95365,15.93691,0.7771,0.89444,1.46652,0.0,19.12736,1.9661,0.0,1.88899,3.20851,0.0,20.75228,50.02859,27.29277,0.24884,0.0,2.77636,3.04211,0.30853,0.77423,0.0,0.50091,2.27537,0.0,0.0,0.0,0.0,0.0,7.81775,0.0,9.59641,2.29326,2.15874,0.0,1.43224,0.24855,33.91874,11.48453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935,0.0,22.20447,0.0,5.42773,0.51605,13.43325,3.14543,0.47938,0.01621,0.0,0.56178,0.0,0.0,2.07865,0.0,0.0,0.94397,6.9747,1.63755,6.77538,1.91444,0.0,3.15705,15.15615,0.0,0.0,0.0,1.25127
-4.0,5.50458,1.04272,5.81421,0.0,0.0,0.22463,1.07022,0.0,0.0,1.41384,39.82578,6.1275,0.80989,35.87809,3.25236,6.02307,6.27627,0.0,4.98391,13.09296,14.85806,0.7343,0.0,0.0,8.29111,13.1544,2.71675,0.0,0.0,0.0,0.0,0.0,0.64028,1.56498,1.73539,0.0,0.37163,0.46594,2.75888,0.98295,2.12781,3.64283,1.36582,2.15663,6.67695,0.0,3.29781,0.0,0.45789,20.30574,0.02053,3.26525,0.0,0.0,0.0,10.77128,2.1345,0.0,0.0,8.07413,4.56282,0.40127,11.39792,1.40502,1.29662,2.85781,4.0448,1.47033,2.0083,1.87979,0.93863,0.0,1.62871,14.85787,1.42994,0.0,1.01582,23.61551,0.0,0.0,11.14419,0.24371,2.91134,1.80179,4.62116,2.10071,1.39227,0.0,0.0,0.0,0.76346,0.86188,0.16982,1.26811,0.0,13.92828,0.0,0.0,1.96809,10.52487,2.15406,0.0,0.0,0.0,53.07287,0.0,21.00497,0.0,1.07132,1.40689,0.0,16.46146,5.63226,1.79223,0.86726,0.21662,0.0,0.0,2.06528,0.0,0.0,0.0,0.0,1.49613,0.0,0.0,1.59563,1.02644,1.19421,0.81386,3.69246,28.53109,3.3998,1.21769,1.80695,0.91661,1.23037,0.0,0.34861,23.13545,5.65839,3.61242,2.1478,3.88009,4.66688,0.13371,0.0,5.77346,1.98185,1.96983,0.63762,1.71106,3.24475,4.51167,2.44642,5.20558,1.10488,2.11277,2.52673,0.0,11.79666,0.27655,0.0,2.0635,15.93691,0.79266,1.44612,1.46652,0.90057,18.73197,1.62471,0.0,1.9848,3.20851,8.62895,20.75228,50.02859,27.29277,0.72391,1.57276,3.19408,3.11884,1.26868,0.77423,2.39078,0.72933,2.27537,0.0,18.65382,0.36431,0.0,0.0,8.32036,0.0,9.87446,2.38875,2.00167,0.0,1.46553,0.24855,33.92393,11.48453,0.18842,0.0,0.0,0.0,0.0,0.0,5.33052,1.79623,0.0,22.20447,0.0,5.42773,2.65481,13.43326,6.0832,0.47938,0.01621,0.0,0.63555,0.0,0.0,2.12813,0.0,0.4926,1.84851,7.72653,1.63756,4.80353,6.09256,0.0,3.15705,15.15615,0.0,0.0,8.52987,1.6061
-3.75,4.40762,0.97258,5.81421,6.2989,0.0,0.22463,1.07022,0.0,0.0,1.41384,21.47729,6.12751,0.80989,35.87809,5.6813,6.02307,3.1971,2.06949,4.01507,13.1163,14.85807,0.7343,0.0,1.78917,8.40342,13.1544,2.71675,34.46341,0.0,0.0,0.0,0.0,0.92837,1.72443,1.60129,0.0,0.38302,0.46595,2.44311,2.19304,2.18887,3.56652,1.4579,1.42881,7.45963,0.0,3.35409,0.0,1.05093,20.30574,0.02053,3.26525,0.0,0.0,0.0,11.18579,2.20182,0.45449,6.09363,8.4451,7.90551,1.55122,11.44229,3.2367,1.29662,2.85781,7.58268,1.47033,1.62411,1.96685,0.93863,0.0,1.26425,14.86338,1.42996,7.33113,6.40341,23.61551,0.0,0.0,11.14419,10.54102,3.5718,1.91867,3.45198,3.31027,1.95199,65.50252,0.0,0.34338,0.80304,0.55543,0.37921,1.27884,11.66154,13.92828,0.0,7.96897,6.26666,6.40708,6.28714,22.29357,0.0,0.0,53.49657,0.0,21.00498,0.0,1.07132,1.40689,0.0,16.46147,5.63226,2.56419,0.86726,0.21662,0.0,0.0,2.06528,17.24029,37.01509,7.91576,0.04183,1.5669,8.50126,1.68633,2.62976,1.03203,1.34032,13.87282,3.23035,28.71365,1.99245,1.21769,1.4174,0.80325,1.24049,0.0,0.34861,25.06879,5.6584,3.85167,2.14558,3.35706,3.17937,5.55757,0.0,4.31524,2.01194,1.63222,2.87756,1.71106,3.89601,3.51558,2.00538,3.57638,1.31837,1.94815,2.52673,0.0,11.84801,0.27655,0.0,3.88576,15.93691,0.79266,1.01031,1.50381,1.00996,13.73988,1.86635,0.0,1.7782,4.6689,8.62895,21.62038,50.07041,19.49212,3.51565,1.57276,3.19408,3.17589,1.2755,0.8574,2.40419,0.72933,1.82169,0.0,9.49315,6.62566,0.0,0.0,8.32036,0.0,9.95121,2.38548,2.03819,41.72242,1.25154,4.03935,33.92393,11.48453,20.17753,0.0,0.0,0.57933,0.0,0.0,9.02134,1.80914,1.98398,22.20447,0.0,25.62533,2.65481,7.22107,9.55963,0.47938,0.01622,0.0,2.56341,0.0,0.0,1.5223,4.6134,0.4926,1.87117,9.95153,1.31842,5.04589,6.2531,0.0,2.61599,21.98077,0.0,0.0,9.75468,1.6061
-3.5,4.41303,1.73269,4.63497,3.58539,0.15881,4.73255,0.87104,0.0,0.0,1.41384,21.47729,6.12751,0.80989,36.01494,4.92597,6.02307,4.02061,2.0695,4.01507,13.1163,14.85807,0.79583,0.0,1.78917,8.40342,13.1544,2.71676,34.46341,0.0,0.0,0.0,5.72652,0.98571,1.72443,2.65193,0.0,0.4907,1.18092,2.95496,1.91881,2.2422,3.32624,1.56999,1.44436,4.77598,0.0,3.69046,0.0,1.05094,20.62096,0.02053,3.26525,0.0,0.0,0.0,13.69764,4.25887,11.02971,6.09363,8.87373,7.90551,1.55122,10.92893,3.2367,1.52428,2.85781,7.58268,3.36308,1.64159,1.70762,6.07556,0.0,1.35921,15.63308,1.19043,7.33114,5.31387,23.61551,0.0,0.0,11.14419,10.54102,3.60315,2.36806,3.45198,2.40187,1.4161,65.60663,0.0,0.34338,0.68438,7.50986,0.43008,1.13994,6.34677,13.92828,0.0,8.06742,3.85259,5.35029,6.08162,14.91297,1.34286,68.94546,53.49657,0.0,21.00498,0.0,1.07132,1.40689,61.20925,13.81081,5.63226,2.58545,0.86726,0.21662,1.14986,0.0,2.06528,17.8739,25.75647,8.34982,0.08638,1.58844,10.98994,1.68633,2.62976,1.06526,3.26788,11.25032,4.54995,19.24033,1.93837,0.84097,1.16391,0.89201,5.73066,0.0,1.80357,19.38583,4.98839,3.43873,1.71302,3.37488,3.50517,5.91369,0.0,4.34802,2.01194,2.00293,9.66589,2.36994,3.80953,3.21624,1.38173,5.47487,1.40725,5.15339,2.63844,0.03341,9.89323,0.27655,0.0,3.99508,8.01532,3.17333,1.82891,1.50731,1.0733,11.74631,1.89239,0.0,1.83557,3.16648,8.24906,21.62039,25.31853,13.30216,3.51566,4.46706,4.27125,3.20153,2.1485,2.15922,2.08402,1.07834,1.39864,0.0,9.49315,6.62566,5.24231,1.74058,8.32036,4.18176,10.72297,2.57271,1.92519,41.72242,1.28773,5.54293,33.92393,11.48454,20.17753,0.49836,0.0,0.57933,0.0,0.0,6.93482,1.75695,3.53851,22.20447,82.5235,25.62533,2.22565,7.22107,8.03183,7.74614,0.01622,0.0,2.56341,1.39613,0.0,1.88401,4.74248,0.4926,1.94191,6.858,1.64322,5.14127,6.2531,6.7793,2.21175,18.76112,3.6618,37.86329,9.75468,5.0731
-3.25,4.33714,2.46469,4.15533,7.17225,0.1767,4.74561,0.87105,0.0,5.0411,1.41384,14.7318,6.12751,0.67859,38.7677,5.36595,6.03158,4.02061,2.0695,4.04706,7.49833,11.18367,0.52054,0.0,1.78921,10.00656,14.54453,4.42262,33.12197,0.0,0.0,0.0,5.84819,1.19608,5.1054,3.3067,26.08443,0.98105,1.74601,3.16479,2.13982,2.14802,3.62731,1.52758,1.17624,4.29973,45.39228,2.71817,0.0,1.05094,20.62096,0.02053,2.66179,22.56624,0.0,22.68558,15.46059,3.75045,11.10331,6.34975,9.24003,7.919,1.55122,11.00633,2.46051,5.04469,2.85781,5.144,6.28141,1.64159,1.18102,4.29175,19.90308,1.1268,11.76031,0.97446,3.74898,7.28137,23.61551,0.0,8.63528,30.70692,10.54102,3.60315,2.17674,3.29417,2.40187,2.69319,27.79892,0.0,0.34338,0.68438,9.52858,0.5335,0.91694,4.40501,13.99041,0.0,9.16714,3.85338,4.79416,6.08162,15.11707,1.34286,68.94546,53.49657,7.22022,10.76669,16.72436,1.07132,2.37428,61.20925,13.83162,5.63226,2.58545,1.53414,0.87692,1.26983,0.20467,2.06528,18.05689,25.79542,22.55425,3.97383,3.40623,9.7314,1.68633,2.72504,1.37722,2.87279,9.46218,3.10316,26.5899,1.9549,1.64589,2.2735,0.84918,5.73966,0.0,2.09332,20.44742,5.26997,3.264,1.94637,3.04538,5.77663,6.08627,0.56552,3.91365,1.9747,1.80521,9.97189,2.4045,3.73604,3.06317,1.38173,7.69547,1.74497,5.18947,3.26993,10.46942,7.19226,0.27655,0.0,5.27491,4.42159,3.08585,1.48666,1.23015,6.72278,11.37811,1.81123,3.90239,1.88444,5.0053,12.99581,16.0584,16.96475,10.2157,3.76587,5.26225,3.4921,3.05127,2.63519,3.65982,3.02827,0.9134,1.58172,0.0,10.86328,6.75616,3.09298,3.83571,4.97092,4.18176,10.9275,2.37059,1.56988,41.72242,1.28069,4.8948,9.98859,12.5676,15.46818,0.49836,0.0,14.29084,0.0,6.47387,5.45142,1.78209,2.37262,8.45142,82.5235,95.0735,3.10537,21.97949,8.23501,7.74614,0.01623,6.27956,1.89082,1.35533,0.0,2.10182,10.80428,4.00374,1.9508,6.87771,1.58188,5.16722,5.1843,6.21843,3.09538,14.60067,3.70358,46.61693,7.65927,4.25761
-3.0,4.48762,2.25133,4.42109,5.16469,0.1767,5.27034,0.8893,0.0,5.04111,1.41384,12.30224,6.12751,0.69621,26.49194,5.36727,6.07209,4.26372,2.0695,2.70156,7.49833,11.25199,7.07977,0.0,1.78921,6.97784,14.54453,4.42262,33.12197,0.0,0.0,0.0,5.8482,2.48123,5.20827,2.99519,26.08443,0.99691,1.44088,2.76271,2.89269,2.09574,3.46876,1.63883,1.19858,3.09529,22.88008,2.85168,1.34099,3.05833,20.62096,0.02053,2.03884,21.2592,2.91898,22.8507,19.76491,3.71114,7.72859,4.93741,6.32506,6.83382,1.57451,11.00633,2.54437,4.49976,10.13899,5.144,6.28142,1.74504,1.79248,9.33402,20.23449,1.21574,12.35212,1.00732,2.68136,7.4183,15.68943,0.0,8.63537,30.70692,10.54103,2.81533,1.93249,3.13928,4.02573,3.37125,27.79892,0.0,0.34338,0.68438,6.92496,0.64453,0.91695,5.03631,7.3104,0.0,18.69236,2.83134,5.01968,5.66867,11.09933,1.34286,68.94546,33.13851,13.394,8.54552,16.72436,2.43789,7.41538,38.74598,12.34559,45.78276,3.13862,4.02072,0.87692,17.82852,2.82553,2.64418,13.16755,26.66728,23.67151,3.97384,2.81411,7.97928,1.26679,2.20283,1.29497,3.16317,8.48266,2.75366,27.12034,1.8277,7.89746,2.59079,0.89605,3.51539,5.52061,1.85454,16.69507,5.48527,3.37966,1.64193,2.35131,5.6339,3.53584,0.5656,3.67509,1.98121,2.3315,10.46725,2.82768,2.9507,4.29821,2.53922,8.61697,1.72964,5.29387,3.02581,7.14013,7.93577,0.69539,0.0,5.70874,3.46836,2.41365,3.376,1.24906,4.09211,10.58496,2.83845,4.39184,1.45193,8.42399,12.99581,12.13977,16.96475,13.49938,3.86922,6.00483,3.20053,1.92972,2.24441,3.83005,2.83625,1.26931,1.45993,3.33788,7.12585,6.75616,3.11455,3.33957,5.60417,4.76124,11.85791,2.55122,1.45221,24.92127,1.13227,5.0915,6.66416,12.14584,13.42848,0.49836,0.0,14.29084,26.89414,4.07458,5.45142,2.03518,2.37262,8.39484,82.5235,95.0735,4.37138,17.64408,8.23501,13.42844,0.01623,8.15306,1.89805,1.35533,0.0,2.62346,4.96689,4.00374,1.36689,6.19866,2.05688,4.40068,4.54318,4.19004,2.23727,9.94029,3.9989,32.02923,10.06366,4.45106
-2.75,3.38024,2.45865,4.47615,4.05962,1.9008,4.23495,3.97171,0.0,3.24768,1.4946,9.42661,6.12751,0.90915,26.50834,4.78222,5.28687,9.16594,3.55085,2.44601,7.58204,11.252,16.24978,157.84777,1.78921,7.1768,14.54453,77.14082,33.12198,0.0,0.0,0.0,3.53378,2.50857,3.75557,3.09115,26.08444,1.78859,1.27784,2.93361,2.54977,2.18963,3.21744,1.50691,1.23691,2.37868,22.90385,2.73711,2.96242,4.66468,29.3772,0.02053,3.99972,16.20615,3.7659,11.21086,22.51372,3.52052,6.05453,4.42167,6.401,6.55916,16.05316,12.54555,2.54438,7.28731,10.89391,4.13877,5.92218,1.70104,1.73375,8.56999,21.21266,1.10981,10.76371,5.08044,2.5726,6.58812,19.00344,0.18186,10.65383,30.70692,18.51441,2.87129,2.25587,3.20552,3.72515,3.72576,27.79892,10.91606,18.66951,0.68438,5.59934,5.32771,0.83927,5.06253,7.58442,9.44159,18.76065,2.63282,3.62655,6.25799,7.25027,15.23818,35.12377,33.13851,13.394,6.867,16.72436,2.421,6.39036,42.10771,10.64454,24.73329,3.13863,2.61988,0.87692,13.8821,11.63638,2.24266,17.69291,20.2118,14.19755,3.90885,3.16888,7.73507,2.49478,2.22875,1.25398,3.52927,6.29521,2.48002,28.39372,2.04058,8.01533,2.07985,0.81391,3.51779,6.91163,1.71033,18.61009,4.62505,3.46452,1.44641,2.12886,4.83583,4.96361,0.52381,3.57319,3.52114,2.52944,10.46725,2.50339,2.66487,4.85697,2.20922,9.27205,1.6839,4.45216,3.03009,8.42619,10.49529,1.44058,0.0,6.97342,2.837,2.49455,4.56256,1.52195,3.36674,11.68391,2.72572,4.56121,1.31426,6.73556,10.92227,12.54666,17.15486,11.87581,4.084,5.09647,3.20053,2.04361,3.33009,3.61573,3.08819,1.37618,1.83595,2.87098,7.94126,5.94155,3.18842,2.85939,5.60418,18.20059,12.06167,2.90228,1.32044,18.55734,1.04822,4.30009,6.66418,24.05526,12.29085,0.63771,5.97926,14.30138,26.89414,4.10215,6.27349,3.34046,3.97537,8.78127,48.93114,152.74632,7.54417,14.928,8.26618,13.42844,0.01623,8.16933,1.92938,0.93978,5.51466,3.921,5.61046,16.61234,1.61941,4.6,2.50234,3.91452,4.08939,4.0289,2.32802,9.00664,8.53917,32.04537,6.06977,4.92479
