,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,3.66931,0.0,3.74954,0.0,1.27385,0.0,6.76667,0.0,0.0,77.01336,112.73374,19.68478,284.69888,758.81447,0.0,0.0,0.0,0.0,0.05671,0.0,0.0,0.0,0.0,26.25306,0.0,0.0,0.0,0.0,93.04659,0.0,0.0,0.0,25.10993,0.63429,1.36835,0.0,37.13678,0.73465,29.34155,0.0,3.07323,0.0,4.21424,6.43588,0.49701,1.53672,0.0,0.0,5.00875,1.17278,0.89054,0.0,0.28437,0.0,2.78249,4.44426,1.31504,0.0,0.24061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91218,0.0,0.0,2.99318,0.3375,0.0,0.0,0.0,9.88543,0.0,0.0,0.0,0.0,0.0,0.83746,0.0,0.0,0.0,0.57021,0.0,0.0,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,0.98263,0.0,6.18071,2.59419,0.0,0.0,0.0,0.0,0.0,0.0,107.28613,15.80318,0.0,0.0,0.0,0.0,0.0,0.0,2.3707,0.0,0.0,0.0,14.40999,0.0,0.0,1.15607,0.0,0.0,0.56421,0.0,2.28534,0.7779,0.0,1.88372,2.60274,4.34668,1.72018,10.09172,1.09676,89.78575,1.40845,0.92388,1.34685,0.29588,1.65988,4.95261,0.0,0.0,0.0,0.0,0.0,0.53845,0.0,2.01984,1.32003,0.50059,2.64525,1.69845,7.6171,7.57873,1.57214,0.88443,1.66173,23.6347,0.0,0.0,0.0,0.0,2.77062,4.54788,1.49597,0.0,8.92021,0.0,0.0,15.31686,1.17214,0.0,0.0,0.0,0.0,0.97087,0.0,0.88113,1.29633,3.17044,0.88712,0.0,0.0,0.0,0.0,0.60416,0.0,5.08285,0.0,0.0,0.0,0.0,46.29,4.6923,0.0,0.0,0.0,0.0,0.98324,0.0,0.0,0.0,0.0,0.0,0.0,7.48934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50219,0.0,0.0,7.00253,0.0,0.0,0.2061,0.0,0.0,0.0,2.20442,0.0,1.24805,0.0,0.0,0.0,0.68766,0.0,0.0,0.0,0.0,1.00421
-4.75,0.0,4.91893,0.0,3.74954,0.0,1.27385,0.0,3.43694,0.0,0.0,77.01336,112.73374,19.68478,284.69888,758.92761,0.0,0.0,0.52915,0.0,3.83671,0.0,0.0,0.0,0.0,26.25306,0.0,0.0,0.0,0.0,93.04659,52.8321,0.0,0.0,12.95067,4.70571,1.36835,7.47192,37.32192,0.73465,29.34155,0.0,3.33954,2.11796,4.21424,6.43588,0.49701,1.53672,0.0,0.0,5.00875,1.17278,0.89054,0.0,0.28437,0.0,2.78249,4.58477,1.11327,0.0,0.24061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.56808,6.91218,0.0,0.0,2.55436,9.17909,0.0,0.0,0.0,9.88543,0.0,0.0,0.0,0.0,0.0,1.30381,0.0,0.0,0.0,0.57021,0.0,35.0653,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,0.98263,3.82669,6.18074,2.59419,0.0,0.0,0.0,0.0,0.0,22.13384,107.28613,15.88595,0.0,0.0,0.0,0.0,0.0,12.44208,2.3707,0.0,0.0,0.0,14.40999,0.0,0.0,1.15607,0.0,0.0,0.56421,0.0,4.34489,0.59052,0.0,2.196,2.58806,4.46778,1.52733,8.4699,1.11912,89.78575,1.40845,0.8606,1.38831,0.29588,1.46686,6.01747,0.0,0.0,0.0,0.0,0.0,0.53845,0.0,2.01984,1.32003,0.50059,2.44245,1.69845,7.64853,6.64667,1.47151,0.92592,1.66173,23.6347,0.0,0.0,0.0,0.0,2.77062,3.95489,2.32435,0.0,8.92021,0.0,0.0,15.31686,1.17214,0.0,0.0,0.0,0.0,1.01462,0.0,0.88128,1.29633,3.17044,0.88712,0.0,0.0,0.0,0.0,0.58959,0.0,5.08285,0.0,0.0,0.0,0.42989,30.17616,4.32217,0.0,0.0,0.0,0.0,0.98324,0.0,0.0,74.63664,0.0,0.0,0.0,7.48934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50219,0.0,0.0,7.00253,0.0,0.0,0.2061,0.0,0.0,0.0,2.26196,17.50932,1.24805,0.0,0.0,2.49122,14.52788,0.0,0.0,0.0,76.74651,0.82923
-4.5,0.0,4.91893,0.0,3.74954,0.0,1.27385,0.0,3.43694,0.0,0.0,77.01336,112.73374,19.68478,284.69888,758.92761,0.0,0.0,0.52915,0.0,3.83671,0.0,0.0,0.0,0.0,26.25306,0.0,0.31419,0.0,0.0,93.04659,52.8321,0.0,0.0,12.95067,4.70571,1.36835,19.14846,53.46643,0.93495,29.34155,0.0,2.30008,2.10913,2.9564,6.43588,3.2914,1.53672,0.0,0.0,5.00875,1.17278,7.86975,0.0,0.28437,0.0,2.78249,4.58483,1.11327,58.52918,0.24061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33848,9.17766,0.0,0.0,2.65702,9.21576,0.0,5.04606,0.0,9.88543,0.0,0.0,0.0,0.0,0.0,1.30381,0.0,0.0,0.0,0.57021,0.0,35.0653,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,1.17894,3.9781,4.16068,2.9821,0.0,16.89206,0.0,0.0,0.0,22.13384,107.28613,15.88595,0.0,0.0,0.0,0.0,0.0,12.44208,2.37596,0.0,0.0,0.0,14.46938,0.0,0.0,1.15607,0.0,0.0,0.56421,0.0,4.06558,0.89702,0.0,2.18682,2.21456,3.95582,1.94302,9.21701,6.61048,89.78575,1.40845,0.8606,1.37035,2.42626,1.47202,7.90681,17.60076,0.0,0.0,0.0,0.0,0.54379,0.0,2.01984,1.50653,0.50059,2.47257,1.69845,7.84291,6.15178,1.43983,0.96638,1.14093,19.76639,0.0,0.0,0.0,0.0,2.77062,3.96722,2.32435,0.0,8.92021,0.0,13.38771,15.31686,1.17214,0.0,0.0,0.0,0.0,10.95187,0.0,0.88128,1.91269,3.17044,0.88712,0.0,1.59101,0.0,0.0,0.60281,0.0,3.39192,0.0,0.0,0.0,0.42989,23.73513,4.56663,0.0,0.0,0.0,0.0,0.98324,0.0,0.0,74.63664,0.0,0.0,0.0,7.48934,0.0,0.0,0.0,0.0,101.776,0.0,0.0,0.50219,0.0,0.0,7.00253,0.0,0.0,1.49885,0.0,0.0,0.0,1.74637,8.96733,1.01758,0.22362,0.0,2.49122,14.52788,0.0,0.0,33.01257,76.74651,0.86357
-4.25,0.0,2.80034,0.0,5.61606,0.0,1.27385,0.0,3.43694,-0.00279,0.0,77.01336,112.73374,19.68478,284.69888,758.92761,1033.50265,0.0,0.61737,0.0,3.83671,0.0,0.0,0.0,0.0,26.25306,0.0,17.95461,0.0,0.0,104.57102,52.8321,0.0,0.0,12.95067,4.67297,1.36835,19.14846,53.55431,1.44098,29.34155,0.0,5.44878,1.94175,2.25074,6.1908,13.33772,1.53672,0.0,0.0,5.00875,1.17278,7.86975,0.0,0.28437,0.0,2.09249,15.70285,0.91125,58.52918,0.24061,0.09798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33848,9.18847,0.0,49.84768,2.70126,9.21576,0.0,5.04606,0.0,5.90359,0.0,0.0,0.0,0.0,0.0,10.81744,0.0,6.58723,0.0,0.57021,0.0,35.0653,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,2.17309,3.9781,3.79385,1.98883,0.0,16.89206,0.0,0.0,0.0,22.13384,107.28613,15.88595,0.0,0.0,0.0,0.0,0.0,12.44208,2.37596,0.0,0.0,0.0,24.46394,0.0,0.0,1.15607,0.0,0.0,0.56421,0.0,3.55084,0.89702,0.0,2.29456,2.1609,4.01142,2.39597,7.76745,6.17662,89.78575,1.40845,1.23493,1.39203,5.73984,1.1706,7.45771,11.5572,0.0,12.95453,0.0,0.0,0.62295,0.0,3.83899,1.50653,0.50059,2.74679,1.69845,7.84291,5.67545,1.2937,0.71819,1.14093,19.76639,0.0,0.0,0.0,0.0,6.90954,3.96722,3.30903,0.0,10.25085,0.0,9.36743,15.31686,1.17214,0.0,0.43452,0.0,0.0,11.04082,0.0,0.88128,1.76812,3.17044,0.88712,0.0,1.39036,0.0,0.0,0.86685,0.0,4.17626,0.0,0.0,0.0,0.42989,26.62589,5.3366,0.0,0.0,0.0,0.0,5.68746,0.0,0.0,74.63664,0.0,6.65978,0.0,3.90358,0.0,0.0,0.0,0.0,101.776,0.0,0.0,0.50219,0.0,0.0,7.00253,0.0,0.0,1.49885,0.0,0.0,0.0,1.74637,8.96733,1.01758,0.22362,0.87435,1.42632,14.52788,0.0,0.0,33.01257,76.74651,0.83078
-4.0,0.0,2.80034,0.0,6.7396,0.0,10.24349,0.0,3.43694,-0.00279,0.0,77.01336,112.73374,19.68478,284.69888,758.92761,1033.50265,0.0,0.61737,0.0,3.94126,0.0,0.0,0.0,0.0,26.95092,0.0,17.95461,0.0,0.0,104.57102,52.8321,0.0,0.0,7.00505,4.78694,1.36835,19.65566,53.7565,1.44098,19.85872,41.47468,4.90138,4.80976,2.25074,7.6814,8.38083,1.53672,0.0,0.0,5.00875,1.17278,7.86975,0.0,0.28437,0.0,1.62205,10.75101,0.89133,58.52918,0.53724,0.30732,0.0,0.0,0.0,0.70627,0.0,0.0,0.0,13.33848,9.34038,0.0,25.0436,2.78352,6.21332,0.0,5.04606,0.0,4.01931,0.0,0.0,0.0,0.0,0.0,8.32643,0.23997,6.58723,0.0,0.57021,0.0,35.0653,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,26.38344,3.9781,4.01741,2.82393,0.0,16.89206,53.42683,0.0,0.0,64.96936,107.28613,38.52951,0.0,0.0,0.0,0.0,0.0,12.44208,2.37596,0.0,0.0,0.0,18.43834,0.0,0.0,1.15607,0.0,0.0,0.56421,0.0,3.56931,2.23593,0.0,2.41041,2.11574,3.79163,4.75856,6.67659,3.9929,89.78575,1.40845,3.03404,1.44968,5.74417,1.02694,7.01314,11.5572,0.0,12.95453,0.0,0.0,0.84449,19.56593,3.83899,3.14311,0.50059,2.89748,1.69845,6.48417,5.3164,1.22518,2.69282,1.16703,18.70031,0.07931,0.0,0.0,0.0,5.82842,3.96723,2.7462,0.0,10.95546,68.02042,9.47643,15.31686,1.86978,0.0,0.43452,1.08869,0.0,11.04082,0.0,0.88128,3.34126,10.21902,1.32786,0.0,1.01333,0.0,16.69934,1.11498,0.0,4.17626,0.0371,0.0,0.0,0.27741,26.84561,5.76441,0.0,7.06109,0.0,0.0,5.68746,5.39629,0.0,74.63664,0.0,6.65978,0.0,3.90358,0.0,0.0,0.0,0.0,101.776,0.0,0.0,0.50219,0.0,0.0,7.00253,0.0,0.0,1.49885,173.94223,0.0,0.0,1.6886,6.00375,1.24442,0.22362,0.87435,1.48224,14.52788,0.0,0.0,33.01257,76.83737,1.89439
-3.75,1.23493,6.59586,0.0,6.7396,0.0,10.24349,9.85024,3.44754,-0.00279,0.0,77.01336,112.73374,19.68478,155.0751,758.92761,1033.50265,0.0,0.61737,52.67147,12.01535,0.0,0.0,0.0,24.19949,29.63545,0.0,17.95461,0.0,0.0,109.52148,52.8321,0.0,0.0,7.0231,3.87495,0.78839,11.99314,40.87207,0.84966,21.37993,41.47468,4.09191,4.82668,2.67723,7.72442,7.46407,1.53672,0.0,0.0,19.66768,23.39859,7.86975,0.0,0.28437,0.0,1.44473,11.28683,0.72733,30.93625,0.53724,0.44107,0.0,0.0,0.0,23.88961,0.0,0.18829,0.0,13.33848,11.92064,0.0,25.0436,2.86817,4.22595,0.0,3.26811,18.43655,4.00579,0.0,0.0,0.0,0.0,0.0,5.77286,5.48059,6.31645,0.0,0.57021,0.0,35.0653,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,26.6887,3.9781,3.27529,2.52013,16.39362,16.89206,53.42683,0.0,0.1142,64.96936,80.51721,29.46512,0.0,0.0,0.0,0.0,0.0,12.44208,3.47387,0.0,0.0,2.54017,18.51575,0.0,0.0,35.61433,0.0,0.0,0.56421,0.0,3.93729,2.23593,0.0,2.59029,2.08884,3.5225,4.23319,6.67659,4.95117,89.78575,130.64067,3.03404,1.45688,4.01085,0.91567,6.77164,4.98106,0.0,12.95453,0.0,0.0,0.85872,19.56593,2.67256,2.77411,5.02017,2.78872,1.69845,6.48417,5.26018,1.14039,3.15075,1.90849,19.33174,0.07931,29.49645,0.0,33.51221,5.82842,3.46507,3.06118,0.0,9.77617,38.09995,9.47643,15.31686,1.75314,1.10346,0.43452,1.08869,0.0,9.09154,3.85857,0.88128,7.08785,10.32466,1.07411,0.0,1.01333,0.0,6.60614,1.01539,0.0,4.21422,0.0371,0.0,0.0,38.92092,27.85894,4.94901,0.0,7.06109,0.0,0.0,5.68746,5.39629,0.0,74.63664,0.0,6.65978,0.0,28.73848,12.34356,3.64475,0.0,0.0,101.776,0.0,5.41961,0.50219,0.67391,0.0,7.00253,0.0,0.0,4.94579,173.94223,0.0,0.0,1.6886,3.47769,6.50937,5.01199,9.44491,0.91471,14.52788,0.35235,0.0,33.01257,76.83737,1.91652
-3.5,1.23493,13.78141,0.0,6.7396,0.0,24.42609,9.85024,3.44754,5.43773,0.0,77.01336,112.73374,19.68478,103.88792,758.92761,1033.50265,1027.67266,0.61737,52.67147,19.1094,0.0,0.0,0.0,16.9222,56.18811,0.0,12.02643,0.0,0.0,109.52148,52.8321,0.0,0.0,6.67815,3.64673,0.78839,12.05286,35.81232,0.60118,17.78744,41.47468,3.8548,4.48693,2.82017,11.18273,8.67852,1.53672,0.0,58.82844,19.66768,22.32842,7.88867,5.64905,0.28437,0.0,1.67854,10.28485,0.72733,30.93625,0.53724,0.44107,0.0,0.0,0.0,32.52071,0.10581,0.18829,0.0,13.33848,11.67895,4.72526,45.17236,2.89732,8.03993,0.0,3.26811,18.43655,4.00579,0.0,0.151,0.0,0.0,0.0,4.9938,5.48059,4.8339,0.0,0.57021,0.0,35.0653,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,19.63685,3.9781,3.97788,2.69541,22.58702,26.63987,98.81329,17.10321,3.06402,64.96936,80.51721,23.88011,39.23359,0.0,0.0,77.44616,0.0,7.93034,3.47387,0.0,0.0,2.54017,15.33684,0.0,0.0,26.26405,0.0,6.92623,0.56421,0.0,3.3983,3.36263,0.0,2.68375,2.14318,3.14955,3.24365,6.68104,6.91829,133.04724,194.49739,3.68339,1.4841,4.04738,0.86217,7.88544,8.30342,12.67078,25.64768,0.0,0.0,2.22673,19.56593,2.67256,7.00346,5.97185,2.72056,1.57889,9.3748,6.63491,1.74204,4.22084,3.36881,19.6692,3.86169,15.02857,17.21943,55.72455,8.04527,3.46695,2.41971,0.0,9.27421,25.54341,6.0551,12.02421,7.33092,1.33856,14.02645,1.08869,0.0,7.49301,13.05054,8.81142,4.94301,10.24245,2.39595,0.0,7.71586,0.0,6.60614,1.02588,0.0,13.09852,16.42767,21.4569,0.0,23.42784,25.80586,4.5323,0.0,12.53165,0.0,0.0,4.90646,52.773,0.0,74.63664,0.0,6.65978,0.0,21.69488,122.99268,3.64475,5.79162,1.42771,50.96661,0.0,5.62988,0.50219,0.67391,0.0,7.00253,0.0,0.0,4.94579,173.94223,0.1789,0.0,4.09573,3.08055,6.97885,5.47907,7.94966,24.17212,18.30974,0.35235,0.0,18.35454,84.82746,1.65677
-3.25,42.33742,14.33371,0.0,6.7396,0.0,24.42609,9.85024,3.44754,5.43913,84.65456,77.01336,67.49603,19.68478,103.88792,758.92761,625.58923,1027.67266,0.44081,52.67147,34.86346,3.34164,641.64334,0.0,20.96433,33.70691,0.0,12.10499,0.0,0.0,109.52865,52.8321,15.65664,0.0,5.27175,3.26461,9.15325,17.95363,26.26532,1.62461,14.40277,42.21385,8.03184,3.91013,3.32406,8.48768,12.1157,1.53672,0.0,58.82844,19.72693,22.32842,7.88867,2.85618,16.90964,0.0,1.95832,9.83356,1.145,22.00463,0.49373,7.69466,0.0,0.0,0.0,32.52071,0.10581,9.76729,0.0,24.8785,8.95147,13.61951,40.08999,2.95292,11.56535,0.0,3.26811,9.69279,3.56481,0.0,86.93739,0.0,1.75547,0.33647,4.60779,3.69824,3.71632,0.27391,2.12167,0.0,35.0653,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,14.78493,5.44899,3.9796,3.09923,36.6998,28.47739,79.78253,63.64717,11.28501,35.43006,80.55557,23.89753,41.48169,0.21715,6.4301,77.44616,0.0,7.93034,3.47387,0.13842,0.0,2.54017,12.86599,85.96602,0.0,27.99865,0.22837,12.19558,7.79354,0.0,3.34023,3.77254,0.0,2.68602,2.01128,3.07648,2.98106,6.68104,7.72374,133.04724,201.55972,3.04883,1.36199,3.65366,1.59753,7.70357,7.16733,12.24455,22.1806,10.62171,1.24576,5.34337,10.03555,5.84726,7.00346,7.52721,2.96305,1.57889,9.3748,5.83359,1.88287,13.63534,2.64441,16.07923,7.12564,24.0188,11.93924,41.9346,8.5155,4.15376,2.75887,4.03847,9.28401,20.3407,5.7749,11.23062,9.9449,1.33856,16.75449,1.08869,1.98215,14.11868,10.59585,55.32519,4.34616,8.89285,2.35816,0.0,9.54437,33.585,6.9116,2.7434,0.0,11.27909,16.10111,16.6294,0.0,19.54815,26.5564,4.26715,35.4836,12.53165,0.0,15.97322,11.02623,52.773,0.04791,42.44099,0.0,6.65978,156.38292,21.91289,84.881,3.64475,18.48969,1.42771,50.96661,0.0,5.94667,27.3192,91.20265,36.10842,6.03957,0.0,0.58039,4.98565,89.44142,0.20571,0.0,4.09573,3.29262,9.55211,27.4879,7.94966,24.17212,18.30974,0.35235,0.0,18.35454,84.82746,1.63241
-3.0,29.29268,15.27144,41.60305,2.14019,0.0,52.25365,9.85024,13.57068,27.81165,85.20242,80.90772,67.49603,19.68478,83.12946,758.92761,625.58923,1027.67266,15.9997,52.67147,30.0487,1.80999,641.64334,0.0,17.1869,28.31041,0.0,12.10499,0.0,0.0,109.52865,52.8321,13.87822,0.0,3.22002,3.18174,12.54545,17.95363,20.89319,6.00567,13.39214,42.21385,8.09567,4.13033,3.81996,9.10903,12.56261,2.05487,19.68365,45.4167,15.37861,22.32842,7.88867,2.85618,29.53091,0.0,4.7981,12.74537,2.19632,12.99663,0.40389,8.04402,96.847,0.0,0.0,25.15266,0.10581,17.62092,20.07064,26.64409,6.71861,18.65263,30.25696,2.78229,12.92608,30.27579,4.00661,22.35005,2.86812,21.02383,86.93739,0.0,1.03115,95.53572,15.20357,3.22616,7.25251,15.70367,2.12167,0.0,17.83915,0.0723,12.74754,159.05637,0.0,0.0,0.0,0.0,14.79031,13.1417,3.14764,3.48656,27.92844,33.86896,50.74668,46.80658,10.07344,35.43006,88.6915,20.9712,41.5827,34.55134,29.20148,46.06794,0.0,8.86521,4.14252,0.13842,20.33356,22.84996,12.07742,28.84045,105.60068,40.53634,30.77283,17.41864,14.77274,2.49587,3.98438,8.28063,57.54703,2.47554,2.30002,2.95373,2.83119,5.7897,7.61106,133.04724,201.61907,3.26904,1.36716,3.13357,3.38626,5.99865,8.80933,11.60114,12.89289,18.06252,1.24576,6.34304,10.48501,7.14059,7.30431,8.79548,3.42598,1.57889,9.3748,5.47308,1.8933,10.54182,2.95194,15.10792,7.96007,14.18547,13.41422,50.60625,12.66304,4.01349,4.73069,4.20422,7.08862,20.9839,5.94634,9.71767,10.77082,1.33856,13.51058,11.93137,1.56588,13.5758,9.42803,46.84474,4.60587,14.15898,5.41892,0.0,11.55857,33.585,17.86157,3.18592,0.0,10.51255,22.52322,18.51651,58.2052,14.75917,22.65704,3.99682,49.75699,18.7364,12.41265,15.97322,12.19671,57.41472,33.97493,33.63478,0.0,34.79015,156.38292,32.40893,84.881,3.64475,18.48969,0.82869,50.96661,110.49829,38.58467,15.8277,91.20265,36.10842,6.50898,0.0,0.58039,5.25684,120.55098,17.93184,58.26746,5.76608,6.73983,11.33,22.63416,14.14467,39.25441,19.12467,0.35235,0.0,7.98798,97.86816,2.59438
-2.75,22.2992,13.38924,27.85233,7.33334,26.63887,41.42516,45.44161,13.57068,26.84981,69.25885,88.39947,37.55955,42.52354,83.12946,379.48964,625.58923,1027.67266,8.03652,52.67147,27.05098,97.2813,641.64334,170.89696,17.21057,39.97433,0.0,13.57774,95.18106,0.0,110.20122,52.8321,14.28934,0.0,3.04018,3.07747,12.54545,15.81734,16.02671,5.45293,11.67867,14.24718,10.33483,3.14248,4.11693,8.80223,9.61244,5.8351,19.79502,36.85331,22.24128,14.1484,14.43013,8.26767,29.43524,34.75957,6.24411,12.65751,4.26184,13.93948,0.56458,8.04402,32.16066,1.0346,5.97343,59.45231,7.98911,27.44373,65.01889,21.8193,6.00592,14.93157,36.86376,7.00622,12.44628,49.6206,5.33302,21.5232,8.81923,21.02383,86.93739,0.0,1.14422,82.6754,12.25865,5.52481,12.29847,10.8057,11.65194,91.91014,36.07638,0.0723,15.01474,159.05637,0.0,0.0,18.48003,201.66413,17.5731,22.76462,3.32014,3.72869,18.90305,34.06097,42.12133,47.11359,8.44033,35.43006,83.56252,21.13183,36.71607,35.18001,27.47281,51.35347,0.0,29.44781,4.14252,5.95027,20.33356,30.37358,10.62852,28.84045,67.62529,33.84573,36.00371,16.82869,17.5209,12.85819,3.43179,8.41043,37.36601,1.9628,2.5169,2.83339,2.27754,7.00143,6.34794,133.24512,201.95476,3.28631,1.32569,3.65055,4.72587,5.25653,7.7154,12.02901,10.75596,17.69031,7.86544,7.26351,13.35136,8.11177,8.71586,11.92682,3.63077,1.67073,8.4697,4.90515,1.87967,10.36661,4.63884,14.72929,10.1613,12.9853,14.04009,50.66578,14.29365,5.67463,5.35203,4.26707,11.0197,21.26796,5.58156,10.80085,12.39884,13.27559,17.34634,25.37185,8.01175,16.0604,20.81661,37.43757,5.43068,19.14335,5.6423,9.71953,9.63327,34.71867,14.22263,4.03085,35.7048,8.52042,46.67625,15.31465,39.00229,16.26204,19.61694,4.27652,49.75699,13.55355,12.41265,15.97322,15.32876,55.98541,33.97493,50.06659,117.4992,108.3247,82.78358,28.92611,65.44736,3.96186,13.91698,0.82869,44.33689,110.49829,38.58467,12.67015,111.48144,26.26457,6.57997,0.0,7.17598,12.24542,87.5591,20.29857,43.43977,24.0529,5.87503,9.86763,17.35653,14.3202,34.60751,32.55846,0.93972,0.0,22.12588,99.33144,3.31958
