,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,1.30116,1.81857,14.76795,0.0,2.94868,0.0,2.25601,0.0,0.0,2.16359,0.83958,4.26576,0.35341,0.0,0.47206,0.06613,0.0,0.0,0.15968,0.0,20.90722,4.03491,0.0,0.0,0.04985,0.0,0.09859,31.29718,0.0,0.0,0.0,0.0,0.0,1.03078,0.51664,0.0,0.0,0.0,0.84881,0.0,0.0,3.13705,0.0,4.71365,1.45987,0.0,0.0,12.12313,0.0,0.0,0.0,0.0,0.0,28.16052,0.0,0.0,0.5949,0.0,4.02376,0.0,1.13911,1.05126,0.0,2.34249,0.0,0.0,9.48617,0.36776,0.08461,0.0,0.0,0.0,0.0,0.0,0.65283,0.2993,0.0,2.35795,0.0,0.0,2.89488,0.0,0.0,33.43284,4.0089,0.0,15.29601,0.0,0.31124,0.0,0.0,13.00064,0.0,0.49243,0.0,0.0,0.0,2.12037,0.422,7.01259,0.0,0.0,0.0,11.60419,0.0,0.0,0.0,3.506,0.57396,19.22326,0.0,9.29651,0.0,0.0,0.0,0.0,3.86228,0.0,0.0,0.0,0.0,1.76989,0.0,0.0,0.0,0.0,0.0,0.0,2.55088,1.02679,7.91773,0.0,0.0,20.43689,0.0,10.67951,1.15581,3.29173,6.28017,0.0,12.12273,1.40865,4.99912,14.14665,2.41675,0.41034,0.0,0.0,2.67003,0.0,0.0,0.58098,0.0,0.0,0.27892,0.0,0.0,0.0,1.49076,2.60082,3.74502,0.62892,0.0,0.0,0.0,0.25588,0.0,1.21393,0.0,0.0,5.25514,4.89323,5.48447,0.0,0.0,0.0,0.0,1.68089,1.40435,6.56091,4.25073,0.0,0.45228,0.0,0.0,0.00024,1.04535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00128,0.0,0.0,0.0,0.0,1.67032,19.21806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92358,0.0,0.0,0.0,0.0,0.0,0.0,0.07237,0.0,1.19397,0.0,0.60361,0.88323,6.80208,1.21316,0.0,0.0,0.00307,6.87037,0.70532,0.0,4.26728,22.08118,0.0,0.0,0.0,0.0,0.0,19.66034
-4.75,2.77963,1.47918,15.46324,0.0,2.94868,0.0,2.25601,1.66748,0.0,2.16359,0.83958,4.26577,0.35341,0.0,0.88228,0.06613,0.0,11.49913,0.15969,0.0,20.90722,13.55919,0.0,0.0,0.04985,0.0,0.09859,31.29718,0.0,0.0,0.0,0.0,0.0,1.03078,0.56576,0.0,0.0,0.0,0.98165,0.0,0.0,3.13706,0.0,4.71365,3.20264,0.0,0.61257,12.12313,0.0,0.0,0.0,0.0,0.0,28.42519,0.0,0.0,0.46345,0.0,4.02376,0.0,0.76123,1.05126,0.0,2.3425,1.29956,0.0,9.48617,0.36776,0.08461,0.0,0.0,0.0,0.0,0.0,0.88357,0.2993,0.0,2.35795,0.0,1.04034,2.89488,0.0,5.69076,34.47856,4.0089,0.0,15.29601,0.0,0.31124,0.0,0.0,13.02052,0.64766,0.49243,0.0,0.0,0.0,2.12037,0.422,7.01259,0.0,0.0,0.0,11.60419,0.0,0.0,0.0,4.41539,0.57396,19.22326,0.0,9.29651,0.0,0.0,0.0,3.19869,3.86228,0.0,0.0,0.0,0.0,2.01475,0.0,0.0,0.0,0.0,0.0,0.0,2.55088,0.81928,8.1319,0.0,0.0,20.43689,0.0,10.93228,1.02484,3.29173,6.28017,0.0,12.12273,1.55125,4.99912,19.21471,2.41675,0.41034,0.0,0.0,4.00799,0.0,0.0,0.58098,0.0,0.0,0.27892,0.0,0.0,0.0,1.49076,2.60083,3.74502,0.62892,0.0,0.0,0.0,0.25588,0.0,1.21402,0.0,0.0,5.25514,4.89323,5.48447,0.0,0.0,0.0,0.0,2.61456,1.40435,6.82277,4.25073,0.0,0.45229,0.0,0.0,0.00024,1.04535,0.0,0.0,0.0,0.29883,0.0,0.0,0.0,0.00135,0.0,0.0,0.0,0.0,2.07936,14.78681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92358,0.84239,25.92509,0.0,0.0,0.0,0.0,0.18594,0.0,1.19397,0.0,0.60361,0.88323,6.80208,1.22328,0.0,0.0,0.00307,6.87038,0.70533,0.0,4.26729,7.89345,0.0,0.31139,0.0,0.0,0.0,19.66037
-4.5,2.84093,1.48568,15.46324,10.25882,1.66352,0.0,2.25601,1.66748,0.0,2.16359,0.83958,3.49653,0.35341,0.0,0.88229,0.06613,0.0,11.49913,0.15969,0.0,20.90722,13.55919,0.0,0.0,0.04985,0.0,0.09859,31.29719,0.0,0.0,0.0,0.0,0.0,1.38785,0.56576,0.0,0.0,0.0,1.16413,0.0,0.0,3.13707,0.0,3.05198,3.20264,3.03128,0.48416,12.12313,8.7685,0.0,0.0,0.0,0.0,28.42519,0.0,0.0,0.63049,0.0,4.02376,0.0,0.76123,0.55928,0.0,2.3425,1.29956,0.0,9.48617,0.36776,0.08462,0.0,0.0,0.0,0.0,0.0,0.89944,0.32509,0.3638,2.35795,0.0,1.04038,2.8949,0.0,5.69076,35.66395,4.0089,1.55418,15.29601,0.0,0.78162,0.0,0.0,13.02052,0.64766,0.49243,0.0,0.0,0.0,5.73027,1.32977,7.0126,3.29524,0.0,0.0,11.6042,0.0,0.0,0.0,4.41539,0.57396,19.2233,0.0,9.29651,0.0,0.0,0.64083,3.56669,3.8623,0.0,0.0,0.0,0.0,2.53628,0.0,0.0,0.0,0.0,0.00156,0.0,1.91543,0.66626,8.50553,87.92555,0.0,20.4369,0.0,10.9323,1.02485,3.29173,6.28017,0.0,6.13245,1.61649,5.04627,19.3353,2.41675,1.55007,0.0,0.0,4.00799,0.0,0.0,0.58098,0.0,0.0,0.27898,0.0,14.63145,0.0,1.49077,2.36984,3.74503,0.33065,0.0,0.0,0.0,0.25589,0.52059,1.21402,1.23738,0.0,5.49446,5.83995,5.48447,0.34747,0.0,20.603,0.0,2.61456,1.40435,6.82277,4.25073,0.0,0.61208,0.0,1.11445,0.29027,1.04535,0.0,0.0,0.0,0.29883,0.49874,0.0,0.0,13.78714,0.0,0.0,0.0,4.5458,1.70148,14.81417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01992,0.84239,25.92509,0.0,0.0,0.0,0.0,0.18595,0.0,1.19397,0.0,0.61056,0.88323,6.80208,1.26662,0.0,0.0,0.00307,6.87038,1.05669,0.0,4.45793,7.89345,0.0,2.04761,0.0,0.0,0.0,19.66037
-4.25,1.932,1.36204,15.46326,10.25882,1.66352,0.0,1.13834,2.2104,1.73589,2.16359,1.00921,3.49653,0.367,0.0,1.17595,0.06613,0.0,11.49913,0.15969,0.0,20.90722,13.5797,0.0,0.0,0.04985,0.0,0.09859,31.29719,0.0,0.0,0.0,0.0,0.0,1.38785,1.02771,0.0,0.0,0.0,1.21465,0.0,0.0,3.72026,3.20716,2.75006,2.86362,13.63287,1.39927,12.12313,8.7685,0.36572,0.06287,0.0,0.0,28.42519,0.0,0.0,0.72169,0.0,4.02376,1.64645,0.78296,0.55928,0.0,2.3425,1.29956,0.0,4.82221,0.36776,0.31509,2.59411,0.0,0.0,0.0,0.0,0.90193,0.32509,0.3638,2.35795,0.0,1.04038,2.8949,0.0,6.47634,36.15624,4.0089,0.99901,15.43456,0.0,0.7665,0.0,0.0,10.83914,0.64766,0.49243,0.0,0.0,0.0,5.62009,1.32977,5.03666,3.29525,0.0,0.0,12.07252,1.75657,0.0,0.0,4.41539,6.73989,19.2233,0.0,9.29651,0.0,0.0,8.00049,3.56669,2.84199,0.0,0.73024,0.0,0.0,2.53629,0.0,0.0,0.14729,0.0,0.00157,0.0,1.91543,0.66626,10.73933,87.92564,0.0,20.77835,2.43758,10.17708,1.05107,2.21658,6.28018,0.0,6.13245,1.74231,4.01446,19.70115,1.98215,1.56554,0.0,0.0,3.39302,0.0,0.0,0.58098,0.0,2.94434,1.72842,0.0,14.63145,19.49639,1.49077,2.36985,3.74503,0.33065,3.43133,0.0,0.0,0.2559,0.52059,1.17225,2.33979,0.0,5.8946,5.83995,3.68965,0.34747,2.29906,20.603,0.0831,2.61456,0.73137,6.82277,4.25073,0.0,0.81973,0.0,1.11445,0.46389,1.04536,0.0,8.45276,0.0,0.42787,0.38471,0.0,0.0,13.78716,0.0,0.0,0.0,5.28123,1.7585,14.81417,33.22325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04406,0.84239,25.92509,0.0,3.48798,0.0,0.0,0.18595,0.0,1.19397,11.47102,0.61056,7.25926,6.80208,1.26663,0.0,0.0,0.30697,6.87038,1.36969,0.0,4.45793,7.89345,0.54563,2.04761,0.0,0.0,0.0,19.66039
-4.0,1.90044,1.38017,16.57876,6.89563,1.66352,0.0,1.13834,2.2104,1.73589,2.16359,4.09989,3.55071,0.38519,0.0,1.0754,4.12047,0.0,11.49913,0.15969,17.60046,20.90722,13.5797,0.0,0.0,0.04985,0.0,0.09859,31.29719,0.0,0.0,0.0,0.0,22.96819,1.38786,1.22286,0.0,0.0,1.12288,1.54448,0.0,0.0,3.79072,5.38738,2.62067,3.3572,13.63289,2.26307,8.63608,5.14666,0.34379,0.06287,0.0,0.0,28.4252,32.27937,16.57133,0.63806,9.13509,2.54994,1.64646,0.78296,0.55928,0.0,2.34252,1.29956,0.43164,4.82221,0.36776,0.31509,2.59411,0.0,0.0,0.0,25.52377,1.01017,0.32509,0.3638,2.35795,0.09504,1.18586,3.37817,0.0,9.54546,36.83754,4.0089,2.07508,15.4346,0.0,0.7665,0.64044,0.09155,10.83914,0.64766,0.49243,65.40566,0.0,0.0,5.62009,2.38023,5.03668,2.86562,0.0,0.0,12.41647,1.75657,0.0,0.0,4.41551,7.72588,20.13483,0.0,9.29651,0.0,0.0,5.68964,3.5667,2.06635,0.0,0.44527,0.0,0.0,3.00784,0.0,0.0,0.42036,8.59918,0.00204,0.0,1.48639,0.66626,10.73938,87.92574,0.0,16.30757,2.43758,11.52934,1.05107,2.21665,3.12657,0.0,6.13246,1.85582,4.10924,19.70116,1.98215,1.57366,0.0,0.0,3.97679,2.54363,5.43048,0.58098,0.0,3.11796,1.72845,0.0,17.23982,21.77367,2.19083,3.30372,3.7756,2.65758,3.43133,0.0,0.0,1.09625,0.5206,1.17225,2.35285,0.0,5.9956,3.92233,2.00276,0.34747,2.29906,42.64713,0.0831,2.61456,0.73138,37.17276,4.25073,0.0,0.81973,0.0,1.11447,0.46389,1.04536,0.0,8.31199,0.0,0.42787,0.38471,0.0,0.26388,13.78723,0.0,0.0,0.0,5.28128,1.55322,11.85247,33.22325,0.0,0.0,0.0,0.0,10.03065,0.0,0.0,7.09982,0.84239,25.92509,47.86606,3.09879,0.07756,0.0,0.18596,0.0,1.19397,11.5111,0.61057,5.47733,8.5047,1.27998,0.0,0.0,0.30699,6.87038,1.95757,0.0,4.45793,6.14241,0.54563,2.04762,0.0,0.0,0.0,19.66041
-3.75,1.90555,1.25406,9.77139,6.96904,1.47361,0.0,1.13834,2.2554,1.73589,2.16359,3.50084,3.57224,0.38519,0.0,1.0754,4.12047,0.0,11.49913,0.15969,17.60046,20.90723,13.5797,0.0,0.0,0.04985,0.0,0.09859,31.29719,0.0,0.0,0.0,0.0,34.86037,1.1117,1.48294,0.0,44.47366,1.20412,2.47611,0.0,0.0,3.22327,5.38739,2.39092,3.3572,13.68963,2.48323,7.26696,5.14666,0.92213,0.06287,0.0,0.0,28.4252,32.27937,18.77499,0.77141,9.13509,2.54995,2.0833,0.78296,0.408,0.0,2.63614,0.67053,0.43166,7.33955,0.36776,0.34131,2.74517,0.0,0.0,0.0,20.42053,1.01017,0.70974,0.3638,2.35796,0.39407,1.27941,3.37818,0.0,5.68864,38.81177,4.0089,4.21235,8.02184,0.0,0.7665,0.64044,0.08921,6.51613,0.64767,0.29254,65.40567,3.96252,0.0,4.50912,1.85542,6.12113,2.1997,0.0,0.0,12.41647,1.75657,0.0,0.0,2.98447,5.83159,20.13483,0.0,9.29651,0.0,0.0,4.58777,3.56671,1.99568,0.0,0.79918,0.0,0.0,3.00785,0.0,0.0,0.83889,6.04342,15.00152,0.0,1.44831,0.73771,8.03547,87.92575,0.0,17.51046,2.91218,9.99709,1.26497,2.21665,3.39062,0.0,6.13246,2.15223,4.171,20.05387,8.11185,2.63076,0.0,28.21082,3.84768,1.81446,3.31157,1.4241,11.61901,3.11796,1.75054,0.0,15.29027,31.79607,2.17492,3.61748,3.86499,1.99328,3.43133,0.0,1.57882,1.09625,0.52061,1.39837,2.59146,0.0,6.22827,5.29077,2.01367,6.19672,2.29906,21.84242,0.0831,1.96545,0.73138,37.17276,3.47811,0.0,0.81974,1.30006,2.08437,0.34793,1.04536,0.0,8.31199,46.16025,0.42787,0.39545,0.0,1.64261,13.78723,0.0,0.0,0.0,6.14844,1.55764,11.85247,26.79661,19.80858,4.51393,2.26408,2.7084,10.03066,0.0,9.85679,7.09982,3.16746,25.92509,47.86606,3.09879,0.08785,0.0,0.18596,0.0,1.19397,11.30819,0.82404,5.47733,8.50471,1.27998,0.0,0.0,0.30699,6.87038,4.65852,9.83766,4.45793,4.18061,3.57591,5.41383,0.0,0.0,4.96339,19.66049
-3.5,1.69345,0.98807,9.77141,6.08439,3.41304,39.06697,0.79028,9.58274,1.73589,2.16359,3.50084,5.28582,7.23954,21.65257,1.09948,4.12047,0.0,11.49913,12.11394,88.86244,20.90723,13.5797,0.0,0.0,0.04985,0.0,0.20805,31.29719,44.83841,122.4434,7.69262,0.0,38.22315,2.16515,4.02397,2.03668,44.47379,1.20598,2.29896,0.0,0.0,3.10028,5.06933,2.24994,2.75592,27.39157,2.5818,6.81496,5.84304,3.54924,0.06287,1.22578,5.1068,28.4252,32.27937,9.38805,1.15042,7.12985,2.61416,2.12159,4.05336,0.408,0.0,4.7681,0.68936,0.43166,7.91149,0.36776,0.34131,3.59973,0.0,5.18032,0.0,15.34164,2.86075,4.30834,0.62081,11.63017,0.39407,2.85407,9.53834,0.0,5.68864,22.19425,4.0089,4.03713,8.50985,0.0,0.7665,0.64044,0.08921,6.14825,1.37047,0.29254,65.40567,29.16288,2.6013,4.90889,1.65772,6.12116,2.54402,0.0,6.90654,12.4165,1.75657,13.52461,0.0,6.32503,5.94601,20.13483,0.0,9.29651,0.0,0.0,5.53077,4.36868,1.99568,64.77006,4.27305,0.0,0.0,2.24045,8.43937,0.0,0.83889,4.9204,29.6311,0.0,1.44831,0.73772,7.96171,92.18932,15.36776,18.1413,2.2698,8.51527,1.75182,2.13578,5.0207,0.0,6.13246,2.15223,4.42682,20.05388,12.1324,2.93282,0.0,30.32483,5.51403,1.50527,1.69336,2.44823,6.59651,14.55443,1.77822,0.0,14.52906,22.62452,2.17493,3.65673,3.86499,1.99328,8.72366,0.0,1.35877,1.21652,0.54832,1.87261,3.99735,3.33124,6.2839,5.18008,2.19572,6.19672,2.6811,21.84242,0.08311,1.96547,0.73138,37.17276,5.03764,0.0,4.00926,1.30042,2.11505,0.46747,1.04536,0.0,8.31199,46.16026,1.57896,0.39547,0.0,1.67638,10.23612,0.0,0.0,5.3313,7.61445,1.55765,11.85247,27.31628,19.80858,4.51393,7.46431,2.70846,10.03066,0.0,7.63156,7.21826,2.11366,25.92509,47.86606,8.065,2.46453,0.0,1.09357,0.0,1.19397,7.8171,0.83126,5.47734,10.64131,10.78048,0.0,0.0,0.30699,6.87038,4.16121,10.99342,4.52841,3.62169,4.84085,4.42493,1.21762,11.30245,5.89862,19.66049
-3.25,1.60287,1.32998,9.77141,6.05116,2.78436,39.06697,1.97279,10.42283,1.73589,1.62747,3.50084,5.20637,7.25272,21.65257,1.09948,4.15487,2.96991,11.49913,12.11394,66.92482,20.90723,13.5797,0.0,0.06723,1.82731,0.0,0.20805,31.44025,23.17637,122.44341,7.69262,0.0,22.44539,2.74649,3.89318,2.03668,44.47507,1.71566,2.38097,22.10595,0.0,2.56213,4.2435,1.73202,2.79564,27.39158,2.58181,6.84265,4.7382,6.11473,0.06287,3.11745,3.78637,19.66103,40.4271,9.39129,1.33393,4.68056,2.05532,2.1216,4.05336,1.02724,0.0,4.7681,13.28954,0.71822,5.99927,11.68126,1.24018,2.85703,0.0,5.18037,0.0,13.02441,5.91766,3.27029,2.00198,10.05499,0.95682,2.15897,57.8073,1.73969,4.45565,23.44722,4.41072,3.56932,6.58944,0.0,1.27145,1.13729,0.08921,6.14825,1.50321,6.27515,65.40567,15.1919,2.75621,4.90891,2.84732,6.63262,1.95836,5.52996,6.90655,12.58758,33.48677,13.52461,26.65237,6.32503,6.73346,22.10033,0.0,44.35078,0.0,0.0,5.61657,4.36868,2.06311,36.28831,3.93434,94.77844,45.70428,2.24045,10.33136,0.0,1.82391,2.60752,29.63113,21.06556,2.03774,0.73772,7.3952,92.18942,15.48949,14.57744,2.20614,8.54783,1.62996,1.56339,5.63528,22.61802,6.89616,2.35002,4.52485,13.83016,12.1324,2.93956,0.0,59.23675,6.8762,1.50295,6.85324,2.16329,5.64222,15.09004,2.54237,40.50475,14.8556,18.26908,1.73841,3.65673,3.84328,1.99328,8.9193,0.0,1.38296,2.95634,0.61037,2.42266,4.1437,2.51366,7.01234,5.18008,2.22523,6.19672,2.6811,15.18165,0.08311,4.00374,0.54356,19.07642,3.42526,17.12358,3.3424,1.30042,2.25452,0.96857,0.5942,0.0,6.79131,40.21521,1.57897,0.53955,2.15232,1.67638,10.23613,29.51362,0.0,2.73438,8.68598,1.30121,10.8443,18.85546,19.80858,4.51393,7.46431,1.64389,9.98244,0.0,7.63156,9.61021,3.57995,26.07048,28.68431,8.06878,2.46453,0.0,1.09357,1.51058,0.93191,7.89755,0.77838,8.05716,10.64131,8.57618,9.0773,0.0,0.30705,4.06365,3.24653,12.96626,3.79583,5.97068,4.22185,5.75197,1.23721,11.30245,7.30252,12.62668
-3.0,1.53298,1.56265,10.32564,4.98518,2.89748,39.06697,2.0899,20.12307,9.64541,1.62747,3.24634,9.79117,7.25272,21.66303,1.76627,3.97414,2.00509,11.49913,10.64798,50.36332,20.90723,13.5797,24.08883,3.10556,1.82731,11.69211,7.75502,15.67671,23.75942,122.44341,7.69262,2.63234,22.67675,2.46217,4.83308,12.28859,49.037,1.80285,2.61202,14.9762,0.0,1.92785,3.90604,1.59668,2.85212,20.76621,2.39422,7.03661,7.59029,4.98189,0.06287,2.72473,11.96429,10.0673,40.42711,9.4061,1.68045,3.95067,2.08639,2.07871,4.38463,1.98146,0.0,4.76811,13.31859,0.71825,5.99927,8.91511,1.33748,2.20461,0.0,5.18041,6.23173,9.41279,4.80593,3.17989,2.02799,8.40402,13.29703,7.44549,57.8073,1.73969,3.56453,24.53822,4.60834,3.09867,3.89923,0.0,1.17872,9.78456,0.08921,6.07756,2.87827,7.08448,65.40568,15.27018,2.75624,3.95786,3.2002,6.20216,1.7334,10.76439,6.90657,12.5876,33.48677,8.41739,26.65237,6.92957,5.95044,19.749,10.4848,44.35078,0.0,18.80795,5.29155,4.36868,2.2263,38.71012,4.04342,94.77844,32.89194,2.00346,10.20367,0.0,2.66363,2.47198,29.6312,21.06567,2.36317,3.46497,7.88715,95.07733,16.93863,13.5655,2.21265,5.51784,1.6643,1.99645,5.83912,27.271,6.00193,3.32929,4.59127,13.25428,10.66161,2.95717,35.633,60.86416,6.29653,2.50334,6.89241,3.42958,5.67148,15.09006,2.98451,30.78434,12.79651,19.40411,2.13276,3.30063,7.37071,4.83198,7.31124,9.33173,1.46132,2.95639,3.07085,2.76775,13.57493,1.91632,5.36611,6.47019,2.24808,3.25926,2.6811,14.21692,0.08311,9.93079,5.63956,13.46271,3.01439,20.80503,2.82519,1.33761,3.1441,0.99593,0.40115,0.01725,5.37108,40.21521,1.57897,1.40609,3.4992,9.90997,9.32114,21.78479,0.0,2.79988,8.61923,1.95666,8.5307,16.1671,8.60516,2.79992,11.79268,1.88541,10.12601,17.37572,7.63156,7.70299,3.66448,26.07048,30.86551,8.06878,2.46453,11.21869,3.87127,1.51058,0.93191,6.0458,0.74219,6.47259,9.40393,9.61325,9.0773,0.0,0.30705,2.60578,3.24653,14.79591,4.79937,8.67023,4.73449,4.57544,3.70611,15.57139,6.65542,10.39998
-2.75,1.67986,1.23278,7.81343,4.63973,2.78021,39.06697,6.39252,20.18076,5.66661,2.74781,3.28471,12.69221,6.13045,20.98839,5.60471,9.54443,2.00509,11.49913,10.64798,43.10589,33.43898,13.41464,24.08883,3.10556,26.56911,10.88022,7.75502,15.67671,24.84725,122.44341,13.08244,2.63234,23.73107,2.68631,4.64283,13.6701,52.68157,1.99426,2.43887,9.80384,0.0,1.79197,3.95292,1.37427,3.08189,17.53609,3.34725,7.03662,4.65703,5.64114,0.39571,2.53245,14.95255,7.69548,40.42711,10.6033,1.77242,3.38614,1.75058,3.87019,9.0374,9.15371,1.5493,11.34984,7.47168,0.5042,6.04341,13.6762,1.42856,2.18135,0.0,24.32031,16.79829,9.50429,4.32172,9.02684,2.35679,8.58889,13.29703,7.44549,57.8073,24.42016,3.56796,18.2645,6.58016,2.35936,3.90554,0.0,1.17873,14.15156,0.08922,4.91606,2.84495,7.12314,61.40913,17.85838,2.75624,3.59389,3.79802,4.35177,1.80251,10.81057,6.19607,9.15951,27.64009,8.66072,26.65237,6.11302,4.93079,19.749,7.88368,44.35078,0.48489,10.61547,4.3697,4.81713,2.40793,38.71012,4.96456,85.904,32.99456,2.22633,18.82816,9.25733,5.87956,3.86984,32.04596,21.0657,3.45088,3.06965,7.205,95.07741,17.24049,10.88333,2.24992,5.3361,3.50964,1.97191,4.73031,21.17991,4.87528,3.38502,4.30657,13.51909,10.67275,2.72853,35.633,60.86416,5.2085,3.16068,6.55276,3.51909,5.13754,15.88878,2.9819,44.8612,13.86466,15.75582,2.03229,2.82364,4.28002,3.32236,7.43524,9.33173,2.42919,2.9564,3.10307,2.25397,16.02077,2.17709,5.56592,7.03479,1.9507,3.07341,5.56713,14.29278,2.09085,9.83584,6.06569,8.33377,3.0144,15.80971,2.58247,1.33761,3.75885,1.40239,0.53412,2.51568,5.59068,30.6063,1.31557,1.40609,3.54331,9.95488,9.32115,18.50953,12.54322,5.41877,8.62801,1.78578,8.56331,24.41465,8.35411,5.74,10.63,1.88541,10.12601,17.37572,12.61982,7.71454,4.59787,16.95746,24.83695,9.321,1.85649,9.60567,10.62527,21.86813,0.93191,6.86604,0.67558,6.49046,9.68814,9.64697,5.36778,37.97765,0.30705,2.54425,3.19247,19.79745,4.55065,8.03893,7.01699,3.75379,5.41146,14.98713,4.60534,10.76934
