,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.06867,0.05791,0.05704,0.07182,0.04752,0.03668,0.07304,0.0,0.0,0.04347,0.0406,0.0,0.06498,0.05105,0.06727,0.07619,0.04738,0.03113,0.0,0.0,0.04869,0.0,0.03812,0.04726,0.0392,0.0,0.04289,0.0,0.0,0.03503,0.04285,0.30284,0.24448,0.16791,0.08418,0.10236,0.39698,0.05994,0.067,0.28883,0.31785,0.23924,0.07639,0.05826,0.16743,0.05812,0.0581,0.04548,0.06005,0.0,0.05291,0.04383,0.05647,0.03754,0.21925,0.09229,0.06405,0.0,0.08483,0.06326,0.05166,0.06576,0.0,0.0,0.05348,0.05432,0.04648,0.06122,0.0711,0.04342,0.08562,0.58803,0.11126,0.0,0.08376,0.04114,0.11762,0.06128,0.0,0.0,0.04465,0.0,0.183,0.0,0.07232,0.08414,0.06357,0.0,0.04754,0.06071,0.0,0.0,0.0,0.0,0.04783,0.0,0.09256,0.1852,0.23661,0.11636,0.08121,0.0,0.0,0.03845,0.09606,0.0,0.03915,0.06187,0.04113,0.0,0.0,0.05809,0.04299,0.05866,0.06281,0.04941,0.08328,0.07437,0.06677,0.05679,0.0,0.07456,0.0,0.06224,0.06679,0.09762,0.31639,0.14423,0.09446,0.46242,0.92252,1.06077,0.25133,0.09234,0.1057,0.10146,0.12424,0.08658,0.49744,0.0,0.27999,0.0,0.15816,0.05822,0.0,0.0,0.06319,0.31733,0.08237,0.06432,0.1018,0.09443,0.44396,0.10659,0.05757,0.58174,0.31831,0.08908,0.07212,0.08912,0.05815,0.06998,0.0,0.07904,0.09991,0.09605,0.1621,0.12262,0.09646,0.05739,0.07583,0.08756,0.05354,0.05354,0.0,0.04274,0.04713,0.07037,0.07025,0.07651,0.20016,0.13443,0.11174,0.08752,0.07788,0.0,0.0,0.1507,0.0,0.06428,0.0,0.04084,0.0,0.05268,0.35266,0.0,0.06635,0.08294,0.09156,0.05586,0.06567,0.04074,0.04311,0.07755,0.04657,0.03517,0.0,0.0,0.0,0.04551,0.05562,0.09634,0.0,0.03189,0.04278,0.0,0.07132,0.0,0.05843,0.03633,0.04815,0.06076,0.07233,0.04347,0.0,0.05567,0.23154,0.10767,0.0,0.0875,0.10484,0.0,0.05014,0.0,0.04524,0.0,0.09667
-4.75,0.0,0.06801,0.05738,0.05704,0.06933,0.04306,0.03482,0.07304,0.0,0.0,0.04347,0.0406,0.0,0.06501,0.04687,0.0619,0.05415,0.04738,0.0287,0.0,0.0,0.04869,0.0,0.03454,0.04589,0.03413,0.0,0.04089,0.0,0.0,0.03503,0.04826,0.28302,0.23351,0.16791,0.08091,0.09947,0.37651,0.05806,0.06433,0.27008,0.29319,0.2214,0.07132,0.05501,0.16743,0.05689,0.0504,0.04223,0.06005,0.0,0.05291,0.04187,0.0558,0.03842,0.20579,0.08595,0.06402,0.06366,0.07543,0.06087,0.05166,0.06576,0.0,0.03554,0.04802,0.04245,0.03896,0.06122,0.06876,0.04202,0.08516,0.55516,0.11068,0.04652,0.08376,0.03912,0.11762,0.04914,0.0,0.0,0.04465,0.0,0.17826,0.0,0.06994,0.06926,0.06092,0.0,0.0437,0.06071,0.03491,0.0,0.0,0.0,0.04512,0.05333,0.08939,0.18218,0.22664,0.11829,0.07245,0.0,0.0,0.03609,0.08493,0.0,0.03915,0.06187,0.03827,0.0,0.0,0.05227,0.04299,0.05783,0.06159,0.04688,0.08328,0.07195,0.06538,0.05679,0.0,0.07456,0.0,0.06023,0.06537,0.0911,0.3014,0.13866,0.09528,0.43666,0.87986,1.06077,0.23658,0.08891,0.09935,0.09995,0.12554,0.08237,0.48847,0.35567,0.27999,0.0,0.15295,0.05688,0.0,0.0,0.06319,0.29688,0.07609,0.06227,0.10039,0.09443,0.38278,0.10374,0.05757,0.5163,0.31085,0.09419,0.07001,0.0837,0.05815,0.06916,0.0,0.07783,0.08344,0.09595,0.15462,0.11905,0.09064,0.05502,0.07449,0.08896,0.04998,0.03908,0.05339,0.04274,0.04713,0.06719,0.06745,0.07342,0.18287,0.12426,0.10396,0.08752,0.07788,0.0,0.0,0.14442,0.0,0.06534,0.0,0.0402,0.0,0.05102,0.33605,0.0,0.0608,0.07828,0.08715,0.05471,0.0638,0.03988,0.03662,0.07755,0.06928,0.0335,0.0,0.0,0.0,0.04346,0.05342,0.09634,0.0,0.02981,0.04134,0.06044,0.06812,0.0,0.05591,0.03633,0.04815,0.05516,0.06989,0.04347,0.0,0.05256,0.21771,0.10767,0.0,0.06972,0.10342,0.061,0.05014,0.0,0.04327,0.0,0.09326
-4.5,0.056,0.06033,0.05697,0.05704,0.06714,0.04035,0.03482,0.07304,0.0,0.0,0.0396,0.0406,0.0,0.06228,0.04687,0.05853,0.04582,0.0474,0.0277,0.0,0.0,0.04616,0.0,0.0335,0.04284,0.03318,0.0,0.04089,0.02877,0.0,0.03503,0.04504,0.26971,0.22132,0.15511,0.0757,0.09607,0.36562,0.0539,0.06298,0.24788,0.28035,0.20988,0.06948,0.05203,0.15448,0.05652,0.04903,0.04027,0.05187,0.0,0.04584,0.0408,0.0558,0.03842,0.19318,0.08314,0.06232,0.0617,0.07144,0.05636,0.04511,0.06347,0.0,0.03554,0.04744,0.03926,0.03779,0.04515,0.06599,0.04103,0.0763,0.52763,0.10127,0.04348,0.08376,0.03912,0.11762,0.04894,0.04862,0.0,0.04075,0.0,0.16078,0.0,0.06994,0.06817,0.05877,0.0,0.04265,0.04884,0.03491,0.03878,0.0,0.0,0.04554,0.05122,0.08426,0.18046,0.21938,0.11298,0.0692,0.0,0.0,0.03458,0.08493,0.0,0.03915,0.04142,0.03827,0.0,0.0,0.05123,0.04299,0.05251,0.0598,0.04514,0.07157,0.06782,0.06342,0.05679,0.0,0.07456,0.0,0.05926,0.0635,0.08946,0.28508,0.13106,0.09528,0.41325,0.80651,1.02581,0.22218,0.0818,0.09614,0.09515,0.09135,0.07797,0.46857,0.34268,0.24787,0.23351,0.14848,0.05263,0.0,0.0,0.06319,0.29345,0.07416,0.06575,0.09195,0.08213,0.35854,0.10194,0.05676,0.49964,0.29542,0.09224,0.06873,0.08108,0.04792,0.06916,0.0,0.07768,0.07956,0.09391,0.1536,0.10905,0.08765,0.05223,0.07071,0.07985,0.04871,0.03792,0.04929,0.04274,0.04377,0.06719,0.06225,0.06912,0.1748,0.11978,0.10027,0.07884,0.07102,0.04771,0.04382,0.14741,0.0,0.06075,0.0,0.03897,0.0,0.05414,0.32451,0.0,0.05967,0.07375,0.08555,0.05384,0.06131,0.04131,0.03662,0.07755,0.06685,0.03353,0.02899,0.0,0.04276,0.04346,0.0368,0.09634,0.03387,0.02887,0.03906,0.05782,0.06492,0.0,0.05591,0.0322,0.0509,0.05412,0.06968,0.04347,0.03315,0.05256,0.20868,0.10767,0.0,0.06831,0.09792,0.061,0.04319,0.0,0.04327,0.0,0.09157
-4.25,0.05445,0.05854,0.05468,0.04912,0.06291,0.03943,0.03028,0.07091,0.03263,0.02262,0.03917,0.0406,0.03187,0.06002,0.04296,0.05152,0.04582,0.04588,0.0271,0.0,0.0,0.04564,0.0,0.03071,0.04071,0.03181,0.0,0.04089,0.02877,0.0,0.03503,0.04357,0.26169,0.21029,0.14449,0.07331,0.092,0.34631,0.05337,0.05771,0.23497,0.26983,0.20165,0.06534,0.04992,0.14038,0.05165,0.04459,0.03995,0.04754,0.0,0.0427,0.0408,0.05056,0.03669,0.18978,0.07722,0.05702,0.06173,0.06849,0.0567,0.04511,0.05564,0.03725,0.0353,0.04649,0.0418,0.03506,0.04501,0.06214,0.03765,0.07382,0.52363,0.09859,0.03949,0.08376,0.03627,0.06463,0.04894,0.0409,0.0,0.04075,0.0,0.14975,0.046,0.06537,0.0605,0.05671,0.0,0.04175,0.04064,0.03306,0.03878,0.0,0.0,0.04072,0.05122,0.07975,0.18046,0.20659,0.11298,0.06684,0.0,0.0,0.03306,0.08493,0.0,0.03915,0.04142,0.0364,0.0,0.04928,0.05123,0.03701,0.05097,0.05819,0.04274,0.07571,0.06545,0.06051,0.05227,0.0,0.05546,0.0,0.05401,0.06291,0.08485,0.27644,0.12147,0.09056,0.40524,0.76006,0.96813,0.20934,0.07956,0.09177,0.09088,0.08309,0.07276,0.42662,0.3179,0.23534,0.22256,0.14282,0.05336,0.0,0.05246,0.04448,0.26591,0.07182,0.06156,0.09082,0.08213,0.33551,0.09533,0.04929,0.52951,0.28222,0.08191,0.06523,0.07838,0.04792,0.06728,0.0,0.07381,0.07672,0.08763,0.14183,0.10749,0.0822,0.05116,0.06616,0.07423,0.04806,0.03708,0.04838,0.03642,0.0395,0.06452,0.05772,0.06246,0.16454,0.11484,0.09651,0.06617,0.06944,0.04709,0.04382,0.14252,0.03126,0.06075,0.0,0.0382,0.0,0.05091,0.29795,0.0,0.05499,0.07095,0.07966,0.04919,0.05916,0.04076,0.03667,0.07755,0.06685,0.03353,0.02783,0.0,0.04158,0.04346,0.0368,0.09634,0.03266,0.02866,0.04341,0.05674,0.06286,0.0,0.05225,0.03806,0.0509,0.05412,0.06517,0.04347,0.03387,0.05189,0.19319,0.07873,0.0413,0.06831,0.09085,0.05828,0.04215,0.0,0.04235,0.04381,0.08506
-4.0,0.05335,0.05609,0.05184,0.04812,0.06154,0.03625,0.02864,0.06739,0.03504,0.02262,0.03917,0.0406,0.03014,0.06002,0.0384,0.05102,0.04315,0.04548,0.02527,0.02924,0.02958,0.04508,0.0,0.02744,0.04071,0.03181,0.0,0.04089,0.02877,0.0,0.03503,0.0412,0.24653,0.19628,0.13437,0.06944,0.08633,0.32818,0.05027,0.05528,0.22698,0.25136,0.19086,0.06206,0.04817,0.13539,0.04473,0.04307,0.03832,0.04311,0.03262,0.04223,0.03735,0.04349,0.03669,0.18252,0.07349,0.05195,0.05805,0.06608,0.0559,0.04228,0.05512,0.03757,0.03243,0.04391,0.04471,0.03363,0.04277,0.05778,0.03622,0.0664,0.47928,0.09494,0.03923,0.06228,0.03648,0.06463,0.04552,0.03968,0.0,0.03532,0.0,0.14287,0.04605,0.05697,0.05421,0.05564,0.0,0.03774,0.03977,0.03178,0.03695,0.05749,0.0,0.03964,0.05122,0.07483,0.14165,0.18596,0.09669,0.0631,0.0,0.0,0.03065,0.08493,0.0,0.03915,0.04142,0.03266,0.0,0.04538,0.04711,0.03701,0.05618,0.05558,0.04136,0.07571,0.06021,0.05427,0.05223,0.0,0.0506,0.0,0.05208,0.05998,0.08054,0.26805,0.11851,0.08956,0.36805,0.71016,0.91486,0.20995,0.07834,0.08692,0.08614,0.08327,0.06928,0.40292,0.30104,0.2236,0.21183,0.12595,0.05024,0.04295,0.05097,0.05318,0.25481,0.06854,0.05854,0.08158,0.08213,0.32295,0.09503,0.04447,0.44702,0.25339,0.07695,0.06546,0.07215,0.04327,0.05736,0.0,0.07381,0.07436,0.08218,0.13012,0.09928,0.07729,0.05098,0.06183,0.07033,0.04532,0.03492,0.04672,0.03663,0.03822,0.06452,0.05465,0.0586,0.15692,0.10422,0.09026,0.06251,0.06266,0.04681,0.04382,0.14045,0.03126,0.05712,0.0,0.03699,0.03581,0.04781,0.28641,0.0,0.05284,0.0662,0.07457,0.04919,0.05251,0.03973,0.03528,0.07755,0.05778,0.03397,0.02643,0.02624,0.04256,0.04346,0.0368,0.09634,0.03121,0.02805,0.04341,0.04414,0.06924,0.0,0.04674,0.03789,0.04661,0.04945,0.06365,0.0328,0.03255,0.04748,0.18251,0.07461,0.0413,0.05625,0.08774,0.06809,0.04685,0.0,0.04031,0.04381,0.08084
-3.75,0.05005,0.0537,0.05024,0.04901,0.05442,0.03525,0.0288,0.06739,0.03236,0.02224,0.03917,0.04039,0.03464,0.0515,0.03608,0.04691,0.04299,0.04266,0.02871,0.02924,0.02958,0.04137,0.0,0.02744,0.03882,0.02847,0.0,0.03455,0.02877,0.0,0.03346,0.04069,0.2301,0.18389,0.12653,0.06708,0.07895,0.30949,0.04664,0.05144,0.2153,0.25011,0.17571,0.05928,0.04442,0.13023,0.04198,0.04062,0.03743,0.0423,0.02986,0.04147,0.03528,0.0379,0.03491,0.1696,0.07058,0.04946,0.05538,0.06049,0.05402,0.04283,0.05329,0.03543,0.03243,0.04139,0.04198,0.03229,0.04189,0.05496,0.03536,0.0654,0.45465,0.08684,0.03661,0.04913,0.04245,0.06463,0.04796,0.04006,0.0,0.03475,0.0,0.13439,0.04258,0.05086,0.05337,0.05186,0.0,0.03595,0.03848,0.03011,0.03695,0.05565,0.0,0.03735,0.05122,0.07213,0.14088,0.1717,0.08987,0.06036,0.04381,0.03996,0.02858,0.08199,0.0,0.03915,0.04142,0.03214,0.0,0.04294,0.0447,0.03701,0.04987,0.05504,0.04083,0.07571,0.05696,0.05156,0.04831,0.0,0.04758,0.0,0.05083,0.06165,0.07351,0.25962,0.10834,0.07996,0.34945,0.65651,0.83179,0.20199,0.07092,0.08066,0.08117,0.08327,0.06589,0.36878,0.28641,0.21445,0.20133,0.11998,0.04787,0.04096,0.05097,0.04901,0.24062,0.06265,0.05635,0.08006,0.07395,0.30039,0.08419,0.03959,0.42469,0.24276,0.07253,0.06142,0.07091,0.0388,0.05678,0.04726,0.06233,0.07017,0.07923,0.12634,0.08845,0.07481,0.04374,0.05904,0.06509,0.04117,0.03345,0.04462,0.04118,0.03599,0.06513,0.052,0.05562,0.14523,0.09794,0.08235,0.05881,0.06055,0.04338,0.03554,0.13899,0.03126,0.05712,0.0,0.03321,0.03348,0.04648,0.26497,0.23051,0.05028,0.06364,0.07144,0.04919,0.0506,0.03923,0.03211,0.07755,0.05191,0.03233,0.02559,0.02584,0.03834,0.03976,0.03324,0.06422,0.03121,0.02805,0.03364,0.04388,0.06733,0.0,0.0426,0.0372,0.04141,0.05412,0.06062,0.0328,0.03069,0.04498,0.17472,0.07937,0.03558,0.05265,0.07676,0.05055,0.04541,0.0,0.03578,0.04413,0.07711
-3.5,0.04639,0.05604,0.04907,0.04777,0.05201,0.03294,0.02576,0.05981,0.03016,0.02147,0.0326,0.04039,0.03034,0.05152,0.03348,0.04342,0.03776,0.03871,0.02641,0.02827,0.03019,0.03916,0.0,0.02643,0.03882,0.02915,0.0,0.03197,0.02877,0.03654,0.03346,0.03575,0.2171,0.1737,0.12052,0.06101,0.07411,0.29125,0.04441,0.04906,0.19941,0.23247,0.16515,0.05606,0.04187,0.11928,0.03836,0.03897,0.03464,0.03982,0.02937,0.03799,0.03521,0.0339,0.03289,0.15597,0.06598,0.04781,0.05168,0.05698,0.05004,0.03806,0.04911,0.03468,0.03099,0.03949,0.03855,0.03198,0.03939,0.05155,0.03359,0.06119,0.45465,0.08153,0.03455,0.04885,0.04076,0.05439,0.04546,0.03908,0.0,0.03136,0.04724,0.12712,0.04309,0.04833,0.0512,0.05055,0.0,0.03402,0.03783,0.02763,0.03408,0.06635,0.0,0.03558,0.0406,0.06792,0.13687,0.16052,0.08657,0.05786,0.04217,0.03581,0.02711,0.06714,0.02888,0.04138,0.03952,0.03166,0.0,0.03971,0.04362,0.03388,0.04861,0.05423,0.03994,0.06324,0.05424,0.04676,0.04655,0.04953,0.04306,0.0,0.05052,0.05305,0.07201,0.22942,0.10149,0.06833,0.32358,0.61355,0.79163,0.18539,0.07024,0.07534,0.07435,0.0737,0.06357,0.34695,0.26216,0.20134,0.18713,0.10908,0.04476,0.04048,0.04817,0.04604,0.22341,0.0571,0.05164,0.07414,0.06626,0.28946,0.08124,0.03803,0.40598,0.22065,0.06954,0.06071,0.06565,0.03831,0.05052,0.04929,0.05705,0.06777,0.078,0.11977,0.08183,0.06833,0.04238,0.05713,0.06509,0.03939,0.03009,0.04065,0.04118,0.03232,0.06064,0.04929,0.05336,0.13573,0.09424,0.07526,0.05549,0.05476,0.04544,0.03441,0.12493,0.02605,0.05572,0.0,0.03051,0.03547,0.0455,0.24963,0.21133,0.04619,0.05905,0.06816,0.04388,0.04862,0.03462,0.02962,0.04002,0.04767,0.03096,0.02346,0.02518,0.03728,0.03516,0.03206,0.06422,0.02626,0.02635,0.03207,0.04082,0.062,0.0,0.0418,0.03544,0.0356,0.03848,0.05958,0.03079,0.02939,0.04059,0.16103,0.07498,0.03643,0.04766,0.0723,0.04723,0.04116,0.03706,0.03403,0.04186,0.07255
-3.25,0.04408,0.05335,0.04503,0.04391,0.04967,0.03105,0.02346,0.04778,0.02854,0.01965,0.0326,0.03563,0.02834,0.04256,0.0334,0.03915,0.03499,0.03612,0.02464,0.02827,0.02809,0.03822,0.0,0.02501,0.03358,0.02617,0.03452,0.03197,0.02877,0.03654,0.03092,0.0327,0.21266,0.16361,0.11367,0.05792,0.07243,0.27296,0.04361,0.04713,0.1881,0.21298,0.15569,0.05357,0.0399,0.11085,0.03636,0.03539,0.03279,0.03675,0.02667,0.03521,0.03107,0.03212,0.03033,0.1456,0.06224,0.04587,0.04929,0.0546,0.046,0.03206,0.04212,0.03335,0.02779,0.03824,0.03785,0.03017,0.0358,0.04719,0.03177,0.05691,0.39184,0.07613,0.03454,0.04664,0.03628,0.05344,0.04281,0.04149,0.0,0.02808,0.04461,0.12052,0.04378,0.04133,0.04763,0.04784,0.03516,0.03494,0.03513,0.02655,0.03307,0.05777,0.0,0.03296,0.0406,0.06222,0.1355,0.15327,0.07805,0.05418,0.03905,0.03481,0.02626,0.06714,0.02732,0.03698,0.03923,0.02851,0.0,0.03763,0.04029,0.03385,0.04077,0.05046,0.03824,0.05338,0.05175,0.04421,0.04139,0.05344,0.03613,0.05174,0.0477,0.0508,0.06804,0.21292,0.09478,0.06444,0.2983,0.58252,0.75373,0.17548,0.06577,0.07136,0.07065,0.07103,0.05639,0.35479,0.24879,0.18549,0.17216,0.10423,0.04377,0.03745,0.04817,0.04358,0.21429,0.05496,0.05076,0.06887,0.05896,0.27009,0.07504,0.03597,0.3992,0.20927,0.06214,0.05521,0.06375,0.03411,0.04517,0.04672,0.05664,0.06186,0.074,0.11394,0.07443,0.06419,0.04035,0.05101,0.06143,0.038,0.02842,0.03873,0.03651,0.03025,0.05209,0.04618,0.04995,0.12666,0.08617,0.07135,0.05341,0.05139,0.0449,0.0323,0.11806,0.02672,0.04576,0.04357,0.02969,0.03547,0.04419,0.22963,0.19629,0.04459,0.05429,0.06188,0.0424,0.04524,0.03457,0.02996,0.03605,0.04767,0.0295,0.02438,0.02457,0.03316,0.03255,0.03024,0.05353,0.02573,0.02548,0.02878,0.03581,0.05713,0.0,0.04005,0.03469,0.03366,0.04142,0.05755,0.02966,0.0286,0.03523,0.15442,0.07353,0.03567,0.04426,0.06879,0.0448,0.03676,0.03462,0.03277,0.03747,0.07105
-3.0,0.04187,0.04803,0.04309,0.04265,0.0435,0.02787,0.02286,0.04473,0.02634,0.01886,0.02839,0.0306,0.02834,0.04144,0.03094,0.03766,0.03462,0.03341,0.02265,0.02655,0.02465,0.03619,0.02018,0.02282,0.03039,0.02543,0.03332,0.02395,0.02407,0.02987,0.03016,0.02946,0.18667,0.15059,0.10454,0.05604,0.06698,0.24892,0.039,0.04358,0.17233,0.19761,0.14336,0.05024,0.03717,0.10424,0.03269,0.03263,0.03071,0.03496,0.02479,0.03177,0.02769,0.02887,0.02874,0.13484,0.05882,0.04199,0.04533,0.05226,0.04248,0.0293,0.03783,0.03136,0.02427,0.03493,0.03193,0.02983,0.03368,0.04477,0.03026,0.05324,0.34642,0.0718,0.0327,0.04082,0.03269,0.0545,0.03824,0.03571,0.03694,0.02696,0.04129,0.11342,0.04136,0.03919,0.0422,0.04507,0.03219,0.03058,0.03421,0.02542,0.03102,0.05677,0.03156,0.03107,0.03789,0.06015,0.1355,0.13912,0.07284,0.04838,0.03651,0.03337,0.02544,0.05511,0.02698,0.03423,0.03399,0.02748,0.04811,0.03709,0.03738,0.03385,0.03947,0.04486,0.03516,0.04914,0.05006,0.04052,0.04091,0.04921,0.03387,0.04672,0.04563,0.04763,0.06367,0.19551,0.09087,0.05929,0.27983,0.5553,0.57355,0.15477,0.06058,0.06623,0.06303,0.06654,0.05163,0.34151,0.22816,0.17021,0.15823,0.09864,0.04032,0.03538,0.04176,0.03827,0.19564,0.05034,0.04494,0.0693,0.05439,0.26079,0.0694,0.03239,0.35579,0.19402,0.05659,0.05099,0.05765,0.02991,0.04356,0.04482,0.05026,0.05642,0.06615,0.10673,0.07015,0.06077,0.03726,0.04705,0.05993,0.03613,0.02615,0.0378,0.033,0.02931,0.0465,0.04359,0.04692,0.12054,0.08032,0.06531,0.04686,0.04777,0.04062,0.03071,0.10331,0.02518,0.04085,0.04319,0.02798,0.03378,0.04339,0.21566,0.18964,0.04089,0.0515,0.05931,0.03924,0.04293,0.03309,0.02855,0.03138,0.04346,0.02765,0.02377,0.02295,0.03034,0.0303,0.02982,0.03106,0.02376,0.02466,0.02694,0.03113,0.05403,0.02623,0.03556,0.0308,0.03178,0.03603,0.04691,0.02559,0.02808,0.033,0.14455,0.06654,0.03451,0.03901,0.06395,0.04134,0.03484,0.03282,0.03047,0.03614,0.06719
-2.75,0.03797,0.04265,0.0398,0.03676,0.04136,0.02569,0.02132,0.04063,0.02428,0.0179,0.02505,0.02849,0.02494,0.03735,0.0284,0.03379,0.03203,0.03295,0.02093,0.02507,0.02462,0.03541,0.0198,0.02133,0.02852,0.02338,0.02905,0.02191,0.01999,0.03048,0.02518,0.02736,0.16892,0.13995,0.09547,0.05201,0.06195,0.23291,0.03602,0.03965,0.16066,0.17844,0.134,0.04645,0.03424,0.09484,0.02863,0.03095,0.02779,0.03215,0.0235,0.02949,0.02607,0.02589,0.02483,0.12651,0.05331,0.03889,0.04172,0.04732,0.03895,0.02633,0.03159,0.02765,0.02287,0.03331,0.02944,0.02602,0.03077,0.04248,0.02827,0.05006,0.32505,0.067,0.03064,0.0361,0.03009,0.04923,0.03437,0.03203,0.03694,0.02341,0.04129,0.10309,0.03564,0.03645,0.04,0.03982,0.03064,0.02918,0.03175,0.02417,0.02872,0.05185,0.03016,0.02926,0.03672,0.05336,0.12865,0.12819,0.0673,0.0464,0.0332,0.03019,0.02432,0.0493,0.02613,0.02935,0.03138,0.02402,0.04645,0.03269,0.03537,0.02804,0.03633,0.04029,0.03178,0.04621,0.04629,0.03738,0.04933,0.04553,0.03088,0.04672,0.04248,0.04239,0.06049,0.18174,0.08237,0.05472,0.25973,0.4881,0.52003,0.1419,0.05667,0.06202,0.0592,0.05993,0.04839,0.30713,0.20821,0.15694,0.15074,0.09229,0.03736,0.03406,0.04118,0.03677,0.17641,0.04785,0.03945,0.06954,0.04942,0.24529,0.06538,0.02998,0.31133,0.18108,0.05182,0.04807,0.05424,0.02688,0.04051,0.04003,0.03987,0.05173,0.05629,0.09777,0.06233,0.05694,0.03441,0.04307,0.05299,0.03372,0.02474,0.03488,0.03055,0.02708,0.04042,0.03972,0.04186,0.11004,0.07636,0.06028,0.04412,0.04543,0.03582,0.03004,0.09839,0.02386,0.03812,0.03818,0.02527,0.0313,0.03895,0.20108,0.172,0.03887,0.04746,0.05377,0.03583,0.03931,0.02961,0.02615,0.02778,0.03294,0.02538,0.02172,0.02088,0.02843,0.03128,0.02678,0.02832,0.02297,0.02184,0.02637,0.03001,0.05197,0.02729,0.03414,0.02726,0.02842,0.03133,0.04392,0.02286,0.0251,0.03059,0.13684,0.06124,0.03264,0.03615,0.06036,0.03841,0.03183,0.03052,0.02982,0.0347,0.06352
