,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,4.48316,1.78579,6.52299,1.5127,0.1777,0.0,27.83236,0.0,0.0,48.3005,66.25157,20.71419,119.57796,0.0,0.0,0.0,60.77697,0.0,15.13606,0.0,1.82991,0.0,0.0,5.12938,0.0,0.0,0.0,0.0,95.98113,0.0,0.01019,19.54456,28.84747,56.69495,22.78171,14.39423,21.292,1.17163,0.8159,25.5964,17.38744,13.60709,7.59248,3.73282,19.72939,0.0,0.0,0.0,2.11709,213.48772,0.0,0.0,0.0,0.0,14.91567,10.82865,8.70041,0.0,4.79298,0.0,0.0,0.0,0.0,0.0,0.0,1.11225,0.0,2.55432,8.22499,0.0,6.00481,82.977,6.9295,0.0,2.57566,0.0,0.43772,0.0,0.0,0.0,0.0,0.0,21.9599,0.0,23.80807,6.93022,3.23986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.51101,29.21458,57.60426,7.31262,72.38921,0.0,27.80835,0.0,19.89162,0.0,361.63875,2.04311,0.0,0.0,0.0,5.99735,0.0,0.0,5.34854,3.13199,0.0,9.30228,2.7735,0.0,0.0,0.24383,0.0,0.0,2.28474,8.01873,28.23405,18.31422,0.0,0.0,50.8413,46.76024,12.92613,6.20822,9.30906,3.68034,7.4877,0.71527,14.51082,0.0,38.10877,0.0,20.3193,2.86181,0.0,0.0,14.07215,16.97674,7.47142,21.43744,62.57672,5.65528,54.27987,9.44155,0.0,39.16223,42.7212,0.23424,7.43586,3.86172,1.84376,0.0,0.0,10.76072,1.64804,5.04293,48.05661,6.46859,13.94912,0.0,4.94716,13.91967,0.97753,0.87366,1.0824,0.0,0.0,35.21659,2.19266,5.72189,33.26215,17.72529,6.99343,8.54036,2.90547,0.0,0.0,15.66176,0.0,39.77833,0.0,0.0,0.0,0.0,20.26363,0.0,15.89914,4.85109,33.7376,0.0,0.4813,0.0,35.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23132,0.0,0.0,5.99187,0.0,6.08565,6.49901,21.69249,0.0,0.0,3.48377,16.03981,12.8158,0.0,0.0,15.49156,3.50751,0.0,0.0,0.0,0.0,12.04239
-4.75,0.0,4.57229,1.78591,6.52299,1.65551,0.1777,0.0,27.83236,0.0,0.0,48.3005,66.25157,20.71419,119.57796,0.0,0.0,0.0,60.77697,0.0,15.13606,0.0,1.96948,0.0,0.0,5.12938,0.0,0.0,0.0,0.0,95.98113,0.0,5.73063,19.54456,29.90648,56.84616,22.78171,14.67049,21.29212,1.1924,0.8159,25.5964,18.20745,20.03178,7.59248,3.73282,16.09873,0.0,0.0,0.0,2.11709,213.48772,0.0,0.0,0.38244,0.0,15.72598,9.55833,8.77631,0.0,4.84032,0.0,1.07154,0.0,0.0,0.0,10.39225,1.11225,0.0,2.55432,8.55888,0.0,6.00483,83.40222,7.05132,0.0,2.62589,0.0,0.43772,0.0,0.0,0.0,0.0,0.0,22.25048,0.0,13.17755,6.93022,3.23986,0.0,1.68479,0.0,40.10383,0.0,0.0,0.0,0.0,0.0,19.72634,29.21458,57.78924,7.31262,72.82079,0.0,132.4627,0.0,19.93953,0.0,361.63875,2.04311,0.0,0.0,0.0,5.99735,0.0,0.0,5.34854,3.01687,0.0,7.60593,2.81492,0.0,0.0,0.24383,0.0,1.22922,2.28474,6.16262,30.81349,25.6319,10.84442,0.0,51.02775,46.84742,18.97333,6.80778,10.25808,3.68034,7.4877,0.75391,15.55138,0.0,21.83379,0.0,20.37042,2.95658,25.24073,0.0,9.96558,17.97771,7.47142,21.57301,62.62758,5.65528,54.68235,9.53347,0.0,39.16223,42.7212,1.14809,9.75046,3.97975,1.9518,0.0,0.0,10.76072,1.64804,5.04293,48.05663,6.53109,14.01411,13.66815,5.06957,9.81247,0.97753,0.87366,1.0824,0.0,0.0,35.25893,2.19266,5.72189,35.39786,17.72529,7.84165,8.54042,10.11213,0.0,0.0,16.69637,0.0,39.77833,0.0,0.0,0.0,0.11314,35.59681,0.0,15.91917,5.47163,40.52067,0.0,0.4813,0.0,35.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23132,0.0,0.0,5.99187,0.0,6.08565,8.87728,21.69249,0.0,0.0,3.48377,13.7902,12.8158,0.0,0.0,9.41755,3.50751,0.0,0.0,0.0,0.0,15.69038
-4.5,0.0,4.57229,1.78592,6.52299,1.65551,0.1777,0.0,27.84558,0.0,0.0,48.3005,66.25157,20.71419,119.57796,1.58118,0.0,0.0,60.77697,1.01029,11.13608,0.0,1.96948,0.0,0.0,5.43554,0.0,0.0,0.0,0.0,95.98113,0.0,5.73063,23.94589,23.85839,56.97061,22.90809,10.6833,21.29248,1.03016,23.71307,25.5964,18.29314,24.13475,5.2119,3.7518,16.09874,0.0,0.0,0.0,2.11709,213.48772,0.0,0.0,0.38244,0.0,16.09477,9.02036,8.77631,0.0,6.35911,0.0,1.07154,0.0,0.0,0.0,10.39228,1.11749,0.0,2.55432,8.61674,0.0,6.81334,83.40222,8.76623,0.0,2.62589,54.02097,0.43772,0.0,0.0,0.0,0.0,0.0,22.37835,0.0,13.17755,7.32215,3.23986,0.0,1.68479,0.0,40.10383,0.0,0.0,0.0,0.0,0.0,15.64671,29.37947,57.86086,7.67024,38.26311,0.0,132.4627,0.0,19.93953,22.13384,361.63875,2.04311,0.0,0.0,0.0,5.99735,0.0,0.0,5.71419,2.0666,0.0,7.82905,2.81492,0.0,12.36101,0.24383,0.0,1.22922,2.28474,6.51572,30.81349,25.67519,10.84442,10.53512,51.28516,46.84742,20.98648,6.3285,8.91835,3.68034,7.4877,0.50271,12.13878,30.40224,21.87283,9.77085,16.47341,3.01646,25.24073,0.0,8.88262,18.18953,5.93383,21.57301,62.62758,5.65528,57.00336,9.53348,0.0,39.40935,42.8137,1.14809,9.81499,6.39388,1.9518,0.0,0.0,10.76072,1.64804,5.0749,55.34907,5.18527,14.10213,13.66825,4.04161,9.81247,0.97753,0.87366,1.0824,0.0,0.0,35.25911,1.51343,6.22739,35.73144,18.01383,8.03626,8.54042,7.47167,0.0,0.0,16.69773,0.0,39.77833,6.73476,0.0,0.0,0.11314,41.68106,0.0,15.91917,5.54728,40.5207,0.26477,0.4813,0.0,35.00651,114.82702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23132,0.0,0.0,5.99187,0.0,3.5148,8.87728,24.16778,0.0,0.0,3.48377,13.7902,12.8158,0.0,1.29171,9.47521,3.50751,0.0,0.0,0.0,6.19047,12.02634
-4.25,0.0,3.62794,1.78592,6.52299,1.78687,43.84173,0.0,27.97316,0.0,0.0,48.3005,66.25157,20.71419,119.57796,1.69432,976.10029,0.0,60.77697,1.01029,8.41425,0.0,1.06704,0.0,0.0,5.43554,0.0,0.0,0.0,0.0,95.98113,0.0,5.73063,23.94589,26.71148,57.08268,22.96393,10.68331,24.63529,1.05154,23.74824,25.75524,31.72733,22.69196,5.54631,3.28147,16.13853,0.0,0.0,0.0,2.11709,213.48772,0.0,0.40727,0.38244,0.0,13.35467,9.18386,8.77631,121.99545,6.35912,0.0,1.07154,0.0,0.0,207.38914,10.39229,0.59979,0.0,2.55432,8.4939,0.0,7.00425,84.09392,6.31658,0.0,12.1163,54.02097,1.06421,0.0,0.0,0.0,0.0,0.0,22.50372,0.0,13.66175,7.32215,4.05696,0.0,1.68479,0.0,40.10383,0.0,0.0,0.0,0.0,0.0,23.52575,15.43162,57.86086,6.42406,28.80664,0.0,132.49874,0.0,19.93953,22.13384,361.63875,2.04311,0.0,0.0,0.0,5.99735,0.0,0.0,5.92981,2.31715,0.0,8.89319,2.01974,0.0,12.36101,0.24383,0.0,7.14083,2.28474,7.87263,30.81877,25.7881,10.84442,12.14274,51.35313,46.84742,21.02993,4.93352,10.34695,3.68034,7.4877,2.41282,12.19771,30.86608,21.87283,11.53227,16.81079,3.01646,25.24073,0.0,10.77682,18.31497,5.55878,23.26691,62.7187,5.65528,59.41013,9.53349,0.0,39.47603,35.51319,2.63253,9.81499,6.94143,1.98275,0.0,0.0,10.76072,50.31051,4.26061,44.11673,6.06237,14.11684,16.23734,4.14499,10.8663,0.97753,0.87366,1.0824,0.0,2.97952,35.37231,1.89699,4.30788,18.55534,20.66036,6.74427,8.54042,7.53597,0.0,0.0,16.8361,0.0,39.77833,6.73476,0.0,0.0,0.11314,42.33994,0.0,16.06361,5.58353,40.52108,0.26477,0.4813,0.0,35.00651,114.82702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23132,0.0,0.0,25.67712,0.0,3.84834,9.01416,24.16778,63.65732,0.0,3.48377,18.42516,12.8158,0.0,1.29172,9.50898,3.50751,476.17518,0.0,0.0,6.19047,10.46759
-4.0,0.81836,3.04441,1.80203,6.52299,1.78687,43.85237,101.73828,27.97316,0.0,0.0,48.3005,66.25157,20.71419,60.02819,1.69432,976.10029,0.0,60.77697,1.01029,9.93619,247.64373,1.06704,0.0,0.0,5.43555,0.0,0.0,0.0,0.0,95.98113,0.0,5.73063,24.05975,26.86888,57.70317,19.0666,11.7429,24.63538,1.15779,20.85828,25.99365,32.31996,23.15065,3.86781,3.28147,12.95596,0.0,16.72357,0.0,2.11709,213.48772,0.0,0.40727,0.38244,0.0,13.45654,9.71498,6.08274,121.99545,5.67319,0.0,2.76344,0.0,0.0,207.38914,10.39229,0.59979,0.0,2.60877,9.24282,0.0,7.04786,84.09924,5.88036,0.0,12.1163,54.02097,7.44302,0.0,0.0,0.0,0.0,0.0,22.84905,18.26264,13.66175,7.32215,4.05704,0.0,2.20045,0.0,40.10383,0.0,0.0,0.0,0.0,0.0,16.86477,15.65345,58.08893,6.8014,28.8242,0.0,132.49874,0.0,19.93953,22.13384,361.63875,2.04311,0.0,0.0,0.0,6.05572,0.0,0.0,5.92981,2.87422,0.0,8.89319,4.84144,0.0,12.36101,0.24383,0.0,7.14087,8.74667,9.95437,56.07481,24.32344,5.42272,12.14274,53.82379,47.18846,17.59247,4.85434,7.53469,3.68034,8.79256,1.39973,15.22099,28.73789,20.80983,13.34315,14.92771,3.20529,36.59962,0.0,10.77682,30.33582,5.55878,24.13645,62.72239,4.52407,40.83849,9.5335,0.0,39.66952,36.51872,2.39868,8.25235,7.44915,1.98275,0.0,0.0,5.52009,50.38753,4.27887,44.53108,6.09085,14.17518,16.33595,4.14499,7.84462,1.03413,0.87625,1.90632,0.0,2.97952,35.60086,1.45684,5.11038,16.21404,20.68087,6.99194,8.54042,7.53598,0.0,18.53198,13.77854,15.69445,39.77833,6.73476,0.0,0.0,0.10092,21.77195,0.0,17.02205,4.84971,40.52109,0.26477,10.45833,0.0,35.00651,97.28213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23132,0.0,0.0,25.67712,0.0,3.84834,9.01416,9.51436,63.65732,0.0,3.7517,16.3356,12.8158,0.0,1.29174,9.50898,2.46875,476.17518,0.0,0.11142,6.19047,9.66639
-3.75,4.46576,3.04441,1.80204,4.22642,1.78687,48.26544,101.73828,28.04179,11.32652,0.0,48.3005,66.25157,20.71419,42.29556,1.69432,976.10029,0.0,60.77697,1.01029,16.97998,247.65979,1.06704,0.0,0.0,5.43559,0.15678,0.0,35.2837,0.0,95.98113,0.0,5.73063,25.08563,28.12393,57.70317,19.08685,11.7429,24.7989,1.84457,27.01159,27.30546,25.47434,24.16162,3.18055,2.68195,11.52626,1.0771,16.72357,14.55154,1.54767,213.48772,0.0,0.40727,0.38244,0.0,18.41971,9.81228,6.08274,121.99545,5.66394,0.0,2.76347,0.29677,0.0,207.38914,10.39234,8.12927,0.0,2.61959,9.93776,1.96663,6.21919,84.18838,6.10863,0.0,12.1163,54.02097,6.12362,0.0,0.0,0.0,0.0,0.0,22.87284,14.24707,16.47486,4.65052,4.0948,0.0,2.20045,0.0,40.10383,0.0,0.0,0.0,0.0,0.0,17.02838,15.65345,24.01465,6.87652,28.87422,0.0,133.07004,0.0,19.93953,64.96936,361.63875,2.04311,39.99415,0.0,0.0,6.05572,0.0,0.0,5.92981,2.96802,0.61921,9.55867,4.84145,0.0,12.36101,30.41977,0.0,34.20987,14.55256,11.0897,36.62589,17.6863,5.29296,12.44757,54.49776,47.56363,19.99465,4.81968,7.80655,4.53804,9.35112,1.61698,16.37376,28.86249,21.31562,16.93179,12.76838,5.26116,77.97301,0.0,7.90588,20.56228,10.45087,24.13645,62.72239,4.52407,30.61385,10.34525,0.0,39.66952,38.73604,1.97972,9.07019,8.36501,3.31571,0.0,0.0,5.52009,43.41691,4.27887,33.63321,7.36746,15.78548,16.33595,4.28212,7.84462,9.89532,0.60504,1.90633,0.0,3.0778,36.51329,1.45684,7.88372,16.18163,20.78599,5.71999,7.97159,8.21563,0.0,18.53198,11.92525,15.69445,39.77833,6.73476,0.0,0.0,21.7013,21.91049,21.79654,17.77512,6.31171,40.52119,0.26477,8.19715,0.0,35.00651,97.28213,0.0,0.0,0.0,0.0,236.81158,0.0,0.0,0.0,0.0,0.0,0.0,0.23132,0.89431,58.54283,25.84819,0.0,3.93785,9.07153,10.32104,63.65732,0.0,66.57548,16.86687,12.8158,0.0,1.63657,7.54525,2.46875,476.17518,1.29279,0.11143,6.19047,9.09396
-3.5,4.49315,20.2659,1.80204,5.18929,1.78687,109.36909,160.65373,28.04179,11.32652,0.0,48.3005,56.24557,20.71419,42.29556,1.69432,595.98215,0.0,50.63591,1.01029,16.97998,247.66019,13.83139,0.0,82.97391,5.43559,0.15678,0.0,43.18772,0.0,95.98113,0.0,5.73063,25.08563,29.36236,26.20729,19.31899,10.89171,24.93723,3.66306,23.8898,29.79983,21.35835,25.12946,3.43963,2.76221,10.75433,27.69068,15.16362,6.80593,2.70522,160.32777,13.83181,0.40727,0.21752,0.34488,21.55845,10.04487,3.81785,45.76,4.81126,0.0,34.21447,0.29677,0.0,207.38914,10.39234,8.12927,0.0,2.73324,8.86451,1.96664,6.28261,68.17104,6.91064,0.0,14.43236,54.02097,6.12362,0.0,0.0,0.0,0.0,0.0,21.79573,12.26822,14.83512,5.14697,4.0948,0.0,2.35777,0.0,40.10383,0.0,0.0,0.0,0.0,0.0,17.12447,15.65606,21.99363,6.08539,28.87422,22.46029,133.07004,0.0,19.93953,50.01311,361.63875,2.04311,39.99415,0.0,0.0,3.698,0.0,3.70056,5.71789,2.72824,0.61921,13.72351,4.53308,0.0,12.36101,30.41978,0.30255,24.74861,10.78593,12.72924,33.07243,17.37143,30.0729,14.35972,48.13118,48.79194,19.60772,5.51862,9.475,33.53687,6.24857,2.33714,18.32847,29.99936,21.72242,16.98644,14.29203,4.94505,58.77423,41.66164,7.35692,17.58131,6.6934,13.51748,63.627,4.52407,32.53089,10.34528,0.0,39.84856,29.96762,1.98497,6.80275,8.19768,7.77654,22.13465,17.18398,33.47651,48.5149,4.27887,35.23459,7.50997,13.6926,16.33595,4.28212,6.50214,7.54093,0.60504,1.96077,0.0,10.8499,35.98651,1.31728,11.21869,17.03932,16.215,6.09294,7.31603,8.28316,0.0,9.18567,15.40345,20.02609,27.97412,3.64744,6.96981,0.0,21.70838,22.99215,17.29591,18.02063,6.99286,40.5212,0.36394,11.98019,21.69717,35.00652,97.28213,0.0,0.0,168.47081,0.0,237.01982,0.0,0.0,0.0,0.0,0.0,0.0,0.23132,0.89431,37.37825,26.12998,0.0,3.96107,9.07153,11.99666,63.67264,0.0,66.70361,16.96618,12.8158,47.28963,1.49752,7.6828,2.46875,238.10369,11.18094,66.44526,6.19048,7.95341
-3.25,4.5554,17.50969,22.64393,5.18929,10.29698,109.70402,160.65373,28.05775,11.32653,0.0,48.3005,45.22203,38.06518,32.43207,1.22675,618.22012,0.0,39.80117,0.86103,17.3468,247.66019,19.31966,0.0,117.51375,5.94474,28.69483,0.0,43.26611,0.0,95.98113,0.0,5.73063,28.87,29.86727,29.44753,19.32634,11.17368,25.05078,3.96102,25.49979,31.12774,26.61757,25.37148,4.76452,5.45695,10.32613,22.98731,15.22027,9.06147,2.70522,114.12427,13.83181,2.95212,24.55667,0.34488,15.85552,8.95906,3.46356,41.18994,4.98429,27.52167,26.19552,0.29677,78.0906,207.38914,11.14346,8.12927,0.0,7.33672,8.99009,8.08912,9.88776,71.23265,8.26892,33.77707,13.66351,27.41604,23.52311,0.0,147.28717,0.0,0.0,0.0,23.04429,12.26822,12.72675,5.14698,4.50349,5.70731,2.35777,0.0,42.66607,0.0,0.0,0.0,0.0,0.0,17.21121,16.32158,20.87487,7.71677,28.96771,15.68572,98.66226,35.59972,19.93953,50.01311,361.63875,2.04311,36.59286,0.5819,36.30482,3.78169,0.0,8.22105,4.44856,15.57079,0.61921,13.44071,4.6835,0.0,17.59245,32.81106,0.6357,21.63661,14.59454,12.27858,37.90295,16.50782,25.98736,16.39382,49.03708,57.40445,19.95706,5.45775,7.99371,70.44511,197.83394,2.63686,23.62478,33.64784,21.98894,20.5657,13.13882,8.78621,31.49065,58.55287,9.51198,16.50964,5.86874,9.75276,48.86671,4.52582,32.28667,9.3074,0.0,39.86899,30.14939,2.52695,5.87423,13.25878,8.71822,9.15639,17.18398,44.38168,38.83515,4.27887,25.84004,7.47241,10.46066,10.54312,7.19323,4.95515,9.43925,0.60504,2.29288,0.0,9.16836,36.13264,1.41598,9.39219,17.12218,12.87037,6.02768,7.63335,6.97173,3.28684,7.4896,15.4057,20.02609,23.82752,3.64744,8.69591,2.30691,16.29297,32.40715,17.30113,22.81155,6.99286,40.5212,0.36394,16.71295,27.67633,49.58198,97.28213,52.64422,0.0,168.47081,0.0,237.01983,0.0,0.0,0.0,32.74806,0.0,0.0,36.83622,0.89431,41.36298,27.2283,0.0,4.12013,9.42395,15.45639,67.43297,0.0,66.70361,20.18813,13.0688,44.45574,5.7195,7.73468,2.3262,178.73091,11.18095,67.4676,14.73926,7.05269
-3.0,8.33875,16.28614,25.01211,5.65707,10.31995,109.80971,80.46392,18.72239,11.32653,186.88432,42.01838,45.22203,90.27519,25.95318,213.59303,618.22012,1057.07439,41.31884,20.59125,11.92151,247.66019,17.07266,0.0,118.86393,5.98004,28.69484,70.49836,94.25049,0.0,67.22572,52.54915,5.73063,30.84415,22.20464,29.4932,16.53843,11.25668,25.32413,5.61216,21.57076,26.40089,27.77991,24.14512,4.44233,5.17104,11.9671,36.33879,22.51347,11.43655,10.1703,125.59258,13.83181,7.0159,24.57788,7.96561,16.96036,11.32907,3.5695,27.96378,4.92275,27.52167,22.63121,21.0643,50.55233,228.65254,7.51714,16.99655,0.0,10.21811,8.23999,24.03068,8.80746,72.17037,6.86682,22.36556,15.48562,19.65683,23.63502,0.0,147.3196,0.0,1.81582,1.24282,20.51411,9.8733,11.17131,10.53308,4.29776,5.70733,2.4425,49.23451,42.74409,0.0,0.0,0.0,0.0,0.0,17.27358,16.83462,21.99256,7.47939,23.00386,12.2761,63.96379,80.87651,47.91785,50.01311,361.63875,34.7743,34.51206,0.5819,52.48652,17.51009,0.0,8.27785,5.3053,12.30092,0.61921,12.84396,4.64202,0.0,61.03677,27.81267,11.15119,25.92759,11.69248,10.14854,39.62281,13.34743,26.17134,16.23092,50.82049,43.79197,20.01635,5.47555,8.06489,97.21399,197.83394,3.15016,27.48849,34.39608,22.40795,19.47292,13.17786,10.40924,31.54578,58.58471,12.47372,18.34788,6.31439,14.37923,41.82479,9.50798,31.49644,9.30765,14.91625,32.13431,25.59448,4.98287,5.94892,14.22104,9.3367,20.36438,19.80021,38.90386,32.44125,6.2019,21.0864,8.37431,10.1173,10.92954,7.6252,4.44918,11.37384,2.90274,2.29288,18.80143,9.59484,36.41572,13.665,8.12146,16.95548,12.61802,5.1279,7.7626,8.03412,3.28684,7.7417,16.69017,18.31065,27.88073,3.67618,37.39362,10.09587,22.67449,24.35927,18.25727,19.50249,6.85411,27.60005,0.36394,26.1329,79.51317,49.94952,78.27594,82.53433,66.22954,168.47081,0.0,249.02147,0.0,15.38963,119.01126,30.74978,167.95855,0.0,36.83622,0.89431,42.37027,27.2283,0.0,4.16415,25.95266,15.11036,67.43297,0.0,66.7833,20.41625,9.71685,29.50915,17.88374,5.00055,2.66643,178.73091,12.14921,47.04132,14.73926,7.3062
-2.75,8.71057,16.45651,34.96733,5.7906,13.95868,114.0055,53.68128,29.2873,45.00499,95.95546,42.01839,49.48097,47.584,26.29763,213.71732,618.22012,1057.0744,49.23282,45.17209,11.96528,247.66019,18.68068,226.62458,118.86393,6.41267,31.2491,112.23486,115.74813,0.0,67.22572,121.85066,10.70264,32.10173,21.5389,30.38276,14.86416,27.37703,21.33704,5.44269,22.54159,24.55765,25.09183,23.36585,4.77082,7.40287,13.04753,36.37213,31.21784,10.67283,11.91263,132.26178,18.65873,16.26338,24.57788,11.92703,15.33009,9.61274,6.95565,29.18602,4.61211,44.05307,15.67606,25.74858,46.6001,163.175,8.32675,15.30709,25.54193,10.20293,6.82163,31.93317,10.658,72.58058,7.34528,15.84155,21.60981,20.48216,21.94706,0.0,58.23569,0.0,1.81582,43.25025,20.71048,11.92472,11.20956,12.59456,4.75982,59.27951,30.76181,24.61734,23.71698,126.98055,0.0,0.0,0.59845,59.83016,19.01525,16.83462,24.93666,6.22489,23.43488,31.3251,74.22209,68.27374,47.91785,50.01311,361.63875,29.00076,34.2011,0.5819,54.02413,30.07675,48.51896,10.72909,5.3053,11.05364,46.46186,12.30994,7.65026,14.97339,61.03677,26.95294,13.20415,24.53581,18.77283,10.80614,34.56028,14.09244,21.94694,12.31998,42.36344,38.86975,18.92645,8.42345,6.07925,97.81181,132.05784,3.40314,28.97685,35.31074,23.87489,17.63303,10.10206,11.21017,27.72908,34.20065,13.26619,18.85223,6.36133,12.78324,41.9258,9.71991,31.63916,10.44397,15.40576,32.19372,25.81863,6.77391,4.83433,14.06152,8.80957,25.06779,15.71283,38.58373,28.35835,6.2019,21.27163,7.90778,10.36306,12.41287,8.15405,6.08449,14.25851,17.54535,22.15313,22.77566,7.8393,36.86149,11.61938,26.01593,16.03671,12.58679,4.95964,7.83978,11.21119,4.88211,14.77333,15.52005,16.92891,23.38244,19.77901,30.01932,14.03197,19.1433,20.82603,20.84112,19.36273,7.34435,27.60006,30.69101,22.27189,132.66397,50.1654,63.21569,75.47587,54.62034,168.47081,4.02355,249.99085,0.0,19.56379,119.01126,30.75109,54.57179,104.05059,38.29354,0.89431,42.37467,19.50804,45.2564,4.16415,26.92361,14.41264,39.60327,38.16333,64.24552,20.01822,9.71685,25.97006,18.52285,5.09994,2.66644,178.73091,20.26878,30.04653,16.28838,8.02263
