,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,14.94459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.50651,0.0,0.22146,0.0,88.7983,0.0,0.0,35.6488,2.90794,0.0,0.0,87.50925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96045,1.21396,0.0,0.0,0.0,0.0,0.0,0.0,4.25378,0.0,0.0,4.93506,0.0,6.30706,0.0,0.0,0.0,0.05213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04567,0.0,0.0,0.0,0.0,2.25893,0.0,0.0,12.51246,0.0,2.89632,0.0,0.0,0.0,0.0,0.0,3.81624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.31166,0.0,0.0,13.76469,0.0,0.34778,0.0,1.53532,0.0,0.0,0.0,0.0,0.0,0.0,19.69038,0.0,7.563,3.04914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08185,0.0,0.0,1.02954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93986,0.0,23.66518,0.0,18.89942,2.22285,10.54038,2.17371,3.99957,2.1616,0.0,0.0,0.98402,4.54185,0.0,0.0,0.58955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02174,0.0,0.0,1.71842,0.0,0.0,9.80857,0.0,0.0,0.0,0.29736,0.0,1.37145,0.0,0.0,4.32932,0.0,5.48444,3.48302,0.0,0.0,0.0,0.0,0.0,0.0,7.56178,0.0,0.0,0.0,0.0,7.72293,1.25895,0.0,0.0,0.0,3.91145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.13026,0.0,0.0,0.0,0.0,0.0,0.0,21.41821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84375,5.92997,1.69066,2.49963,0.0,0.0,0.0,7.60548,0.0,0.0,0.0,22.08118,0.0,0.0,0.0,0.0,0.0,18.37649
-4.75,0.0,0.0,14.94459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.50651,0.5377,0.22146,0.0,88.7983,0.0,0.0,35.6488,2.90794,0.0,0.0,87.50925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96045,1.37239,0.0,0.0,0.0,0.0,0.0,0.0,4.3158,0.0,0.0,4.93506,0.0,6.4879,0.0,0.0,0.0,0.05213,3.06052,0.0,0.0,0.0,0.0,0.0,0.0,4.04567,0.0,0.0,0.0,0.0,2.25893,0.0,0.0,12.51246,0.0,2.89632,0.0,0.0,0.0,0.0,0.0,3.81624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.31166,0.0,0.0,13.76469,0.0,0.34778,0.0,1.53532,0.0,0.0,0.48387,0.0,0.0,0.0,19.75004,0.0,6.0736,2.29304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08185,0.0,0.0,1.02954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93986,8.46834,50.08155,0.0,20.9667,2.23885,11.46573,2.17371,3.99957,2.1616,0.0,0.0,1.89744,4.54185,19.3352,5.38374,1.33161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08041,0.02174,0.0,0.0,1.71842,0.0,0.0,9.80857,0.0,0.0,0.0,0.29736,0.0,1.37145,0.0,0.0,5.58322,0.0,2.92936,3.48303,0.0,0.0,0.0,0.0,0.0,0.0,7.56178,0.0,0.0,0.0,0.0,7.72293,1.25895,0.0,0.0,0.0,9.26677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09866,0.0,0.0,0.0,19.13026,0.0,0.0,0.0,0.0,0.0,0.0,21.41821,0.0,0.0,0.0,0.0,0.0,0.0,0.09255,0.0,0.0,0.0,5.84375,5.92997,1.69066,2.49963,0.0,0.0,0.0,7.60548,0.0,0.0,0.69848,11.65158,0.0,0.0,0.0,0.0,0.0,18.37649
-4.5,0.0,0.0,14.94459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.50651,0.62156,0.22146,0.0,88.7983,0.0,0.0,35.6488,2.90794,0.0,0.0,87.50925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.96815,1.05633,1.37239,0.0,0.0,0.0,0.0,0.0,0.0,4.53763,0.0,0.0,4.97135,0.0,4.66768,0.0,0.0,0.0,0.05213,3.06053,0.0,0.0,0.0,0.0,0.0,0.0,4.04567,0.0,0.1575,0.0,0.0,2.25893,0.0,0.0,12.51246,0.0,2.92747,0.0,0.0,0.0,0.0,0.0,3.81624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.31166,0.0,0.0,13.8066,0.0,19.95762,0.0,1.53532,0.0,0.0,0.48387,0.0,0.0,0.0,20.55515,0.0,6.34627,2.09853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.04355,0.0,0.0,0.0,0.0,0.0,0.0,1.08185,0.0,0.0,1.02954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399,9.34756,50.08266,0.0,23.89362,2.23885,11.46573,2.17371,4.04034,2.1616,0.0,0.0,1.92057,4.33745,20.02777,5.38374,3.11801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31722,0.02174,0.0,0.0,1.71842,0.0,0.0,9.80857,0.0,0.0,0.0,14.22489,0.0,1.37145,0.0,0.0,5.58322,3.74703,2.92936,3.48303,0.0,0.0,0.0,0.0,0.0,3.78379,9.505,0.0,0.0,0.0,0.87136,7.97695,1.25895,0.0,0.0,0.0,9.26677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56413,0.0,0.0,0.0,19.13028,0.0,0.0,0.0,0.0,0.0,0.0,21.41821,0.0,0.0,0.0,0.0,0.0,0.0,0.09255,0.0,0.0,0.0,5.84375,5.92997,6.76484,3.56131,0.0,0.0,0.0,7.60548,0.0,0.0,0.69848,11.65158,0.0,0.0,0.0,0.0,0.0,25.55644
-4.25,0.0,18.058,15.85016,7.37494,0.0,0.0,0.0,0.0,16.18867,0.0,23.50651,0.62156,0.22146,0.0,88.7983,0.0,0.0,35.6488,2.90794,0.0,0.0,87.50925,38.24858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.96825,1.05633,1.37239,0.0,0.0,0.0,0.0,0.0,0.0,4.57598,8.01656,0.0,4.34778,0.0,4.88053,0.0,0.0,0.0,0.05213,3.06053,0.0,0.0,0.0,0.0,0.99229,0.0,4.0457,28.94488,0.1575,0.0,0.0,2.25893,0.0,0.0,11.60631,0.0,2.92747,0.0,0.0,0.0,0.0,0.0,3.81624,0.0,0.0,2.25268,0.0,0.0,0.0,0.0,9.54553,34.62879,0.0,0.0,13.8066,0.0,19.96024,0.0,1.53532,0.0,0.0,0.48387,0.0,0.0,0.0,20.55515,0.0,6.44875,2.06791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.04355,0.0,0.0,0.0,0.0,0.30495,0.0,1.14217,0.0,0.0,1.02954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93992,9.89195,50.08267,0.0,25.57436,2.03313,11.58476,2.17371,4.28868,4.11866,0.0,0.0,1.92057,4.33745,20.02777,5.38374,3.15509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23947,0.31722,0.02174,14.82198,0.0,1.71842,0.0,0.0,9.80857,4.44549,0.0,0.0,14.22489,0.0,1.37145,0.0,0.0,5.58322,3.74703,2.92936,6.48839,8.56924,0.0,0.0,0.0,0.0,3.78379,9.59394,0.0,0.0,0.0,0.87136,7.97695,1.45886,0.0,0.0,0.0,9.26677,0.0,0.0,0.0,0.0,0.0,0.0,0.06761,6.56413,1.35718,0.0,0.0,19.13028,0.0,0.0,0.0,0.0,0.0,0.0,21.41821,0.0,0.0,0.0,0.0,0.0,0.0,0.1806,0.0,0.0,0.0,9.581,5.92997,6.81321,3.60589,0.0,0.0,0.0,7.66112,0.0,0.0,0.82383,11.65158,0.0,0.0,0.0,0.0,0.0,25.55644
-4.0,2.00955,18.058,15.85016,7.37494,0.0,0.0,0.0,0.0,16.18867,0.0,23.59606,0.62156,0.22146,0.0,88.7983,0.0,0.0,35.6488,8.67483,0.0,0.0,87.50925,38.24858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.96826,1.06236,1.90374,3.75509,0.0,0.0,0.0,0.0,0.0,4.37764,8.62946,1.3939,4.01447,0.0,4.88053,0.0,0.0,0.0,0.05213,3.06053,0.0,0.0,0.0,0.00128,0.53751,0.0,4.59431,28.94488,0.1575,0.0,0.0,2.25893,0.0,0.0,11.60631,0.0,1.98332,0.0,0.0,0.0,0.0,0.0,3.81624,0.0,0.0,2.25268,0.0,0.0,0.0,0.0,9.54565,36.95418,0.0,0.0,10.14146,0.0,19.96024,0.0,1.53532,0.0,0.0,0.48387,0.0,0.0,0.0,14.48554,0.0,6.7516,2.08568,0.0,0.0,0.0,0.0,0.0,0.0,4.49425,3.2659,0.0,0.0,9.0954,0.0,0.0,0.0,0.0,0.30495,0.0,1.57786,0.0,0.0,1.02954,0.0,0.0,0.0,0.0,44.26075,0.0,0.0,0.80156,11.08828,53.47111,0.0,25.61587,2.13352,11.58476,1.50749,4.28897,4.11866,6.43491,0.0,1.92057,4.33745,20.02777,2.71553,3.15509,0.0,40.72571,0.0,0.0,0.0,0.0,0.0,5.33627,0.40631,0.02174,13.63164,18.40113,1.65307,0.0,0.0,4.94147,4.48783,0.0,0.0,14.22489,0.0,1.37145,4.20762,9.56251,5.58322,3.74703,2.92936,6.48839,12.22534,0.0,0.0,0.0,0.0,13.91829,10.22791,0.0,0.0,0.0,0.87136,8.09122,1.45886,0.0,0.0,0.0,6.84726,0.0,0.0,0.0,0.0,0.0,0.0,0.06761,8.85393,1.3598,0.0,0.0,19.13028,0.0,0.0,0.0,0.0,0.0,0.0,21.41821,0.0,0.0,0.0,0.0,0.0,0.0,0.1806,0.0,0.0,0.0,8.4921,5.92997,6.81321,3.60589,34.10864,0.0,1.72508,7.66121,1.58232,0.0,17.2162,7.84864,0.0,0.0,0.0,0.0,0.0,25.55644
-3.75,8.63667,18.058,19.10487,7.37495,11.3471,0.0,0.0,0.0,16.33367,0.0,23.59606,0.62156,0.22146,0.0,88.7983,0.0,0.0,35.6488,24.57563,0.0,0.0,52.35538,38.24858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.14118,1.06236,1.42781,3.76102,44.47353,0.96146,0.0,0.0,0.0,4.50274,6.92616,1.3939,4.09033,0.0,4.95507,4.62798,0.0,0.0,0.05213,3.06053,0.0,0.0,0.0,0.00141,0.66363,0.0,4.59431,28.94488,0.1575,4.47322,0.0,2.45764,0.0,0.0,11.60631,0.0,2.80358,0.0,0.0,23.67096,0.0,0.0,3.81624,0.0,0.0,2.25268,0.0,0.0,0.0,0.0,9.54565,41.59567,0.0,14.2934,10.14146,0.0,14.46701,0.0,1.53532,0.0,2.80114,0.48387,0.0,0.0,0.0,14.57843,0.0,6.7516,2.15287,0.0,0.0,0.0,0.0,0.0,0.0,4.49425,3.30266,0.0,0.0,9.0954,0.0,0.0,0.0,0.0,0.30495,0.0,1.57786,0.0,0.0,2.37903,0.0,0.0,0.0,0.0,32.81202,0.0,0.0,0.8048,8.72578,58.04883,0.0,15.25076,2.44749,7.55126,1.50749,4.28911,16.88462,6.53531,0.0,1.92057,3.76062,20.15808,7.53534,2.57054,0.0,40.72571,2.69054,0.0,0.0,0.0,0.0,5.33642,0.40631,0.02174,14.93511,31.11945,1.65307,0.0,0.0,4.94147,4.48783,7.56382,0.0,30.98605,0.0,1.37145,2.62398,9.56251,5.75917,3.74703,2.92936,6.48839,12.22535,0.0,0.0,0.0,0.0,13.91829,10.22791,0.0,0.0,0.0,7.92888,8.09122,1.54421,0.0,0.0,0.0,6.39546,0.0,0.0,0.0,0.0,0.0,0.0,0.06761,7.32099,12.33155,0.0,0.0,19.13028,0.0,0.0,0.0,0.0,0.0,0.0,21.41821,0.0,0.0,0.0,0.0,0.0,0.0,0.1806,0.0,0.0,0.0,6.7194,5.92997,6.81321,3.60589,34.10864,0.0,1.72508,7.66121,3.58992,0.0,17.2346,7.84864,0.0,0.0,0.0,0.0,0.0,25.55644
-3.5,14.69845,18.058,19.10487,7.37495,24.40616,0.0,0.0,0.0,16.33974,8.08384,23.59606,0.62156,0.22146,0.6642,88.7983,0.0,0.0,20.89322,24.57563,0.0,0.0,52.35539,38.24858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.27014,1.05522,1.90837,17.96209,44.47368,0.96146,9.31685,0.0,0.0,4.60556,5.61762,1.19662,3.2713,0.0,4.95507,4.62798,0.0,0.0,0.05213,3.06053,0.0,0.0,0.0,12.78455,0.66363,0.0,9.56735,28.94488,0.37434,4.47322,0.0,2.45764,0.0,0.0,11.60631,0.0,2.80358,2.56788,0.0,23.75847,0.0,0.0,3.8239,0.0,0.0,5.26013,0.0,0.0,0.0,0.0,8.18554,41.59567,0.0,14.2934,10.14146,0.0,14.65826,0.0,1.53532,0.0,2.80114,0.48387,0.0,0.0,0.0,14.72341,0.0,6.89039,2.25363,0.0,0.0,0.0,0.0,0.0,23.33508,4.49425,3.30266,0.0,0.0,9.0954,0.0,11.98285,0.0,3.98496,2.54765,0.0,1.59343,0.0,0.0,2.46176,28.04595,0.0,0.0,0.0,32.81205,0.0,15.40125,1.45285,8.59451,58.65383,0.0,15.51359,2.44753,7.3115,1.92467,2.24382,13.56079,6.58703,0.0,2.10191,4.07279,20.15808,6.969,2.57054,27.75353,44.20857,2.69054,0.0,0.0,0.0,0.0,9.02063,2.08005,0.02174,13.00183,31.68683,1.7633,2.61103,0.0,4.94147,4.48783,4.31901,0.0,31.00164,0.0,4.05361,3.65414,7.1131,6.36006,3.74703,2.29143,6.53548,18.64589,0.0,0.0,0.0,0.0,13.91829,10.22791,51.96116,0.0,5.32301,8.03293,8.16819,1.54421,0.0,0.0,0.0,6.41346,0.0,0.0,0.0,0.0,0.0,0.0,0.06761,7.93873,12.3818,0.0,0.0,29.72197,0.0,0.0,0.0,0.0,0.0,0.0,21.41821,0.0,0.0,0.0,0.0,0.0,0.0,0.1806,0.0,0.0,0.0,6.7194,5.97128,6.81321,3.60589,34.10864,0.0,2.01961,5.59524,2.81139,11.86657,18.04372,7.84864,0.0,0.0,0.0,0.0,0.0,25.55644
-3.25,14.72122,8.53853,19.10488,7.37495,24.40616,0.0,0.4285,0.0,16.35053,8.32072,23.59606,0.62156,0.22146,0.6642,88.7983,0.0,14.38367,20.89322,24.57563,0.0,0.0,52.35539,38.24858,0.0,0.0,0.0,3.85037,0.0,0.0,0.0,0.0,0.0,28.69614,1.06265,2.91986,17.97593,44.47385,0.80782,9.35568,0.0,0.0,4.6216,5.6758,0.83117,3.32138,1.97724,5.03271,4.62798,0.0,0.0,0.05213,4.34779,17.10637,0.0,0.0,12.78455,1.9287,0.0,9.61059,31.6578,0.37434,4.47322,0.0,2.45764,0.0,0.0,11.60631,0.0,5.70361,2.56788,0.0,14.30482,0.0,0.0,3.8239,25.86743,0.0,5.28292,0.0,11.4944,0.0,0.0,8.18557,41.59567,10.10659,14.2934,10.2864,0.0,14.73246,0.0,1.53532,49.33186,2.80114,0.48387,0.0,0.0,0.0,14.72341,0.0,6.12165,2.03948,16.10487,0.0,0.0,0.0,0.0,23.33509,8.75867,3.31338,0.0,0.0,9.0954,0.0,11.98285,45.43198,3.35933,6.91231,0.0,2.21553,0.0,0.0,2.839,28.04595,0.0,0.0,25.08322,32.81205,19.97787,8.76614,1.47353,8.74664,29.49228,16.66225,13.38729,3.96481,6.07473,1.92471,2.24382,13.67154,10.01405,6.25661,2.06579,4.34721,14.56093,6.969,2.57054,27.75353,45.03842,2.69054,0.0,25.0499,0.0,0.0,17.48833,2.08005,0.02174,12.92214,16.46284,1.88414,18.93804,0.0,4.60647,3.20736,4.31901,0.0,31.02523,0.34479,3.91995,3.74165,4.32745,6.36006,3.76832,2.52842,6.53549,15.41037,0.0,0.0,0.0,1.89093,13.91829,10.22791,51.96118,0.0,5.32302,8.0645,4.823,1.54421,0.0,0.0,0.0,8.42992,0.0,0.0,0.0,0.0,13.78229,0.0,0.06761,8.763,12.45299,0.0,0.0,29.72197,4.30979,0.0,0.0,0.0,0.0,59.71235,21.41821,0.0,0.0,0.0,0.0,0.0,0.0,21.34824,0.0,0.0,0.0,5.411,5.97128,6.81321,4.09061,34.10864,0.0,2.01961,5.59524,2.86243,12.21751,18.04372,7.84864,0.0,0.0,0.0,0.0,0.0,25.55644
-3.0,19.9122,12.1525,11.03441,7.37495,24.40616,0.0,0.4285,0.0,16.35055,8.32072,23.59606,0.62156,6.21385,0.6642,88.7983,0.0,14.38367,25.86658,24.58901,0.0,0.0,52.35539,39.67969,0.0,0.0,52.59876,3.85037,0.0,235.74215,0.0,0.0,0.0,28.97872,1.30834,2.94419,20.74977,49.9666,0.8174,5.93293,0.0,0.0,5.09038,5.07345,2.04259,3.7723,6.86029,5.13177,4.62798,11.93273,0.0,0.05213,4.34783,17.10638,24.74748,19.68948,14.0046,1.9287,0.0,9.67286,31.6578,0.37434,13.53346,0.0,2.45764,0.0,55.93543,11.60631,0.0,7.44871,18.30805,13.12411,25.21526,14.92612,0.63096,4.67391,21.48517,0.30142,5.28292,0.0,22.13604,54.62849,0.0,8.18557,43.55809,10.93069,59.54225,10.30532,0.0,14.73246,0.0,1.53532,49.33186,2.80114,0.48387,0.0,0.0,0.0,9.05543,37.2619,6.03876,2.24722,22.45731,27.29215,0.0,0.0,0.0,23.33509,8.75867,3.31338,0.0,0.0,9.0954,0.0,11.98285,45.43198,12.03361,7.36141,0.0,2.27117,0.0,0.0,2.839,28.04595,9.55935,17.94087,23.96579,32.81206,10.15928,8.00266,1.44559,8.86124,30.52081,16.92111,11.69152,5.31075,6.17143,1.92471,21.10351,11.56542,21.22486,4.62449,2.19101,3.86521,12.63086,7.11354,3.18861,14.85939,73.67399,2.69054,0.0,25.93212,0.0,51.5346,17.48838,2.08006,31.74777,13.60759,18.7416,1.95135,22.98794,0.0,4.60647,3.20736,4.31901,0.0,23.78146,6.29433,3.64824,3.76281,3.98366,4.88783,13.72868,2.18331,6.05825,15.55902,21.89818,0.0,0.0,20.98482,9.31214,6.2758,34.543,7.00577,5.32306,7.34425,4.92066,1.96959,0.0,0.0,0.0,7.26391,0.0,25.78968,0.0,0.0,16.95549,21.4801,0.06761,8.76301,12.45299,0.0,0.0,29.72197,4.30979,0.0,125.88262,0.0,0.0,65.2714,27.6432,0.0,0.0,0.0,82.17959,0.0,0.0,21.34824,0.0,0.0,0.0,7.38483,3.1725,4.10343,3.53457,34.10864,23.16584,2.01961,4.16524,2.55328,17.42376,35.52763,9.00618,0.0,0.0,5.46645,0.0,0.0,25.55644
-2.75,20.15591,10.33138,11.03457,7.37495,24.40616,0.0,19.80031,43.00539,16.35055,31.93789,26.79107,50.84597,6.21385,13.21564,88.7983,0.0,76.66986,25.90051,25.38234,0.0,128.78088,56.49891,44.79116,0.0,0.0,29.7372,3.86511,24.51137,235.74215,0.0,0.0,0.0,34.29908,7.50667,2.94901,15.79156,52.6501,2.94532,10.83457,10.07805,12.81878,4.49992,6.32033,1.82041,3.30873,7.39648,4.75699,4.62798,22.11462,38.49335,0.05213,4.34783,17.10639,24.74749,20.75568,14.11063,9.72618,0.0,9.67286,12.0727,10.33463,31.08478,0.0,2.02621,71.20325,56.01904,8.70852,0.0,7.44872,13.52707,26.96515,25.91748,14.92618,0.63096,4.67391,21.50987,8.03979,7.68932,0.0,17.45079,43.82812,0.0,8.1856,24.25679,5.53796,59.54225,6.53788,0.0,14.73246,22.1424,1.53532,48.97422,2.80114,0.5779,0.0,0.0,0.0,8.42434,37.2619,6.09547,2.83854,22.45731,31.57592,0.0,0.0,14.63532,26.65237,10.42253,13.74078,0.0,82.65985,15.25426,0.0,11.98285,22.98988,14.96567,8.30678,64.43474,2.97079,85.69431,10.35733,5.79969,21.6198,6.99614,17.94087,41.0448,32.81239,11.14101,6.29888,1.79178,8.10035,30.64107,18.10068,12.22991,5.17927,5.66243,2.5296,19.07704,13.67486,22.21854,6.19474,2.23656,4.09651,13.23949,7.11354,2.61711,12.61712,74.83477,5.47125,0.0,26.90694,7.20913,36.65782,15.39646,6.74055,24.336,12.84082,18.19757,27.49278,18.49383,7.13159,5.06911,4.85618,9.78389,19.20795,20.32834,13.04764,3.34206,3.34957,3.57541,8.3121,11.33489,2.22445,9.99728,15.62339,21.89818,0.0,0.0,21.336,6.98412,6.08364,24.87317,7.00577,2.66158,6.80054,3.57239,1.96959,15.00577,0.0,51.98415,7.70938,0.0,15.50696,0.0,0.0,21.63564,21.98848,3.06499,8.65449,13.28611,26.79324,0.0,23.10979,4.30979,0.0,125.88262,0.0,0.0,65.2714,16.63679,0.0,0.0,0.0,82.17959,0.01555,0.0,19.63348,0.0,0.0,0.0,7.91874,3.1725,4.10343,3.53457,34.10864,23.16584,2.05108,7.6208,3.24748,19.51554,30.88469,8.13095,0.0,0.0,5.71782,0.0,14.59771,25.55645
