,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,3.66479,3.90176,13.54256,4.80811,3.98044,1.09615,0.0,3.36214,1.58876,0.0,44.68644,4.35326,0.0,5.68382,1.4433,10.22416,0.0,13.13931,18.7484,4.11364,0.0,0.0,23.34249,0.0,3.48867,10.31929,2.51918,1.15932,0.0,0.0,0.6111,1.15883,16.35283,35.63914,14.09415,3.29452,5.47051,7.94303,2.81384,2.93428,0.0,0.0,16.50483,4.07145,2.66217,8.49413,1.01691,4.71,1.1499,0.0,1.11757,4.78416,1.17606,0.14037,2.72926,12.40677,2.36192,1.79336,0.0,5.87775,3.05981,9.1109,1.36784,19.32873,5.93637,0.0,0.0,1.57477,1.89529,8.08698,0.0,6.399,0.0,6.89525,0.82588,0.0,1.49531,5.87775,5.87064,3.9417,0.484,0.0,27.85331,23.7267,4.99443,3.68725,1.56655,5.45891,131.58327,5.47836,0.81276,0.0,0.0,0.87196,0.0,4.50093,0.0,11.91291,19.26849,0.0,19.12099,0.0,295.92049,3.97592,0.0,0.0,0.0,0.0,28.26525,5.52743,0.0,0.0,4.63966,0.0,7.83392,2.65606,3.74074,3.46094,9.31809,7.39844,4.0565,0.0,1.627,1.20842,1.33691,0.46674,7.34484,0.0,5.81929,3.59401,35.66485,0.0,4.8878,28.32096,4.12692,29.31716,1.07584,4.63951,5.80794,25.84235,36.70834,43.32721,0.0,26.42992,5.69225,0.76659,19.20182,1.6157,0.0,5.85245,3.05917,4.1458,25.11139,26.60253,15.88377,9.42112,21.36835,10.29477,1.63161,5.98402,3.7595,15.0074,11.38573,0.29997,0.0,3.16544,3.68924,18.01587,12.84151,14.16029,9.43081,5.70646,4.48975,1.97259,10.66984,7.21148,4.59682,2.24224,32.98369,1.69711,4.23285,25.46826,15.32732,4.76696,7.82395,3.27348,6.93308,0.0,18.29565,8.09257,7.09921,8.38456,8.07206,0.0,12.43868,14.70634,46.1086,1.94005,7.30282,14.09701,1.37343,9.64533,12.00938,0.0,0.0,17.01066,20.5579,0.0,16.71455,0.0,34.79891,0.0,0.0,0.0,0.27052,0.0,38.24594,19.4068,0.12142,2.18928,7.96869,16.69311,2.25002,0.0,3.37025,0.75022,0.25435,7.60627,8.41107,8.7025,1.91092,13.18909,6.8094,6.68963,0.0,8.47194,5.81621,10.64711
-4.75,3.6648,2.13223,13.54681,4.22579,3.98044,1.09615,0.0,3.0409,11.60431,0.0,44.69602,4.35326,0.0,5.68382,1.39496,10.22416,0.0,13.13931,12.67629,4.11364,49.17339,0.0,23.34249,4.41992,3.60502,10.31929,2.51918,22.99887,0.0,0.0,0.6111,1.1205,17.54401,35.68905,14.09415,3.29459,7.06147,12.13256,2.25912,3.55914,0.0,28.45723,16.53046,4.68253,2.66217,9.06312,1.01691,6.30331,0.91187,0.0,1.11757,16.67447,1.17606,0.14037,2.72926,12.40678,2.59196,1.86795,0.0,6.13042,3.05981,9.0613,1.27415,19.32873,5.93639,0.0,0.0,4.10551,1.89529,7.35993,21.15356,6.46416,0.0,7.30504,2.37085,7.62199,1.50734,9.92437,6.0627,3.9417,0.484,2.64321,20.68264,27.84198,4.99443,3.68725,1.52772,5.45891,154.35576,5.47836,0.81276,0.0,0.0,0.87196,7.86857,4.53317,0.0,11.91291,19.88356,28.98398,12.60928,0.0,295.92049,4.1262,0.0,0.0,0.0,0.0,28.26525,5.52743,0.0,0.0,3.12746,0.0,6.32095,2.65607,1.99755,3.46094,10.71533,5.74415,2.96545,0.0,2.68408,1.04548,1.33691,0.75971,5.75454,0.0,6.46504,3.23431,36.76644,0.0,8.36277,29.06608,4.12692,24.57479,1.57092,4.63951,5.80794,27.43729,36.70842,43.72413,0.0,26.42992,5.72119,0.76659,21.86433,1.6157,0.0,5.25371,3.05918,4.1458,25.11139,24.85474,15.8838,9.46179,16.56493,10.29478,1.67474,6.01266,3.18182,15.0074,11.38573,0.29997,0.92854,2.56859,3.93724,16.96738,12.93514,14.16328,9.62937,5.70646,4.48975,1.97259,10.66984,4.85754,4.64384,3.05907,23.97904,1.72894,4.25769,22.63507,15.82222,3.93284,8.10838,3.64876,6.94075,0.18216,18.62841,8.24538,7.19112,5.81809,7.09646,0.0,11.36145,16.82549,46.18592,1.94007,6.98668,14.23762,1.37344,9.64533,12.92261,0.0,0.0,17.60753,70.86014,0.0,14.16823,0.0,34.79891,0.0,1.30473,1.23998,4.75933,0.66521,38.24594,19.61687,0.12142,2.18928,7.96869,16.69311,2.25002,0.0,3.43378,0.75022,0.42092,7.87984,8.55341,8.7025,2.032,13.22288,6.80947,6.68963,0.0,6.40734,5.81621,10.78289
-4.5,3.6648,5.38656,11.36457,3.84804,3.98045,1.09615,0.0,3.04793,11.62772,0.0,44.69602,5.81181,0.0,5.68382,1.39496,20.36173,17.13902,15.31023,8.45789,4.11364,26.27314,0.0,23.34249,4.67655,3.60502,10.41453,2.51918,15.5959,0.0,0.0,0.6111,1.1205,18.49087,38.17509,14.09417,3.24406,6.7459,12.43193,2.2786,2.94828,0.0,30.50477,16.56209,5.02288,2.34591,9.43399,1.2031,6.72108,0.93433,0.71454,12.67227,16.78777,1.17606,0.14037,1.61259,16.73425,4.05345,2.62125,0.0,6.35942,3.99506,27.22853,1.29898,10.61928,6.06336,0.0,2.76537,6.34699,1.89529,7.38383,24.96363,6.5185,0.0,6.62727,4.25821,5.26396,2.29608,8.53416,6.0627,3.98105,3.15548,6.62272,20.15141,28.3169,4.29234,3.68725,1.52253,4.49559,154.35576,4.56041,0.76221,1.57397,0.0,0.91095,7.86857,4.53317,0.71731,9.27165,19.88873,28.98416,10.76159,29.63066,148.22664,4.1262,0.0,0.0,0.0,0.0,28.26525,2.77421,0.0,0.0,3.16259,0.0,6.32095,2.65607,1.99755,3.46095,10.76664,5.33485,2.96545,0.0,2.68408,1.89825,6.14017,3.67641,5.57196,0.0,6.83802,3.25239,38.39757,0.0,10.59311,34.87171,4.12692,18.73128,1.60785,6.0247,5.80794,27.47652,36.70853,43.72415,10.76956,17.3386,5.18402,0.76659,21.86433,3.59911,8.74015,5.41085,3.15592,4.22808,25.11139,26.45755,13.0472,9.46179,16.82533,9.12552,4.04131,6.37265,3.22541,15.0074,10.80733,7.38121,0.92854,2.363,4.0599,14.9851,5.46819,14.76933,7.36476,5.9775,5.64098,1.55414,10.66984,4.27503,4.64384,3.07706,30.69102,1.43997,4.55648,23.33315,18.18702,4.20076,8.65162,3.77024,8.44597,0.75993,21.75954,7.81188,7.19112,5.81809,7.11523,0.0,10.59215,26.75871,48.11358,1.94007,7.00861,14.23762,6.8657,17.70415,12.98499,0.0,0.0,11.79369,70.94536,0.0,12.85434,6.84889,34.79891,12.83211,1.30473,1.39295,4.75933,13.47078,38.24594,19.62935,0.12142,2.18928,7.96869,17.54817,2.25002,0.0,2.37387,0.81812,9.79724,8.08929,12.70126,8.75198,2.10764,18.58145,5.04157,5.75226,9.83567,6.40734,3.01302,7.40692
-4.25,5.85867,5.40443,14.42926,3.63773,3.98045,1.09615,0.0,3.04793,11.62772,0.0,44.69602,5.87185,1.51881,10.56105,1.39496,19.78415,17.3704,13.14921,8.45789,4.11364,24.68066,0.0,23.59665,4.67655,3.60502,10.41453,2.33429,11.7216,0.0,0.0,0.6111,7.96376,19.09171,38.17514,14.09417,4.01909,6.24647,22.31339,2.75463,2.97515,9.46533,34.50499,11.64056,4.72232,2.85368,9.66668,1.25717,6.72108,3.01628,6.50783,12.67228,16.78777,1.17606,2.61374,1.11031,14.72137,3.54083,2.68878,52.34527,5.08391,3.99506,22.85566,1.30027,10.61928,5.19667,0.0,1.85789,6.96408,1.89529,7.79592,24.96363,6.23707,0.0,7.2118,3.70431,3.82076,3.13623,10.61205,7.38741,4.55391,2.25319,5.27178,16.48568,29.19176,5.58804,9.79869,1.55833,4.49559,154.35576,5.48468,0.76224,3.09619,0.0,0.94078,7.86857,4.53317,39.4455,9.65666,20.0362,28.98416,11.23029,17.63269,148.22664,4.12862,0.0,0.0,0.0,0.28221,28.26525,2.77421,0.0,0.0,2.37202,15.19731,6.41075,2.65608,1.99755,6.29596,10.81651,4.93888,2.99143,0.0,2.42379,1.9238,3.60172,9.75162,5.76465,0.0,5.43012,2.68629,38.94534,0.0,11.67689,34.87171,4.12692,15.26932,2.03904,6.02472,5.22356,27.82737,36.7087,43.72416,12.65108,17.3386,5.20599,0.80407,21.86433,3.12299,8.8694,5.56048,2.8133,3.56406,25.78769,34.39566,13.06256,20.40924,21.3508,9.59221,3.49299,6.62542,2.99778,16.08715,9.39303,6.21473,0.63845,2.417,4.13543,12.86443,5.62117,12.33142,7.24698,5.9775,5.64098,1.99293,15.67299,4.40023,3.92448,11.62658,23.1311,1.43997,4.55648,23.45348,18.38864,4.22686,7.41207,3.243,8.44597,0.75993,22.31975,7.81188,6.58169,5.83167,5.86114,4.75038,8.88085,27.39891,48.44218,2.08681,7.72001,10.17258,6.8657,17.70415,12.98499,95.62072,0.0,12.286,57.14927,0.0,12.85434,6.84889,27.00159,12.83212,1.30473,1.39295,21.95955,13.47079,26.79519,19.62935,0.12142,2.18929,19.01778,9.73575,2.25006,1.60063,3.47665,0.81812,9.82735,31.36597,12.84193,5.62106,2.15965,18.58145,4.8512,6.08641,9.94904,6.40734,3.01302,7.0838
-4.0,5.87896,4.71784,14.45205,5.12347,3.98045,1.09615,0.0,2.76188,11.67745,0.0,29.92693,5.1302,1.06675,7.97357,1.07434,20.01352,20.05023,13.67844,9.01197,4.11364,25.56005,0.0,23.59665,3.75418,26.07773,10.41453,2.28446,12.73174,0.0,0.0,0.6111,6.45167,19.09171,38.59161,14.0942,4.07645,6.38508,22.41289,2.42796,2.81378,10.42875,34.90534,11.64059,4.99273,3.38545,9.84905,1.32347,3.84859,2.84989,8.51894,10.3948,14.06662,3.72377,6.10442,1.11032,13.02134,3.51394,3.74369,52.34527,4.64777,4.04649,20.54716,1.30027,10.61928,4.48948,0.0,2.47143,8.66937,1.97754,6.87526,18.31108,4.71194,0.0,8.58425,9.59943,12.14621,4.78364,16.06993,6.58442,4.11199,9.23693,5.30053,16.54585,29.63984,9.41206,13.56234,1.40577,9.84675,154.35576,7.73213,0.76224,6.93991,0.38151,0.94079,17.15698,4.53317,39.5547,9.07783,20.30021,25.01236,10.44639,17.6327,148.22664,4.2721,0.0,0.0,6.36931,48.87493,28.26525,14.37837,37.95871,0.15793,7.3084,15.19731,6.23534,9.33887,10.09462,5.26419,8.59914,4.93448,2.99143,0.0,5.39741,1.56983,3.24017,8.82882,7.03178,6.72597,5.51301,2.87886,39.20415,0.0,14.93326,78.08578,3.9266,15.66468,2.75224,4.97945,5.48075,35.11244,32.74139,43.72418,13.01746,12.67997,6.01459,2.3802,28.68198,2.36845,12.40433,8.45178,2.85081,3.56406,25.78769,32.25267,13.06265,18.16512,21.72591,7.17876,3.2749,6.62543,3.56115,11.68763,8.10159,9.05694,0.63845,2.50379,3.54404,13.05373,6.29707,12.26677,7.24698,5.9775,4.99519,1.76027,18.84883,4.40023,4.82194,9.46178,18.39796,1.29979,6.81271,24.67191,14.413,3.56211,6.72124,3.00557,6.98367,0.75993,22.45966,5.46791,6.61416,5.30208,7.91216,13.83676,9.33924,29.02881,54.09919,2.37236,11.21876,10.19872,5.97767,17.70415,13.14369,95.62072,25.56469,12.50768,45.75593,0.0,14.44638,3.47351,27.00159,14.1018,1.30473,2.79305,21.95955,27.77489,26.79519,18.40063,1.03632,2.18929,32.76807,9.83694,1.80253,12.52469,3.47665,5.03622,9.82735,31.53165,10.88633,5.17127,2.51001,18.78015,4.64533,6.08641,6.71396,6.26423,3.05148,6.71279
-3.75,8.30597,8.3031,12.89174,4.29202,6.99105,1.09615,0.07271,2.56994,8.24434,0.0,46.95072,6.81138,12.74756,7.97357,1.19429,15.86156,20.07312,12.26335,9.01197,4.11364,25.56005,0.0,23.59665,4.09784,22.87037,9.66418,2.51955,12.84223,0.0,0.0,0.6111,5.09486,19.31445,39.50166,14.0942,4.5159,6.46491,33.24601,2.85906,2.82683,27.34884,35.67002,16.10205,4.4061,3.04648,10.47973,1.7831,4.74189,4.58425,7.19323,10.26934,14.09524,13.69348,5.06957,1.26523,12.9277,3.12211,3.85459,22.87416,3.76016,4.11407,18.54489,1.40963,10.61928,3.96816,0.0,12.97498,7.64495,3.93165,6.33479,9.96388,4.63817,13.89987,8.69443,9.42312,15.09215,4.79298,15.85879,7.27876,3.11725,7.70455,5.31408,13.91374,25.64302,9.17092,13.41082,1.43749,9.88794,154.35577,7.64925,0.76224,5.418,0.42281,0.5497,17.15698,4.53318,16.24868,8.52924,20.37425,25.38059,10.14594,20.86991,148.22664,4.2721,4.64343,0.0,76.69402,48.87493,28.32232,14.75545,39.41619,0.15793,7.54749,15.19731,6.25349,9.33887,8.91643,3.64634,7.98292,4.31257,1.95357,0.0,5.70654,1.56984,3.77188,9.24676,5.93441,20.05883,6.68862,5.0339,42.41596,15.90654,14.6547,83.29845,3.74357,13.77601,3.19693,5.03047,6.54157,38.46178,34.67935,27.00168,14.21079,12.0854,6.33462,3.05561,20.14594,12.15091,24.77457,8.64142,3.35966,4.40335,25.9295,34.69436,10.12633,15.04352,22.03017,7.93738,2.83792,5.62627,3.29966,10.01468,6.93053,9.09785,4.22035,2.57076,3.60336,12.37664,6.24199,11.20602,7.25747,5.91914,6.96399,2.81017,18.84883,4.72323,4.83274,7.34731,19.49098,1.69707,6.23701,24.94713,16.30115,5.23677,6.31478,2.53773,6.98575,5.87946,13.93045,5.53954,6.98665,5.40623,7.50546,31.23853,8.61705,29.37844,54.45283,2.18548,11.34601,8.5916,5.97767,17.71277,25.36512,108.58389,25.56469,14.65468,45.75593,0.0,14.44638,15.02542,50.129,66.14136,1.30473,2.20037,50.39322,25.42803,20.11668,16.47749,10.6219,2.18929,32.76807,10.88148,3.68288,12.5514,3.47665,5.14471,9.63093,28.46349,11.37185,4.47356,3.18854,18.78015,14.974,6.08087,5.50253,4.95486,3.10254,6.76032
-3.5,6.22741,11.95395,11.57546,3.80271,65.40417,7.52387,2.38912,8.62203,8.26875,0.0,46.99276,10.8711,12.97246,6.89309,1.0152,16.27641,34.47086,12.9333,9.01197,2.49629,22.16545,0.0,23.59666,6.28872,18.55371,11.10068,2.98771,15.73358,0.0,2.78751,0.6111,7.7431,19.52219,39.78989,22.27923,4.31962,5.87013,34.80735,2.53296,2.42481,29.23907,35.95813,14.70105,5.06105,4.84466,10.85456,1.77557,4.84797,7.8119,8.68224,16.91465,13.38957,11.90578,9.82008,2.28017,13.32496,3.39368,3.80158,19.74357,5.42106,4.14907,17.0511,1.29056,6.78438,3.83052,0.42735,11.02107,7.2457,3.3313,6.04603,8.39727,5.32591,38.79466,8.25561,9.55508,17.98956,5.60012,13.65546,7.4038,3.46358,28.77544,5.3141,12.32552,25.94657,7.80839,13.87227,10.97659,9.05187,154.35577,7.66491,0.76224,8.78033,0.42294,0.5497,30.80853,9.29237,11.80896,9.47802,20.5669,25.65256,9.80064,15.49998,98.89652,4.2721,5.78471,0.0,51.93335,107.66631,24.85189,11.98963,28.25377,4.39097,7.60401,9.04807,6.2801,9.33888,8.92657,8.27709,6.78808,3.80494,1.95357,0.0,7.75108,1.56985,5.33719,8.4902,6.22134,22.23895,7.63887,5.08891,44.53079,15.90654,33.3776,83.29845,3.96579,14.92216,3.24672,3.44756,5.31353,38.72884,35.66457,27.13216,16.74762,12.08549,6.36608,10.34383,22.20434,12.23941,24.89957,13.00633,3.59836,4.57176,29.23599,35.7743,9.98303,15.55576,24.61158,12.19781,3.21207,4.97908,3.01464,7.31913,10.87331,9.8252,4.42516,2.81336,3.81643,12.47907,6.65987,10.75525,6.6344,5.7143,6.99524,3.58848,15.54803,5.47544,7.33198,10.56075,17.70139,4.30017,5.53357,26.83926,14.84729,4.99682,5.16208,3.06617,5.52001,4.02776,13.93313,5.18122,5.87216,4.93705,8.31968,25.1995,9.69281,26.87567,55.03294,2.0072,11.37345,8.59161,5.99211,17.77985,32.25646,81.23201,14.74955,11.86001,38.23577,0.0,14.4583,17.63946,35.49217,77.44329,8.8134,2.53087,57.0037,22.97395,13.44774,16.64587,13.85997,1.5406,17.43238,10.89319,3.94799,12.57504,3.47665,13.30867,9.9417,20.19142,11.57685,4.07385,3.45483,18.78015,14.60417,5.39349,4.63489,4.62542,2.29879,5.76981
-3.25,6.95311,11.50248,17.99814,3.14218,56.36688,5.71623,1.85099,9.52089,8.26875,131.4746,47.16313,11.34321,23.6297,21.72338,3.28065,15.20652,34.59276,12.9333,9.074,8.65258,19.79062,659.05017,24.27981,6.90742,16.91634,22.78701,3.37762,27.77734,86.59026,1.53507,18.44335,7.64245,19.69113,40.38688,16.59742,4.01025,5.24354,35.03568,2.36007,2.24281,41.85466,36.26497,14.88654,4.17934,5.34694,15.47955,3.08804,4.27763,6.70043,8.404,16.58103,13.38957,11.4582,13.29411,2.29701,12.29569,3.21537,4.63984,15.99248,4.15916,3.70573,14.59209,2.47792,20.64867,3.57771,0.31894,8.505,6.18312,8.09174,5.55442,8.04702,5.87713,45.28378,8.44846,10.31843,15.85656,5.22019,19.36675,6.82406,3.05785,25.43488,7.69313,10.30595,23.28799,9.5271,13.45049,9.63585,9.61834,96.47728,6.33097,1.74104,11.52278,0.4392,0.5497,27.66592,9.31749,10.37876,8.03501,20.5669,24.87798,9.85073,11.75766,87.97226,4.91564,7.67189,0.0,52.22466,86.64946,27.22964,10.51243,28.7688,34.90389,39.60978,9.05375,6.49056,15.15581,6.73626,7.46973,6.91824,4.48262,2.12609,17.8935,11.82074,1.37967,4.63873,7.99534,5.19531,16.20706,13.0643,4.66873,45.51481,16.49104,33.69834,43.21476,4.53453,15.01893,3.33338,4.58185,5.74225,27.22669,37.05894,19.48125,15.75318,10.67968,6.32211,9.44744,18.58578,12.20721,18.20472,10.88904,3.95507,3.70648,29.23599,35.2899,10.15275,13.11135,25.68794,14.3803,3.13805,5.0023,3.17234,6.72074,10.10359,15.08342,4.8498,19.26947,5.53449,13.19246,5.76914,10.80556,6.97081,5.11981,10.16878,3.09857,14.27988,5.67329,8.32332,11.4498,21.42863,5.47668,5.68803,26.83935,14.78798,4.94875,4.22425,3.06617,6.3656,3.35212,15.07976,5.09918,5.88865,5.8126,7.19136,25.33497,9.20256,28.26576,55.12672,1.76195,10.89836,8.0076,13.57064,16.83688,25.98236,81.48066,11.12854,11.86001,40.82868,0.0,14.54878,15.11205,32.70716,58.08499,8.8134,16.27928,57.0037,23.03345,16.5203,16.8113,11.27163,1.5406,15.3851,10.8932,4.69502,71.08051,4.92021,12.62211,11.20142,21.04153,11.57688,3.63394,3.05631,14.44156,12.40828,25.48044,5.44344,4.73071,2.29879,4.83951
-3.0,7.95645,10.15832,16.41615,3.82748,56.42523,10.25557,9.12932,9.65771,13.76071,131.4746,48.14719,15.69022,20.08096,19.27775,5.14143,12.90892,38.97777,13.9567,7.37924,8.65258,19.03563,664.88809,12.37411,5.77423,16.94519,20.0577,3.37762,30.21265,86.59026,13.16736,18.00617,7.51727,19.77706,25.21138,16.73526,3.81643,5.56158,37.23702,2.71338,3.08661,42.18041,37.44733,15.45093,3.98026,5.59521,13.87089,4.71932,6.25542,5.60648,6.74363,21.20995,9.78572,11.86705,11.29709,8.96353,13.68753,3.75452,4.64717,12.27633,4.35935,6.75843,11.41036,6.94606,25.88003,5.07935,10.46896,12.13953,12.25329,4.64121,4.82661,6.18752,6.30771,46.91119,7.3672,10.37553,16.09387,5.59425,16.68478,8.39726,4.96873,25.44123,7.38233,10.6223,24.14359,9.77901,12.30822,11.00545,8.98054,46.68921,6.41788,1.17658,10.47103,2.37739,10.6038,42.57104,7.11625,10.97805,7.67666,20.89036,27.56112,9.18973,8.16485,55.23878,15.76842,9.69577,0.0,45.0057,86.64946,27.81191,15.18691,25.39392,34.9533,41.02085,14.63423,5.30308,15.19514,6.56442,4.99765,6.2207,4.46859,2.20949,21.22898,10.23851,1.47873,3.6002,12.80228,4.4242,16.90719,11.51262,4.3355,35.44309,16.49104,35.02022,25.65799,4.02791,13.35721,3.42962,5.03806,5.14684,24.57161,30.85285,21.82019,18.33372,9.79034,6.06862,8.68624,20.93267,11.87395,21.21509,8.86572,4.37806,4.7686,29.53313,35.71332,10.58304,11.31533,23.93447,17.12646,3.07119,4.49869,3.01737,6.26366,8.84057,12.11726,4.41395,17.08936,5.55397,15.23294,6.64326,8.90401,6.45609,4.72358,8.39586,4.09939,12.56061,6.53238,8.74633,10.22953,15.88558,8.48594,5.27295,17.05976,13.4052,8.75839,4.15064,3.24137,6.46596,4.33664,15.21864,9.04281,5.88866,8.65779,7.27042,25.45868,9.15508,26.66629,43.46287,2.17767,12.28408,8.19603,12.62824,14.49498,24.67299,63.75317,16.78273,9.94669,44.03216,0.0,14.88955,23.85628,28.10396,51.0673,89.43374,15.12462,57.0037,23.89578,16.35619,16.99732,10.7574,1.77516,16.2925,12.79757,9.9275,48.80883,6.55046,15.1551,12.85749,22.80558,13.18673,4.24869,3.36241,12.73292,12.10224,17.29991,8.42648,5.88185,1.92812,4.49355
-2.75,7.5446,10.01971,18.55297,4.09996,56.42523,14.39784,8.9907,9.66537,23.83544,131.4746,41.97712,12.61601,19.08058,16.55663,5.14143,15.48145,35.73337,18.87005,6.32264,46.60038,18.67089,677.79544,18.25948,5.22095,18.12273,18.41869,2.53138,24.28884,183.23019,13.16736,29.19111,7.58966,13.28067,25.34053,11.12736,3.77798,5.47389,32.73255,2.71775,2.73549,32.01865,26.81448,16.30361,3.66349,5.15319,13.34091,5.16914,5.41512,5.27453,6.54245,16.36902,9.98959,10.89995,13.59588,9.09615,13.03901,4.4413,4.68382,13.71338,4.30741,8.60608,10.98029,11.62304,21.82502,5.11746,64.29302,12.3852,12.86572,4.11259,4.45785,7.42831,8.58729,48.09094,7.13431,10.50851,14.78437,6.13308,15.63643,6.3491,13.03153,18.2293,6.8899,12.10354,21.52013,7.76665,14.52707,10.74157,8.33812,35.48626,6.86659,7.63877,12.38099,39.81737,22.54861,28.48444,8.54493,12.93066,10.65803,14.25877,29.48409,8.57701,6.64999,48.53372,14.78728,11.18414,41.55394,41.14336,87.04124,26.38111,15.49848,28.01444,33.07501,45.39328,16.11289,6.41304,10.38044,6.10911,4.49101,5.87847,4.68904,2.80131,16.36597,15.37032,6.52165,4.17864,22.12795,4.56597,15.81953,10.07346,4.31177,20.19627,16.52828,28.74641,22.19701,4.40917,8.862,3.08175,4.7354,5.24341,23.9296,32.66581,17.34435,18.4892,8.47674,5.79056,7.54198,15.76651,13.81187,27.2451,8.27897,4.23745,4.63864,19.85057,37.73267,10.1488,10.07314,27.82847,15.29787,3.32275,5.25496,3.57503,6.41559,9.12069,11.52524,4.53014,15.32394,5.64072,15.09966,6.99643,7.02946,6.1215,4.24227,11.94283,3.63735,10.71982,4.97271,7.42034,9.59445,14.03567,9.65091,5.55177,14.25318,14.15854,8.83947,4.25764,3.10281,8.03368,3.78926,15.31824,10.58378,5.93865,8.79986,6.72939,25.37998,8.59314,25.89454,35.64444,3.29202,10.37285,7.58152,10.33264,11.34639,22.31256,62.41262,17.60043,22.99689,32.85573,16.92221,13.384,20.13536,29.7816,42.88643,43.18888,11.66143,57.0037,18.64127,18.5494,20.99486,15.71496,1.77782,14.04932,14.07798,9.26309,43.94176,14.02645,13.15528,12.43524,23.08276,13.23627,3.86985,2.99496,13.36999,11.62708,22.1419,10.78124,5.34289,16.5156,4.29635
