,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.05463,0.07349,0.06173,0.04927,0.08498,0.06714,0.0,0.08127,0.05839,0.0,0.05153,0.04391,0.0,0.04736,0.058,0.06796,0.0,0.04996,0.03634,0.04263,0.0,0.0,0.03209,0.0,0.07726,0.0397,0.05608,0.03899,0.0,0.0,0.07869,0.08149,0.28488,0.28265,0.16989,0.08531,0.10919,0.38883,0.05681,0.07704,0.0,0.0,0.25235,0.08031,0.06074,0.18588,0.07658,0.05457,0.04616,0.0,0.04666,0.05288,0.04734,0.04333,0.04714,0.24235,0.09461,0.06762,0.0,0.09404,0.06608,0.04511,0.0716,0.07727,0.03874,0.0,0.0,0.03781,0.05695,0.07774,0.0,0.0809,0.0,0.12038,0.05231,0.0,0.05232,0.06352,0.06118,0.05716,0.04492,0.0,0.03945,0.16398,0.05577,0.06612,0.0601,0.06628,0.04258,0.06125,0.06186,0.0,0.0,0.05909,0.0,0.04926,0.0,0.09014,0.09376,0.0,0.10632,0.0,0.05375,0.04948,0.0,0.0,0.0,0.0,0.04934,0.0411,0.0,0.0,0.04533,0.0,0.07493,0.04755,0.05418,0.04167,0.08037,0.07169,0.07591,0.0,0.05944,0.08633,0.0579,0.07621,0.08712,0.0,0.14276,0.11616,0.47884,0.0,1.11701,0.27306,0.09576,0.10854,0.10162,0.06875,0.0649,0.51016,0.35964,0.28688,0.0,0.16893,0.05289,0.04744,0.04816,0.07623,0.0,0.07657,0.07565,0.06555,0.07102,0.43339,0.10945,0.06771,0.61181,0.37424,0.06819,0.07315,0.10174,0.04408,0.05588,0.05542,0.0,0.0712,0.10144,0.16779,0.09367,0.11231,0.05237,0.07351,0.09993,0.04954,0.03971,0.05211,0.04218,0.04568,0.08546,0.06135,0.06108,0.18988,0.13786,0.08816,0.07604,0.05684,0.04667,0.0,0.14038,0.04412,0.06558,0.04953,0.04013,0.0,0.05392,0.36766,0.33241,0.05624,0.08204,0.09038,0.04681,0.04489,0.0499,0.0,0.0,0.0503,0.04038,0.0,0.05504,0.0,0.06682,0.0,0.0,0.0,0.04652,0.0,0.06749,0.05742,0.0611,0.05576,0.03727,0.05185,0.05999,0.0,0.04025,0.06194,0.07153,0.27662,0.10406,0.04235,0.0691,0.09062,0.10212,0.0666,0.0,0.05292,0.04485,0.12575
-4.75,0.05463,0.07338,0.061,0.04659,0.08498,0.05184,0.0,0.06953,0.05502,0.0,0.05023,0.04391,0.0,0.04736,0.05335,0.06478,0.0,0.04996,0.03748,0.04263,0.03538,0.0,0.03209,0.03865,0.07666,0.0397,0.05293,0.03675,0.0,0.0,0.07869,0.06033,0.2654,0.27875,0.16624,0.08424,0.10391,0.36554,0.05776,0.07389,0.0,0.37709,0.25235,0.07367,0.06074,0.17203,0.07658,0.05193,0.04544,0.0,0.04666,0.04717,0.04734,0.04333,0.04714,0.23961,0.09236,0.06509,0.0,0.09301,0.06608,0.04329,0.07404,0.07727,0.0383,0.0,0.0,0.03697,0.05695,0.07604,0.04757,0.07853,0.0,0.11698,0.05158,0.05466,0.05208,0.06018,0.05722,0.05716,0.04492,0.03801,0.0373,0.15336,0.05487,0.06612,0.05683,0.06628,0.04115,0.06125,0.06186,0.0,0.0,0.05909,0.03863,0.04926,0.0,0.09014,0.09067,0.24958,0.10201,0.0,0.05375,0.0462,0.0,0.0,0.0,0.0,0.04934,0.0411,0.0,0.0,0.04158,0.0,0.07226,0.04523,0.04958,0.03909,0.07682,0.06622,0.06598,0.0,0.04997,0.07758,0.0579,0.06916,0.08606,0.0,0.13637,0.10599,0.45425,0.0,1.0859,0.24959,0.09576,0.10414,0.09144,0.06646,0.06487,0.48011,0.34319,0.26447,0.0,0.16893,0.05056,0.04744,0.04397,0.07623,0.0,0.0708,0.07531,0.06323,0.07102,0.41136,0.10549,0.067,0.55008,0.35979,0.06536,0.06953,0.08957,0.04408,0.05499,0.05542,0.04021,0.06507,0.09855,0.16057,0.09059,0.10747,0.05007,0.07351,0.09957,0.04954,0.03869,0.04919,0.04195,0.04222,0.07141,0.0577,0.05611,0.17713,0.12921,0.0916,0.07557,0.05605,0.04577,0.03554,0.14038,0.04371,0.06498,0.04795,0.0391,0.0,0.05226,0.34834,0.31931,0.05509,0.07978,0.08828,0.04629,0.04489,0.04645,0.0,0.0,0.04858,0.03824,0.0,0.04665,0.0,0.06682,0.0,0.06354,0.04461,0.04405,0.04137,0.06987,0.05562,0.0611,0.05576,0.03727,0.05185,0.05792,0.0,0.03776,0.06194,0.06516,0.26677,0.09555,0.04235,0.0642,0.08838,0.10137,0.0666,0.0,0.04942,0.04485,0.1198
-4.5,0.05463,0.06783,0.06736,0.04545,0.08357,0.05184,0.0,0.06562,0.05392,0.0,0.04898,0.04221,0.0,0.04736,0.05335,0.06075,0.05317,0.04438,0.03646,0.04263,0.03722,0.0,0.03209,0.03701,0.07578,0.03474,0.05293,0.03582,0.0,0.0,0.07869,0.06028,0.25147,0.22652,0.15074,0.07623,0.09976,0.34698,0.05228,0.06934,0.0,0.36271,0.24392,0.07149,0.06465,0.1657,0.06889,0.05173,0.04357,0.04812,0.04082,0.04682,0.04734,0.04333,0.05624,0.21575,0.08272,0.06303,0.0,0.08575,0.0617,0.04153,0.07304,0.05878,0.03559,0.0,0.03927,0.03328,0.05695,0.07352,0.03783,0.07809,0.0,0.11193,0.04881,0.05306,0.0495,0.05973,0.05722,0.05453,0.04068,0.03705,0.03605,0.14107,0.05218,0.06612,0.05502,0.06192,0.04115,0.05582,0.05815,0.03879,0.0,0.05151,0.03863,0.04686,0.0396,0.08317,0.08787,0.2412,0.09549,0.08004,0.05133,0.04507,0.0,0.0,0.0,0.0,0.04934,0.03841,0.0,0.0,0.04126,0.0,0.07171,0.04365,0.04918,0.0381,0.07464,0.06351,0.06598,0.0,0.04912,0.07192,0.05918,0.06361,0.08319,0.0,0.13034,0.10591,0.43675,0.0,1.02298,0.22976,0.09576,0.10313,0.09144,0.06614,0.06361,0.47942,0.32329,0.25042,0.25259,0.1477,0.04902,0.04744,0.04397,0.06999,0.30254,0.06894,0.07294,0.06069,0.07102,0.39577,0.0982,0.06626,0.52968,0.31664,0.0615,0.0651,0.08862,0.04408,0.05174,0.05119,0.04021,0.06195,0.09702,0.15549,0.08553,0.09849,0.0484,0.07165,0.09662,0.04267,0.03869,0.0496,0.04164,0.04082,0.07023,0.05207,0.05553,0.17356,0.11926,0.0874,0.07237,0.05446,0.04506,0.03399,0.12746,0.04157,0.06498,0.04795,0.03856,0.0,0.05045,0.33087,0.29893,0.05509,0.0795,0.08828,0.04702,0.04364,0.04622,0.0,0.0,0.0464,0.03769,0.0,0.04484,0.0421,0.06682,0.04934,0.06354,0.03587,0.04405,0.03959,0.06987,0.05545,0.0611,0.05576,0.03727,0.04381,0.05693,0.0,0.0343,0.03924,0.06055,0.24252,0.08858,0.0413,0.05967,0.08008,0.09004,0.06039,0.043,0.04942,0.04525,0.10746
-4.25,0.0523,0.06742,0.06291,0.04365,0.08357,0.05184,0.0,0.06562,0.05392,0.0,0.04553,0.03886,0.03465,0.0475,0.05208,0.05841,0.05198,0.04378,0.03608,0.04263,0.036,0.0,0.02705,0.03701,0.07549,0.03474,0.04838,0.03579,0.0,0.0,0.07869,0.0515,0.24398,0.21762,0.15035,0.07092,0.09468,0.33075,0.04932,0.06827,0.23927,0.33903,0.21853,0.06703,0.05604,0.15795,0.06297,0.05173,0.04065,0.04941,0.04027,0.04643,0.04734,0.04584,0.04905,0.19416,0.07945,0.06149,0.0502,0.07452,0.0617,0.03844,0.07289,0.05878,0.03462,0.0,0.04129,0.03222,0.05695,0.07081,0.03783,0.07156,0.0,0.10493,0.04578,0.0518,0.04648,0.05737,0.05365,0.05018,0.03803,0.0364,0.03535,0.13017,0.04696,0.06164,0.05184,0.06192,0.03744,0.04929,0.05546,0.03631,0.0,0.04892,0.03863,0.04686,0.03859,0.07487,0.08351,0.2412,0.09039,0.06915,0.05133,0.0435,0.0,0.0,0.0,0.03582,0.04934,0.03841,0.0,0.0,0.03878,0.03194,0.06654,0.03956,0.04486,0.03444,0.07042,0.06035,0.06483,0.0,0.04662,0.07041,0.05506,0.05911,0.08061,0.0,0.12672,0.09038,0.43102,0.0,0.97474,0.22976,0.09576,0.10003,0.08563,0.06303,0.06127,0.44328,0.30682,0.24751,0.23574,0.1448,0.04869,0.04355,0.04397,0.06484,0.28864,0.06487,0.06708,0.05088,0.0646,0.36918,0.09198,0.05673,0.49204,0.31282,0.05622,0.06265,0.08491,0.04006,0.04913,0.04875,0.03902,0.05405,0.09382,0.14711,0.0843,0.09444,0.04624,0.07165,0.09662,0.04129,0.03781,0.04863,0.04072,0.03831,0.06334,0.05207,0.05553,0.16401,0.11699,0.0874,0.06902,0.05362,0.04506,0.03399,0.12162,0.03697,0.05967,0.04664,0.03462,0.04052,0.04717,0.31367,0.28519,0.05075,0.07589,0.07928,0.04702,0.04364,0.04372,0.04153,0.0,0.04411,0.03752,0.0,0.04421,0.0421,0.05395,0.04809,0.06354,0.03572,0.04203,0.03921,0.05159,0.05545,0.0611,0.05576,0.03167,0.04241,0.05631,0.07217,0.03247,0.03924,0.06025,0.22309,0.08858,0.03762,0.05731,0.08008,0.08688,0.05952,0.043,0.04651,0.04525,0.10173
-4.0,0.05182,0.0659,0.06246,0.04229,0.0823,0.05184,0.0,0.05755,0.04693,0.0,0.04492,0.03731,0.03415,0.04576,0.04782,0.0512,0.03911,0.04001,0.0343,0.04263,0.03464,0.0,0.02676,0.03348,0.06793,0.03474,0.04316,0.03488,0.0,0.0,0.07869,0.04776,0.24398,0.20247,0.13801,0.0679,0.09142,0.31116,0.04732,0.06546,0.22213,0.31949,0.21204,0.06424,0.04968,0.15293,0.05967,0.04172,0.03999,0.0466,0.03782,0.04509,0.0432,0.03613,0.04815,0.18535,0.07605,0.05765,0.0502,0.06946,0.05739,0.03677,0.07289,0.05756,0.03285,0.0,0.04052,0.03047,0.0495,0.06715,0.03506,0.06637,0.0,0.0997,0.04298,0.05202,0.04383,0.05537,0.0576,0.04703,0.03376,0.03592,0.03493,0.12403,0.04433,0.05278,0.04996,0.05527,0.03744,0.04538,0.05546,0.0351,0.03684,0.04614,0.03642,0.04009,0.03792,0.07336,0.07803,0.21024,0.08862,0.06915,0.05133,0.04107,0.0,0.0,0.03632,0.03593,0.04934,0.03331,0.03391,0.05945,0.03682,0.03096,0.06374,0.03863,0.03968,0.03317,0.06631,0.05717,0.06483,0.0,0.04287,0.06637,0.05304,0.0567,0.07505,0.27489,0.12141,0.08462,0.39802,0.0,0.90678,0.20677,0.08263,0.09124,0.0813,0.05878,0.05382,0.40357,0.29215,0.22283,0.22004,0.13164,0.04597,0.04198,0.04184,0.0683,0.27237,0.06098,0.06669,0.05082,0.0646,0.35765,0.08774,0.04744,0.46623,0.28493,0.05362,0.06157,0.08152,0.03552,0.04735,0.04712,0.03902,0.05197,0.08537,0.13733,0.08374,0.09112,0.04564,0.07165,0.08382,0.03845,0.03505,0.04848,0.0361,0.03631,0.05372,0.04967,0.05074,0.15556,0.10967,0.08314,0.06615,0.04943,0.04086,0.03078,0.11834,0.03364,0.0552,0.04481,0.03295,0.03739,0.04239,0.30593,0.27368,0.04696,0.07236,0.07112,0.04394,0.04364,0.04296,0.04153,0.03798,0.04376,0.03505,0.0,0.04001,0.04416,0.05349,0.04508,0.05753,0.03221,0.04203,0.03698,0.05108,0.05213,0.04906,0.05576,0.03064,0.04153,0.04914,0.06881,0.03247,0.03515,0.06025,0.21838,0.08619,0.03649,0.05229,0.07516,0.08206,0.05952,0.04373,0.04537,0.04069,0.0958
-3.75,0.04837,0.06238,0.05797,0.03976,0.07351,0.05184,0.03765,0.05524,0.04656,0.0,0.04206,0.03405,0.03165,0.04576,0.04296,0.0487,0.03782,0.03928,0.03408,0.04263,0.03464,0.0,0.02676,0.03215,0.05876,0.03293,0.04177,0.03372,0.0,0.0,0.07869,0.04355,0.21672,0.18497,0.12616,0.06297,0.08519,0.28873,0.04589,0.06393,0.21383,0.30085,0.19492,0.0594,0.04716,0.14593,0.05677,0.03934,0.03822,0.04594,0.03599,0.0404,0.03977,0.03301,0.04456,0.17341,0.07354,0.05682,0.05077,0.06394,0.05149,0.03555,0.06969,0.05756,0.03213,0.0,0.03638,0.02932,0.04546,0.06546,0.03413,0.06015,0.52459,0.09538,0.04208,0.04871,0.04352,0.05366,0.05346,0.0472,0.03312,0.03552,0.03223,0.1195,0.04029,0.05134,0.04957,0.05376,0.03334,0.04318,0.05392,0.0315,0.03349,0.05117,0.03527,0.03985,0.03439,0.06983,0.07586,0.19869,0.08643,0.05949,0.05133,0.03973,0.03547,0.0,0.03247,0.03593,0.04418,0.03214,0.0324,0.05945,0.03383,0.03096,0.06344,0.03695,0.03873,0.0342,0.0644,0.05475,0.05389,0.0,0.04187,0.06586,0.05139,0.0544,0.07647,0.25894,0.11323,0.08016,0.36112,0.63337,0.83202,0.19259,0.07839,0.08638,0.07786,0.05739,0.05208,0.38753,0.27878,0.20834,0.20743,0.12322,0.04555,0.03767,0.03762,0.05979,0.25978,0.05771,0.06064,0.04782,0.06155,0.33648,0.08172,0.0429,0.44325,0.28018,0.05282,0.05596,0.07793,0.03475,0.04231,0.04497,0.03636,0.04875,0.08427,0.12807,0.08251,0.08711,0.0443,0.0652,0.07534,0.03649,0.03478,0.04648,0.0347,0.03459,0.05311,0.04649,0.04676,0.14496,0.1082,0.07765,0.06138,0.0481,0.0407,0.02954,0.10806,0.03333,0.05223,0.04211,0.03047,0.03663,0.04017,0.28628,0.25165,0.04474,0.06828,0.06713,0.04352,0.0416,0.03969,0.03583,0.03798,0.04303,0.03505,0.0,0.04203,0.03904,0.05237,0.0409,0.05753,0.034,0.03883,0.03767,0.04976,0.04988,0.04683,0.05576,0.03023,0.03766,0.04447,0.06804,0.03247,0.03144,0.05359,0.20811,0.08354,0.03488,0.04603,0.06893,0.07909,0.05198,0.04158,0.04153,0.03992,0.09002
-3.5,0.04287,0.05618,0.05498,0.03605,0.06759,0.03821,0.03477,0.05037,0.04633,0.0,0.03866,0.03245,0.03117,0.04269,0.03794,0.04628,0.03505,0.03792,0.03408,0.03742,0.03278,0.0,0.02295,0.03084,0.05668,0.03355,0.03909,0.03027,0.0,0.04022,0.07869,0.04046,0.20028,0.17875,0.11936,0.0586,0.07846,0.27107,0.04286,0.05764,0.20093,0.29515,0.18072,0.05455,0.04313,0.14127,0.05113,0.03711,0.03554,0.0434,0.03401,0.03809,0.03692,0.03178,0.04167,0.16354,0.06962,0.0511,0.04698,0.06005,0.05058,0.03375,0.05964,0.04329,0.02943,0.05225,0.03479,0.02796,0.04252,0.05951,0.03255,0.05526,0.51189,0.08794,0.03993,0.04633,0.04066,0.05258,0.04615,0.04345,0.03195,0.03383,0.03067,0.11253,0.0381,0.04934,0.04451,0.0511,0.03334,0.04176,0.05392,0.03006,0.0333,0.05117,0.0333,0.038,0.03221,0.06483,0.07286,0.18732,0.08142,0.05529,0.04744,0.03973,0.03284,0.0,0.03106,0.03412,0.03757,0.03197,0.0314,0.04561,0.03231,0.02478,0.06136,0.03531,0.03825,0.03156,0.05884,0.0522,0.05238,0.0,0.0405,0.0604,0.04803,0.05118,0.07045,0.24666,0.10978,0.07268,0.35339,0.63337,0.80881,0.19259,0.07174,0.08148,0.07051,0.05257,0.04984,0.36289,0.26296,0.19756,0.19158,0.11816,0.04284,0.03439,0.03518,0.05933,0.25436,0.0543,0.05672,0.04569,0.06017,0.30658,0.07779,0.04222,0.40977,0.25218,0.05063,0.05408,0.07357,0.03338,0.04005,0.04077,0.03395,0.04439,0.07097,0.12244,0.07616,0.08217,0.04168,0.05255,0.07422,0.03337,0.03209,0.04521,0.03197,0.03355,0.0495,0.03948,0.04297,0.13315,0.10091,0.07436,0.05898,0.04509,0.03673,0.0274,0.10437,0.03129,0.05158,0.03985,0.0287,0.0357,0.03824,0.26553,0.23664,0.04232,0.06804,0.06519,0.04054,0.03663,0.03713,0.0344,0.03258,0.03787,0.03385,0.0,0.04127,0.03568,0.04652,0.04021,0.05224,0.03301,0.03665,0.03534,0.0433,0.04928,0.04263,0.04704,0.02824,0.03717,0.03999,0.06804,0.03247,0.02875,0.05252,0.1917,0.0816,0.03454,0.04166,0.06632,0.07383,0.04466,0.03893,0.04001,0.03666,0.07843
-3.25,0.04054,0.05243,0.04967,0.0345,0.06279,0.03609,0.03249,0.0477,0.04633,0.03286,0.03613,0.03145,0.02638,0.04031,0.03584,0.04546,0.03442,0.03758,0.03408,0.03314,0.03037,0.12986,0.02114,0.02947,0.0551,0.0307,0.03798,0.02916,0.03365,0.04083,0.05314,0.03764,0.18171,0.16916,0.11346,0.05607,0.07482,0.25922,0.04006,0.05356,0.1878,0.26514,0.17924,0.0529,0.04045,0.13015,0.04762,0.03984,0.03365,0.0403,0.03287,0.03809,0.03417,0.03143,0.04126,0.15458,0.06783,0.04664,0.04453,0.05487,0.04953,0.03267,0.05458,0.03714,0.03027,0.04829,0.03396,0.02622,0.0349,0.05628,0.03049,0.05348,0.48433,0.0829,0.03734,0.04399,0.03716,0.04865,0.04405,0.04057,0.03123,0.02955,0.02853,0.10419,0.03716,0.04298,0.03886,0.04762,0.02776,0.03849,0.05063,0.02866,0.0309,0.05117,0.03134,0.03768,0.03142,0.06131,0.07286,0.17381,0.07904,0.04865,0.04344,0.03412,0.03123,0.0,0.02976,0.03046,0.03601,0.0302,0.03598,0.0372,0.03083,0.02454,0.058,0.03449,0.03673,0.03056,0.0558,0.04974,0.04991,0.03648,0.03685,0.0555,0.04475,0.04649,0.06651,0.22805,0.10081,0.06713,0.32313,0.53916,0.76562,0.17346,0.06486,0.07975,0.06573,0.05,0.04679,0.33041,0.24479,0.18872,0.18152,0.10638,0.03827,0.03282,0.0334,0.05424,0.2254,0.05219,0.049,0.04056,0.06017,0.2874,0.07474,0.03915,0.38735,0.2325,0.04551,0.05122,0.07135,0.03006,0.0389,0.03819,0.0351,0.03996,0.06632,0.11492,0.06822,0.07491,0.03804,0.04466,0.06789,0.03152,0.03015,0.0422,0.03067,0.03121,0.04318,0.03985,0.04134,0.13149,0.09418,0.06791,0.05585,0.0448,0.03481,0.02565,0.1012,0.03066,0.05158,0.03771,0.02812,0.03541,0.03657,0.26423,0.22782,0.04074,0.06156,0.06104,0.03581,0.03323,0.03155,0.03248,0.03046,0.03787,0.0317,0.0,0.03377,0.03354,0.04243,0.03852,0.05175,0.02874,0.0352,0.03435,0.0411,0.04448,0.0416,0.03833,0.02545,0.03686,0.03556,0.06758,0.03479,0.0282,0.04904,0.18051,0.07948,0.03098,0.03777,0.06337,0.06782,0.04269,0.03546,0.03374,0.03666,0.07336
-3.0,0.03625,0.04888,0.04388,0.0319,0.06075,0.03398,0.0319,0.04482,0.04189,0.03286,0.03386,0.02942,0.02523,0.03671,0.03232,0.04251,0.03322,0.03484,0.03047,0.03314,0.02726,0.1213,0.01968,0.02634,0.0537,0.02833,0.0378,0.02822,0.03365,0.03798,0.04381,0.0344,0.16665,0.15563,0.11125,0.05314,0.06833,0.23579,0.0372,0.05114,0.17832,0.24138,0.16186,0.05066,0.03781,0.12025,0.0432,0.03536,0.03137,0.03812,0.03104,0.03585,0.03157,0.02906,0.03546,0.14392,0.0606,0.0442,0.04251,0.05231,0.04563,0.03067,0.0509,0.03045,0.02606,0.04767,0.0303,0.02384,0.03236,0.05204,0.02952,0.04891,0.44085,0.07405,0.0347,0.0409,0.03474,0.04452,0.04065,0.03426,0.0305,0.02744,0.02684,0.10052,0.03458,0.03962,0.03733,0.04565,0.02863,0.03736,0.04562,0.02966,0.02913,0.04441,0.0296,0.03532,0.02865,0.05792,0.06246,0.16227,0.07033,0.04599,0.04018,0.02893,0.0301,0.0,0.02872,0.03046,0.03265,0.0279,0.03369,0.03686,0.0273,0.02229,0.05321,0.03316,0.03436,0.02876,0.052,0.04695,0.0456,0.03552,0.03142,0.05306,0.04121,0.04288,0.05973,0.21815,0.09346,0.0615,0.30154,0.53916,0.70229,0.15466,0.0597,0.07309,0.06439,0.04671,0.04404,0.3114,0.22142,0.17593,0.16934,0.1012,0.03565,0.03036,0.03205,0.04896,0.2091,0.04995,0.04479,0.03791,0.05762,0.2731,0.06979,0.03467,0.35581,0.22306,0.04427,0.04661,0.0676,0.02837,0.03646,0.03528,0.03357,0.03783,0.05983,0.1064,0.06403,0.067,0.0355,0.04192,0.0555,0.02912,0.02824,0.03663,0.02901,0.02908,0.03788,0.03673,0.03939,0.11625,0.09015,0.06403,0.05116,0.03965,0.03371,0.0246,0.09397,0.02676,0.05039,0.03467,0.02674,0.0317,0.0361,0.23291,0.21242,0.03778,0.058,0.05831,0.03493,0.03024,0.03157,0.02976,0.02731,0.03582,0.03038,0.0,0.03075,0.03155,0.04168,0.03594,0.04409,0.0279,0.0352,0.03217,0.03943,0.04127,0.03892,0.03581,0.02407,0.03495,0.0328,0.05287,0.02942,0.02535,0.04641,0.16678,0.07487,0.02921,0.0339,0.05599,0.06357,0.04053,0.03228,0.03049,0.03428,0.06886
-2.75,0.03414,0.04641,0.04183,0.0308,0.06069,0.03159,0.03232,0.04247,0.03261,0.03286,0.0324,0.02532,0.0236,0.03457,0.03193,0.03972,0.02996,0.03336,0.02668,0.02806,0.02612,0.10999,0.01989,0.02616,0.05129,0.02691,0.03497,0.0238,0.02994,0.0376,0.04339,0.03336,0.16021,0.15052,0.09584,0.05049,0.06394,0.21823,0.03649,0.0445,0.15935,0.22016,0.14871,0.04818,0.03538,0.10654,0.03851,0.03318,0.02946,0.03402,0.03089,0.031,0.02945,0.02607,0.03093,0.1334,0.05683,0.03987,0.0403,0.04916,0.04147,0.02924,0.04116,0.02889,0.02357,0.04616,0.02982,0.02206,0.03088,0.04852,0.02757,0.04622,0.40224,0.06938,0.03298,0.03761,0.03478,0.04074,0.03693,0.03275,0.02838,0.02752,0.02515,0.0925,0.03123,0.03498,0.03599,0.03675,0.02671,0.03629,0.03882,0.02808,0.02754,0.03841,0.02686,0.03386,0.02684,0.05343,0.05598,0.15091,0.06611,0.04328,0.03707,0.02788,0.02727,0.04147,0.02629,0.02919,0.03093,0.02726,0.03221,0.03014,0.02654,0.0216,0.04664,0.03125,0.03301,0.02615,0.04738,0.04252,0.03994,0.03604,0.02936,0.0476,0.03744,0.03986,0.05654,0.19359,0.08407,0.05526,0.26273,0.4815,0.63661,0.14551,0.05514,0.06724,0.05755,0.0425,0.04103,0.28688,0.2024,0.16022,0.15799,0.09095,0.03255,0.02694,0.02837,0.0445,0.19108,0.0479,0.0407,0.03573,0.05286,0.24224,0.06539,0.03348,0.33703,0.19632,0.04125,0.04431,0.06521,0.02694,0.03256,0.03261,0.02924,0.03407,0.05365,0.09598,0.05946,0.06123,0.03251,0.03958,0.0504,0.02725,0.02589,0.03226,0.02775,0.02633,0.03275,0.03373,0.03609,0.1078,0.0784,0.06201,0.04664,0.03618,0.03046,0.02271,0.0898,0.02474,0.04806,0.03153,0.02537,0.02823,0.03263,0.2149,0.19335,0.03574,0.04956,0.05572,0.03351,0.02845,0.0282,0.02827,0.02533,0.03279,0.02565,0.02535,0.02939,0.03032,0.03776,0.0333,0.03514,0.02464,0.03368,0.03031,0.03771,0.03792,0.03757,0.03493,0.02268,0.03446,0.02967,0.04902,0.02487,0.02462,0.04344,0.1536,0.07097,0.02663,0.03092,0.05118,0.05866,0.03824,0.03033,0.0279,0.02878,0.06239
