,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37606,0.0,0.0,0.50025,0.0,123.12512,0.0,0.0,0.0,0.08288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96424,0.0,2.72096,0.0,0.0,0.0,0.57986,1.90295,0.0,0.0,0.6776,0.0,0.0,0.0,0.0,0.0,0.00977,0.0,0.0,0.0,0.0,0.0,0.20997,0.0,0.0,0.0,0.0,0.0,0.0,2.19538,20.14955,0.0,0.0,0.0,0.0,0.0,0.0,0.4114,0.0,0.0,1.9618,0.0,0.0,0.0,0.0,0.0,20.5102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36747,0.0,0.0,0.0,0.0,0.0,0.0,0.49318,0.0,1.23174,4.48627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08281,2.28149,20.34967,0.0,1.37443,3.84453,3.05126,0.0,1.66804,0.0,0.91514,0.0,0.0,0.90799,0.0,0.34204,2.57515,0.08689,2.89714,0.43312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13028,14.70808,2.23059,1.7503,1.96301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55858,0.0,0.72397,0.0,0.0,0.0,0.0,1.26003,0.0,0.0,0.0,0.0,0.0,0.68301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36278,48.10002,19.302,1.71097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75931,0.0,0.0,0.0,0.0,0.0,0.0,0.40935,0.46345,0.0,0.0,0.0,0.0,0.0,1.22474,0.0,0.0,30.43413,0.0,0.49966,0.0,0.0,1.37913,0.0,0.0,0.0,0.0,0.0,0.0
-4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37606,0.0,0.0,0.50025,0.0,123.12512,0.0,0.0,0.0,0.08288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96424,0.0,2.72096,0.0,0.0,0.0,0.57986,2.00345,0.07151,0.0,0.6776,0.0,0.0,0.0,0.0,0.0,0.00977,0.0,0.0,0.0,0.0,0.0,0.20997,0.0,0.0,0.0,0.0,0.0,0.0,2.19538,20.14955,0.0,0.0,0.0,0.0,0.0,0.0,0.7289,0.0,0.0,1.9618,0.0,0.20662,0.0,0.0,0.0,20.5102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36747,0.0,0.0,0.0,0.0,0.0,0.0,0.49318,0.0,1.23174,4.48627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08281,2.46187,20.34967,0.0,1.37443,3.05863,3.05126,0.0,1.66804,0.0,0.91514,0.0,0.0,0.90799,0.0,5.77959,1.36642,0.08689,2.89714,0.22885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13028,14.71684,2.23059,1.7503,1.96301,0.0,0.0,0.0,9.7246,0.0,0.0,0.0,0.55858,0.0,0.72397,0.0,5.92855,0.0,0.0,1.26003,0.0,0.0,0.0,0.0,0.0,0.68301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36278,32.17099,19.302,1.71097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78368,0.0,0.0,0.0,0.0,0.0,0.0,0.40935,0.46345,0.0,0.0,5.56016,0.0,0.0,1.22474,0.0,0.0,30.43413,0.0,0.49966,0.0,0.36673,1.37913,0.0,0.0,0.0,0.0,0.0,0.0
-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37606,0.0,0.0,0.50025,0.0,123.12512,0.0,0.0,0.0,5.6988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96424,0.0,2.05548,0.0,0.0,0.0,0.57986,2.00345,0.07151,0.0,0.6776,0.0,0.0,0.0,0.0,0.0,0.00977,0.0,0.0,0.0,0.0,0.29336,0.20997,0.0,0.0,0.0,0.0,0.0,0.0,2.19538,20.14955,0.0,0.0,0.0,0.0,0.0,0.0,0.7289,0.64821,0.0,1.9618,0.0,0.20662,0.0,0.0,0.0,20.5102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36747,0.0,0.0,0.0,0.0,0.0,0.0,0.49318,0.0,1.23174,4.28091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08281,2.42904,20.34998,0.0,1.37443,2.45806,3.05126,0.0,1.66804,0.26751,0.91514,0.0,0.0,0.76665,0.0,5.77959,1.36642,0.21568,2.89714,0.22885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2323,14.90618,2.23059,1.21756,3.62805,0.0,0.0,0.0,9.7246,0.0,0.0,0.0,0.55858,0.0,0.72397,0.0,5.92855,0.0,0.0,1.02168,0.0,0.0,21.70611,0.0,0.0,0.68301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36278,32.17099,19.3073,1.71097,0.0,0.0,0.0,0.0,0.50473,0.0,0.0,0.0,0.0,0.0,0.0,2.78368,0.0,0.0,0.0,0.0,0.0,0.0,0.40935,0.46345,0.0,0.0,5.56016,0.0,0.0,1.22474,0.0,0.0,30.43413,0.0,0.47816,0.0,0.36673,1.37913,0.0,0.0,0.0,0.0,0.0,0.0
-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37606,0.0,0.0,0.50025,0.0,123.12512,0.0,0.0,0.10944,5.6988,0.0,0.0,17.68656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41867,0.0,2.05548,0.0,0.0,0.0,1.3902,2.00345,0.07151,0.0,0.6776,0.0,0.0,0.0,0.0,0.0,0.00977,0.0,0.0,0.0,0.0,0.29336,0.20997,0.0,0.0,0.0,0.0,0.0,0.0,2.19538,20.14955,0.0,0.0,0.0,0.0,0.0,3.25714,0.7289,0.64821,0.0,1.9618,0.0,0.20662,0.0,0.0,0.0,20.5102,0.0,0.0,0.0,0.0,0.0,10.00217,0.0,0.0,0.0,12.36747,0.0,0.0,0.0,0.0,0.0,0.0,0.49318,0.0,1.30532,3.86362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66294,0.0,0.0,0.0,6.5634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08281,2.00979,20.34998,0.0,6.19084,2.63653,1.53609,1.04628,1.66804,0.38278,0.91514,0.0,0.0,0.77563,0.0,5.77959,1.36642,0.95383,2.89714,0.22885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2323,14.90618,2.23059,1.21756,3.141,0.0,0.0,0.0,9.7246,0.0,0.0,0.0,0.55858,0.0,0.72397,0.0,5.92855,0.0,0.0,0.82664,0.0,0.0,21.70611,0.0,0.0,0.60899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31489,32.66527,19.91189,1.71097,0.0,0.0,0.0,0.0,0.50473,0.0,0.0,0.0,0.0,0.0,0.0,2.78368,0.0,0.0,0.0,0.0,0.0,0.0,0.40935,0.46345,0.0,0.0,5.56016,0.0,0.0,1.22474,0.0,0.0,30.43413,0.0,0.47816,0.0,0.36673,1.37913,0.0,0.0,0.0,0.0,0.0,0.0
-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37606,0.0,0.0,0.50025,0.0,123.12512,0.0,0.0,0.07336,5.6988,0.0,6.15367,15.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68079,0.0,1.50649,7.61957,0.0,0.0,4.77217,5.37767,0.07151,0.04676,0.6776,0.0,0.0,0.0,0.0,0.0,0.00977,0.0,0.0,0.0,0.0,0.29336,0.23033,0.0,0.0,0.0,0.53984,0.0,0.0,2.32556,20.30008,0.0,0.0,0.0,0.0,0.0,3.25714,0.79467,2.39471,0.0,1.9618,0.0,0.20662,0.0,0.0,0.0,20.5102,0.0,0.0,0.0,0.0,0.0,5.01626,0.0,0.0,0.0,12.36747,0.0,0.0,0.0,0.0,0.0,0.0,0.49318,0.0,1.07199,3.86362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66294,0.0,0.0,0.0,6.5634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35066,0.0,0.0,1.24497,1.85277,22.69847,0.0,6.19084,2.09793,1.53609,1.04628,1.66804,0.4039,0.91514,0.0,1.03008,0.77694,0.0,6.13978,2.27541,0.95383,2.89714,0.22885,0.0,0.0,1.76296,0.0,0.0,0.0,0.0,12.06958,14.90618,2.23059,1.21756,2.8487,0.0,0.0,0.0,9.7246,0.0,0.0,0.0,0.55858,0.0,0.72397,0.0,6.05665,4.19091,0.0,0.71397,0.0,0.0,21.70611,0.0,0.0,0.60899,0.0,0.0,0.0,0.0,0.0,0.0,38.11296,3.08269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07494,28.28099,19.91189,1.71097,0.0,0.0,0.0,0.0,0.25979,0.0,0.0,0.0,0.0,0.0,0.0,2.78368,0.0,0.0,0.0,0.0,0.0,0.0,0.40935,0.46345,0.0,0.0,5.62295,0.0,0.0,1.22474,0.0,0.0,30.43413,0.0,0.66792,0.0,0.36673,1.37913,0.0,0.0,0.0,0.0,0.0,0.0
-3.75,0.0,5.06627,0.0,4.90424,0.0,0.0,0.0,0.0,0.0,1.37606,0.0,0.0,0.50025,0.0,123.12512,0.0,1.16525,0.07336,5.6988,0.0,6.15367,15.43445,5.61298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68591,0.0,1.27652,4.16406,0.0,0.0,2.92826,5.37767,0.07151,0.04676,0.3685,0.0,0.0,0.0,0.0,0.0,0.00977,0.0,0.0,0.0,0.0,0.29863,0.23033,0.0,0.0,38.97699,0.53984,0.0,0.0,2.36283,20.30008,0.0,0.0,0.0,0.0,0.0,3.25714,0.82805,2.39471,0.0,1.9618,0.0,0.20662,0.0,0.0,0.0,20.5102,0.0,0.0,7.80574,0.0,0.0,5.01626,0.0,0.0,0.0,12.36747,0.0,0.0,0.0,0.0,0.0,0.0,0.41418,0.0,0.86078,3.90217,0.0,0.0,0.0,0.0,9.1461,0.0,0.0,0.0,0.0,0.0,0.66294,0.0,0.0,0.0,6.5634,2.87652,0.0,0.0,0.0,0.0,18.78784,0.14079,1.35066,0.0,0.0,5.85391,1.82443,22.69847,0.0,6.19084,2.17099,1.53609,0.79525,2.56347,0.57419,0.91514,0.0,1.03008,0.77694,0.0,6.13978,2.9143,0.96337,2.89714,0.26539,0.0,0.0,1.76296,0.0,0.0,0.0,0.0,12.1426,15.07872,2.23059,2.45778,2.86289,0.0,0.0,0.0,9.7246,0.0,0.0,0.0,0.55858,0.0,0.72397,7.72059,6.05665,2.41323,0.0,0.73117,1.42021,0.0,21.70611,0.0,0.0,0.60899,5.09375,0.0,0.0,0.0,0.0,0.35168,38.11296,3.08269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16617,25.71299,20.22486,1.71097,5.04892,0.0,0.0,0.0,0.25979,0.0,0.0,0.0,0.0,0.0,0.0,4.75309,0.0,0.0,0.0,0.0,0.0,0.0,12.55165,0.4028,0.0,0.0,23.31373,0.0,0.0,1.22474,0.0,0.0,30.43413,0.0,0.53193,0.0,7.83375,1.37913,0.0,0.0,0.0,0.0,0.0,0.0
-3.5,0.0,5.06627,0.0,5.47732,0.0,0.0,0.0,0.0,0.0,1.37606,24.96137,0.0,0.58225,0.0,123.12512,0.0,1.16525,0.07336,5.6988,0.0,6.15367,15.43445,5.61298,0.0,37.53897,10.25175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0648,0.0,1.20234,4.16406,0.39707,0.0,2.97315,6.68363,0.25037,0.04676,0.63934,0.0,0.74364,0.0,0.0,0.0,0.00977,0.0,0.0,0.0,0.0,0.29863,1.67468,0.0,0.75608,38.97699,0.53984,0.0,0.0,2.36283,20.30008,0.0,0.0,0.0,4.28352,0.0,3.25714,0.9073,1.9383,0.0,1.21802,0.0,0.20662,0.0,0.0,0.0,20.5102,0.0,0.0,8.38995,8.86777,0.0,4.49938,0.0,0.0,22.10113,12.36747,10.28732,0.0,0.0,0.0,0.0,0.0,0.41418,0.0,0.86078,7.44165,4.8189,86.05901,88.99469,0.0,9.1461,0.0,0.0,0.0,0.0,0.0,0.66294,0.0,0.0,0.0,6.5634,2.87652,0.0,0.0,0.0,0.0,18.78784,0.14079,1.35066,0.0,0.0,5.85391,1.70009,22.74048,0.0,2.58838,1.79956,1.38932,1.51312,2.04946,0.59905,0.91514,0.0,11.86424,3.78736,0.0,7.06236,2.52465,0.96337,2.89714,15.91514,0.0,0.0,1.45202,0.0,0.0,0.0,0.0,8.66357,23.51863,2.23059,2.17753,2.85688,0.0,0.0,0.0,9.7246,0.0,0.0,0.0,0.55858,0.0,0.48947,7.09613,6.05665,2.41323,0.0,0.75091,1.42021,0.0,21.92899,0.0,0.0,0.64579,5.09375,0.0,0.0,0.0,0.0,0.39627,38.11296,3.08269,0.0,0.0,0.0,0.0,0.0,2.00082,0.0,1.16617,24.09809,20.36089,1.71097,5.04892,0.0,8.36333,0.0,13.61108,0.0,0.0,0.0,0.0,0.0,0.0,4.75309,0.0,0.0,0.0,0.0,0.0,0.0,12.96724,0.4028,0.0,0.0,23.31373,5.74556,0.0,2.15857,0.0,0.0,30.43413,0.0,0.53193,0.0,8.04051,1.37913,0.0,0.0,0.0,0.0,0.0,0.0
-3.25,52.20128,5.06627,0.0,5.08091,9.94945,0.03209,0.0,0.0,43.7221,6.09012,24.96137,8.78068,0.58225,0.0,123.12512,0.0,1.16525,0.07336,5.6988,0.0,6.90155,15.43445,9.49225,0.0,37.53897,10.25175,0.0,0.0,0.0,0.0,0.0,0.0,4.90521,9.55667,4.0648,0.0,1.17375,2.32707,0.39707,0.0,2.86075,9.26716,0.27743,0.16931,1.04187,0.0,0.74364,0.0,0.20712,0.0,0.00977,1.96502,0.0,0.0,0.0,2.80015,5.84571,0.0,5.37445,19.83945,0.52018,0.0,0.0,2.36283,20.38978,0.0,0.0,0.0,4.28352,22.06562,3.25714,1.01663,1.80634,0.63096,1.21802,0.0,1.08618,0.0,0.0,18.04836,20.5102,0.38124,0.0,7.08533,8.86777,0.0,4.52255,0.0,0.0,22.10113,12.36747,10.45668,0.0,0.0,0.0,0.0,0.0,3.16446,0.0,0.87103,8.15086,8.708,86.05901,48.17562,0.0,9.1461,0.0,0.0,6.25819,0.0,61.90849,0.66294,0.0,0.0,0.0,4.70553,2.87652,0.0,0.0,0.0,0.0,18.78784,0.14079,1.12358,0.0,0.0,4.79758,1.55553,22.91357,0.0,2.46212,1.62247,4.62937,5.24043,1.76263,0.78756,1.39822,0.0,11.86424,2.77484,6.45055,8.76232,2.12981,1.87564,3.05817,12.01239,20.78316,0.0,1.45202,4.04286,0.0,11.9145,0.0,8.66357,23.51863,2.23059,1.65617,2.60497,0.0,20.62194,0.0,9.7246,0.0,0.0,0.0,5.17213,0.0,0.48947,6.48009,10.62243,2.54279,1.16306,1.26164,1.42021,0.0,8.30817,3.50093,0.0,15.86784,5.09375,8.46455,0.0,0.0,0.0,0.39627,21.72078,3.08269,15.24957,0.0,24.75452,7.70913,0.0,2.00082,0.0,0.92708,21.55101,10.60482,1.71097,13.90422,0.0,8.36333,0.0,13.61108,0.0,0.0,126.75888,0.0,0.0,35.39673,4.75309,0.0,0.0,0.0,0.0,0.0,0.0,12.96724,0.4028,0.0,0.0,23.31373,5.74556,0.0,2.15857,0.0,91.25792,22.46518,0.0,0.53193,2.8926,8.08623,1.37913,0.0,0.0,0.0,0.0,0.0,0.0
-3.0,52.20128,11.197,2.10427,7.36268,8.93063,0.03209,1.07071,0.0,43.7221,6.21202,24.96137,8.78068,0.58225,0.0,123.12512,0.0,1.16525,0.07336,5.6988,0.0,7.80191,16.26013,70.46667,0.0,37.53897,10.38456,0.0,25.10154,0.0,0.0,0.0,0.0,4.29051,9.70063,3.29012,3.10154,0.91463,3.15783,0.39707,17.10441,3.55262,8.25108,2.70763,3.10694,2.41121,2.77426,1.46769,0.0,0.20712,0.0,8.81188,1.96502,0.0,0.0,41.72569,2.12144,7.37369,0.0,3.95064,21.28545,0.52018,5.49055,0.0,2.36283,12.68517,0.0,0.0,0.0,8.03032,36.35926,3.25714,1.20603,1.50351,0.63096,3.88969,12.5405,1.08618,0.0,0.0,18.04836,20.5102,23.49128,0.0,5.98974,8.86777,40.88245,4.8644,30.83285,0.0,8.35918,12.36747,10.45668,0.20097,0.0,0.0,0.0,0.0,4.1958,16.61392,0.87209,10.02679,8.708,86.56143,48.17562,26.06922,9.23427,0.0,8.21691,6.29225,0.0,61.90849,0.56885,17.79749,0.0,0.0,6.0001,3.71865,0.0,0.0,32.26444,0.0,21.63872,12.32459,3.13802,0.0,24.98968,2.79757,1.74663,22.96212,2.13252,1.91408,1.53315,4.35541,3.41823,1.76263,0.87815,1.25722,6.14043,11.86424,2.82537,6.45055,6.74213,2.3333,2.21784,3.06332,9.61295,18.83536,0.15914,5.06115,10.99578,26.38938,13.7099,36.56161,7.44362,23.77694,1.3298,2.01244,2.40459,0.0,18.05301,5.52175,13.96299,0.0,9.09621,18.55682,5.17213,0.0,1.82332,6.48009,10.97533,2.37592,1.16306,2.19727,5.30551,15.89333,8.37112,3.50093,0.0,16.32016,5.12455,34.81484,4.6096,0.0,0.0,3.0545,21.98579,7.18588,15.24957,0.0,24.87331,7.70913,7.86522,2.00082,0.0,0.89921,21.55101,13.29349,1.71097,13.90422,23.76136,32.85389,0.0,14.87133,0.0,0.0,126.75888,0.0,0.0,35.39673,4.75309,0.0,0.0,0.0,0.0,0.0,0.0,12.96724,0.44066,0.0,0.0,22.74881,5.74556,0.0,2.15857,4.47519,91.25792,22.52513,0.0,0.80178,2.49912,13.10252,18.11503,0.0,0.0,0.0,0.0,0.0,10.6046
-2.75,31.54542,15.80717,2.49839,10.63862,9.48477,0.03209,0.68584,0.12491,29.49165,6.21202,24.96137,32.89667,0.58225,35.77134,123.12512,0.0,1.16525,14.98139,5.6988,0.0,7.80191,14.36253,70.46667,0.0,37.53897,13.07976,10.13231,40.12095,0.0,0.0,0.0,0.0,3.27451,6.93487,3.73188,3.67812,0.85845,2.81897,8.82647,21.58453,3.181,7.07296,2.59841,2.85122,2.52295,3.52239,2.40957,5.57656,0.20712,20.41379,8.81188,6.46856,36.20488,0.0,21.76893,4.59011,6.5618,1.3281,4.35049,21.48883,1.14515,11.52353,0.0,2.14087,12.9205,0.0,0.0,0.0,5.80163,32.2712,3.33398,1.69215,2.65349,0.63096,3.88969,19.20253,1.08618,0.0,0.0,18.04836,18.06134,24.09985,1.56616,5.99879,24.25825,40.88245,4.34154,83.40606,0.0,21.1871,12.36747,10.45668,0.20097,0.0,0.0,0.0,0.0,6.12675,44.63056,0.87209,8.70254,8.35097,86.69071,48.17562,26.06922,9.23427,0.0,21.98458,6.32567,21.82526,31.00905,15.15407,17.79749,0.0,0.0,15.40129,3.71865,0.0,0.0,32.26444,6.73855,15.2333,11.08793,3.28472,0.38374,47.76274,8.32116,1.84861,23.03095,2.13252,2.94657,1.47125,4.67259,3.32521,2.81467,1.58724,6.39677,21.58328,8.87901,2.93269,15.29608,5.7098,2.25349,2.88564,3.68303,9.61295,19.80069,6.25398,4.83528,9.94025,14.94883,15.33646,36.56161,6.24422,23.77694,1.3298,1.99064,2.24924,106.39791,15.59792,3.14235,13.98437,8.89377,5.71487,18.55682,11.36965,9.35434,2.81134,6.86471,4.5583,2.89184,5.29514,2.10725,4.71854,15.93331,6.59361,5.52609,0.0,15.13113,6.87683,27.07883,4.8389,3.36277,7.9779,2.07356,14.93196,5.60241,52.29498,0.0,18.87465,6.92442,21.82377,8.16564,0.0,0.67362,21.09425,11.04557,9.55248,12.11161,23.76136,28.27279,0.0,14.87133,0.0,67.96233,89.35225,0.0,0.0,35.39673,4.75309,0.0,0.0,0.0,0.0,17.15376,0.0,10.12445,0.44066,0.0,0.0,22.80048,5.74556,0.0,4.52563,4.47519,102.38396,22.52513,12.83061,0.80178,2.13659,11.52551,10.00034,0.0,0.0,8.22919,0.0,14.30252,10.95976
