,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,4.45884,22.57708,8.22385,2.36624,3.24762,31.82151,4.33157,0.0,0.0,0.15107,0.02662,0.0,10.13666,0.1298,4.33713,0.04141,44.25868,3.75826,0.0,0.0,6.06323,0.0,2.08692,2.88587,0.34579,0.0,0.09308,0.0,0.0,5.42897,3.83898,35.9472,28.48573,56.29421,8.50558,13.61471,21.292,1.66069,4.10507,33.36364,6.319,21.62669,6.10209,3.29822,20.97149,1.97743,2.02394,0.38022,1.6514,0.0,34.91082,2.14116,0.27693,2.24008,18.88066,5.33838,7.59851,0.0,2.73682,2.78428,7.67789,2.53766,0.0,0.0,10.39228,1.40444,10.9655,0.21842,3.6049,3.14992,4.10791,71.39412,7.28073,0.0,0.30932,25.92999,1.05165,6.77894,0.0,0.0,2.84694,0.0,14.24136,0.0,1.22487,4.38086,4.01284,0.0,56.59264,32.42411,0.0,0.0,0.0,0.0,6.02221,0.0,33.96247,5.55919,45.3384,4.56309,9.85647,0.0,0.0,21.09137,20.00721,0.0,0.86427,2.51888,116.48506,0.0,0.0,3.37015,28.53136,1.92361,4.87724,3.12029,63.4211,3.32595,6.42102,24.48493,0.0,0.29813,0.0,1.26909,16.10496,11.51793,8.38741,27.34866,4.6119,29.52925,47.94379,17.30091,16.21912,6.66278,9.94904,7.14495,3.94431,2.4873,1.84625,0.0,33.90007,0.0,33.28235,2.94079,0.0,0.0,2.20398,10.02665,6.20299,11.14509,2.76133,4.30056,33.46709,12.00622,1.79617,37.74034,41.9811,4.43106,4.34735,6.63007,1.94221,0.73195,0.0,3.03517,7.00281,4.697,54.9649,6.38922,13.15284,12.46749,4.87523,9.38991,0.39503,0.4666,0.0,0.68394,1.7237,1.71246,2.96343,3.42756,31.76848,17.13729,8.52376,7.48113,3.15117,0.0,0.0,12.89687,0.0,4.30753,0.0,12.51799,0.0,1.59845,24.80623,0.0,6.74811,2.93865,15.43643,23.66628,60.51585,0.14212,36.25923,0.00545,3.02084,0.27284,0.0,0.0,0.0,56.45994,1.23454,1e-05,0.0,16.50703,0.664,0.0,5.01146,0.0,16.10314,0.12456,1.70427,8.25656,49.22568,22.58952,0.0,1.22509,16.04024,9.03148,0.0,1.20518,6.07864,0.0,3.8392,0.0,0.39474,0.0,16.11467
-4.75,0.0,4.45885,22.57708,8.22385,2.38277,3.26031,31.82151,4.33157,0.0,0.0,0.15107,0.02662,0.0,10.13667,0.81773,3.88308,0.13881,44.25868,3.79009,0.0,0.0,6.06323,0.0,2.23244,2.94754,48.32607,0.0,0.09309,0.0,0.0,5.42897,2.26542,37.11217,22.81258,56.29421,8.85016,9.61381,21.2921,1.63928,5.13359,33.36364,6.31908,22.3771,4.00758,3.31331,20.97149,1.69576,2.036,0.49689,1.6514,0.0,34.91082,2.14117,0.27694,1.54697,18.88068,6.39127,7.59851,36.89467,3.71918,2.78428,7.67789,2.53766,0.0,7.7891,10.39229,1.40445,10.96552,0.21842,3.77561,3.14993,4.11138,71.39413,7.28074,1.74562,0.30932,25.94032,1.05165,6.97106,0.0,0.0,2.84694,0.0,14.24145,0.0,1.22487,2.79873,4.04259,0.0,56.59265,32.42411,9.78879,0.0,0.0,0.0,3.91101,2.25395,33.96253,5.55919,45.33857,6.5498,9.85649,0.0,0.0,18.16265,20.0073,0.0,0.86427,2.51888,59.56801,0.0,0.0,2.59312,28.53136,1.92361,4.02857,3.1203,63.4211,3.42033,6.44936,24.48493,0.0,0.29813,0.0,2.76602,16.12233,11.58977,8.38751,38.46978,4.6119,29.52925,47.94385,17.30091,17.24626,5.69467,7.96751,6.04367,5.11612,3.65905,2.66598,26.31083,33.90007,0.0,33.46839,2.99076,0.0,0.0,2.20398,10.02668,10.62565,11.14509,2.82671,4.30056,35.79226,13.80444,1.79617,38.30934,41.98111,3.79652,3.83082,5.83786,1.94221,0.73195,0.0,3.08166,4.81303,4.697,55.34106,6.93148,13.43818,12.46753,4.87524,9.38991,0.5108,3.40209,0.78772,0.68394,1.7237,1.30273,2.96344,3.48969,33.6429,20.11819,7.34794,7.48113,3.15117,0.0,0.0,12.89687,0.0,4.33658,0.0,12.52971,0.0,1.80452,34.5096,0.0,7.04329,3.04115,18.17693,23.70817,46.00522,2.81911,36.25923,0.00545,2.08758,4.44371,0.0,0.0,0.0,29.01068,0.63863,1e-05,0.0,16.60683,0.66403,0.03267,5.01147,0.0,13.11349,0.12456,1.70427,8.25657,26.70992,22.58952,0.0,1.05082,17.4424,9.03148,0.0,1.39315,6.07864,2.24351,3.8392,0.0,0.85046,0.0,13.93762
-4.5,13.22712,4.49994,22.57708,8.22385,2.39128,3.26031,31.82151,4.33157,0.0,0.0,2.09843,0.02662,0.0,10.13668,0.81773,3.89867,0.69154,33.20677,3.79009,0.0,0.0,6.12777,0.0,3.35332,2.97761,36.35482,0.0,0.09309,5.7618,0.0,5.42897,1.51549,37.11221,23.91371,56.29422,7.07598,9.61383,24.63527,1.75873,5.30691,30.52805,6.31918,25.60982,3.30139,2.89695,21.16634,1.69576,2.036,0.78995,16.17636,0.0,18.20297,2.63963,0.27694,1.54697,19.48499,6.50507,6.15958,36.89467,4.12008,2.36057,6.21501,2.53766,0.0,7.7891,10.3923,59.50387,11.25206,0.21844,3.86904,3.14993,3.08361,71.39414,7.91358,1.74563,0.30932,25.94032,1.05165,5.06903,0.40214,0.0,2.84694,0.0,13.79681,0.0,1.22487,2.93128,4.30499,0.0,56.59265,26.7488,9.78879,1.27521,0.0,0.0,4.04324,2.25399,18.41692,5.55921,45.33858,6.5498,9.8565,0.0,0.0,16.03605,20.0073,0.0,0.86427,1.91627,59.56801,0.0,0.0,3.35603,28.53136,2.40322,3.5066,3.32828,63.89366,3.5456,6.61364,24.62294,0.0,0.29813,0.0,2.45479,53.7247,10.20473,32.29908,33.62267,4.6119,33.10814,42.89678,17.30091,20.13351,5.24686,8.56981,5.61233,5.11613,4.22328,2.66601,30.39252,26.10882,13.19015,23.98989,2.50075,0.0,0.0,2.20398,10.02681,10.63991,6.46837,2.89646,4.53598,35.79233,13.83528,1.79617,38.30934,41.98112,3.82671,3.97675,5.03305,2.9595,0.73195,0.0,3.08167,4.09553,4.70324,55.34107,6.40999,13.62476,9.46111,4.87524,7.04231,2.88945,19.60236,0.85489,0.68394,1.7237,1.30273,2.72454,3.24031,27.08751,20.11819,7.4023,5.60711,3.17199,64.8478,40.47072,11.49632,0.0,4.08976,0.0,12.52971,0.0,1.45904,37.77956,0.0,7.13658,3.04131,18.17693,30.54846,46.00787,1.89147,36.25923,0.00545,2.08758,3.8254,0.19242,0.0,0.41264,29.01068,2.81797,1e-05,0.85978,27.23311,1.25527,0.0457,5.01149,0.0,13.11349,0.12461,12.54533,8.2566,26.76191,22.58952,45.72573,1.05082,17.44277,9.03148,0.0,1.39315,5.28173,2.24351,14.07547,0.0,0.85047,0.0,12.43043
-4.25,10.00561,4.62602,17.02619,4.52531,2.51413,3.28954,23.93271,4.33157,4.23958,28.16115,2.09843,0.02662,156.02054,10.13668,0.59305,3.8654,0.69154,33.2081,13.04506,0.0,0.0,5.40921,0.0,2.32307,2.97761,29.08694,0.0,0.09309,5.7618,0.0,5.42897,1.51549,37.11223,25.21842,56.79287,7.07599,9.61384,24.63533,1.96904,5.78524,30.52808,4.56562,21.86758,2.81385,3.5196,11.27823,5.20664,2.07544,0.78995,16.24206,0.0,15.39146,2.63963,0.30799,1.37428,19.48502,6.42831,5.59033,18.7488,10.65252,1.99879,6.21501,2.14576,16.5691,19.03895,24.65924,39.88404,11.51344,7.17446,3.81346,6.30465,3.13557,71.3942,9.63912,1.92098,0.30932,13.63726,1.1303,5.06903,0.40214,0.0,2.84694,0.0,13.38792,1.34247,1.2717,3.37886,4.305,0.0,19.90152,22.24384,11.94919,1.27521,0.0,0.0,4.04324,2.254,13.95998,5.55921,26.94803,6.5498,9.8565,0.0,0.0,20.98777,20.0073,0.0,0.86427,1.91627,59.56803,0.0,490.22979,3.35603,21.60549,2.63256,3.96298,4.12736,63.94671,3.59925,5.59263,12.42831,0.0,0.34593,0.0,2.51867,44.87978,9.34259,55.85946,33.80424,4.58648,33.24753,44.40494,17.30091,23.88437,4.8334,7.10932,5.74203,4.11729,3.79134,2.66608,30.96961,26.3102,14.55986,24.42814,2.29513,0.0,47.42696,2.17102,10.28004,9.70194,6.98071,4.45078,4.53598,44.6975,13.88721,3.77264,38.30936,35.52345,3.48463,4.21643,5.63424,2.9595,0.73195,0.0,3.08167,4.09554,5.22049,55.38881,6.40999,12.05841,7.19897,4.93985,5.67956,2.88945,20.61609,3.45065,0.78933,1.72371,1.96507,2.10549,3.37253,19.61238,20.43571,7.46538,5.09888,4.53031,33.90395,40.47072,11.49648,0.83624,4.08976,0.0,12.61719,0.0,3.09857,32.48122,0.0,6.34755,3.30731,19.83061,26.58991,46.11453,1.91108,36.25923,0.00545,2.08758,3.8254,3.68226,0.0,0.41264,29.01068,2.81797,1e-05,38.81012,27.36028,1.84828,0.10896,5.01149,0.0,13.35629,36.30389,12.54533,8.2566,20.52584,22.58952,34.48367,1.05082,17.44281,9.17328,6.43123,1.39315,5.13732,3.48454,11.89729,0.0,0.85047,2.12941,12.7827
-4.0,70.49716,4.62604,16.1288,3.13944,2.5164,3.84336,15.90227,4.34819,2.45356,28.16115,2.15157,0.02662,156.51839,10.13668,0.49345,3.8654,0.89024,33.2081,7.96697,6.45874,23.58717,4.41827,0.0,20.27296,2.97761,29.08694,0.0,0.09309,5.7618,0.0,5.42897,1.20275,37.11273,28.12498,57.1512,7.82788,9.35366,24.76594,1.99562,5.33831,31.79347,15.21798,24.03828,3.28259,4.34534,9.78126,7.02321,1.86893,0.64994,14.53007,0.67309,15.39146,1.5952,8.77539,1.37428,20.02635,6.39913,4.89708,18.74882,10.71731,1.99879,4.63967,2.14576,35.32353,19.63207,24.65926,29.92996,10.06553,8.54776,3.55339,4.92767,3.54499,71.39424,7.82575,1.53745,1.84126,8.90113,1.1303,5.06903,24.45765,0.0,3.05076,0.0,13.64376,0.54478,1.13692,3.49528,5.13777,0.0,15.58649,21.02256,11.9549,15.94248,111.60735,0.0,4.04324,2.254,13.95999,6.36784,19.96498,6.89562,9.85651,0.0,0.0,17.49785,20.0073,0.0,0.86427,1.91627,34.11354,0.0,490.2298,3.35604,21.60549,2.03393,3.96298,4.13701,63.94671,3.68365,5.10072,11.85415,0.0,0.29209,0.0,3.64714,44.95771,8.60861,36.5012,36.05775,4.58648,34.16016,44.81662,17.30092,20.68539,4.94542,6.74149,5.82844,4.26338,3.85876,6.28578,32.93418,25.08151,14.67417,24.72623,6.22901,0.70158,47.59476,1.38379,14.01009,8.31262,5.19725,4.1093,4.53598,53.02086,11.12442,3.19842,38.84278,36.75148,3.28632,3.76123,5.73057,5.82288,21.90629,0.0,3.08167,4.26431,5.23746,39.39016,6.37724,10.45666,6.99314,5.19153,6.45649,8.27492,19.48539,3.55044,0.48616,1.72371,1.96507,2.11102,3.20571,18.00086,16.25993,6.6902,5.12662,4.64975,33.90396,40.47072,11.99058,0.83624,4.52872,0.0,12.61721,6.81232,3.72666,34.19995,0.0,6.01678,3.30731,19.86736,26.58991,35.01588,1.92871,46.22802,0.00545,1.61884,15.58965,3.68777,24.09258,2.72728,29.01068,2.88074,1e-05,38.84192,59.92511,1.84828,1.19219,2.64156,0.0,13.3563,36.46958,12.54534,8.2566,20.5658,9.50022,34.2837,1.05082,18.46038,5.97877,6.43123,1.47091,5.13734,2.32309,8.47178,0.0,0.90469,2.12941,11.29717
-3.75,49.21111,3.90071,13.83252,3.13945,2.43569,3.97206,18.2307,4.34819,2.7739,9.42159,2.15157,11.83422,78.28916,6.85267,0.68134,3.43952,0.90009,33.22143,6.68623,6.45874,23.58717,4.05564,0.0,20.27296,2.98929,21.34478,0.0,0.08349,5.7618,0.0,60.18228,1.20275,37.11277,29.05887,24.67171,6.28189,8.36694,24.85582,2.28108,4.90525,27.63238,16.50232,21.38241,3.18217,3.68879,9.99741,6.02448,1.84158,5.36469,15.98853,0.52296,15.39692,1.6466,16.51661,1.57547,20.02636,6.36973,9.82607,23.1363,10.04286,1.9988,3.59492,2.14576,23.70622,19.63207,18.06069,29.92997,7.57964,7.57572,3.55086,8.01783,3.68644,71.39426,8.21717,6.11138,2.36891,7.50209,1.1303,3.47523,24.45766,0.0,3.05076,0.0,12.49849,7.43668,0.8933,3.6676,6.01861,0.0,12.86681,21.12916,9.54993,15.94248,102.53589,0.0,4.11496,2.254,13.96002,6.36787,19.96508,7.13116,5.28551,11.90153,1.8683,15.18222,20.0385,0.0,0.86428,1.91627,34.1438,0.0,490.46561,3.62301,21.60549,1.52879,3.98241,3.64445,63.94671,3.15433,5.23941,137.58564,0.0,6.40007,0.0,4.67181,45.00744,7.75748,40.05335,29.03181,4.74159,34.39396,46.97262,17.30099,20.84317,4.45259,10.06872,5.43204,4.26338,4.26637,11.52647,32.93426,25.36587,14.6742,14.75833,5.12646,5.53188,47.59476,1.52135,14.48447,8.34379,5.22521,4.52488,3.44978,55.30048,9.27037,2.36179,38.84279,33.71969,3.09776,2.94322,5.73057,3.95099,21.90629,30.24973,3.08169,4.27113,5.25254,29.66729,5.16653,11.11891,6.35834,14.45553,5.77355,6.59186,18.77053,3.01422,1.71752,8.68067,1.82585,2.25508,5.05951,16.85849,17.04368,6.05933,5.01513,3.99179,29.35153,40.64646,11.9906,0.83624,4.52872,0.0,24.55837,3.43092,3.29448,41.34266,17.23658,7.48415,3.7839,19.86741,26.58991,27.09352,1.4649,34.69515,0.00545,3.24641,14.2305,3.68777,12.97738,2.24158,29.01069,2.90007,0.22794,38.84192,59.92511,0.98601,1.29198,2.64156,0.0,13.41102,36.46959,12.54534,8.25661,16.29988,9.50023,28.21003,1.43532,20.89777,5.97879,3.50283,2.03223,4.80874,2.90602,8.47178,0.0,0.98776,2.25519,11.61269
-3.5,29.88448,3.16698,11.33345,3.30876,2.59234,4.05552,26.20767,5.08744,4.79003,9.42159,3.60722,11.83422,52.22785,6.86329,1.50719,3.87838,1.4691,82.32914,8.74207,25.96669,24.437,3.54508,0.0,17.50741,2.98929,18.97494,0.0,30.31229,5.7618,107.88953,60.18228,2.93694,37.11281,29.62458,24.95606,5.76515,8.59558,25.04007,2.2888,4.56067,39.01194,16.4925,21.92445,3.26961,3.39915,10.85161,6.89239,2.35294,4.24533,14.36098,17.4735,41.6956,1.6466,14.30037,1.57547,15.34112,7.58851,9.89523,25.56823,8.98608,2.1147,3.91306,4.0026,57.62764,44.50473,18.0607,26.19076,9.75686,6.64621,3.52864,6.75591,4.51055,71.39426,7.81709,7.39824,1.98359,6.47915,9.49486,3.47523,18.41085,0.0,78.1149,3.34786,12.46715,8.28038,0.8465,3.6676,6.01862,0.0,13.1609,19.16264,8.03735,33.27237,68.77761,0.0,4.11497,2.02055,11.90009,7.11906,19.63643,8.91732,5.28552,16.39882,12.41025,13.38138,20.0385,9.64675,109.42839,4.57273,38.72972,0.0,793.52365,3.62301,23.63843,1.52879,20.7359,2.93386,64.0728,3.15433,4.02302,150.02271,12.95396,5.03633,0.0,3.9241,37.40514,8.51117,34.3848,19.37095,4.11659,27.85907,48.26609,17.30103,19.60923,4.48518,9.05348,4.9111,3.88287,3.9184,13.30597,28.3185,26.32869,15.86573,13.08294,4.68294,4.48663,66.49338,7.98562,17.059,7.74315,4.29167,5.54059,3.00368,58.83822,10.33587,2.33345,38.8428,26.81078,3.75392,2.49023,6.64685,3.95099,27.14828,19.55142,10.32151,4.27114,5.25254,24.30712,5.6643,10.24528,5.80466,14.45555,5.77355,6.87013,21.26568,2.63285,1.71752,8.96816,2.56067,2.19002,4.81039,18.42568,15.21502,5.92506,4.85808,6.21138,21.71728,25.3392,9.61588,7.2955,4.52872,0.0,24.03056,21.29747,3.03202,41.47612,17.54875,9.04811,3.66303,20.21938,16.18602,27.10579,5.18097,31.18667,3.25362,14.67798,17.138,47.15062,19.39308,8.85294,28.18243,2.90007,0.22794,37.46195,72.66395,0.74495,1.82418,216.85361,0.0,13.41103,36.46959,13.64759,24.56738,17.0663,8.62344,24.06039,14.37114,21.05692,4.75339,11.00092,2.74317,4.58852,3.48804,6.5203,10.28461,3.45373,22.07079,10.6501
-3.25,29.28413,3.22813,10.54306,2.73527,2.42178,3.74933,21.61196,4.04545,6.44889,7.84027,3.60722,11.49836,40.92378,11.03092,1.55372,5.08863,4.33214,70.78154,8.28906,25.96669,16.92816,3.62484,0.0,17.52224,9.5238,14.89476,242.46271,30.31229,5.7618,107.88953,46.25883,2.86495,20.68351,29.87664,28.06733,5.18352,7.76559,25.04405,2.32693,4.16581,35.99618,15.28113,19.11783,3.33924,3.25941,11.96074,7.4931,2.86116,3.99667,10.83195,19.83601,30.6693,12.0021,14.25437,4.53328,16.33225,8.20347,9.22703,14.89022,7.97638,8.22414,10.29832,12.64115,49.40747,44.50603,14.55227,26.29956,13.81606,4.50653,3.38233,6.25926,10.382,71.39431,6.22886,6.01659,1.98449,12.51948,11.50945,3.59846,14.86503,0.0,64.54469,2.11851,13.14041,7.92492,1.06788,10.32175,6.16546,1.44854,20.15716,17.39372,8.9148,30.16654,53.17173,0.0,6.04869,2.02055,11.22111,7.11907,18.9925,7.15808,10.84804,19.5476,30.37941,22.80311,20.0385,45.20538,75.90745,4.03233,34.14268,0.0,416.52082,3.62302,23.64043,2.15029,19.61232,2.90554,53.50626,2.82177,4.15445,158.45258,68.39892,4.80125,0.1962,3.98411,31.17958,8.58857,37.08014,13.97891,3.66213,23.53274,48.5085,17.30131,17.7484,5.21074,8.64797,3.94712,4.00607,3.22806,19.3641,30.48465,21.84843,18.94339,12.6382,4.708,5.10674,66.49338,7.70398,17.34346,7.08654,3.93076,5.97183,3.10772,49.90041,8.8527,2.21647,38.84281,27.43153,4.93407,2.40582,5.69874,8.85038,25.80245,19.57494,10.32151,15.56347,5.44775,23.69818,5.46392,9.15384,7.33427,28.91625,6.39931,6.147,19.79321,2.74484,2.57255,12.12637,2.44178,3.3848,4.60868,17.47462,14.37713,6.43478,5.53627,5.84517,21.71728,20.26494,9.07145,5.93955,4.21997,77.27257,24.16399,21.29747,2.60528,35.78512,18.79833,8.54392,4.04452,17.88726,12.62486,27.92387,13.05728,24.00517,3.66138,14.67798,22.1968,35.6674,15.38451,8.1409,33.85427,2.32989,4.09171,35.82522,68.49447,4.79296,1.7497,163.35352,0.0,10.96946,36.72988,13.64759,24.56738,17.56007,7.5451,28.29023,12.05092,21.05696,4.75341,13.45072,2.61014,4.93226,2.93216,5.99411,19.85174,4.66275,22.11947,8.25339
-3.0,31.0855,4.73976,10.24,2.85116,16.7436,3.14068,19.41357,5.241,6.13091,8.14074,11.88384,17.39633,40.96597,13.25566,3.92293,6.53248,3.61706,64.40761,10.25633,21.63297,38.44133,5.20431,2.38324,19.15621,8.69361,13.95129,242.46272,68.385,60.26225,97.35281,61.67239,5.42173,22.84086,25.79868,21.45159,5.29033,7.61207,21.20021,4.07352,3.99681,28.22111,14.92859,19.39677,3.42246,4.08575,10.66327,6.93271,3.69685,3.44738,11.79074,16.10956,27.43239,15.0036,16.1481,7.97204,16.81689,8.20313,8.86513,13.68522,7.15525,13.84413,12.67285,9.10649,44.66904,43.94838,22.60223,15.7121,13.81606,8.89445,3.31938,5.64541,13.70031,39.78581,5.99975,7.65065,6.35963,10.33538,62.16419,3.94382,13.04308,154.58713,63.95449,3.01696,14.12538,15.43287,4.76614,9.58056,5.12225,1.2144,25.84407,17.39372,9.00974,26.58997,53.19827,52.53799,11.21483,11.00821,10.50857,7.11908,24.75091,6.93653,20.08551,20.04807,51.57325,20.88163,20.03851,45.22131,69.29876,13.34798,34.14268,0.88176,416.52082,3.8984,23.64043,1.97665,19.82786,10.7484,44.9626,2.91002,3.91798,118.90924,45.60338,4.67183,0.22786,4.12888,33.41541,9.25326,31.88445,13.1455,3.81935,13.50838,49.45902,26.57347,17.11934,5.2271,7.4312,3.41952,4.13228,4.81563,24.99166,30.28228,22.10114,19.50499,10.51189,8.8503,5.46484,85.46603,9.86616,20.55361,6.34784,3.89895,5.34633,2.88952,43.25163,8.29766,3.77271,39.29943,23.41647,4.72487,2.53146,5.93807,6.59472,30.31769,17.13414,9.04316,45.82912,6.24128,21.94863,5.41343,7.75694,8.80303,28.48249,5.51344,8.58849,13.8497,2.40467,6.56588,10.0024,7.13264,11.02092,6.92069,15.39453,12.02495,6.8304,5.63288,13.40564,20.9449,19.16547,9.51412,9.55679,3.72557,52.15536,19.62319,17.13158,5.69993,31.42125,15.86648,7.19309,4.96484,14.22692,14.10894,36.30411,14.67794,18.98446,3.29984,16.84028,19.97818,31.98969,17.48808,19.54901,24.98069,5.92615,2.53403,36.34217,63.06998,8.73529,2.19885,109.3518,74.9979,11.01381,32.11731,12.18608,23.95285,23.28116,11.58537,25.96041,11.29238,17.65755,4.02549,17.48002,6.3026,5.61564,4.75032,5.54266,23.38711,3.86566,18.34417,6.97384
-2.75,24.07591,6.6972,8.01379,5.2513,17.84426,5.51346,19.02412,4.78662,6.94989,6.61436,14.82863,14.54791,44.81882,26.49039,3.92819,5.63782,11.09504,64.40761,19.24842,21.68919,39.74008,5.029,46.25811,16.34954,7.7902,12.31083,195.34971,55.52581,87.60085,91.36212,38.71363,7.31561,18.89108,24.62142,15.33646,4.39665,6.53036,21.48895,3.87936,3.49866,24.20734,14.99637,17.96329,3.20377,4.06175,9.1543,8.45004,3.67846,3.67591,12.60674,13.41092,24.10998,13.86346,15.33391,6.30941,14.89733,6.81071,7.58834,19.95564,5.82082,17.19829,11.87167,11.39723,36.78573,27.01579,32.80739,25.89632,9.28494,7.76947,3.35768,6.70894,13.12203,39.78585,6.28102,8.80796,6.72246,17.7561,64.80653,5.18654,21.6818,154.58713,37.89564,3.01696,11.81406,16.34796,6.23378,7.49409,5.06455,6.51048,28.9621,20.21548,8.65637,28.11475,72.98929,52.81291,11.42448,11.0926,14.56805,7.43929,18.54766,7.46928,18.76947,18.1636,56.27792,18.1363,51.6383,41.34162,53.96109,18.27109,39.85996,0.88177,418.18407,32.96507,23.78427,8.97259,17.06392,12.26037,37.54988,2.58063,4.03263,95.16824,163.67563,4.75809,0.22786,5.32138,28.34324,7.76543,25.16122,11.34241,3.47414,15.45354,41.97328,25.63212,14.99916,5.13703,6.72146,3.48701,4.21951,4.67294,26.48886,35.99902,16.75198,19.15073,9.31933,8.68077,5.78631,79.38649,7.64069,23.71196,5.51155,3.5288,5.59006,3.993,38.96078,7.53115,4.35282,39.29954,24.58051,4.25987,2.12084,6.69106,7.75395,23.69404,17.20236,17.60088,63.72185,14.74921,19.617,5.0625,7.10033,8.56488,17.78267,4.35802,9.5892,12.64588,4.36468,5.31897,8.35567,13.70941,10.27713,17.86549,13.61174,10.49499,6.53414,6.41001,17.06395,17.74541,18.4842,8.97103,8.14752,3.26525,86.08354,20.61647,12.63783,8.43648,32.09793,19.52613,7.53062,4.7457,11.71649,13.0018,27.174,19.67372,23.39247,18.81686,14.68971,18.24032,28.13079,15.81832,20.47819,31.38612,6.66155,26.82461,44.05378,52.85717,8.73529,5.03945,109.90035,38.30864,11.02401,39.22945,10.84882,23.97103,22.01349,9.69678,23.70653,10.78106,13.38816,4.04932,17.05283,9.18332,5.34863,5.17757,7.80662,17.61743,3.7189,14.75423,6.75748
