,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.04666,0.04695,0.11735,0.0,0.03947,0.0,0.04388,0.0,0.0,0.04881,0.05486,0.0374,0.04195,0.0,0.04817,0.04529,0.0,0.0,0.04182,0.0,0.03427,0.03701,0.0,0.0,0.04698,0.0,0.03383,0.03334,0.0,0.0,0.0,0.0,0.0,0.05054,0.04658,0.0,0.0,0.0,0.04425,0.0,0.0,0.11155,0.0,0.05483,0.08804,0.0,0.0,0.04769,0.0,0.0,0.0,0.0,0.0,0.0399,0.0,0.0,0.07196,0.0,0.07519,0.0,0.0436,0.04314,0.0,0.03928,0.0,0.0,0.05879,0.05953,0.03978,0.0,0.0,0.0,0.0,0.0,0.05984,0.07505,0.0,0.12981,0.0,0.0,0.05268,0.0,0.0,0.12025,0.04519,0.0,0.06974,0.0,0.09799,0.0,0.0,0.02917,0.0,0.05213,0.0,0.0,0.0,0.09525,0.03355,0.1358,0.0,0.0,0.0,0.04517,0.0,0.0,0.0,0.04709,0.03951,0.03956,0.0,0.05087,0.0,0.0,0.0,0.0,0.05095,0.0,0.0,0.0,0.0,0.06887,0.0,0.0,0.0,0.0,0.0,0.0,0.04153,0.09022,0.20778,0.0,0.0,0.18016,0.0,0.10591,0.06841,0.0569,0.06331,0.0,0.06157,0.10258,0.1298,0.28405,0.06259,0.05947,0.0,0.0,0.07843,0.0,0.0,0.04157,0.0,0.0,0.08732,0.0,0.0,0.0,0.07583,0.04263,0.04236,0.06037,0.0,0.0,0.0,0.06344,0.0,0.08901,0.0,0.0,0.10098,0.05932,0.0841,0.0,0.0,0.0,0.0,0.02986,0.03158,0.0556,0.05743,0.0,0.04414,0.0,0.0,0.05865,0.05914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26245,0.0,0.0,0.0,0.0,0.04501,0.03788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07637,0.0,0.0,0.0,0.0,0.0,0.0,0.06054,0.0,0.02941,0.0,0.05237,0.04817,0.0549,0.0458,0.0,0.0,0.05868,0.06867,0.07491,0.0,0.03811,0.05114,0.0,0.0,0.0,0.0,0.0,0.09248
-4.75,0.04283,0.04697,0.11029,0.0,0.03947,0.0,0.04388,0.04248,0.0,0.04814,0.05486,0.03693,0.04195,0.0,0.04415,0.04529,0.0,0.03247,0.04063,0.0,0.03427,0.03654,0.0,0.0,0.04698,0.0,0.02249,0.03334,0.0,0.0,0.0,0.0,0.0,0.04655,0.04586,0.0,0.0,0.0,0.04218,0.0,0.0,0.10833,0.0,0.05483,0.07683,0.0,0.10103,0.04537,0.0,0.0,0.0,0.0,0.0,0.03638,0.0,0.0,0.05668,0.0,0.07519,0.0,0.04515,0.04314,0.0,0.03742,0.04239,0.0,0.05879,0.05953,0.03939,0.0,0.0,0.0,0.0,0.0,0.05297,0.07505,0.0,0.12981,0.0,0.03139,0.05268,0.0,0.06476,0.11083,0.04153,0.0,0.06974,0.0,0.09799,0.0,0.0,0.02837,0.03452,0.05213,0.0,0.0,0.0,0.09055,0.03355,0.1358,0.0,0.0,0.0,0.04312,0.0,0.0,0.0,0.04523,0.03951,0.03956,0.0,0.05087,0.0,0.0,0.0,0.07592,0.05095,0.0,0.0,0.0,0.0,0.06887,0.0,0.0,0.0,0.0,0.0,0.0,0.04153,0.08622,0.19353,0.0,0.0,0.18016,0.0,0.10485,0.06388,0.0569,0.06331,0.0,0.06157,0.0891,0.1298,0.27028,0.04304,0.04986,0.0,0.0,0.06426,0.0,0.0,0.04157,0.0,0.0,0.08732,0.0,0.0,0.0,0.07583,0.04079,0.04042,0.06037,0.0,0.0,0.0,0.06344,0.0,0.08074,0.0,0.0,0.09953,0.05932,0.0841,0.0,0.0,0.0,0.0,0.02839,0.03158,0.04869,0.05743,0.0,0.04414,0.0,0.0,0.05865,0.06328,0.0,0.0,0.0,0.04354,0.0,0.0,0.0,0.25124,0.0,0.0,0.0,0.0,0.04166,0.03614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07637,0.02768,0.03279,0.0,0.0,0.0,0.0,0.05868,0.0,0.02941,0.0,0.05204,0.04817,0.0549,0.0458,0.0,0.0,0.05868,0.06386,0.07343,0.0,0.03572,0.03871,0.0,0.03367,0.0,0.0,0.0,0.08969
-4.5,0.04051,0.0461,0.10905,0.02927,0.03412,0.0,0.04388,0.04248,0.0,0.04814,0.05486,0.03138,0.04195,0.0,0.04238,0.04529,0.0,0.03247,0.04063,0.0,0.03427,0.03654,0.0,0.0,0.04698,0.0,0.02106,0.03334,0.0,0.0,0.0,0.0,0.0,0.04223,0.04547,0.0,0.0,0.0,0.04097,0.0,0.0,0.10646,0.0,0.05145,0.07683,0.04773,0.09478,0.04641,0.03063,0.0,0.0,0.0,0.0,0.03638,0.0,0.0,0.05226,0.0,0.07519,0.0,0.04515,0.04025,0.0,0.03556,0.04239,0.0,0.05879,0.05953,0.04017,0.0,0.0,0.0,0.0,0.0,0.0504,0.09236,0.04501,0.12981,0.0,0.02949,0.04698,0.0,0.06476,0.10163,0.04153,0.02894,0.06974,0.0,0.06817,0.0,0.0,0.02837,0.03452,0.05213,0.0,0.0,0.0,0.07459,0.03191,0.12664,0.06285,0.0,0.0,0.04117,0.0,0.0,0.0,0.04268,0.03951,0.04015,0.0,0.05087,0.0,0.0,0.03423,0.07077,0.03683,0.0,0.0,0.0,0.0,0.05613,0.0,0.0,0.0,0.0,0.2257,0.0,0.04073,0.07739,0.18256,0.93093,0.0,0.16014,0.0,0.09613,0.06269,0.0569,0.06331,0.0,0.05744,0.08724,0.10961,0.2691,0.04304,0.04748,0.0,0.0,0.06426,0.0,0.0,0.04157,0.0,0.0,0.08953,0.0,0.17764,0.0,0.05722,0.03994,0.03991,0.05571,0.0,0.0,0.0,0.05702,0.0537,0.08074,0.05257,0.0,0.09603,0.05082,0.07434,0.03823,0.0,0.02819,0.0,0.02839,0.03158,0.04869,0.05743,0.0,0.04259,0.0,0.0424,0.04854,0.06328,0.0,0.0,0.0,0.04354,0.02853,0.0,0.0,0.24252,0.0,0.0,0.0,0.11496,0.03503,0.03505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06594,0.02768,0.03279,0.0,0.0,0.0,0.0,0.0497,0.0,0.02941,0.0,0.05216,0.04817,0.0549,0.04182,0.0,0.0,0.05868,0.06386,0.06913,0.0,0.03395,0.03871,0.0,0.03588,0.0,0.0,0.0,0.08969
-4.25,0.03809,0.04331,0.09913,0.02927,0.03412,0.0,0.03834,0.03869,0.02321,0.04814,0.04558,0.03105,0.0409,0.0,0.03809,0.04529,0.0,0.03247,0.04063,0.0,0.03427,0.03622,0.0,0.0,0.04698,0.0,0.02106,0.03334,0.0,0.0,0.0,0.0,0.0,0.04177,0.04217,0.0,0.0,0.0,0.04007,0.0,0.0,0.09295,0.08286,0.04858,0.0758,0.04629,0.09219,0.04641,0.03063,0.02815,0.0493,0.0,0.0,0.03638,0.0,0.0,0.04908,0.0,0.05093,0.06158,0.04512,0.0375,0.0,0.03556,0.04239,0.0,0.03632,0.05953,0.04066,0.04,0.0,0.0,0.0,0.0,0.05004,0.08728,0.04501,0.12981,0.0,0.02949,0.04698,0.0,0.05734,0.0965,0.04153,0.02793,0.05807,0.0,0.0597,0.0,0.0,0.02849,0.03452,0.05213,0.0,0.0,0.0,0.07073,0.03191,0.11715,0.06196,0.0,0.0,0.044,0.02834,0.0,0.0,0.04268,0.02822,0.04015,0.0,0.05087,0.0,0.0,0.03419,0.06973,0.03633,0.0,0.06318,0.0,0.0,0.05292,0.0,0.0,0.03404,0.0,0.21062,0.0,0.04073,0.077,0.17661,0.91687,0.0,0.15368,0.05449,0.09205,0.05979,0.04683,0.06331,0.0,0.05637,0.07973,0.09931,0.24955,0.03893,0.04522,0.0,0.0,0.05636,0.0,0.0,0.04157,0.0,0.23998,0.07091,0.0,0.17187,0.34583,0.05722,0.0378,0.03567,0.05571,0.05488,0.0,0.0,0.05498,0.0537,0.06393,0.05158,0.0,0.08794,0.05082,0.06599,0.03823,0.02779,0.02819,0.04846,0.0263,0.02983,0.04869,0.05743,0.0,0.03865,0.0,0.0424,0.04541,0.05893,0.0,0.02886,0.0,0.03934,0.04002,0.0,0.0,0.23238,0.0,0.0,0.0,0.11012,0.03456,0.03505,0.03086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0644,0.02768,0.03092,0.0,0.02634,0.0,0.0,0.0497,0.0,0.02941,0.02305,0.05216,0.04005,0.05241,0.03919,0.0,0.0,0.05525,0.06386,0.06773,0.0,0.03395,0.03871,0.04829,0.03561,0.0,0.0,0.0,0.0801
-4.0,0.03636,0.04225,0.09894,0.02925,0.03067,0.0,0.03834,0.03869,0.02321,0.04814,0.04183,0.02971,0.02934,0.0,0.03628,0.03871,0.0,0.03247,0.04063,0.02038,0.03427,0.03622,0.0,0.0,0.04698,0.0,0.02106,0.03334,0.0,0.0,0.0,0.0,0.14155,0.03905,0.04234,0.0,0.0,0.06173,0.03838,0.0,0.0,0.0916,0.07883,0.04552,0.07054,0.04383,0.09501,0.03594,0.02617,0.02754,0.0493,0.0,0.0,0.03296,0.02981,0.19937,0.0473,0.03782,0.04942,0.0588,0.04512,0.0375,0.0,0.03174,0.04239,0.02707,0.03632,0.05953,0.03772,0.03961,0.0,0.0,0.0,0.04221,0.0504,0.08728,0.04501,0.09519,0.02825,0.02732,0.04689,0.0,0.05385,0.09422,0.04153,0.02678,0.05521,0.0,0.059,0.03923,0.03361,0.02849,0.03433,0.05213,0.02961,0.0,0.0,0.0695,0.03137,0.10736,0.05805,0.0,0.0,0.0365,0.02834,0.0,0.0,0.03837,0.027,0.03765,0.0,0.05087,0.0,0.0,0.03169,0.06438,0.03755,0.0,0.0608,0.0,0.0,0.05001,0.0,0.0,0.03404,0.03031,0.20159,0.0,0.03791,0.077,0.16276,0.83498,0.0,0.14275,0.05449,0.08354,0.05979,0.0461,0.05551,0.0,0.05459,0.07495,0.09171,0.24759,0.03893,0.0446,0.0,0.0,0.05519,0.03686,0.02992,0.04157,0.0,0.22689,0.05941,0.0,0.16082,0.32917,0.04161,0.04224,0.03317,0.04629,0.0514,0.0,0.0,0.04848,0.05091,0.06403,0.0502,0.0,0.08222,0.05223,0.06277,0.03823,0.02779,0.02594,0.04846,0.0263,0.02983,0.0436,0.05743,0.0,0.03865,0.0,0.04008,0.03986,0.05893,0.0,0.02833,0.0,0.03913,0.04002,0.0,0.02573,0.22951,0.0,0.0,0.0,0.10731,0.03388,0.03273,0.03086,0.0,0.0,0.0,0.0,0.02578,0.0,0.0,0.06333,0.02737,0.03092,0.02118,0.02637,0.02178,0.0,0.04928,0.0,0.02941,0.02274,0.04753,0.03586,0.04368,0.03736,0.0,0.0,0.0537,0.06386,0.06712,0.0,0.03395,0.03275,0.04829,0.03527,0.0,0.0,0.0,0.07598
-3.75,0.03455,0.0372,0.09119,0.02927,0.02775,0.0,0.03834,0.03701,0.02321,0.04814,0.0403,0.02928,0.02934,0.0,0.0354,0.03836,0.0,0.03247,0.04063,0.02038,0.02998,0.03622,0.0,0.0,0.04698,0.0,0.02106,0.03334,0.0,0.0,0.0,0.0,0.13307,0.03617,0.04078,0.0,0.42522,0.05734,0.03735,0.0,0.0,0.08608,0.07611,0.04271,0.07115,0.03978,0.08914,0.03497,0.02617,0.02676,0.0493,0.0,0.0,0.03296,0.02981,0.1835,0.04489,0.03782,0.04739,0.05407,0.04512,0.03367,0.0,0.0289,0.03883,0.02668,0.03282,0.05953,0.03772,0.03569,0.0,0.0,0.0,0.03903,0.0504,0.05956,0.04635,0.08251,0.02539,0.02523,0.04051,0.0,0.05322,0.08407,0.04153,0.02769,0.05279,0.0,0.05565,0.03923,0.05605,0.02728,0.02926,0.04432,0.02798,0.02554,0.0,0.0656,0.02933,0.10624,0.05764,0.0,0.0,0.0365,0.02834,0.0,0.0,0.03795,0.03827,0.03742,0.0,0.05087,0.0,0.0,0.03021,0.06185,0.03692,0.0,0.05957,0.0,0.0,0.04831,0.0,0.0,0.03195,0.02911,0.18355,0.0,0.03579,0.07534,0.15593,0.80877,0.0,0.13101,0.05128,0.07867,0.05756,0.0461,0.04993,0.0,0.05459,0.07705,0.08925,0.22557,0.03632,0.04312,0.0,0.29141,0.05075,0.03843,0.02905,0.03081,0.03483,0.22689,0.05615,0.0,0.15497,0.30705,0.03985,0.03851,0.03184,0.0416,0.0514,0.0,0.02518,0.04848,0.04984,0.04931,0.04718,0.0,0.07923,0.04871,0.06149,0.03539,0.02779,0.02588,0.04846,0.02291,0.02983,0.0436,0.05035,0.0,0.04352,0.05494,0.03757,0.03891,0.05448,0.0,0.02833,0.02351,0.03913,0.03796,0.0,0.02362,0.22951,0.0,0.0,0.0,0.09766,0.03184,0.03194,0.02858,0.03023,0.02637,0.02425,0.02904,0.02578,0.0,0.02152,0.06333,0.02227,0.03092,0.02118,0.02533,0.03811,0.0,0.04928,0.0,0.02941,0.02161,0.04531,0.0357,0.04327,0.0367,0.0,0.0,0.0537,0.06386,0.06237,0.18335,0.03395,0.03114,0.03019,0.0335,0.0,0.0,0.02551,0.0702
-3.5,0.03301,0.03457,0.08331,0.02783,0.02549,0.03002,0.03263,0.03524,0.02321,0.04814,0.03942,0.02623,0.02725,0.03317,0.03469,0.03836,0.0,0.03247,0.03811,0.01985,0.02998,0.03622,0.0,0.0,0.04698,0.0,0.01778,0.03334,0.01849,0.01884,0.02142,0.0,0.12997,0.03392,0.03843,0.03601,0.39616,0.05539,0.03646,0.0,0.0,0.07917,0.07145,0.04137,0.06385,0.03697,0.0843,0.03276,0.02403,0.02534,0.0493,0.02754,0.02921,0.03296,0.02981,0.17675,0.0425,0.03516,0.04298,0.05268,0.04184,0.03295,0.0,0.02627,0.03649,0.02668,0.03204,0.05953,0.03772,0.03526,0.0,0.33494,0.0,0.04036,0.04358,0.05049,0.03808,0.04649,0.02539,0.02491,0.03797,0.0,0.05332,0.07864,0.03853,0.02606,0.05069,0.0,0.05565,0.03923,0.05605,0.02618,0.02884,0.03567,0.02596,0.02375,0.03275,0.06184,0.02735,0.10122,0.05463,0.0,0.02907,0.0325,0.02834,0.01934,0.0,0.03659,0.03761,0.03765,0.0,0.05087,0.0,0.0,0.02955,0.06603,0.03692,0.02551,0.05382,0.0,0.0,0.04916,0.0308,0.0,0.03053,0.02791,0.17799,0.0,0.03579,0.07483,0.1465,0.72792,0.18958,0.12418,0.04781,0.07482,0.05236,0.04413,0.0468,0.0,0.05175,0.07519,0.08644,0.20562,0.03393,0.04123,0.0,0.27308,0.04643,0.03706,0.0266,0.02802,0.03699,0.19612,0.05561,0.0,0.14468,0.30554,0.03787,0.03729,0.03097,0.0416,0.0451,0.0,0.02396,0.04496,0.04538,0.04351,0.04286,0.03906,0.07484,0.04946,0.05877,0.03539,0.02595,0.02588,0.04846,0.01995,0.02679,0.0436,0.03949,0.0,0.03722,0.05212,0.03533,0.03783,0.04402,0.0,0.02682,0.0234,0.03585,0.03579,0.0,0.02337,0.19721,0.0,0.0,0.03994,0.09052,0.03184,0.03194,0.02636,0.03023,0.02642,0.02326,0.02716,0.02578,0.0,0.02018,0.06204,0.02115,0.03092,0.02118,0.02408,0.03208,0.0,0.03378,0.0,0.02941,0.02045,0.04202,0.03337,0.0329,0.03148,0.0,0.0,0.0537,0.06386,0.0541,0.1734,0.03093,0.02973,0.0273,0.03128,0.02283,0.02526,0.02393,0.0702
-3.25,0.03206,0.03206,0.08155,0.02522,0.02347,0.03002,0.03032,0.03178,0.02321,0.03425,0.03754,0.02481,0.02675,0.03274,0.03469,0.03763,0.02804,0.03247,0.03148,0.02027,0.02998,0.03622,0.0,0.01904,0.03296,0.0,0.0173,0.02458,0.0172,0.01846,0.02142,0.0,0.12175,0.03323,0.03694,0.03601,0.382,0.05124,0.03383,0.03281,0.0,0.07067,0.06693,0.03806,0.05708,0.03566,0.08192,0.03145,0.02336,0.0231,0.0493,0.0264,0.03629,0.0365,0.02403,0.15979,0.03964,0.0331,0.04158,0.04858,0.04188,0.02971,0.0,0.02627,0.03327,0.02131,0.03062,0.04365,0.03081,0.03263,0.0,0.31177,0.0,0.03728,0.04031,0.04813,0.0328,0.04087,0.03161,0.0238,0.03417,0.02376,0.04966,0.07319,0.03318,0.02501,0.04959,0.0,0.04666,0.02712,0.05605,0.02618,0.02683,0.03358,0.02596,0.0223,0.03103,0.05813,0.02557,0.09249,0.05562,0.02866,0.028,0.03045,0.02462,0.01934,0.03163,0.0356,0.03571,0.03592,0.0,0.0366,0.0,0.0,0.02933,0.06603,0.0352,0.025,0.052,0.03924,0.03756,0.04569,0.03794,0.0,0.02826,0.02616,0.17161,0.23772,0.03065,0.07481,0.13614,0.67583,0.18252,0.11706,0.04565,0.06978,0.05004,0.0403,0.04342,0.32449,0.04679,0.06867,0.0851,0.18475,0.03393,0.03817,0.0,0.25368,0.04341,0.03558,0.02676,0.02539,0.03292,0.18565,0.05215,0.03383,0.13818,0.2784,0.03513,0.03698,0.02776,0.0416,0.04151,0.0,0.0228,0.04312,0.04088,0.04198,0.03984,0.03636,0.0684,0.04946,0.05775,0.03539,0.02595,0.02283,0.04846,0.01907,0.02384,0.03803,0.03713,0.19344,0.02871,0.05212,0.03433,0.04361,0.04341,0.0,0.02552,0.0215,0.03389,0.02679,0.0216,0.02337,0.19065,0.17557,0.0,0.03885,0.0862,0.02749,0.02669,0.0255,0.03023,0.02538,0.02222,0.02663,0.02267,0.0,0.02018,0.05525,0.02228,0.02397,0.02024,0.02474,0.03208,0.0,0.03378,0.02499,0.0227,0.02045,0.04082,0.02894,0.0329,0.02987,0.02581,0.0,0.0477,0.0532,0.05125,0.15857,0.02655,0.02842,0.02507,0.02903,0.02201,0.02526,0.02337,0.06276
-3.0,0.02857,0.02813,0.07402,0.02345,0.02209,0.03002,0.0278,0.03005,0.02216,0.03425,0.03573,0.02437,0.02675,0.03098,0.03091,0.03292,0.02894,0.03247,0.02923,0.019,0.02998,0.03622,0.01676,0.01652,0.03296,0.01834,0.01673,0.02286,0.01677,0.01817,0.02142,0.01998,0.11637,0.03145,0.03385,0.03269,0.3409,0.0458,0.03096,0.03165,0.0,0.06434,0.06552,0.03484,0.05425,0.03386,0.07487,0.02952,0.02045,0.02335,0.0493,0.02591,0.03216,0.02866,0.02291,0.1481,0.03622,0.03128,0.04291,0.04689,0.03722,0.02688,0.0,0.02592,0.0284,0.02024,0.03062,0.03637,0.02759,0.03127,0.0,0.2812,0.16477,0.03449,0.0388,0.04388,0.03201,0.04573,0.02798,0.02272,0.03417,0.02376,0.04834,0.06916,0.02951,0.02207,0.04401,0.0,0.04963,0.02582,0.05605,0.0232,0.02566,0.03206,0.02289,0.01969,0.02922,0.05161,0.02467,0.08712,0.05115,0.02748,0.02575,0.02831,0.02462,0.02102,0.03163,0.03346,0.03192,0.03175,0.01937,0.0366,0.0,0.02487,0.02626,0.06424,0.02799,0.0244,0.04885,0.03924,0.03474,0.04299,0.03026,0.0,0.0262,0.02456,0.16573,0.22773,0.02874,0.06775,0.12578,0.61924,0.16588,0.10957,0.04571,0.06576,0.04948,0.03507,0.03899,0.30652,0.04264,0.05698,0.07908,0.17252,0.02991,0.03556,0.02613,0.2412,0.04009,0.03367,0.02539,0.0235,0.03242,0.17498,0.04806,0.03209,0.12516,0.25399,0.03378,0.03346,0.02488,0.03409,0.04105,0.02276,0.02152,0.0424,0.03788,0.03897,0.03812,0.03495,0.06463,0.04183,0.05195,0.02876,0.02595,0.02099,0.04072,0.0185,0.02047,0.03743,0.03507,0.17765,0.02703,0.04517,0.03507,0.04187,0.04011,0.02777,0.02205,0.02047,0.03316,0.02399,0.01978,0.02132,0.1837,0.16044,0.0,0.03691,0.07997,0.02671,0.02554,0.02337,0.0295,0.02322,0.01928,0.02783,0.02267,0.02231,0.02018,0.04855,0.02207,0.02397,0.01684,0.02418,0.03125,0.02264,0.02765,0.02499,0.0227,0.01927,0.03622,0.02713,0.03262,0.02763,0.02482,0.0,0.0477,0.04551,0.04802,0.148,0.0235,0.02694,0.0192,0.02631,0.02121,0.02445,0.02269,0.05963
-2.75,0.02603,0.02685,0.06928,0.02183,0.02157,0.03002,0.02334,0.02979,0.01821,0.02826,0.03455,0.02355,0.02341,0.02977,0.02751,0.0308,0.02783,0.03247,0.02887,0.01638,0.02158,0.033,0.01676,0.01652,0.02719,0.01725,0.01673,0.02286,0.01589,0.01817,0.01999,0.01998,0.1104,0.02922,0.03206,0.03056,0.31563,0.04262,0.02928,0.02791,0.0,0.0587,0.05795,0.03156,0.04807,0.03092,0.06525,0.02915,0.02092,0.02084,0.03844,0.02524,0.02909,0.02541,0.02291,0.13647,0.03408,0.02911,0.03861,0.04275,0.03499,0.02441,0.02043,0.02592,0.02703,0.02095,0.02966,0.02774,0.02894,0.02909,0.0,0.25227,0.15381,0.02988,0.03691,0.03709,0.03007,0.04195,0.02735,0.02239,0.03417,0.02224,0.04096,0.06622,0.02556,0.02078,0.04146,0.0,0.04831,0.02437,0.05067,0.02153,0.02377,0.02976,0.02215,0.02158,0.02922,0.04472,0.02262,0.0766,0.04628,0.02621,0.02452,0.02658,0.01854,0.0199,0.03163,0.03179,0.02832,0.03175,0.01922,0.03533,0.02047,0.02282,0.02546,0.05257,0.02626,0.02326,0.04519,0.03314,0.03193,0.03914,0.02904,0.13032,0.02416,0.02324,0.15908,0.21362,0.02767,0.05934,0.11596,0.57333,0.15148,0.09912,0.04082,0.05979,0.04192,0.03249,0.03791,0.28164,0.03956,0.05481,0.07125,0.15785,0.02897,0.0317,0.02613,0.2412,0.03638,0.03038,0.02358,0.02262,0.02874,0.15755,0.0443,0.03215,0.11592,0.22822,0.03114,0.02875,0.02424,0.02882,0.03837,0.02276,0.02011,0.03919,0.03652,0.03619,0.03528,0.03261,0.06154,0.03858,0.04972,0.02641,0.02077,0.02058,0.03447,0.01829,0.01922,0.03442,0.03456,0.16344,0.02554,0.04444,0.03016,0.03934,0.0371,0.02582,0.02075,0.01873,0.02956,0.02399,0.01954,0.02067,0.16821,0.1518,0.19169,0.03633,0.07235,0.02557,0.02417,0.0224,0.02652,0.02058,0.01857,0.02788,0.02267,0.02189,0.01677,0.04677,0.02052,0.02143,0.01663,0.02334,0.02423,0.0215,0.02394,0.02715,0.0227,0.01823,0.03426,0.02671,0.03018,0.02677,0.0267,0.01835,0.04475,0.04137,0.04423,0.13402,0.02239,0.02543,0.01894,0.02442,0.01984,0.02232,0.02152,0.05611
